detector,strategy,event_rows_reachable,representative_clusters_reachable,causal_entry_clusters,cost_feasible_clusters,outcome_status
STRICT_V0,DETECTION_CONTINUATION,19,15,15,15,DEVELOPMENT_DIAGNOSTIC_ONLY
STRICT_V0,POST_BURST_CONTINUATION,19,15,15,15,DEVELOPMENT_DIAGNOSTIC_ONLY
STRICT_V0,PULLBACK_CONTINUATION,5,5,5,5,DEVELOPMENT_DIAGNOSTIC_ONLY
STRICT_V0,FAILED_SHOCK_REVERSAL,11,8,8,8,DEVELOPMENT_DIAGNOSTIC_ONLY
TAIL_V1_RAW,DETECTION_CONTINUATION,56674,29180,29180,3,DEVELOPMENT_DIAGNOSTIC_ONLY
TAIL_V1_RAW,POST_BURST_CONTINUATION,56674,29180,29179,3,DEVELOPMENT_DIAGNOSTIC_ONLY
TAIL_V1_RAW,PULLBACK_CONTINUATION,9215,4551,4551,1,DEVELOPMENT_DIAGNOSTIC_ONLY
TAIL_V1_RAW,FAILED_SHOCK_REVERSAL,27878,13477,13473,1,DEVELOPMENT_DIAGNOSTIC_ONLY
TAIL_V1_NOISE_ROBUST,DETECTION_CONTINUATION,23825,11409,11409,4,DEVELOPMENT_DIAGNOSTIC_ONLY
TAIL_V1_NOISE_ROBUST,POST_BURST_CONTINUATION,23825,11409,11408,4,DEVELOPMENT_DIAGNOSTIC_ONLY
TAIL_V1_NOISE_ROBUST,PULLBACK_CONTINUATION,2296,985,985,0,DEVELOPMENT_DIAGNOSTIC_ONLY
TAIL_V1_NOISE_ROBUST,FAILED_SHOCK_REVERSAL,16269,7428,7427,1,DEVELOPMENT_DIAGNOSTIC_ONLY
TAIL_V1_PERSISTENT,DETECTION_CONTINUATION,21799,10245,10245,4,DEVELOPMENT_DIAGNOSTIC_ONLY
TAIL_V1_PERSISTENT,POST_BURST_CONTINUATION,21799,10245,10244,4,DEVELOPMENT_DIAGNOSTIC_ONLY
TAIL_V1_PERSISTENT,PULLBACK_CONTINUATION,2348,1033,1033,0,DEVELOPMENT_DIAGNOSTIC_ONLY
TAIL_V1_PERSISTENT,FAILED_SHOCK_REVERSAL,15825,7282,7281,1,DEVELOPMENT_DIAGNOSTIC_ONLY
