detector,dimension,key,n,mean_delta_abs_return_1s,positive_fraction,status
TAIL_V1_NOISE_ROBUST,SYMBOL,AUDUSD,1352,1.2648543224112426e-05,0.5784023668639053,DESCRIPTIVE_DEVELOPMENT_ONLY
TAIL_V1_NOISE_ROBUST,SYMBOL,EURUSD,682,2.4224928224340175e-05,0.6290322580645161,DESCRIPTIVE_DEVELOPMENT_ONLY
TAIL_V1_NOISE_ROBUST,SYMBOL,GBPUSD,1064,1.5493532294172934e-05,0.606203007518797,DESCRIPTIVE_DEVELOPMENT_ONLY
TAIL_V1_NOISE_ROBUST,SYMBOL,USDCAD,2248,1.787196538122776e-05,0.6116548042704626,DESCRIPTIVE_DEVELOPMENT_ONLY
TAIL_V1_NOISE_ROBUST,SYMBOL,USDCHF,933,1.8587056126473742e-05,0.5744908896034298,DESCRIPTIVE_DEVELOPMENT_ONLY
TAIL_V1_NOISE_ROBUST,SYMBOL,USDJPY,5000,1.44911314728e-05,0.6086,DESCRIPTIVE_DEVELOPMENT_ONLY
TAIL_V1_NOISE_ROBUST,TIME_BUCKET,0,981,1.5079829739041795e-05,0.6238532110091743,DESCRIPTIVE_DEVELOPMENT_ONLY
TAIL_V1_NOISE_ROBUST,TIME_BUCKET,1,1145,5.8813126506550214e-06,0.5598253275109171,DESCRIPTIVE_DEVELOPMENT_ONLY
TAIL_V1_NOISE_ROBUST,TIME_BUCKET,2,3086,9.639328900194427e-06,0.5712896953985742,DESCRIPTIVE_DEVELOPMENT_ONLY
TAIL_V1_NOISE_ROBUST,TIME_BUCKET,3,1790,2.7609438241340782e-05,0.641340782122905,DESCRIPTIVE_DEVELOPMENT_ONLY
TAIL_V1_NOISE_ROBUST,TIME_BUCKET,4,3018,1.8347960977799867e-05,0.6169648774022531,DESCRIPTIVE_DEVELOPMENT_ONLY
TAIL_V1_NOISE_ROBUST,TIME_BUCKET,5,1259,1.9071869045274028e-05,0.6227164416203336,DESCRIPTIVE_DEVELOPMENT_ONLY
TAIL_V1_PERSISTENT,SYMBOL,AUDUSD,1141,1.455802361262051e-05,0.6064855390008764,DESCRIPTIVE_DEVELOPMENT_ONLY
TAIL_V1_PERSISTENT,SYMBOL,EURUSD,624,2.4405420044871794e-05,0.6458333333333334,DESCRIPTIVE_DEVELOPMENT_ONLY
TAIL_V1_PERSISTENT,SYMBOL,GBPUSD,887,1.5161149693348365e-05,0.6200676437429538,DESCRIPTIVE_DEVELOPMENT_ONLY
TAIL_V1_PERSISTENT,SYMBOL,USDCAD,2010,1.8250485996019903e-05,0.5945273631840796,DESCRIPTIVE_DEVELOPMENT_ONLY
TAIL_V1_PERSISTENT,SYMBOL,USDCHF,748,1.6836398161764707e-05,0.56951871657754,DESCRIPTIVE_DEVELOPMENT_ONLY
TAIL_V1_PERSISTENT,SYMBOL,USDJPY,4718,1.4007221555532003e-05,0.6023738872403561,DESCRIPTIVE_DEVELOPMENT_ONLY
TAIL_V1_PERSISTENT,TIME_BUCKET,0,809,1.3958593301606923e-05,0.6019777503090235,DESCRIPTIVE_DEVELOPMENT_ONLY
TAIL_V1_PERSISTENT,TIME_BUCKET,1,1007,5.4249355203574975e-06,0.5441906653426017,DESCRIPTIVE_DEVELOPMENT_ONLY
TAIL_V1_PERSISTENT,TIME_BUCKET,2,2721,9.807332366041896e-06,0.5773612642410878,DESCRIPTIVE_DEVELOPMENT_ONLY
TAIL_V1_PERSISTENT,TIME_BUCKET,3,1651,2.719392959357965e-05,0.6456692913385826,DESCRIPTIVE_DEVELOPMENT_ONLY
TAIL_V1_PERSISTENT,TIME_BUCKET,4,2794,1.8120091320329275e-05,0.6116678596993558,DESCRIPTIVE_DEVELOPMENT_ONLY
TAIL_V1_PERSISTENT,TIME_BUCKET,5,1146,1.892227266841187e-05,0.6343804537521816,DESCRIPTIVE_DEVELOPMENT_ONLY
TAIL_V1_RAW,SYMBOL,AUDUSD,3967,1.5046546370052936e-05,0.6299470632719939,DESCRIPTIVE_DEVELOPMENT_ONLY
TAIL_V1_RAW,SYMBOL,EURUSD,2438,1.2787720691960623e-05,0.5672682526661198,DESCRIPTIVE_DEVELOPMENT_ONLY
TAIL_V1_RAW,SYMBOL,GBPUSD,4007,1.1919984037184925e-05,0.6214125280758672,DESCRIPTIVE_DEVELOPMENT_ONLY
TAIL_V1_RAW,SYMBOL,USDCAD,5382,1.63676047705314e-05,0.6246748420661464,DESCRIPTIVE_DEVELOPMENT_ONLY
TAIL_V1_RAW,SYMBOL,USDCHF,3300,1.6631258724848485e-05,0.5990909090909091,DESCRIPTIVE_DEVELOPMENT_ONLY
TAIL_V1_RAW,SYMBOL,USDJPY,9309,1.4955341195402298e-05,0.6523794177677517,DESCRIPTIVE_DEVELOPMENT_ONLY
TAIL_V1_RAW,TIME_BUCKET,0,2873,2.1616362312217193e-05,0.6609815523842674,DESCRIPTIVE_DEVELOPMENT_ONLY
TAIL_V1_RAW,TIME_BUCKET,1,3773,8.387078236946726e-06,0.5918367346938775,DESCRIPTIVE_DEVELOPMENT_ONLY
TAIL_V1_RAW,TIME_BUCKET,2,6982,1.0170958253938699e-05,0.5963907189916929,DESCRIPTIVE_DEVELOPMENT_ONLY
TAIL_V1_RAW,TIME_BUCKET,3,4548,1.9083535874670182e-05,0.6204925241864556,DESCRIPTIVE_DEVELOPMENT_ONLY
TAIL_V1_RAW,TIME_BUCKET,4,6741,1.6584115635959056e-05,0.6522771102210354,DESCRIPTIVE_DEVELOPMENT_ONLY
TAIL_V1_RAW,TIME_BUCKET,5,3486,1.6487387288869767e-05,0.6508892713711991,DESCRIPTIVE_DEVELOPMENT_ONLY
