detector,first_fail_reason,count,rate
STRICT_V0,PASSED_ALL_OBSERVED_GATES,19,1.0
TAIL_V1_RAW,ACTIVITY_ELEVATED,41101,0.7252179129759678
TAIL_V1_RAW,COST_FEASIBLE,14421,0.25445530578395736
TAIL_V1_RAW,DIRECTIONAL_BURST,662,0.011680841302890214
TAIL_V1_RAW,LIQUIDITY_NORMAL,450,0.007940148921904224
TAIL_V1_RAW,PASSED_ALL_OBSERVED_GATES,40,0.0007057910152803755
TAIL_V1_NOISE_ROBUST,ACTIVITY_ELEVATED,15582,0.6540188877229801
TAIL_V1_NOISE_ROBUST,DIRECTIONAL_BURST,5823,0.2444071353620147
TAIL_V1_NOISE_ROBUST,COST_FEASIBLE,2284,0.09586568730325289
TAIL_V1_NOISE_ROBUST,LIQUIDITY_NORMAL,126,0.005288562434417629
TAIL_V1_NOISE_ROBUST,PASSED_ALL_OBSERVED_GATES,10,0.0004197271773347324
TAIL_V1_PERSISTENT,ACTIVITY_ELEVATED,15177,0.696224597458599
TAIL_V1_PERSISTENT,DIRECTIONAL_BURST,4281,0.1963851552823524
TAIL_V1_PERSISTENT,COST_FEASIBLE,2210,0.1013807972842791
TAIL_V1_PERSISTENT,LIQUIDITY_NORMAL,121,0.005550713335474105
TAIL_V1_PERSISTENT,PASSED_ALL_OBSERVED_GATES,10,0.00045873663929538053
