partition,feature,bucket,events,episodes,mean_continuation_10s,median_continuation_10s,positive_rate_10s,raw_p,adjusted_p_bh
DISCOVERY,symbol,AUDUSD,946,473,-4.111320315010572e-06,0.0,0.4693446088794926,1.0,1.0
DISCOVERY,symbol,EURUSD,505,199,1.2668372253465345e-05,0.0,0.4871287128712871,1.0,1.0
DISCOVERY,symbol,GBPUSD,440,272,-5.343463954545437e-07,0.0,0.46136363636363636,1.0,1.0
DISCOVERY,symbol,USDCAD,1057,531,1.4042693223273415e-05,3.477082e-06,0.5099337748344371,1.0,1.0
DISCOVERY,symbol,USDCHF,633,323,8.547760424960506e-06,0.0,0.47709320695102686,1.0,1.0
DISCOVERY,symbol,USDJPY,3769,1546,-2.1811760594322105e-06,-3.391515e-06,0.46749801008224995,1.0,1.0
DISCOVERY,severity_feature,P990,4467,1650,6.040717167674053e-06,0.0,0.4822028206850235,1.0,1.0
DISCOVERY,severity_feature,P995,2732,1188,-2.1758499827964865e-06,-3.4692800000000003e-06,0.46669106881405564,1.0,1.0
DISCOVERY,severity_feature,P999,151,109,-4.4591711e-05,-1.3399751e-05,0.44370860927152317,1.0,1.0
DISCOVERY,trigger_horizon_ms_x,250,6903,2127,2.1172530068086336e-06,0.0,0.47312762566999855,1.0,1.0
DISCOVERY,trigger_horizon_ms_x,500,116,74,9.567640189655174e-06,1.6233631500000003e-05,0.5344827586206896,1.0,1.0
DISCOVERY,trigger_horizon_ms_x,1000,331,211,-4.28740390936556e-06,6.739089e-06,0.5075528700906344,1.0,1.0
DISCOVERY,volatility_regime_x,HIGH,340,213,3.042567255882348e-06,7.3902015e-06,0.5147058823529411,1.0,1.0
DISCOVERY,volatility_regime_x,LOW,1526,689,6.612564285714282e-07,0.0,0.4705111402359109,1.0,1.0
DISCOVERY,volatility_regime_x,NORMAL,5484,1888,2.236061797410649e-06,-3.3521834999999997e-06,0.474653537563822,1.0,1.0
DISCOVERY,server_hour,0,39,16,2.976254948717949e-06,7.713788e-06,0.5641025641025641,1.0,1.0
DISCOVERY,server_hour,1,107,61,2.309830842056075e-05,0.0,0.4766355140186916,1.0,1.0
DISCOVERY,server_hour,2,151,88,-1.8168115245033114e-05,-7.930623e-06,0.4370860927152318,1.0,1.0
DISCOVERY,server_hour,3,198,94,-1.2033447393939395e-05,-6.927391e-06,0.4696969696969697,1.0,1.0
DISCOVERY,server_hour,4,235,107,-5.534966102127659e-06,-6.770549e-06,0.4425531914893617,1.0,1.0
DISCOVERY,server_hour,5,198,101,7.2531152171717144e-06,0.0,0.4898989898989899,1.0,1.0
DISCOVERY,server_hour,6,120,77,-1.5579297141666664e-05,-8.9632545e-06,0.44166666666666665,1.0,1.0
DISCOVERY,server_hour,7,102,65,-6.865848892156863e-06,-3.4845645e-06,0.4411764705882353,1.0,1.0
DISCOVERY,server_hour,8,162,99,5.1514987654321e-07,0.0,0.4691358024691358,1.0,1.0
DISCOVERY,server_hour,9,440,120,7.356849599999999e-06,3.3389095e-06,0.5045454545454545,1.0,1.0
DISCOVERY,server_hour,10,740,126,-3.0388124891891906e-06,-3.6706575e-06,0.4540540540540541,1.0,1.0
DISCOVERY,server_hour,11,655,125,2.1468411297709926e-06,0.0,0.47480916030534354,1.0,1.0
DISCOVERY,server_hour,12,150,91,-1.364856992666667e-05,-1.71467365e-05,0.4,1.0,1.0
DISCOVERY,server_hour,13,153,90,-2.8230393986928097e-06,3.38762e-06,0.5294117647058824,1.0,1.0
DISCOVERY,server_hour,14,242,108,1.4144294066115698e-05,3.379006e-06,0.5082644628099173,1.0,1.0
DISCOVERY,server_hour,15,800,116,1.7519770926250002e-05,0.0,0.49625,1.0,1.0
DISCOVERY,server_hour,16,599,118,-4.479038240400667e-06,-5.634898e-06,0.4590984974958264,1.0,1.0
DISCOVERY,server_hour,17,725,131,2.8615635903448226e-06,3.376901e-06,0.5006896551724138,1.0,1.0
DISCOVERY,server_hour,18,387,120,-1.4385819452196383e-05,-1.0006654e-05,0.45219638242894056,1.0,1.0
DISCOVERY,server_hour,19,197,99,1.604702583756348e-06,0.0,0.49238578680203043,1.0,1.0
DISCOVERY,server_hour,20,195,90,-1.5231364687179484e-05,-1.1362087e-05,0.4358974358974359,1.0,1.0
DISCOVERY,server_hour,21,379,69,5.00895110817942e-06,0.0,0.47229551451187335,1.0,1.0
DISCOVERY,server_hour,22,215,78,1.5212667088372093e-05,-3.350505e-06,0.4744186046511628,1.0,1.0
DISCOVERY,server_hour,23,161,61,3.4173935608695654e-05,3.4811e-06,0.515527950310559,1.0,1.0
DISCOVERY,weekday,0,971,402,6.263151363542737e-06,0.0,0.47579814624098865,1.0,1.0
DISCOVERY,weekday,1,1695,519,4.2305823362831835e-06,0.0,0.487905604719764,1.0,1.0
DISCOVERY,weekday,2,1959,443,-6.53079709698826e-06,-6.942853e-06,0.45329249617151607,1.0,1.0
