symbol,server_hour,horizon_ms,events,valid,mean_continuation,median_continuation,mean_absolute,mean_spread
AUDUSD,0,250,5,5,-4.60895654e-05,7.948904e-06,5.5632499799999996e-05,0.00059
AUDUSD,0,500,5,5,3.5712799999999013e-08,7.951875e-06,2.5414008000000003e-05,0.0006000000000000001
AUDUSD,0,1000,5,5,-4.13227538e-05,7.948904e-06,5.086568820000001e-05,0.000592
AUDUSD,0,2000,5,5,-3.4961177799999996e-05,7.948904e-06,5.4046514200000007e-05,0.000584
AUDUSD,0,3000,5,5,-2.70088092e-05,7.948904e-06,6.51796328e-05,0.0005780000000000001
AUDUSD,0,5000,5,5,-8.725392000000001e-05,-2.3846334e-05,0.000122246802,0.000562
AUDUSD,0,10000,5,5,-4.76135734e-05,1.5913051e-05,0.0001016795526,0.000652
AUDUSD,0,15000,5,5,-2.0616796399999998e-05,1.5913051e-05,7.786365199999999e-05,0.0006739999999999999
AUDUSD,0,30000,5,5,-3.1356868000000016e-06,0.0,6.040748520000001e-05,0.0006760000000000001
AUDUSD,0,60000,5,5,1.5960834400000004e-05,7.1606736e-05,0.0001017264784,0.00062
AUDUSD,0,120000,5,5,8.2790321e-05,8.7441424e-05,0.0001367172738,0.000592
AUDUSD,1,250,17,17,-6.996265529411765e-06,-7.897241e-06,2.0032784117647058e-05,0.0002876470588235294
AUDUSD,1,500,17,17,-2.318320647058824e-06,-0.0,2.2829089941176473e-05,0.00027823529411764706
AUDUSD,1,1000,17,17,2.6887764705882205e-08,1.5664651e-05,2.8905039529411766e-05,0.00027882352941176474
AUDUSD,1,2000,17,17,1.1669115470588237e-05,7.964034e-06,3.4051858647058826e-05,0.0002758823529411765
AUDUSD,1,3000,17,17,1.2150072470588237e-05,2.3892294e-05,4.569053117647059e-05,0.00027764705882352944
AUDUSD,1,5000,17,17,9.803840235294117e-06,1.5664651e-05,4.150278447058824e-05,0.00028411764705882353
AUDUSD,1,10000,17,17,7.971287470588235e-06,7.928296e-06,3.9634908999999993e-05,0.00029117647058823524
AUDUSD,1,15000,17,17,-8.820226647058823e-06,7.933328e-06,9.746033288235294e-05,0.00029117647058823524
AUDUSD,1,30000,17,17,-2.4698900529411765e-05,-2.3891532e-05,0.00014036078935294118,0.0002864705882352941
AUDUSD,1,60000,17,17,1.3526539117647057e-05,1.5664651e-05,0.00013856049570588235,0.00025823529411764706
AUDUSD,1,120000,17,17,7.66333125882353e-05,8.7270073e-05,0.0001922553571764706,0.0002541176470588235
AUDUSD,2,250,16,16,-1.1417298375e-05,-1.19003105e-05,1.9340763e-05,0.00022437500000000002
AUDUSD,2,500,16,16,-1.24074530625e-05,-1.19003105e-05,1.93343153125e-05,0.00022437500000000002
AUDUSD,2,1000,16,16,-1.7860570125e-05,-1.1922132e-05,2.4787345875e-05,0.00022625
AUDUSD,2,2000,16,16,-1.23987508125e-05,-1.19173495e-05,3.71821386875e-05,0.000229375
AUDUSD,2,3000,16,16,-1.2403106187499999e-05,-1.9921827e-05,4.01564543125e-05,0.000226875
AUDUSD,2,5000,16,16,-7.4848773124999984e-06,-1.1933947e-05,4.50962805625e-05,0.000228125
AUDUSD,2,10000,16,16,-1.9948057437499997e-05,-1.18967205e-05,7.74178596875e-05,0.0002275
AUDUSD,2,15000,16,16,-1.99563245625e-05,-1.9782417999999998e-05,8.23665984375e-05,0.00022250000000000001
AUDUSD,2,30000,16,16,-2.0848466874999993e-06,-7.925221e-06,0.0001032062066875,0.00022
AUDUSD,2,60000,16,16,1.1301460437499996e-05,-5.55895505e-05,0.0001502209626875,0.000218125
AUDUSD,2,120000,16,16,-7.363378675e-05,-4.7590373499999995e-05,0.000195415635625,0.000225
AUDUSD,3,250,83,83,8.633496626506029e-07,7.882923e-06,3.831104014457831e-05,0.0002583132530120482
AUDUSD,3,500,83,83,3.138868024096386e-06,7.883731e-06,4.724830539759036e-05,0.00025590361445783133
