gate_a,gate_b,both_pass,both_fail,a_pass_b_fail
statistical_shock,statistical_shock,16913,0,0
statistical_shock,direction_available,16913,0,0
statistical_shock,directional_burst,13695,0,3218
statistical_shock,activity_elevated,2600,0,14313
statistical_shock,liquidity_normal,16141,0,772
statistical_shock,cost_feasible,22,0,16891
statistical_shock,efficiency_gate,13695,0,3218
statistical_shock,persistence_gate,16913,0,0
direction_available,statistical_shock,16913,0,0
direction_available,direction_available,16913,0,0
direction_available,directional_burst,13695,0,3218
direction_available,activity_elevated,2600,0,14313
direction_available,liquidity_normal,16141,0,772
direction_available,cost_feasible,22,0,16891
direction_available,efficiency_gate,13695,0,3218
direction_available,persistence_gate,16913,0,0
directional_burst,statistical_shock,13695,0,0
directional_burst,direction_available,13695,0,0
directional_burst,directional_burst,13695,3218,0
directional_burst,activity_elevated,1785,2403,11910
directional_burst,liquidity_normal,13099,176,596
directional_burst,cost_feasible,22,3218,13673
directional_burst,efficiency_gate,13695,3218,0
directional_burst,persistence_gate,13695,0,0
activity_elevated,statistical_shock,2600,0,0
activity_elevated,direction_available,2600,0,0
activity_elevated,directional_burst,1785,2403,815
activity_elevated,activity_elevated,2600,14313,0
activity_elevated,liquidity_normal,2454,626,146
activity_elevated,cost_feasible,7,14298,2593
activity_elevated,efficiency_gate,1785,2403,815
activity_elevated,persistence_gate,2600,0,0
liquidity_normal,statistical_shock,16141,0,0
liquidity_normal,direction_available,16141,0,0
liquidity_normal,directional_burst,13099,176,3042
liquidity_normal,activity_elevated,2454,626,13687
liquidity_normal,liquidity_normal,16141,772,0
liquidity_normal,cost_feasible,22,772,16119
liquidity_normal,efficiency_gate,13099,176,3042
liquidity_normal,persistence_gate,16141,0,0
cost_feasible,statistical_shock,22,0,0
cost_feasible,direction_available,22,0,0
cost_feasible,directional_burst,22,3218,0
cost_feasible,activity_elevated,7,14298,15
cost_feasible,liquidity_normal,22,772,0
cost_feasible,cost_feasible,22,16891,0
cost_feasible,efficiency_gate,22,3218,0
cost_feasible,persistence_gate,22,0,0
efficiency_gate,statistical_shock,13695,0,0
efficiency_gate,direction_available,13695,0,0
efficiency_gate,directional_burst,13695,3218,0
efficiency_gate,activity_elevated,1785,2403,11910
efficiency_gate,liquidity_normal,13099,176,596
efficiency_gate,cost_feasible,22,3218,13673
efficiency_gate,efficiency_gate,13695,3218,0
efficiency_gate,persistence_gate,13695,0,0
persistence_gate,statistical_shock,16913,0,0
persistence_gate,direction_available,16913,0,0
persistence_gate,directional_burst,13695,0,3218
persistence_gate,activity_elevated,2600,0,14313
persistence_gate,liquidity_normal,16141,0,772
persistence_gate,cost_feasible,22,0,16891
persistence_gate,efficiency_gate,13695,0,3218
persistence_gate,persistence_gate,16913,0,0
