partition,symbol,market_clusters,episodes,mean_continuation_10s
DISCOVERY,AUDUSD,946,473,-4.111320315010571e-06
DISCOVERY,EURUSD,505,199,1.2668372253465344e-05
DISCOVERY,GBPUSD,440,272,-5.343463954545451e-07
DISCOVERY,USDCAD,1057,531,1.4042693223273415e-05
DISCOVERY,USDCHF,633,323,8.547760424960506e-06
DISCOVERY,USDJPY,3769,1546,-2.1811760594322105e-06
INTERNAL_CONFIRMATION,AUDUSD,364,254,9.997376994505494e-06
INTERNAL_CONFIRMATION,EURUSD,154,101,-1.390170062987013e-05
INTERNAL_CONFIRMATION,GBPUSD,418,250,2.0159798397129185e-06
INTERNAL_CONFIRMATION,USDCAD,887,486,1.1765452160090192e-05
INTERNAL_CONFIRMATION,USDCHF,122,84,-5.598434098360656e-06
INTERNAL_CONFIRMATION,USDJPY,949,548,2.0277398946259217e-07
