partition,gate_a,gate_b,both_pass,both_fail,a_pass_b_fail
DISCOVERY,statistical_shock,statistical_shock,16913,0,0
DISCOVERY,statistical_shock,direction_available,16913,0,0
DISCOVERY,statistical_shock,directional_burst,13695,0,3218
DISCOVERY,statistical_shock,activity_elevated,2600,0,14313
DISCOVERY,statistical_shock,liquidity_normal,16141,0,772
DISCOVERY,statistical_shock,cost_feasible,22,0,16891
DISCOVERY,statistical_shock,efficiency_gate,13695,0,3218
DISCOVERY,statistical_shock,persistence_gate,16913,0,0
DISCOVERY,direction_available,statistical_shock,16913,0,0
DISCOVERY,direction_available,direction_available,16913,0,0
DISCOVERY,direction_available,directional_burst,13695,0,3218
DISCOVERY,direction_available,activity_elevated,2600,0,14313
DISCOVERY,direction_available,liquidity_normal,16141,0,772
DISCOVERY,direction_available,cost_feasible,22,0,16891
DISCOVERY,direction_available,efficiency_gate,13695,0,3218
DISCOVERY,direction_available,persistence_gate,16913,0,0
DISCOVERY,directional_burst,statistical_shock,13695,0,0
DISCOVERY,directional_burst,direction_available,13695,0,0
DISCOVERY,directional_burst,directional_burst,13695,3218,0
DISCOVERY,directional_burst,activity_elevated,1785,2403,11910
DISCOVERY,directional_burst,liquidity_normal,13099,176,596
DISCOVERY,directional_burst,cost_feasible,22,3218,13673
DISCOVERY,directional_burst,efficiency_gate,13695,3218,0
DISCOVERY,directional_burst,persistence_gate,13695,0,0
DISCOVERY,activity_elevated,statistical_shock,2600,0,0
DISCOVERY,activity_elevated,direction_available,2600,0,0
DISCOVERY,activity_elevated,directional_burst,1785,2403,815
DISCOVERY,activity_elevated,activity_elevated,2600,14313,0
DISCOVERY,activity_elevated,liquidity_normal,2454,626,146
DISCOVERY,activity_elevated,cost_feasible,7,14298,2593
DISCOVERY,activity_elevated,efficiency_gate,1785,2403,815
DISCOVERY,activity_elevated,persistence_gate,2600,0,0
DISCOVERY,liquidity_normal,statistical_shock,16141,0,0
DISCOVERY,liquidity_normal,direction_available,16141,0,0
DISCOVERY,liquidity_normal,directional_burst,13099,176,3042
DISCOVERY,liquidity_normal,activity_elevated,2454,626,13687
DISCOVERY,liquidity_normal,liquidity_normal,16141,772,0
DISCOVERY,liquidity_normal,cost_feasible,22,772,16119
DISCOVERY,liquidity_normal,efficiency_gate,13099,176,3042
DISCOVERY,liquidity_normal,persistence_gate,16141,0,0
DISCOVERY,cost_feasible,statistical_shock,22,0,0
DISCOVERY,cost_feasible,direction_available,22,0,0
DISCOVERY,cost_feasible,directional_burst,22,3218,0
DISCOVERY,cost_feasible,activity_elevated,7,14298,15
DISCOVERY,cost_feasible,liquidity_normal,22,772,0
DISCOVERY,cost_feasible,cost_feasible,22,16891,0
DISCOVERY,cost_feasible,efficiency_gate,22,3218,0
DISCOVERY,cost_feasible,persistence_gate,22,0,0
DISCOVERY,efficiency_gate,statistical_shock,13695,0,0
