partition,metric,key,value,unit
DISCOVERY,event_rows,ALL,16913.0,rows
DISCOVERY,market_clusters,ALL,7350.0,clusters
DISCOVERY,response_episodes,ALL,2190.0,episodes
DISCOVERY,mean_mfe,ALL,0.028869625731685687,price
DISCOVERY,median_mfe,ALL,0.00126,price
DISCOVERY,mean_mae,ALL,0.028123532785431324,price
DISCOVERY,median_mae,ALL,0.001335,price
DISCOVERY,median_time_to_mfe,ALL,44123.0,ms
DISCOVERY,median_time_to_mae,ALL,49368.0,ms
DISCOVERY,origin_recross_rate,ALL,0.8729971028203157,fraction
DISCOVERY,representative_median_mfe_sigma,ALL,34.734273706175124,local_sigma
DISCOVERY,representative_median_mae_sigma,ALL,33.37157037274223,local_sigma
DISCOVERY,representative_median_mfe_shock,ALL,5.666666666666667,initial_shock
DISCOVERY,representative_median_mae_shock,ALL,5.511627906976745,initial_shock
DISCOVERY,representative_origin_recross_rate,ALL,0.8727891156462585,fraction
DISCOVERY,mean_continuation,250,-1.8503162906639865e-06,log_return
DISCOVERY,median_continuation,250,-3.339695e-06,log_return
DISCOVERY,positive_continuation_rate,250,0.47123514456335364,fraction
DISCOVERY,mean_continuation,500,-3.262577005616981e-06,log_return
DISCOVERY,median_continuation,500,0.0,log_return
DISCOVERY,positive_continuation_rate,500,0.4575770117660971,fraction
DISCOVERY,mean_continuation,1000,-6.70877902329569e-06,log_return
DISCOVERY,median_continuation,1000,0.0,log_return
DISCOVERY,positive_continuation_rate,1000,0.4568083722580264,fraction
DISCOVERY,mean_continuation,2000,-7.368257386862178e-06,log_return
DISCOVERY,median_continuation,2000,0.0,log_return
DISCOVERY,positive_continuation_rate,2000,0.46153846153846156,fraction
DISCOVERY,mean_continuation,3000,-7.786371772837462e-06,log_return
DISCOVERY,median_continuation,3000,-3.343235e-06,log_return
DISCOVERY,positive_continuation_rate,3000,0.4626618577425649,fraction
DISCOVERY,mean_continuation,5000,-5.634368710932419e-06,log_return
DISCOVERY,median_continuation,5000,-3.36317e-06,log_return
DISCOVERY,positive_continuation_rate,5000,0.46721456867498373,fraction
DISCOVERY,mean_continuation,10000,-1.1431723368828714e-05,log_return
DISCOVERY,median_continuation,10000,-5.658045e-06,log_return
DISCOVERY,positive_continuation_rate,10000,0.47052563117128837,fraction
DISCOVERY,mean_continuation,15000,-7.823072306923669e-06,log_return
DISCOVERY,median_continuation,15000,-6.779408e-06,log_return
DISCOVERY,positive_continuation_rate,15000,0.4734228108555549,fraction
DISCOVERY,mean_continuation,30000,-6.781842780701236e-06,log_return
DISCOVERY,median_continuation,30000,-6.765579e-06,log_return
DISCOVERY,positive_continuation_rate,30000,0.4793945485721043,fraction
DISCOVERY,mean_continuation,60000,9.253400124756084e-07,log_return
DISCOVERY,median_continuation,60000,-1.0121816e-05,log_return
DISCOVERY,positive_continuation_rate,60000,0.4795128008041152,fraction
DISCOVERY,mean_continuation,120000,-8.295637084077338e-06,log_return
DISCOVERY,median_continuation,120000,-1.6941428e-05,log_return
DISCOVERY,positive_continuation_rate,120000,0.4768521255838704,fraction
DISCOVERY,barrier_1sigma_result,REVERSAL_FIRST,8702.0,events
DISCOVERY,barrier_1sigma_result,CONTINUATION_FIRST,8206.0,events
DISCOVERY,barrier_1sigma_result,TIMEOUT,5.0,events
DISCOVERY,representative_barrier_1sigma_result,REVERSAL_FIRST,3737.0,clusters
DISCOVERY,representative_barrier_1sigma_result,CONTINUATION_FIRST,3608.0,clusters
DISCOVERY,representative_barrier_1sigma_result,TIMEOUT,5.0,clusters
DISCOVERY,event_rows_by_symbol,USDJPY,8110.0,rows
DISCOVERY,event_rows_by_symbol,USDCAD,2594.0,rows
DISCOVERY,event_rows_by_symbol,AUDUSD,2116.0,rows
DISCOVERY,event_rows_by_symbol,USDCHF,1429.0,rows
DISCOVERY,event_rows_by_symbol,GBPUSD,1354.0,rows
DISCOVERY,event_rows_by_symbol,EURUSD,1310.0,rows
DISCOVERY,event_rows_by_server_date,2025-03-05,2202.0,rows
DISCOVERY,event_rows_by_server_date,2025-03-07,2038.0,rows
DISCOVERY,event_rows_by_server_date,2025-03-11,1947.0,rows
DISCOVERY,event_rows_by_server_date,2025-03-06,1807.0,rows
DISCOVERY,event_rows_by_server_date,2025-03-19,1656.0,rows
DISCOVERY,event_rows_by_server_date,2025-03-04,1347.0,rows
DISCOVERY,event_rows_by_server_date,2025-03-12,1345.0,rows
DISCOVERY,event_rows_by_server_date,2025-03-10,941.0,rows
DISCOVERY,event_rows_by_server_date,2025-03-13,905.0,rows
DISCOVERY,event_rows_by_server_date,2025-03-20,705.0,rows
DISCOVERY,event_rows_by_server_date,2025-03-17,643.0,rows
DISCOVERY,event_rows_by_server_date,2025-03-14,613.0,rows
DISCOVERY,event_rows_by_server_date,2025-03-18,434.0,rows
DISCOVERY,event_rows_by_server_date,2025-03-03,291.0,rows
DISCOVERY,event_rows_by_server_date,2025-03-21,39.0,rows
DISCOVERY,event_rows_by_server_hour,15,2748.0,rows
DISCOVERY,event_rows_by_server_hour,17,2194.0,rows
DISCOVERY,event_rows_by_server_hour,10,1457.0,rows
DISCOVERY,event_rows_by_server_hour,11,1355.0,rows
DISCOVERY,event_rows_by_server_hour,18,1208.0,rows
DISCOVERY,event_rows_by_server_hour,16,1179.0,rows
DISCOVERY,event_rows_by_server_hour,21,1073.0,rows
DISCOVERY,event_rows_by_server_hour,09,861.0,rows
DISCOVERY,event_rows_by_server_hour,14,499.0,rows
DISCOVERY,event_rows_by_server_hour,20,478.0,rows
DISCOVERY,event_rows_by_server_hour,19,477.0,rows
DISCOVERY,event_rows_by_server_hour,22,448.0,rows
DISCOVERY,event_rows_by_server_hour,03,362.0,rows
DISCOVERY,event_rows_by_server_hour,05,345.0,rows
DISCOVERY,event_rows_by_server_hour,04,340.0,rows
DISCOVERY,event_rows_by_server_hour,23,333.0,rows
DISCOVERY,event_rows_by_server_hour,13,243.0,rows
DISCOVERY,event_rows_by_server_hour,08,237.0,rows
DISCOVERY,event_rows_by_server_hour,02,233.0,rows
DISCOVERY,event_rows_by_server_hour,06,225.0,rows
DISCOVERY,event_rows_by_server_hour,12,220.0,rows
DISCOVERY,event_rows_by_server_hour,01,169.0,rows
DISCOVERY,event_rows_by_server_hour,07,163.0,rows
DISCOVERY,event_rows_by_server_hour,00,66.0,rows
INTERNAL_CONFIRMATION,event_rows,ALL,4885.0,rows
INTERNAL_CONFIRMATION,market_clusters,ALL,2894.0,clusters
INTERNAL_CONFIRMATION,response_episodes,ALL,1095.0,episodes
INTERNAL_CONFIRMATION,mean_mfe,ALL,0.010619621289662231,price
INTERNAL_CONFIRMATION,median_mfe,ALL,0.0003,price
INTERNAL_CONFIRMATION,mean_mae,ALL,0.0104746417604913,price
INTERNAL_CONFIRMATION,median_mae,ALL,0.00032,price
INTERNAL_CONFIRMATION,median_time_to_mfe,ALL,43384.0,ms
INTERNAL_CONFIRMATION,median_time_to_mae,ALL,53292.0,ms
INTERNAL_CONFIRMATION,origin_recross_rate,ALL,0.8661207778915047,fraction
INTERNAL_CONFIRMATION,representative_median_mfe_sigma,ALL,12.279822349247151,local_sigma
INTERNAL_CONFIRMATION,representative_median_mae_sigma,ALL,12.15168691457363,local_sigma
INTERNAL_CONFIRMATION,representative_median_mfe_shock,ALL,5.333333333333333,initial_shock
INTERNAL_CONFIRMATION,representative_median_mae_shock,ALL,5.0,initial_shock
INTERNAL_CONFIRMATION,representative_origin_recross_rate,ALL,0.8590186592950932,fraction
INTERNAL_CONFIRMATION,mean_continuation,250,-1.0345299952917095e-06,log_return
INTERNAL_CONFIRMATION,median_continuation,250,-3.317988e-06,log_return
INTERNAL_CONFIRMATION,positive_continuation_rate,250,0.4712384851586489,fraction
INTERNAL_CONFIRMATION,mean_continuation,500,-1.8503508284544527e-06,log_return
INTERNAL_CONFIRMATION,median_continuation,500,0.0,log_return
INTERNAL_CONFIRMATION,positive_continuation_rate,500,0.45445240532241554,fraction
INTERNAL_CONFIRMATION,mean_continuation,1000,-2.0539791439099285e-06,log_return
INTERNAL_CONFIRMATION,median_continuation,1000,0.0,log_return
INTERNAL_CONFIRMATION,positive_continuation_rate,1000,0.4427840327533265,fraction
INTERNAL_CONFIRMATION,mean_continuation,2000,-2.110125600409417e-06,log_return
INTERNAL_CONFIRMATION,median_continuation,2000,0.0,log_return
INTERNAL_CONFIRMATION,positive_continuation_rate,2000,0.4489252814738997,fraction
INTERNAL_CONFIRMATION,mean_continuation,3000,-5.32459411668372e-07,log_return
INTERNAL_CONFIRMATION,median_continuation,3000,0.0,log_return
INTERNAL_CONFIRMATION,positive_continuation_rate,3000,0.4607983623336745,fraction
INTERNAL_CONFIRMATION,mean_continuation,5000,-1.6978958014329558e-07,log_return
INTERNAL_CONFIRMATION,median_continuation,5000,0.0,log_return
INTERNAL_CONFIRMATION,positive_continuation_rate,5000,0.46427840327533265,fraction
INTERNAL_CONFIRMATION,mean_continuation,10000,9.067065250767664e-07,log_return
INTERNAL_CONFIRMATION,median_continuation,10000,0.0,log_return
INTERNAL_CONFIRMATION,positive_continuation_rate,10000,0.4724667349027636,fraction
INTERNAL_CONFIRMATION,mean_continuation,15000,3.456420472671445e-06,log_return
INTERNAL_CONFIRMATION,median_continuation,15000,0.0,log_return
INTERNAL_CONFIRMATION,positive_continuation_rate,15000,0.48004094165813715,fraction
INTERNAL_CONFIRMATION,mean_continuation,30000,4.358457829477994e-06,log_return
INTERNAL_CONFIRMATION,median_continuation,30000,0.0,log_return
INTERNAL_CONFIRMATION,positive_continuation_rate,30000,0.4863868986693961,fraction
INTERNAL_CONFIRMATION,mean_continuation,60000,-3.4796729185261e-06,log_return
INTERNAL_CONFIRMATION,median_continuation,60000,-3.4888e-06,log_return
INTERNAL_CONFIRMATION,positive_continuation_rate,60000,0.48085977482088027,fraction
INTERNAL_CONFIRMATION,mean_continuation,120000,-3.946845325895599e-06,log_return
INTERNAL_CONFIRMATION,median_continuation,120000,0.0,log_return
INTERNAL_CONFIRMATION,positive_continuation_rate,120000,0.4882292732855681,fraction
INTERNAL_CONFIRMATION,barrier_1sigma_result,REVERSAL_FIRST,2477.0,events
