strategy,barrier_10_result,value,label
detection_time_continuation,CONTINUATION_FIRST,163,detection_time_continuation|CONTINUATION_FIRST
detection_time_continuation,REVERSAL_FIRST,21635,detection_time_continuation|REVERSAL_FIRST
detection_time_continuation,TIMEOUT,1,detection_time_continuation|TIMEOUT
failed_shock_reversal,CONTINUATION_FIRST,110,failed_shock_reversal|CONTINUATION_FIRST
failed_shock_reversal,REVERSAL_FIRST,15714,failed_shock_reversal|REVERSAL_FIRST
failed_shock_reversal,TIMEOUT,1,failed_shock_reversal|TIMEOUT
post_burst_continuation,CONTINUATION_FIRST,157,post_burst_continuation|CONTINUATION_FIRST
post_burst_continuation,REVERSAL_FIRST,21641,post_burst_continuation|REVERSAL_FIRST
post_burst_continuation,TIMEOUT,1,post_burst_continuation|TIMEOUT
pullback_continuation,CONTINUATION_FIRST,23,pullback_continuation|CONTINUATION_FIRST
pullback_continuation,REVERSAL_FIRST,2325,pullback_continuation|REVERSAL_FIRST
