candidate_id,fold,feature_1,direction_1,threshold_1,feature_2,direction_2,threshold_2,model,hyperparameters,status
SR-CLEAN-001,0,extension_ratio,high,0.500000000003,retracement_ratio,low,0.0,EMPIRICAL_TWO_FEATURE,TRAIN_Q25_Q75,EVALUATED
SR-REV-001,0,retracement_ratio,high,0.999999999978,origin_recross,true,True,EMPIRICAL_TWO_FEATURE,TRAIN_Q25_Q75,EVALUATED
SR-WHIP-001,0,activity_ratio,high,3.0,origin_recross,true,True,EMPIRICAL_TWO_FEATURE,TRAIN_Q25_Q75,EVALUATED
SR-DEAD-001,0,realized_range,low,1e-05,activity_ratio,low,1.0,EMPIRICAL_TWO_FEATURE,TRAIN_Q25_Q75,EVALUATED
SR-CLEAN-002,0,causal_cluster_coherence_so_far,high,1.0,spread_confirmed_ratio,low,0.96296296,EMPIRICAL_TWO_FEATURE,TRAIN_Q25_Q75,EVALUATED
SR-NOTRADE-001,0,spread_confirmed_ratio,high,1.03846154,quote_age_ms,high,1887.5,EMPIRICAL_TWO_FEATURE,TRAIN_Q25_Q75,EVALUATED
SR-CLEAN-001,1,extension_ratio,high,0.500000000003,retracement_ratio,low,0.0,EMPIRICAL_TWO_FEATURE,TRAIN_Q25_Q75,EVALUATED
SR-REV-001,1,retracement_ratio,high,0.99999999998425,origin_recross,true,True,EMPIRICAL_TWO_FEATURE,TRAIN_Q25_Q75,EVALUATED
SR-WHIP-001,1,activity_ratio,high,3.0,origin_recross,true,True,EMPIRICAL_TWO_FEATURE,TRAIN_Q25_Q75,EVALUATED
SR-DEAD-001,1,realized_range,low,1.5e-05,activity_ratio,low,1.0,EMPIRICAL_TWO_FEATURE,TRAIN_Q25_Q75,EVALUATED
SR-CLEAN-002,1,causal_cluster_coherence_so_far,high,1.0,spread_confirmed_ratio,low,0.96296296,EMPIRICAL_TWO_FEATURE,TRAIN_Q25_Q75,EVALUATED
SR-NOTRADE-001,1,spread_confirmed_ratio,high,1.04166667,quote_age_ms,high,1798.25,EMPIRICAL_TWO_FEATURE,TRAIN_Q25_Q75,EVALUATED
SR-CLEAN-001,2,extension_ratio,high,0.500000000003,retracement_ratio,low,0.0,EMPIRICAL_TWO_FEATURE,TRAIN_Q25_Q75,EVALUATED
SR-REV-001,2,retracement_ratio,high,0.999999999993,origin_recross,true,True,EMPIRICAL_TWO_FEATURE,TRAIN_Q25_Q75,EVALUATED
SR-WHIP-001,2,activity_ratio,high,3.0,origin_recross,true,True,EMPIRICAL_TWO_FEATURE,TRAIN_Q25_Q75,EVALUATED
SR-DEAD-001,2,realized_range,low,1.5e-05,activity_ratio,low,1.0,EMPIRICAL_TWO_FEATURE,TRAIN_Q25_Q75,EVALUATED
SR-CLEAN-002,2,causal_cluster_coherence_so_far,high,1.0,spread_confirmed_ratio,low,0.962606835,EMPIRICAL_TWO_FEATURE,TRAIN_Q25_Q75,EVALUATED
SR-NOTRADE-001,2,spread_confirmed_ratio,high,1.04166667,quote_age_ms,high,1768.25,EMPIRICAL_TWO_FEATURE,TRAIN_Q25_Q75,EVALUATED
SR-CLEAN-001,3,extension_ratio,high,0.500000000003,retracement_ratio,low,0.0,EMPIRICAL_TWO_FEATURE,TRAIN_Q25_Q75,EVALUATED
SR-REV-001,3,retracement_ratio,high,0.999999999995,origin_recross,true,True,EMPIRICAL_TWO_FEATURE,TRAIN_Q25_Q75,EVALUATED
SR-WHIP-001,3,activity_ratio,high,3.0,origin_recross,true,True,EMPIRICAL_TWO_FEATURE,TRAIN_Q25_Q75,EVALUATED
SR-DEAD-001,3,realized_range,low,1.5e-05,activity_ratio,low,1.0,EMPIRICAL_TWO_FEATURE,TRAIN_Q25_Q75,EVALUATED
SR-CLEAN-002,3,causal_cluster_coherence_so_far,high,1.0,spread_confirmed_ratio,low,0.96,EMPIRICAL_TWO_FEATURE,TRAIN_Q25_Q75,EVALUATED
SR-NOTRADE-001,3,spread_confirmed_ratio,high,1.04545455,quote_age_ms,high,1766.25,EMPIRICAL_TWO_FEATURE,TRAIN_Q25_Q75,EVALUATED
SR-CLEAN-001,4,extension_ratio,high,0.500000000003,retracement_ratio,low,0.0,EMPIRICAL_TWO_FEATURE,TRAIN_Q25_Q75,EVALUATED
SR-REV-001,4,retracement_ratio,high,0.999999999995,origin_recross,true,True,EMPIRICAL_TWO_FEATURE,TRAIN_Q25_Q75,EVALUATED
SR-WHIP-001,4,activity_ratio,high,3.0,origin_recross,true,True,EMPIRICAL_TWO_FEATURE,TRAIN_Q25_Q75,EVALUATED
SR-DEAD-001,4,realized_range,low,1.5e-05,activity_ratio,low,1.0,EMPIRICAL_TWO_FEATURE,TRAIN_Q25_Q75,EVALUATED
SR-CLEAN-002,4,causal_cluster_coherence_so_far,high,1.0,spread_confirmed_ratio,low,0.95652174,EMPIRICAL_TWO_FEATURE,TRAIN_Q25_Q75,EVALUATED
SR-NOTRADE-001,4,spread_confirmed_ratio,high,1.04761905,quote_age_ms,high,1766.25,EMPIRICAL_TWO_FEATURE,TRAIN_Q25_Q75,EVALUATED
