cohort,horizon_seconds,episodes,market_clusters,server_days,mean_signed_log_return,median_signed_log_return,prob_positive_mid,q25_signed_log_return,q75_signed_log_return,mean_shock_exec_spread_multiple,median_shock_exec_spread_multiple,prob_positive_exec,exec_ci_low,exec_ci_high,p_raw,p_holm
ALL,5,1409,1297,21,-1.1343476870830375e-05,-6.654511e-06,0.42583392476933996,-4.8381133e-05,3.1756365e-05,-1.0529923159959202,-1.0370370370370658,0.0361958836053939,-1.100564103772848,-1.006675119464692,1.0,1.0
ALL,10,1340,1228,21,-1.3244135640298508e-05,-7.917506e-06,0.4298507462686567,-7.09430525e-05,4.7785685250000004e-05,-1.060915740600056,-1.0425724637679328,0.05895522388059701,-1.103682114654578,-1.0119340449853607,1.0,1.0
ALL,30,1306,1204,21,-7.200592361408882e-06,-6.694258499999999e-06,0.47396630934150075,-0.0001011426935,8.437294625e-05,-1.0072880156197266,-1.0363756613759794,0.11408882082695253,-1.1047712908140435,-0.9209014643518824,1.0,1.0
ALL,60,1279,1187,21,4.152347731821737e-06,0.0,0.49335418295543393,-0.000133786541,0.000126905282,-0.9447091343048079,-0.9999999999997929,0.17357310398749023,-1.0418905775468559,-0.8372024649513665,1.0,1.0
ALL,120,1244,1170,21,5.264971885048232e-06,0.0,0.4927652733118971,-0.00017096745675,0.00017044226949999999,-0.9392603936134365,-0.9999999999995526,0.22909967845659163,-1.0487520925224407,-0.8222085048987653,1.0,1.0
ALL,180,1272,1190,21,-3.9902891768867955e-06,-3.4590425e-06,0.4968553459119497,-0.00022224213125,0.00019874810500000002,-0.9734739326951686,-0.9999999999999672,0.26808176100628933,-1.1251457942803678,-0.7941019810712395,1.0,1.0
ALL,300,1204,1138,21,-1.082617385797342e-05,-2.4055292500000003e-05,0.46677740863787376,-0.00028188216775,0.00025711067474999997,-0.9888719694504302,-1.124040920716091,0.30066445182724255,-1.150309583451162,-0.8140764465923852,1.0,1.0
ALL,600,1209,1147,21,3.954970810587349e-07,9.236809e-06,0.5062034739454094,-0.000396080889,0.00038904482,-0.9306528446694546,-0.9473684210523594,0.36228287841191065,-1.110543319716675,-0.7269961122395638,0.9999999999998564,1.0
ALL,900,1185,1125,21,1.3958288871729955e-05,2.3575731e-05,0.5147679324894515,-0.000428185215,0.000437777847,-0.8682000857005506,-0.8421052631576529,0.3848101265822785,-1.1046466706063938,-0.6021242977198001,0.9999999944762168,1.0
SR-CLEAN-001,5,418,402,21,1.4129439157894738e-05,1.58967345e-05,0.6435406698564593,-7.00783225e-06,5.556199525e-05,-0.9048063380424064,-0.9200000000003057,0.04784688995215311,-1.0258696153961504,-0.81349077478849,1.0,1.0
SR-CLEAN-001,10,384,369,21,3.5815663078125e-05,3.3937914e-05,0.671875,-6.74411625e-06,9.51937155e-05,-0.7724973894394713,-0.8248081841432076,0.09635416666666667,-0.8721219533374607,-0.6675753043887277,1.0,1.0
SR-CLEAN-001,30,387,371,21,3.545728177260982e-05,3.4024021e-05,0.6227390180878553,-5.31049215e-05,0.0001081211955,-0.776029334567754,-0.8181818181818258,0.11886304909560723,-0.9592120072298962,-0.6080040576102386,1.0,1.0
SR-CLEAN-001,60,374,366,21,4.481347948128342e-05,4.0005267499999996e-05,0.6016042780748663,-7.345490875e-05,0.00015820943925,-0.7080659252846649,-0.7916666666667905,0.20320855614973263,-0.8497076615566095,-0.5682563184856729,1.0,1.0
SR-CLEAN-001,120,365,352,21,6.891718409041097e-05,4.5376881e-05,0.5616438356164384,-9.4910107e-05,0.00020351516,-0.6067624943938115,-0.809523809523642,0.2602739726027397,-0.8051066709967182,-0.41020320092371104,0.9999999953159491,1.0
SR-CLEAN-001,180,370,358,21,2.552962935675675e-05,1.5801937e-05,0.5216216216216216,-0.00019053879,0.00021861156725000002,-0.8019613024906525,-0.9498746867165573,0.2864864864864865,-1.037227025402867,-0.5416002628684916,0.9999999999926736,1.0
SR-CLEAN-001,300,368,361,21,4.61620878777174e-05,2.7770449999999998e-05,0.5244565217391305,-0.000228969265,0.00029788801099999996,-0.7093046573809675,-0.8548951048952278,0.3342391304347826,-1.001867859907353,-0.411911361268169,0.9999960058589632,1.0
SR-CLEAN-001,600,353,343,21,6.881179250991501e-05,4.8892412e-05,0.5495750708215298,-0.000343402428,0.000460717235,-0.537920379949994,-0.7499999999998447,0.3937677053824363,-0.8872279931258599,-0.17573073707826456,0.9936335507895842,1.0
SR-CLEAN-001,900,343,335,21,4.730383657434401e-05,8.5472764e-05,0.5539358600583091,-0.000367295116,0.0004839097905,-0.7212257840470855,-0.6363636363636421,0.4110787172011662,-1.1940242405949855,-0.19645888264084088,0.9954945030619278,1.0
SR-REV-001,5,647,611,21,-4.698818701236476e-05,-3.7248299e-05,0.19319938176197837,-8.50889125e-05,-4.567318e-06,-1.2529400638270285,-1.1875000000006581,0.01854714064914992,-1.3017723116722049,-1.210601664273241,1.0,1.0
SR-REV-001,10,622,581,21,-5.610296571061093e-05,-4.4394747500000004e-05,0.2282958199356913,-0.000108225688,-0.0,-1.304153155886213,-1.2094298245611843,0.03215434083601286,-1.3623250669631037,-1.244801001683829,1.0,1.0
SR-REV-001,30,610,576,21,-4.464926094262295e-05,-4.0434340499999994e-05,0.34918032786885245,-0.00014214717124999999,3.851588e-05,-1.227575812572142,-1.1846590909094252,0.08524590163934426,-1.307332744752668,-1.1404602399965262,1.0,1.0
