cohort,horizon_seconds,status,matched_controls,coverage,reuse_rate,reason
ALL,5,NOT_ESTIMABLE,0,0.0,,NO_CAUSALLY_RECORDED_15M_CONTROL_PATH;SHORT_HORIZON_CONTROLS_NOT_REPURPOSED
ALL,10,NOT_ESTIMABLE,0,0.0,,NO_CAUSALLY_RECORDED_15M_CONTROL_PATH;SHORT_HORIZON_CONTROLS_NOT_REPURPOSED
ALL,30,NOT_ESTIMABLE,0,0.0,,NO_CAUSALLY_RECORDED_15M_CONTROL_PATH;SHORT_HORIZON_CONTROLS_NOT_REPURPOSED
ALL,60,NOT_ESTIMABLE,0,0.0,,NO_CAUSALLY_RECORDED_15M_CONTROL_PATH;SHORT_HORIZON_CONTROLS_NOT_REPURPOSED
ALL,120,NOT_ESTIMABLE,0,0.0,,NO_CAUSALLY_RECORDED_15M_CONTROL_PATH;SHORT_HORIZON_CONTROLS_NOT_REPURPOSED
ALL,180,NOT_ESTIMABLE,0,0.0,,NO_CAUSALLY_RECORDED_15M_CONTROL_PATH;SHORT_HORIZON_CONTROLS_NOT_REPURPOSED
ALL,300,NOT_ESTIMABLE,0,0.0,,NO_CAUSALLY_RECORDED_15M_CONTROL_PATH;SHORT_HORIZON_CONTROLS_NOT_REPURPOSED
ALL,600,NOT_ESTIMABLE,0,0.0,,NO_CAUSALLY_RECORDED_15M_CONTROL_PATH;SHORT_HORIZON_CONTROLS_NOT_REPURPOSED
ALL,900,NOT_ESTIMABLE,0,0.0,,NO_CAUSALLY_RECORDED_15M_CONTROL_PATH;SHORT_HORIZON_CONTROLS_NOT_REPURPOSED
SR-CLEAN-001,5,NOT_ESTIMABLE,0,0.0,,NO_CAUSALLY_RECORDED_15M_CONTROL_PATH;SHORT_HORIZON_CONTROLS_NOT_REPURPOSED
SR-CLEAN-001,10,NOT_ESTIMABLE,0,0.0,,NO_CAUSALLY_RECORDED_15M_CONTROL_PATH;SHORT_HORIZON_CONTROLS_NOT_REPURPOSED
SR-CLEAN-001,30,NOT_ESTIMABLE,0,0.0,,NO_CAUSALLY_RECORDED_15M_CONTROL_PATH;SHORT_HORIZON_CONTROLS_NOT_REPURPOSED
SR-CLEAN-001,60,NOT_ESTIMABLE,0,0.0,,NO_CAUSALLY_RECORDED_15M_CONTROL_PATH;SHORT_HORIZON_CONTROLS_NOT_REPURPOSED
SR-CLEAN-001,120,NOT_ESTIMABLE,0,0.0,,NO_CAUSALLY_RECORDED_15M_CONTROL_PATH;SHORT_HORIZON_CONTROLS_NOT_REPURPOSED
SR-CLEAN-001,180,NOT_ESTIMABLE,0,0.0,,NO_CAUSALLY_RECORDED_15M_CONTROL_PATH;SHORT_HORIZON_CONTROLS_NOT_REPURPOSED
SR-CLEAN-001,300,NOT_ESTIMABLE,0,0.0,,NO_CAUSALLY_RECORDED_15M_CONTROL_PATH;SHORT_HORIZON_CONTROLS_NOT_REPURPOSED
SR-CLEAN-001,600,NOT_ESTIMABLE,0,0.0,,NO_CAUSALLY_RECORDED_15M_CONTROL_PATH;SHORT_HORIZON_CONTROLS_NOT_REPURPOSED
SR-CLEAN-001,900,NOT_ESTIMABLE,0,0.0,,NO_CAUSALLY_RECORDED_15M_CONTROL_PATH;SHORT_HORIZON_CONTROLS_NOT_REPURPOSED
SR-REV-001,5,NOT_ESTIMABLE,0,0.0,,NO_CAUSALLY_RECORDED_15M_CONTROL_PATH;SHORT_HORIZON_CONTROLS_NOT_REPURPOSED
SR-REV-001,10,NOT_ESTIMABLE,0,0.0,,NO_CAUSALLY_RECORDED_15M_CONTROL_PATH;SHORT_HORIZON_CONTROLS_NOT_REPURPOSED
SR-REV-001,30,NOT_ESTIMABLE,0,0.0,,NO_CAUSALLY_RECORDED_15M_CONTROL_PATH;SHORT_HORIZON_CONTROLS_NOT_REPURPOSED
SR-REV-001,60,NOT_ESTIMABLE,0,0.0,,NO_CAUSALLY_RECORDED_15M_CONTROL_PATH;SHORT_HORIZON_CONTROLS_NOT_REPURPOSED
SR-REV-001,120,NOT_ESTIMABLE,0,0.0,,NO_CAUSALLY_RECORDED_15M_CONTROL_PATH;SHORT_HORIZON_CONTROLS_NOT_REPURPOSED
SR-REV-001,180,NOT_ESTIMABLE,0,0.0,,NO_CAUSALLY_RECORDED_15M_CONTROL_PATH;SHORT_HORIZON_CONTROLS_NOT_REPURPOSED
SR-REV-001,300,NOT_ESTIMABLE,0,0.0,,NO_CAUSALLY_RECORDED_15M_CONTROL_PATH;SHORT_HORIZON_CONTROLS_NOT_REPURPOSED
SR-REV-001,600,NOT_ESTIMABLE,0,0.0,,NO_CAUSALLY_RECORDED_15M_CONTROL_PATH;SHORT_HORIZON_CONTROLS_NOT_REPURPOSED
SR-REV-001,900,NOT_ESTIMABLE,0,0.0,,NO_CAUSALLY_RECORDED_15M_CONTROL_PATH;SHORT_HORIZON_CONTROLS_NOT_REPURPOSED
