decision_seconds,horizon_seconds,action,matched_pairs,unique_episodes,unique_controls,shock_mean,control_mean,difference_mean,difference_ci_low,difference_ci_high,status
60,300,CONTINUATION,481,481,481,-0.8947878330905341,-0.9902802381664508,0.09549240507591678,-0.045724609015623,0.28088805316072096,DEVELOPMENT_MATCHED_DIAGNOSTIC
60,300,REVERSAL,481,481,481,-1.10845016396358,-1.0084720994023453,-0.09997806456123495,-0.28151765717770705,0.0375122391637503,DEVELOPMENT_MATCHED_DIAGNOSTIC
60,600,CONTINUATION,481,481,481,-0.9882556481090402,-1.052521596232983,0.0642659481239428,-0.13171399810331788,0.29997035748081374,DEVELOPMENT_MATCHED_DIAGNOSTIC
60,600,REVERSAL,481,481,481,-1.0310172935765027,-0.9472409573998878,-0.08377633617661498,-0.314567423421339,0.11191688664306594,DEVELOPMENT_MATCHED_DIAGNOSTIC
60,900,CONTINUATION,481,481,481,-1.016002692287186,-1.0236699354799594,0.007667243192773411,-0.32823826638907205,0.3117416269404634,DEVELOPMENT_MATCHED_DIAGNOSTIC
60,900,REVERSAL,481,481,481,-1.0001128658816347,-0.9897175878574082,-0.010395278024226373,-0.3128343790253394,0.3103192504495691,DEVELOPMENT_MATCHED_DIAGNOSTIC
120,300,CONTINUATION,390,390,390,-0.8036537886467963,-1.0129889653750368,0.20933517672824017,-0.0619379514099281,0.4587896358553529,DEVELOPMENT_MATCHED_DIAGNOSTIC
120,300,REVERSAL,390,390,390,-1.196147711121784,-0.989669627630306,-0.20647808349147792,-0.4550906468975976,0.06090337734586757,DEVELOPMENT_MATCHED_DIAGNOSTIC
120,600,CONTINUATION,390,390,390,-0.835473840575221,-1.121439393044411,0.28596555246919003,-0.20531362390714658,0.7386601969914686,DEVELOPMENT_MATCHED_DIAGNOSTIC
120,600,REVERSAL,390,390,390,-1.1773384154927775,-0.880651483975941,-0.29668693151683645,-0.7775479134623253,0.20600509469055966,DEVELOPMENT_MATCHED_DIAGNOSTIC
120,900,CONTINUATION,390,390,390,-0.9186717758898835,-1.2569609694269632,0.33828919353708,-0.24566757556716712,0.9110327430353939,DEVELOPMENT_MATCHED_DIAGNOSTIC
120,900,REVERSAL,390,390,390,-1.1095739861752785,-0.7682270571685765,-0.34134692900670166,-0.9235589838796894,0.2519395609227947,DEVELOPMENT_MATCHED_DIAGNOSTIC
