action,model,fold,train_rows,test_rows,positives,base_rate,roc_auc,pr_auc,brier,threshold,selected,selected_coverage,precision,recall,selected_stress_expectancy
CONTINUATION,ELASTIC_NET_LOGIT,0,1764,1668,105,0.06294964028776978,0.835810255004113,0.2301667144628674,0.13486713228066166,0.8250000000000001,51,0.030575539568345324,0.3137254901960784,0.1523809523809524,-0.361591993137255
CONTINUATION,ELASTIC_NET_LOGIT,1,3423,1761,136,0.07722884724588303,0.7552307692307692,0.23123009208939604,0.14680013499260613,0.875,24,0.013628620102214651,0.375,0.0661764705882353,-0.2749536912500001
CONTINUATION,ELASTIC_NET_LOGIT,2,5187,1617,93,0.0575139146567718,0.8141351282702567,0.19448933439544389,0.10107779441420356,0.5,213,0.13172541743970315,0.2112676056338028,0.4838709677419355,-0.22003682450704223
CONTINUATION,ELASTIC_NET_LOGIT,3,6810,1575,77,0.04888888888888889,0.7402163924193297,0.10317236024842398,0.10555592457274755,0.5,237,0.15047619047619049,0.11814345991561181,0.36363636363636365,-0.22223942109704642
CONTINUATION,ELASTIC_NET_LOGIT,4,8382,1605,76,0.04735202492211838,0.8159443736876528,0.18011124036095566,0.12324086729272854,0.5,333,0.20747663551401868,0.13513513513513514,0.5921052631578947,-0.35667068531531526
CONTINUATION,SHALLOW_GB,0,1764,1668,105,0.06294964028776978,0.7841879170094141,0.27991090551538433,0.054474937816208706,0.375,27,0.01618705035971223,0.6666666666666666,0.17142857142857143,0.5073304159259261
CONTINUATION,SHALLOW_GB,1,3423,1761,136,0.07722884724588303,0.7767873303167421,0.23446235308319485,0.06553788614725688,0.375,21,0.01192504258943782,0.23809523809523808,0.03676470588235294,-0.48098436380952386
CONTINUATION,SHALLOW_GB,2,5187,1617,93,0.0575139146567718,0.7884281601896537,0.17126424746924102,0.05207801566793889,0.45000000000000007,6,0.0037105751391465678,0.0,0.0,-0.8876488083333335
CONTINUATION,SHALLOW_GB,3,6810,1575,77,0.04888888888888889,0.7601650685762835,0.1766991415927321,0.0438434204314332,0.42500000000000004,0,0.0,0.0,0.0,
CONTINUATION,SHALLOW_GB,4,8382,1605,76,0.04735202492211838,0.8037718150838182,0.152372786852635,0.04301522744847076,0.42500000000000004,0,0.0,0.0,0.0,
REVERSAL,ELASTIC_NET_LOGIT,0,1764,1668,134,0.0803357314148681,0.7948393625094865,0.2157026508792329,0.15870135796587256,0.5,519,0.31115107913669066,0.2023121387283237,0.7835820895522388,-0.24294739423892098
REVERSAL,ELASTIC_NET_LOGIT,1,3423,1761,128,0.07268597387847814,0.7962626301285977,0.2969112327493663,0.15206308182000652,0.5,459,0.2606473594548552,0.17429193899782136,0.625,-0.31756167472766883
REVERSAL,ELASTIC_NET_LOGIT,2,5187,1617,58,0.035868893011750155,0.8158855145871581,0.14913293875009395,0.13334393321253524,0.875,12,0.0074211502782931356,0.4166666666666667,0.08620689655172414,-0.04608290083333333
REVERSAL,ELASTIC_NET_LOGIT,3,6810,1575,32,0.020317460317460317,0.8264541477640959,0.06362711350966337,0.11034940523557102,0.5,321,0.2038095238095238,0.06853582554517133,0.6875,-0.4461427000311527
REVERSAL,ELASTIC_NET_LOGIT,4,8382,1605,67,0.041744548286604365,0.8200997612716652,0.13971791205542802,0.1315164796435877,0.5,387,0.2411214953271028,0.12403100775193798,0.7164179104477612,-0.4118142757881137
REVERSAL,SHALLOW_GB,0,1764,1668,134,0.0803357314148681,0.8198982272470762,0.27652442542509476,0.06639231490058616,0.275,18,0.01079136690647482,0.3888888888888889,0.05223880597014925,-0.03934473611111111
REVERSAL,SHALLOW_GB,1,3423,1761,128,0.07268597387847814,0.7999583779853031,0.21109898475259994,0.06279225517627414,0.325,24,0.013628620102214651,0.25,0.046875,-0.3673540833333333
REVERSAL,SHALLOW_GB,2,5187,1617,58,0.035868893011750155,0.8445179270531508,0.18631746216821976,0.032720194145581305,0.325,0,0.0,0.0,0.0,
REVERSAL,SHALLOW_GB,3,6810,1575,32,0.020317460317460317,0.8123886098509396,0.06934721510455637,0.020359488445457635,0.325,0,0.0,0.0,0.0,
REVERSAL,SHALLOW_GB,4,8382,1605,67,0.041744548286604365,0.8359373483686897,0.1379301976129797,0.037847562328882776,0.325,0,0.0,0.0,0.0,
