episode_id,event_id,market_cluster_id,symbol,shock_direction,statistical_msc,confirmed_msc,confirmed_quote_msc,processing_msc,t0_msc,entry_quote_msc,entry_processing_msc,entry_bid,entry_ask,entry_spread,atr14_m5,spread_atr_t0,tick_activity_ratio,atr_source_msc,feature_source_msc,tick_size,broker_stop_distance,existing_sl_distance,existing_tp_distance,existing_sl_atr,existing_tp_atr,existing_risk_source,existing_continuation_result,existing_continuation_touch_msc,existing_reversal_result,existing_reversal_touch_msc,status,quote_count,duplicate_same_msc,future_reads,backdates,fallback_quotes,h30_quote_msc,h30_cont_mfe,h30_cont_mae,h30_rev_mfe,h30_rev_mae,h60_quote_msc,h60_cont_mfe,h60_cont_mae,h60_rev_mfe,h60_rev_mae,h120_quote_msc,h120_cont_mfe,h120_cont_mae,h120_rev_mfe,h120_rev_mae,h300_quote_msc,h300_cont_mfe,h300_cont_mae,h300_rev_mfe,h300_rev_mae,h600_quote_msc,h600_cont_mfe,h600_cont_mae,h600_rev_mfe,h600_rev_mae,h900_quote_msc,h900_cont_mfe,h900_cont_mae,h900_rev_mfe,h900_rev_mae,h1800_quote_msc,h1800_cont_mfe,h1800_cont_mae,h1800_rev_mfe,h1800_rev_mae,h3600_quote_msc,h3600_cont_mfe,h3600_cont_mae,h3600_rev_mfe,h3600_rev_mae,d0.10_cont_hit_ms,d0.10_rev_hit_ms,d0.20_cont_hit_ms,d0.20_rev_hit_ms,d0.30_cont_hit_ms,d0.30_rev_hit_ms,d0.40_cont_hit_ms,d0.40_rev_hit_ms,d0.50_cont_hit_ms,d0.50_rev_hit_ms,d0.75_cont_hit_ms,d0.75_rev_hit_ms,d1.00_cont_hit_ms,d1.00_rev_hit_ms,d1.50_cont_hit_ms,d1.50_rev_hit_ms,tp0.20_cont_pre_mae,tp0.20_rev_pre_mae,tp0.30_cont_pre_mae,tp0.30_rev_pre_mae,tp0.40_cont_pre_mae,tp0.40_rev_pre_mae,tp0.50_cont_pre_mae,tp0.50_rev_pre_mae,schema_version,session,path_3600_available,analysis_ready,h30_cont_mfe_atr,h30_cont_mae_atr,h60_cont_mfe_atr,h60_cont_mae_atr,h120_cont_mfe_atr,h120_cont_mae_atr,h300_cont_mfe_atr,h300_cont_mae_atr,h600_cont_mfe_atr,h600_cont_mae_atr,h900_cont_mfe_atr,h900_cont_mae_atr,h1800_cont_mfe_atr,h1800_cont_mae_atr,h3600_cont_mfe_atr,h3600_cont_mae_atr,h30_rev_mfe_atr,h30_rev_mae_atr,h60_rev_mfe_atr,h60_rev_mae_atr,h120_rev_mfe_atr,h120_rev_mae_atr,h300_rev_mfe_atr,h300_rev_mae_atr,h600_rev_mfe_atr,h600_rev_mae_atr,h900_rev_mfe_atr,h900_rev_mae_atr,h1800_rev_mfe_atr,h1800_rev_mae_atr,h3600_rev_mfe_atr,h3600_rev_mae_atr,past_count,high_movement,q30_spread,q70_activity,q70_atr
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_1,ts15j_post_shock_excursion_r2_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999587250_1,1,USDJPY,LONG,1740999587000,1740999587250,1740999587179,1740999587465,1740999587465,1740999587677,1740999588575,150.1130000000,150.1290000000,0.0160000000,0.0901722664,0.188528032749,2.000000000000,1740999587465,1740999587465,0.0010000000,0.0000000000,0.0640000000,0.0770000000,0.709752593879,0.853921089511,ENTRY_SPREAD,SL_FIRST,1740999732877,TP_FIRST,1740999946418,COMPLETE_3600S,6186,0,0,0,0,1740999618579,0.0000000000,0.0420000000,0.0090000000,0.0180000000,1740999647471,0.0000000000,0.0420000000,0.0090000000,0.0230000000,1740999709018,0.0000000000,0.0420000000,0.0090000000,0.0300000000,1740999888353,0.0000000000,0.0710000000,0.0370000000,0.0300000000,1741000188064,0.0000000000,0.1350000000,0.1000000000,0.0300000000,1741000487586,0.0000000000,0.1910000000,0.1570000000,0.0300000000,1741001388670,0.0000000000,0.1910000000,0.1570000000,0.0300000000,1741003187600,0.2330000000,0.1910000000,0.1570000000,0.2660000000,1826717,137101,1842943,140909,1905272,145200,1905272,149819,2145721,336924,2169301,346969,2339361,388610,2748255,797247,0.1910000000,0.0300000000,0.1910000000,0.0300000000,0.1910000000,0.0300000000,0.1910000000,0.0300000000,tickshock-post-shock-excursion-v1,LONDON,TRUE,TRUE,0.0,0.46577513992705855,0.0,0.46577513992705855,0.0,0.46577513992705855,0.0,0.7873817841624083,0.0,1.497134378336974,0.0,2.1181678982397187,0.0,2.1181678982397187,2.583943038166777,2.1181678982397187,0.09980895855579824,0.1996179171115965,0.09980895855579824,0.25506733853148444,0.09980895855579824,0.3326965285193275,0.4103257185071706,0.3326965285193275,1.1089884283977585,0.3326965285193275,1.7411118325844805,0.3326965285193275,1.7411118325844805,0.3326965285193275,1.7411118325844805,2.9499092195380374,0,NOT_READY,nan,nan,nan
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_2,ts15j_post_shock_excursion_r2_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741001029000_9,8,USDJPY,LONG,1741001028750,1741001029000,1741001028866,1741001029236,1741001029236,1741001029316,1741001029497,150.1010000000,150.1180000000,0.0170000000,0.0913767326,0.164155574145,1.000000000000,1741001029236,1741001029236,0.0010000000,0.0000000000,0.0680000000,0.0820000000,0.744171936127,0.897383805329,ENTRY_SPREAD,TP_FIRST,1741001756978,SL_FIRST,1741001430620,COMPLETE_3600S,6106,0,0,0,0,1741001059494,0.0000000000,0.0340000000,0.0000000000,0.0200000000,1741001089733,0.0000000000,0.0370000000,0.0030000000,0.0200000000,1741001149613,0.0000000000,0.0440000000,0.0070000000,0.0200000000,1741001334406,0.0000000000,0.0440000000,0.0110000000,0.0200000000,1741001629798,0.0540000000,0.0440000000,0.0110000000,0.0890000000,1741001929308,0.1070000000,0.0440000000,0.0110000000,0.1440000000,1741002830031,0.2440000000,0.0440000000,0.0110000000,0.2770000000,1741004630568,0.3820000000,0.0440000000,0.0110000000,0.4150000000,376858,137373,385078,,401304,,431915,,463633,,725582,,729133,,1298667,,0.0440000000,,0.0440000000,,0.0440000000,,0.0440000000,,tickshock-post-shock-excursion-v1,LONDON,TRUE,TRUE,0.0,0.37208596797649124,0.0,0.4049170827979463,0.0,0.48152301738134157,0.0,0.48152301738134157,0.590960066786192,0.48152301738134157,1.1709764286318989,0.48152301738134157,2.670264005478349,0.48152301738134157,4.180495287265284,0.48152301738134157,0.0,0.2188740988097007,0.03283111482145511,0.2188740988097007,0.07660593458339525,0.2188740988097007,0.12038075434533539,0.2188740988097007,0.12038075434533539,0.9739897397031682,0.12038075434533539,1.5758935114298451,0.12038075434533539,3.0314062685143552,0.12038075434533539,4.54163755030129,1,NOT_READY,nan,nan,nan
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_3,ts15j_post_shock_excursion_r2_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741002078000_12,11,USDJPY,SHORT,1741002077750,1741002078000,1741002077659,1741002079487,1741002079487,1741002079796,1741002080390,150.2110000000,150.2260000000,0.0150000000,0.0855756809,0.175283443081,1.000000000000,1741002079487,1741002079487,0.0010000000,0.0000000000,0.0600000000,0.0720000000,0.701133772323,0.841360526787,ENTRY_SPREAD,SL_FIRST,1741002327983,TP_FIRST,1741002364091,COMPLETE_3600S,6544,0,0,0,0,1741002110787,0.0000000000,0.0260000000,0.0000000000,0.0150000000,1741002140480,0.0000000000,0.0290000000,0.0000000000,0.0250000000,1741002200201,0.0000000000,0.0290000000,0.0000000000,0.0250000000,1741002379495,0.0000000000,0.1170000000,0.0830000000,0.0250000000,1741002680775,0.0000000000,0.1640000000,0.1310000000,0.0250000000,1741002981540,0.0000000000,0.1670000000,0.1360000000,0.0250000000,1741003879853,0.0000000000,0.2440000000,0.2100000000,0.0250000000,1741005680915,0.0000000000,0.5820000000,0.5490000000,0.0250000000,,170530,,243287,,248187,,254262,,258881,,284295,,301953,,591323,,0.0250000000,,0.0250000000,,0.0250000000,,0.0250000000,tickshock-post-shock-excursion-v1,LONDON,TRUE,TRUE,0.0,0.30382463483267474,0.0,0.33888132346721417,0.0,0.33888132346721417,0.0,1.3672108567470365,0.0,1.9164323120214868,0.0,1.9514890006560264,0.0,2.8512773422758704,0.0,6.800997595100641,0.0,0.17528344317269695,0.0,0.29213907195449496,0.0,0.29213907195449496,0.9699017188889233,0.29213907195449496,1.5308087370415535,0.29213907195449496,1.5892365514324527,0.29213907195449496,2.4539682044177575,0.29213907195449496,6.4153740201207095,0.29213907195449496,2,NOT_READY,nan,nan,nan
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_4,ts15j_post_shock_excursion_r2_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741013614250_15,13,USDJPY,SHORT,1741013614000,1741013614250,1741013614060,1741013614311,1741013614311,1741013614519,1741013614737,151.2470000000,151.2670000000,0.0200000000,0.0882135907,0.226722434165,1.000000000000,1741013614311,1741013614311,0.0010000000,0.0000000000,0.0800000000,0.0960000000,0.906889736662,1.088267683995,ENTRY_SPREAD,TP_FIRST,1741015246963,SL_FIRST,1741015138270,COMPLETE_3600S,7357,0,0,0,0,1741013644328,0.0080000000,0.0240000000,0.0000000000,0.0470000000,1741013675242,0.0080000000,0.0240000000,0.0000000000,0.0470000000,1741013734328,0.0160000000,0.0240000000,0.0000000000,0.0510000000,1741013914621,0.0180000000,0.0660000000,0.0280000000,0.0540000000,1741014214352,0.0340000000,0.0660000000,0.0280000000,0.0730000000,1741014514378,0.0340000000,0.0660000000,0.0280000000,0.0730000000,1741015415735,0.1300000000,0.0660000000,0.0280000000,0.1650000000,1741017214435,0.2820000000,0.0660000000,0.0280000000,0.3200000000,116450,196924,154815,201205,402472,250019,1522637,,1525436,,1598167,,1632216,,2107462,,0.0240000000,0.0540000000,0.0660000000,0.0540000000,0.0660000000,,0.0660000000,,tickshock-post-shock-excursion-v1,OVERLAP,TRUE,TRUE,0.09068897362093209,0.27206692086279627,0.09068897362093209,0.27206692086279627,0.18137794724186418,0.27206692086279627,0.20405019064709717,0.7481840323726898,0.3854281378889614,0.7481840323726898,0.3854281378889614,0.7481840323726898,1.4736958213401465,0.7481840323726898,3.1967863201378557,0.7481840323726898,0.0,0.532797720022976,0.0,0.532797720022976,0.0,0.5781422068334421,0.3174114076732623,0.6121505719412916,0.3174114076732623,0.8275368842910052,0.3174114076732623,0.8275368842910052,0.3174114076732623,1.8704600809317244,0.3174114076732623,3.6275589448372836,3,NOT_READY,nan,nan,nan
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_5,ts15j_post_shock_excursion_r2_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014606000_22,18,USDJPY,SHORT,1741014605750,1741014606000,1741014605919,1741014606129,1741014606129,1741014606591,1741014607059,151.2780000000,151.2960000000,0.0180000000,0.0850114630,0.235262390430,1.000000000000,1741014606129,1741014606129,0.0010000000,0.0000000000,0.0720000000,0.0870000000,0.846944605546,1.023391398368,ENTRY_SPREAD,TP_FIRST,1741015145937,SL_FIRST,1741014637734,COMPLETE_3600S,7527,0,0,0,0,1741014636194,0.0290000000,0.0160000000,0.0000000000,0.0660000000,1741014666618,0.0550000000,0.0160000000,0.0000000000,0.0890000000,1741014726256,0.0550000000,0.0170000000,0.0000000000,0.0890000000,1741014906394,0.0560000000,0.0170000000,0.0000000000,0.0920000000,1741015206253,0.0960000000,0.0260000000,0.0000000000,0.1330000000,1741015507395,0.1610000000,0.0260000000,0.0000000000,0.1940000000,1741016406279,0.2590000000,0.0260000000,0.0000000000,0.2950000000,1741018206468,0.3910000000,0.0260000000,0.0000000000,0.4280000000,6214,,24271,,29357,,30285,,46966,,530565,,536606,,640372,,0.0160000000,,0.0160000000,,0.0160000000,,0.0160000000,,tickshock-post-shock-excursion-v1,OVERLAP,TRUE,TRUE,0.34113046613490233,0.18820991235029094,0.6469715737041251,0.18820991235029094,0.6469715737041251,0.19997303187218413,0.6587346932260183,0.19997303187218413,1.1292594741017457,0.3058411075692228,1.8938622430248027,0.3058411075692228,3.0466479561703346,0.3058411075692228,4.599379733060235,0.3058411075692228,0.0,0.7763658884449501,0.0,1.0469176374484932,0.0,1.0469176374484932,0.0,1.082206996014173,0.0,1.5644948964117935,0.0,2.282045187247278,0.0,3.470120258958489,0.0,5.0346151553702825,4,NOT_READY,nan,nan,nan
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_6,ts15j_post_shock_excursion_r2_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741015603500_39,32,USDJPY,SHORT,1741015603250,1741015603500,1741015603106,1741015605674,1741015605674,1741015605832,1741015606105,151.1540000000,151.1710000000,0.0170000000,0.0895813354,0.212097753672,1.000000000000,1741015605674,1741015605674,0.0010000000,0.0000000000,0.0680000000,0.0820000000,0.759086697352,0.915369252689,ENTRY_SPREAD,TP_FIRST,1741015835595,SL_FIRST,1741015721047,COMPLETE_3600S,7397,0,0,0,0,1741015636207,0.0000000000,0.0170000000,0.0000000000,0.0350000000,1741015665885,0.0060000000,0.0290000000,0.0000000000,0.0390000000,1741015725691,0.0520000000,0.0290000000,0.0000000000,0.0890000000,1741015906639,0.1100000000,0.0290000000,0.0000000000,0.1460000000,1741016205739,0.1350000000,0.0290000000,0.0000000000,0.1700000000,1741016505993,0.1350000000,0.0290000000,0.0000000000,0.1700000000,1741017405694,0.2020000000,0.0290000000,0.0000000000,0.2370000000,1741019205987,0.3040000000,0.0290000000,0.0000000000,0.3400000000,109530,,111418,,112583,,115215,,118450,,225681,,235662,,451865,,0.0290000000,,0.0290000000,,0.0290000000,,0.0290000000,,tickshock-post-shock-excursion-v1,OVERLAP,TRUE,TRUE,0.0,0.18977167424543662,0.06697823796897763,0.3237281501833919,0.5804780623978061,0.3237281501833919,1.2279343627645898,0.3237281501833919,1.5070103543019968,0.3237281501833919,1.5070103543019968,0.3237281501833919,2.254934011622247,0.3237281501833919,3.3935640570948666,0.3237281501833919,0.0,0.3907063881523695,0.0,0.43535854679835456,0.0,0.9935105298731681,0.0,1.6298037905784555,0.0,1.8977167424543664,0.0,1.8977167424543664,0.0,2.6456403997746163,0.0,3.795433484908733,5,NOT_READY,nan,nan,nan
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_7,ts15j_post_shock_excursion_r2_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741016712500_47,39,USDJPY,LONG,1741016712250,1741016712500,1741016712315,1741016712702,1741016712702,1741016712778,1741016715201,151.0630000000,151.0820000000,0.0190000000,0.0883069039,0.215158715424,1.000000000000,1741016712702,1741016712702,0.0010000000,0.0000000000,0.0760000000,0.0920000000,0.860634861697,1.041821148371,ENTRY_SPREAD,SL_FIRST,1741016963261,TP_FIRST,1741017052153,COMPLETE_3600S,7773,0,0,0,0,1741016742791,0.0000000000,0.0280000000,0.0000000000,0.0260000000,1741016773384,0.0000000000,0.0440000000,0.0060000000,0.0260000000,1741016833545,0.0000000000,0.0440000000,0.0080000000,0.0260000000,1741017013065,0.0000000000,0.0950000000,0.0570000000,0.0260000000,1741017313394,0.0000000000,0.1480000000,0.1110000000,0.0260000000,1741017612874,0.0000000000,0.1570000000,0.1230000000,0.0260000000,1741018512790,0.0000000000,0.2140000000,0.1760000000,0.0260000000,1741020312996,0.0000000000,0.3750000000,0.3370000000,0.0260000000,,130885,,166244,,166244,,217624,,250483,,329300,,339375,,963534,,0.0260000000,,0.0260000000,,0.0260000000,,0.0260000000,tickshock-post-shock-excursion-v1,OVERLAP,TRUE,TRUE,0.0,0.31707600157409666,0.0,0.4982622881878661,0.0,0.4982622881878661,0.0,1.0757935767692566,0.0,1.675973151177368,0.0,1.7778904373976132,0.0,2.4233665834591673,0.0,4.246553592510223,0.0,0.2944277157473754,0.06794485748016357,0.2944277157473754,0.09059314330688475,0.2944277157473754,0.6454761460615539,0.2944277157473754,1.256979863383026,0.2944277157473754,1.3928695783433531,0.2944277157473754,1.9930491527514644,0.2944277157473754,3.8162361618025207,0.2944277157473754,6,NOT_READY,nan,nan,nan
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_8,ts15j_post_shock_excursion_r2_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741022591750_55,45,USDJPY,LONG,1741022591500,1741022591750,1741022591682,1741022592919,1741022592919,1741022593367,1741022593606,150.2660000000,150.2820000000,0.0160000000,0.1149955635,0.130439814769,1.000000000000,1741022592919,1741022592919,0.0010000000,0.0000000000,0.0640000000,0.0770000000,0.556543209681,0.669591049148,ENTRY_SPREAD,SL_FIRST,1741022725867,TP_FIRST,1741023199517,COMPLETE_3600S,10671,0,0,0,0,1741022623009,0.0200000000,0.0180000000,0.0000000000,0.0540000000,1741022652962,0.0200000000,0.0500000000,0.0130000000,0.0540000000,1741022713364,0.0200000000,0.0610000000,0.0270000000,0.0540000000,1741022892992,0.0200000000,0.0830000000,0.0480000000,0.0540000000,1741023193190,0.0210000000,0.1040000000,0.0700000000,0.0550000000,1741023493710,0.0210000000,0.1860000000,0.1500000000,0.0550000000,1741024393289,0.0210000000,0.2100000000,0.1760000000,0.0550000000,1741026192980,0.0860000000,0.2100000000,0.1760000000,0.1170000000,21644,53548,1895795,90403,2244489,133862,2244489,142500,2284848,596274,,613098,,633586,,918921,0.2100000000,0.0540000000,0.2100000000,0.0540000000,0.2100000000,0.0540000000,0.2100000000,0.0550000000,tickshock-post-shock-excursion-v1,NEW_YORK,TRUE,TRUE,0.17391975299986248,0.15652777769987622,0.17391975299986248,0.4347993824996562,0.17391975299986248,0.5304552466495805,0.17391975299986248,0.7217669749494293,0.1826157406498556,0.9043827155992848,0.1826157406498556,1.617453702898721,0.1826157406498556,1.826157406498556,0.7478549378994086,1.826157406498556,0.0,0.4695833330996287,0.1130478394499106,0.4695833330996287,0.23479166654981434,0.4695833330996287,0.41740740719966996,0.4695833330996287,0.6087191354995187,0.4782793207496218,1.3043981474989685,0.4782793207496218,1.5304938263987897,0.4782793207496218,1.5304938263987897,1.0174305550491956,7,NOT_READY,nan,nan,nan
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_9,ts15j_post_shock_excursion_r2_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741024235000_79,64,USDJPY,SHORT,1741024234750,1741024235000,1741024234502,1741024235142,1741024235142,1741024235302,1741024235392,150.1940000000,150.2130000000,0.0190000000,0.1223830080,0.147079241601,1.000000000000,1741024235142,1741024235142,0.0010000000,0.0000000000,0.0760000000,0.0920000000,0.621001242314,0.751738345959,ENTRY_SPREAD,SL_FIRST,1741024444139,TP_FIRST,1741024489162,COMPLETE_3600S,10283,0,0,0,0,1741024265470,0.0110000000,0.0210000000,0.0000000000,0.0480000000,1741024295265,0.0110000000,0.0290000000,0.0000000000,0.0480000000,1741024355444,0.0180000000,0.0430000000,0.0050000000,0.0560000000,1741024535394,0.0180000000,0.1380000000,0.1010000000,0.0560000000,1741024835410,0.0180000000,0.1380000000,0.1010000000,0.0560000000,1741025135147,0.0180000000,0.1890000000,0.1550000000,0.0560000000,1741026035900,0.0190000000,0.1890000000,0.1550000000,0.0560000000,1741027835734,0.1340000000,0.1890000000,0.1550000000,0.1690000000,97265,205576,2507094,206090,2818618,208837,3025866,210141,3032571,217780,3032571,253860,3039706,642913,,,0.1890000000,0.0560000000,0.1890000000,0.0560000000,0.1890000000,0.0560000000,0.1890000000,0.0560000000,tickshock-post-shock-excursion-v1,NEW_YORK,TRUE,TRUE,0.08988175874873086,0.1715924485203044,0.08988175874873086,0.2369610003375632,0.14707924158883232,0.3513559660177661,0.14707924158883232,1.1276075188477146,0.14707924158883232,1.1276075188477146,0.14707924158883232,1.5443320366827396,0.15525031056598967,1.5443320366827396,1.0949232429390852,1.5443320366827396,0.0,0.3922113109035529,0.0,0.3922113109035529,0.04085534488578676,0.4575798627208117,0.8252779666928926,0.4575798627208117,0.8252779666928926,0.4575798627208117,1.2665156914593896,0.4575798627208117,1.2665156914593896,0.4575798627208117,1.2665156914593896,1.3809106571395926,8,NOT_READY,nan,nan,nan
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_10,ts15j_post_shock_excursion_r2_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741025468250_94,72,USDJPY,SHORT,1741025468000,1741025468250,1741025468142,1741025468589,1741025468589,1741025468792,1741025473964,150.2700000000,150.2890000000,0.0190000000,0.1234901243,0.153858457177,1.000000000000,1741025468589,1741025468589,0.0010000000,0.0000000000,0.0760000000,0.0920000000,0.615433828708,0.744998845278,ENTRY_SPREAD,SL_FIRST,1741025620383,SL_FIRST,1741025874640,COMPLETE_3600S,9343,0,0,0,0,1741025499247,0.0010000000,0.0430000000,0.0060000000,0.0380000000,1741025528818,0.0010000000,0.0430000000,0.0060000000,0.0380000000,1741025588784,0.0140000000,0.0430000000,0.0060000000,0.0530000000,1741025768620,0.0140000000,0.0820000000,0.0470000000,0.0530000000,1741026068642,0.0950000000,0.0820000000,0.0470000000,0.1320000000,1741026368879,0.0950000000,0.0820000000,0.0470000000,0.1320000000,1741027268787,0.1770000000,0.0820000000,0.0470000000,0.2130000000,1741029068604,0.2100000000,0.0820000000,0.0470000000,0.2450000000,75249,138060,387761,149601,405848,151141,410614,,411566,,424590,,1792168,,1802435,,0.0820000000,0.0530000000,0.0820000000,0.0530000000,0.0820000000,,0.0820000000,,tickshock-post-shock-excursion-v1,NEW_YORK,TRUE,TRUE,0.008097813535037473,0.3482059820066113,0.008097813535037473,0.3482059820066113,0.11336938949052462,0.3482059820066113,0.11336938949052462,0.6640207098730728,0.7692922858285599,0.6640207098730728,0.7692922858285599,0.6640207098730728,1.4333129957016326,0.6640207098730728,1.7005408423578694,0.6640207098730728,0.04858688121022484,0.30771691433142395,0.04858688121022484,0.30771691433142395,0.04858688121022484,0.4291841173569861,0.3805972361467612,0.4291841173569861,0.3805972361467612,1.0689113866249464,0.3805972361467612,1.0689113866249464,0.3805972361467612,1.7248342829629817,0.3805972361467612,1.983964316084181,9,NOT_READY,nan,nan,nan
