check,actual,expected,status
episode_count,3151,3151,PASS
analysis_ready_count,2732,2732,PASS
duplicate_episode_id,0,0,PASS
entry_before_t0,0,0,PASS
cont_mfe_atr_3600_median,1.0829606713931956,1.0829606713931956,PASS
cont_mae_atr_3600_median,2.074120271367386,2.074120271367386,PASS
rev_mfe_atr_3600_median,1.1021393675164135,1.1021393675164135,PASS
rev_mae_atr_3600_median,2.0603047318529155,2.0603047318529155,PASS
cont_040_hit_count,1927,1927,PASS
rev_040_hit_count,1932,1932,PASS
dominant_ATR14_M5,0,0,PASS
dominant_ENTRY_SPREAD,2732,2732,PASS
dominant_BROKER_STOP,0,0,PASS
symbol_count_AUDUSD,507,507,PASS
symbol_count_EURUSD,248,248,PASS
symbol_count_USDCAD,646,646,PASS
symbol_count_USDCHF,313,313,PASS
symbol_count_USDJPY,1018,1018,PASS
high_movement_AUDUSD,36,36,PASS
high_movement_EURUSD,5,5,PASS
high_movement_USDCAD,47,47,PASS
high_movement_USDCHF,5,5,PASS
high_movement_USDJPY,92,92,PASS
