population,tp_atr,max_hold_seconds,max_pre_tp_mae_atr,episodes,clusters,clean_continuation_rate,clean_reversal_rate,either_clean_rate,either_clean_ci_low,either_clean_ci_high,noisy_rate,insufficient_rate
HIGH_MOVEMENT,0.3,600,0.15,185,183,0.04864864864864865,0.02702702702702703,0.07567567567567568,0.0427807486631016,0.11475409836065574,0.9243243243243243,0.0
UNSELECTED,0.3,600,0.15,1598,1522,0.0018773466833541927,0.004380475594493116,0.006257822277847309,0.0025252126947710547,0.01059190031152648,0.9831038798498123,0.010638297872340425
HIGH_MOVEMENT,0.3,600,0.2,185,183,0.08648648648648649,0.08648648648648649,0.17297297297297298,0.11890293519325779,0.22705787309048164,0.827027027027027,0.0
UNSELECTED,0.3,600,0.2,1598,1522,0.009386733416770964,0.014392991239048811,0.023779724655819776,0.01697045883092395,0.031310176939352244,0.9655819774718398,0.010638297872340425
HIGH_MOVEMENT,0.3,600,0.25,185,183,0.12972972972972974,0.12432432432432433,0.25405405405405407,0.1945945945945946,0.3191489361702128,0.745945945945946,0.0
UNSELECTED,0.3,600,0.25,1598,1522,0.028785982478097622,0.031914893617021274,0.0607008760951189,0.04981242555724062,0.07223806377375132,0.9286608260325406,0.010638297872340425
HIGH_MOVEMENT,0.3,600,0.3,185,183,0.16216216216216217,0.15675675675675677,0.31891891891891894,0.2554347826086957,0.3837837837837838,0.6810810810810811,0.0
UNSELECTED,0.3,600,0.3,1598,1522,0.05131414267834793,0.05319148936170213,0.10450563204005006,0.09050743385360845,0.11955219061308012,0.8848560700876095,0.010638297872340425
HIGH_MOVEMENT,0.3,600,0.4,185,183,0.24324324324324326,0.22702702702702704,0.4702702702702703,0.39782170406732115,0.5405516171909615,0.5297297297297298,0.0
UNSELECTED,0.3,600,0.4,1598,1522,0.10200250312891114,0.11389236545682102,0.21589486858573217,0.1963610688445421,0.23635634637956854,0.7734668335419274,0.010638297872340425
HIGH_MOVEMENT,0.3,900,0.15,185,183,0.04864864864864865,0.02702702702702703,0.07567567567567568,0.0427807486631016,0.11475409836065574,0.9243243243243243,0.0
UNSELECTED,0.3,900,0.15,1598,1522,0.0018773466833541927,0.004380475594493116,0.006257822277847309,0.0025252126947710547,0.01059190031152648,0.9831038798498123,0.010638297872340425
HIGH_MOVEMENT,0.3,900,0.2,185,183,0.08648648648648649,0.08648648648648649,0.17297297297297298,0.11890293519325779,0.22705787309048164,0.827027027027027,0.0
UNSELECTED,0.3,900,0.2,1598,1522,0.009386733416770964,0.014392991239048811,0.023779724655819776,0.01697045883092395,0.031310176939352244,0.9655819774718398,0.010638297872340425
HIGH_MOVEMENT,0.3,900,0.25,185,183,0.12972972972972974,0.12432432432432433,0.25405405405405407,0.1945945945945946,0.3191489361702128,0.745945945945946,0.0
UNSELECTED,0.3,900,0.25,1598,1522,0.028785982478097622,0.031914893617021274,0.0607008760951189,0.04981242555724062,0.07223806377375132,0.9286608260325406,0.010638297872340425
HIGH_MOVEMENT,0.3,900,0.3,185,183,0.16216216216216217,0.15675675675675677,0.31891891891891894,0.2554347826086957,0.3837837837837838,0.6810810810810811,0.0
UNSELECTED,0.3,900,0.3,1598,1522,0.05131414267834793,0.05319148936170213,0.10450563204005006,0.09050743385360845,0.11955219061308012,0.8848560700876095,0.010638297872340425
HIGH_MOVEMENT,0.3,900,0.4,185,183,0.24864864864864866,0.23243243243243245,0.4810810810810811,0.41075559430398145,0.5519588401198657,0.518918918918919,0.0
UNSELECTED,0.3,900,0.4,1598,1522,0.1032540675844806,0.11389236545682102,0.21714643304130163,0.19774390588612176,0.23758642363293525,0.772215269086358,0.010638297872340425
HIGH_MOVEMENT,0.3,1800,0.15,185,183,0.04864864864864865,0.02702702702702703,0.07567567567567568,0.0427807486631016,0.11475409836065574,0.9243243243243243,0.0
UNSELECTED,0.3,1800,0.15,1598,1522,0.0018773466833541927,0.004380475594493116,0.006257822277847309,0.0025252126947710547,0.01059190031152648,0.9831038798498123,0.010638297872340425
HIGH_MOVEMENT,0.3,1800,0.2,185,183,0.08648648648648649,0.08648648648648649,0.17297297297297298,0.11890293519325779,0.22705787309048164,0.827027027027027,0.0
