k,cluster,episodes,market_clusters,clean_count,clean_rate,symbol_distribution
2,0,408,367,20,0.049019607843137254,AUDUSD:108;EURUSD:75;USDCAD:107;USDCHF:49;USDJPY:69
2,1,2288,2203,168,0.07342657342657342,AUDUSD:392;EURUSD:173;USDCAD:524;USDCHF:262;USDJPY:937
3,0,889,875,146,0.16422947131608548,AUDUSD:86;EURUSD:54;USDCAD:152;USDCHF:36;USDJPY:561
3,1,1560,1508,32,0.020512820512820513,AUDUSD:343;EURUSD:143;USDCAD:417;USDCHF:247;USDJPY:410
3,2,247,217,10,0.04048582995951417,AUDUSD:71;EURUSD:51;USDCAD:62;USDCHF:28;USDJPY:35
4,0,842,832,144,0.171021377672209,AUDUSD:74;EURUSD:49;USDCAD:139;USDCHF:31;USDJPY:549
4,1,4,4,0,0.0,AUDUSD:3;USDCAD:1
4,2,343,310,12,0.03498542274052478,AUDUSD:88;EURUSD:69;USDCAD:88;USDCHF:41;USDJPY:57
4,3,1507,1461,32,0.021234240212342402,AUDUSD:335;EURUSD:130;USDCAD:403;USDCHF:239;USDJPY:400
5,0,711,694,32,0.0450070323488045,AUDUSD:140;EURUSD:65;USDCAD:181;USDCHF:110;USDJPY:215
5,1,260,231,10,0.038461538461538464,AUDUSD:71;EURUSD:53;USDCAD:65;USDCHF:34;USDJPY:37
5,2,4,4,0,0.0,AUDUSD:3;USDCAD:1
5,3,646,637,124,0.19195046439628483,AUDUSD:52;EURUSD:35;USDCAD:96;USDCHF:13;USDJPY:450
5,4,1075,1046,22,0.020465116279069766,AUDUSD:234;EURUSD:95;USDCAD:288;USDCHF:154;USDJPY:304
