episodes,positives,positive_rate,average_precision,roc_auc,recall,precision,f2,balanced_accuracy,accuracy,selected,symbol,model,with_symbol,train_episodes,train_clusters,test_clusters,cluster_overlap
500,0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0,AUDUSD,LOGISTIC,False,2078,2037,500,0
500,0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0,AUDUSD,LOGISTIC,True,2078,2037,500,0
500,0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0,AUDUSD,LIGHTGBM,False,2078,2037,500,0
500,0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0,AUDUSD,LIGHTGBM,True,2078,2037,500,0
248,22,0.08870967741935484,0.25203001257552066,0.7723250201126308,0.5,0.20754716981132076,0.3900709219858156,0.6570796460176991,0.7862903225806451,53,EURUSD,LOGISTIC,False,2362,2289,248,0
248,22,0.08870967741935484,0.25202413815562724,0.7689058728881738,0.3181818181818182,0.22580645161290322,0.29411764705882354,0.6059935639581657,0.842741935483871,31,EURUSD,LOGISTIC,True,2362,2289,248,0
248,22,0.08870967741935484,0.27089783860628036,0.8026950925181013,0.36363636363636365,0.2857142857142857,0.3448275862068966,0.6375703942075623,0.8629032258064516,28,EURUSD,LIGHTGBM,False,2362,2289,248,0
248,22,0.08870967741935484,0.28344767866136517,0.8028962188254223,0.3181818181818182,0.2413793103448276,0.29914529914529914,0.6104183427192277,0.8508064516129032,29,EURUSD,LIGHTGBM,True,2362,2289,248,0
631,10,0.01584786053882726,0.2691772816400619,0.962157809983897,0.6,0.2222222222222222,0.44776119402985076,0.7830917874396135,0.9603803486529319,27,USDCAD,LOGISTIC,False,1974,1906,631,0
631,10,0.01584786053882726,0.2220294909768594,0.9552334943639292,0.1,0.2,0.1111111111111111,0.5467793880837359,0.9793977812995246,5,USDCAD,LOGISTIC,True,1974,1906,631,0
631,10,0.01584786053882726,0.2626731248054777,0.962157809983897,0.2,0.2857142857142857,0.2127659574468085,0.5959742351046698,0.9793977812995246,7,USDCAD,LIGHTGBM,False,1974,1906,631,0
631,10,0.01584786053882726,0.2783693872266665,0.9611916264090177,0.2,0.18181818181818182,0.19607843137254902,0.5927536231884059,0.9730586370839936,11,USDCAD,LIGHTGBM,True,1974,1906,631,0
311,0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0,USDCHF,LOGISTIC,False,2340,2226,311,0
311,0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0,USDCHF,LOGISTIC,True,2340,2226,311,0
311,0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0,USDCHF,LIGHTGBM,False,2340,2226,311,0
311,0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0,USDCHF,LIGHTGBM,True,2340,2226,311,0
1006,156,0.1550695825049702,0.1550695825049702,0.5,1.0,0.1550695825049702,0.4785276073619632,0.5,0.1550695825049702,1006,USDJPY,LOGISTIC,False,1630,1531,1006,0
1006,156,0.1550695825049702,0.1550695825049702,0.5,1.0,0.1550695825049702,0.4785276073619632,0.5,0.1550695825049702,1006,USDJPY,LOGISTIC,True,1630,1531,1006,0
1006,156,0.1550695825049702,0.27575839638892313,0.7399095022624435,0.6858974358974359,0.2772020725388601,0.5297029702970297,0.6788310708898944,0.6739562624254473,386,USDJPY,LIGHTGBM,False,1630,1531,1006,0
1006,156,0.1550695825049702,0.2838841667291322,0.7441251885369533,0.7307692307692307,0.26823529411764707,0.5433746425166825,0.6824434389140271,0.6491053677932406,425,USDJPY,LIGHTGBM,True,1630,1531,1006,0
