evaluation_scope,frontier_type,frontier_value,selected,clusters,clean_captured,clean_total,recall,precision,enrichment,symbol_distribution,model,feature_group,with_symbol
WALK_FORWARD_OOF,TOP_COUNT,100,100,100,18,50,0.36,0.18,5.832,EURUSD:9;USDCAD:2;USDJPY:89,LOGISTIC,E_FULL,False
WALK_FORWARD_OOF,TOP_COUNT,200,200,200,28,50,0.56,0.14,4.5360000000000005,EURUSD:19;USDCAD:2;USDJPY:179,LOGISTIC,E_FULL,False
WALK_FORWARD_OOF,TOP_COUNT,300,300,299,40,50,0.8,0.13333333333333333,4.32,EURUSD:28;USDCAD:4;USDCHF:1;USDJPY:267,LOGISTIC,E_FULL,False
WALK_FORWARD_OOF,TOP_COUNT,500,500,498,47,50,0.94,0.094,3.0456000000000003,EURUSD:63;USDCAD:27;USDCHF:2;USDJPY:408,LOGISTIC,E_FULL,False
WALK_FORWARD_OOF,TOP_COUNT,800,800,780,49,50,0.98,0.06125,1.9845000000000002,AUDUSD:10;EURUSD:119;USDCAD:126;USDCHF:29;USDJPY:516,LOGISTIC,E_FULL,False
WALK_FORWARD_OOF,TOP_COUNT,1000,1000,970,49,50,0.98,0.049,1.5876000000000001,AUDUSD:53;EURUSD:136;USDCAD:204;USDCHF:70;USDJPY:537,LOGISTIC,E_FULL,False
DEVELOPMENT_REFIT_DIAGNOSTIC,TOP_COUNT,100,100,100,43,188,0.22872340425531915,0.43,6.166382978723403,EURUSD:8;USDCAD:3;USDJPY:89,LOGISTIC,E_FULL,False
DEVELOPMENT_REFIT_DIAGNOSTIC,TOP_COUNT,200,200,200,86,188,0.4574468085106383,0.43,6.166382978723403,EURUSD:12;USDCAD:6;USDJPY:182,LOGISTIC,E_FULL,False
DEVELOPMENT_REFIT_DIAGNOSTIC,TOP_COUNT,300,300,298,121,188,0.6436170212765957,0.4033333333333333,5.783971631205673,EURUSD:24;USDCAD:8;USDJPY:268,LOGISTIC,E_FULL,False
DEVELOPMENT_REFIT_DIAGNOSTIC,TOP_COUNT,500,500,494,159,188,0.8457446808510638,0.318,4.5602553191489354,EURUSD:48;USDCAD:20;USDJPY:432,LOGISTIC,E_FULL,False
DEVELOPMENT_REFIT_DIAGNOSTIC,TOP_COUNT,800,800,788,183,188,0.973404255319149,0.22875,3.2803723404255316,AUDUSD:2;EURUSD:90;USDCAD:52;USDJPY:656,LOGISTIC,E_FULL,False
DEVELOPMENT_REFIT_DIAGNOSTIC,TOP_COUNT,1000,1000,982,186,188,0.9893617021276596,0.186,2.66731914893617,AUDUSD:5;EURUSD:126;USDCAD:83;USDCHF:5;USDJPY:781,LOGISTIC,E_FULL,False
WALK_FORWARD_OOF,TOP_COUNT,100,100,100,24,50,0.48,0.24,7.776,EURUSD:2;USDJPY:98,TREE,E_FULL,False
WALK_FORWARD_OOF,TOP_COUNT,200,200,200,37,50,0.74,0.185,5.994000000000001,EURUSD:10;USDCAD:1;USDJPY:189,TREE,E_FULL,False
WALK_FORWARD_OOF,TOP_COUNT,300,300,290,40,50,0.8,0.13333333333333333,4.32,AUDUSD:11;EURUSD:28;USDCAD:6;USDCHF:6;USDJPY:249,TREE,E_FULL,False
WALK_FORWARD_OOF,TOP_COUNT,500,500,475,47,50,0.94,0.094,3.0456000000000003,AUDUSD:49;EURUSD:61;USDCAD:54;USDCHF:25;USDJPY:311,TREE,E_FULL,False
