checkpoint_seconds,model,scope,fold,validation_rows,positives,ap,auc,train_clusters,validation_clusters,train_max_msc,validation_min_msc
15,LOGISTIC,ALL_NO_SYMBOL,1,470,8,0.08989286192745148,0.8603896103896104,580,216,1741741299276,1741743478547
15,LOGISTIC,ALL_NO_SYMBOL,2,472,16,0.31913750101308963,0.9244791666666666,796,218,1741971601318,1741971607066
15,LOGISTIC,ALL_NO_SYMBOL,3,458,5,0.05061694957234478,0.8679911699779249,1014,218,1742471450666,1742472037122
15,LOGISTIC,ALL_NO_SYMBOL,4,454,15,0.2292459507351287,0.8763857251328777,1232,218,1743004388850,1743005234867
15,LIGHTGBM,ALL_NO_SYMBOL,1,470,8,0.07565860437189022,0.8344155844155843,580,216,1741741299276,1741743478547
15,LIGHTGBM,ALL_NO_SYMBOL,2,472,16,0.28703254135683576,0.9181743421052632,796,218,1741971601318,1741971607066
15,LIGHTGBM,ALL_NO_SYMBOL,3,458,5,0.10534076227390181,0.9368653421633554,1014,218,1742471450666,1742472037122
15,LIGHTGBM,ALL_NO_SYMBOL,4,454,15,0.1881289703245513,0.8968868640850418,1232,218,1743004388850,1743005234867
15,LIGHTGBM,ALL_WITH_SYMBOL,1,470,8,0.10908700297287253,0.8406385281385281,580,216,1741741299276,1741743478547
15,LIGHTGBM,ALL_WITH_SYMBOL,2,472,16,0.3190044074292343,0.9191337719298245,796,218,1741971601318,1741971607066
15,LIGHTGBM,ALL_WITH_SYMBOL,3,458,5,0.10016969507101087,0.9355408388520972,1014,218,1742471450666,1742472037122
15,LIGHTGBM,ALL_WITH_SYMBOL,4,454,15,0.178494529323482,0.8949126803340927,1232,218,1743004388850,1743005234867
15,LIGHTGBM,USDJPY_ONLY,1,184,5,0.1744493251846193,0.7474860335195531,292,92,1741741299276,1741743478547
15,LIGHTGBM,USDJPY_ONLY,2,212,15,0.41351405452929907,0.8291032148900169,384,106,1741969845009,1741972094600
15,LIGHTGBM,USDJPY_ONLY,3,192,5,0.0667757273885234,0.7016042780748664,490,96,1742470201041,1742472037122
15,LIGHTGBM,USDJPY_ONLY,4,174,14,0.2118353784043799,0.7107142857142857,586,87,1743003003465,1743005234867
30,LOGISTIC,ALL_NO_SYMBOL,1,472,15,0.16369838595104558,0.8954048140043764,574,216,1741725023778,1741725588151
30,LOGISTIC,ALL_NO_SYMBOL,2,460,13,0.363085078419959,0.9432111512648427,790,216,1741973569567,1741973721111
30,LOGISTIC,ALL_NO_SYMBOL,3,454,7,0.1365251069371848,0.9379993608181528,1006,216,1742472037122,1742472744872
30,LOGISTIC,ALL_NO_SYMBOL,4,452,8,0.08718006762087879,0.8952702702702704,1222,217,1743003003465,1743005234867
30,LIGHTGBM,ALL_NO_SYMBOL,1,472,15,0.15608985808713466,0.8863603209336252,574,216,1741725023778,1741725588151
30,LIGHTGBM,ALL_NO_SYMBOL,2,460,13,0.22676936714218793,0.9420065393219755,790,216,1741973569567,1741973721111
30,LIGHTGBM,ALL_NO_SYMBOL,3,454,7,0.19997208673679265,0.9562160434643656,1006,216,1742472037122,1742472744872
30,LIGHTGBM,ALL_NO_SYMBOL,4,452,8,0.10169007170571016,0.9065315315315315,1222,217,1743003003465,1743005234867
30,LIGHTGBM,ALL_WITH_SYMBOL,1,472,15,0.14901361585434178,0.8831509846827134,574,216,1741725023778,1741725588151
30,LIGHTGBM,ALL_WITH_SYMBOL,2,460,13,0.2649307280195581,0.9433832386852521,790,216,1741973569567,1741973721111
30,LIGHTGBM,ALL_WITH_SYMBOL,3,454,7,0.23687492540875998,0.9632470437839564,1006,216,1742472037122,1742472744872
30,LIGHTGBM,ALL_WITH_SYMBOL,4,452,8,0.10260047747950973,0.905686936936937,1222,217,1743003003465,1743005234867
30,LIGHTGBM,USDJPY_ONLY,1,192,14,0.22328390351103639,0.7118780096308187,285,96,1741724347227,1741725588151
30,LIGHTGBM,USDJPY_ONLY,2,184,13,0.23615256474240034,0.7777777777777778,381,92,1741972094600,1741973721111
30,LIGHTGBM,USDJPY_ONLY,3,182,7,0.23976634131913635,0.9044897959183673,473,91,1742472037122,1742475026363
30,LIGHTGBM,USDJPY_ONLY,4,182,8,0.1058639096193421,0.7543103448275862,564,91,1743003003465,1743005234867
60,LOGISTIC,ALL_NO_SYMBOL,1,458,11,0.07965672170603487,0.8259101077893024,564,212,1741728860365,1741729302566
60,LOGISTIC,ALL_NO_SYMBOL,2,456,15,0.1769742008869013,0.907785336356765,776,212,1741972656668,1741973569567
60,LOGISTIC,ALL_NO_SYMBOL,3,440,4,0.08475723622782447,0.9174311926605504,988,213,1742473119364,1742473472076
60,LOGISTIC,ALL_NO_SYMBOL,4,442,12,0.22384262640283525,0.896705426356589,1201,212,1743006600958,1743007576691
60,LIGHTGBM,ALL_NO_SYMBOL,1,458,11,0.06912667759090818,0.8147244254626805,564,212,1741728860365,1741729302566
60,LIGHTGBM,ALL_NO_SYMBOL,2,456,15,0.318323115890883,0.9053665910808768,776,212,1741972656668,1741973569567
60,LIGHTGBM,ALL_NO_SYMBOL,3,440,4,0.11845196147521729,0.930045871559633,988,213,1742473119364,1742473472076
60,LIGHTGBM,ALL_NO_SYMBOL,4,442,12,0.1333424255833016,0.8916666666666667,1201,212,1743006600958,1743007576691
60,LIGHTGBM,ALL_WITH_SYMBOL,1,458,11,0.06420490391564712,0.8106569046166362,564,212,1741728860365,1741729302566
60,LIGHTGBM,ALL_WITH_SYMBOL,2,456,15,0.26008194299650084,0.9020408163265307,776,212,1741972656668,1741973569567
60,LIGHTGBM,ALL_WITH_SYMBOL,3,440,4,0.13852184637068357,0.9294724770642202,988,213,1742473119364,1742473472076
60,LIGHTGBM,ALL_WITH_SYMBOL,4,442,12,0.1385085530727869,0.892829457364341,1201,212,1743006600958,1743007576691
60,LIGHTGBM,USDJPY_ONLY,1,190,10,0.05127207075430598,0.47000000000000003,298,95,1741728860365,1741730208806
60,LIGHTGBM,USDJPY_ONLY,2,202,14,0.29586046938900645,0.780775075987842,393,101,1741972094600,1741973721111
60,LIGHTGBM,USDJPY_ONLY,3,184,4,0.06407831299135647,0.6638888888888889,494,92,1742470201041,1742473843314
60,LIGHTGBM,USDJPY_ONLY,4,158,12,0.1438024477905116,0.6889269406392694,586,79,1743006600958,1743007576691
120,LOGISTIC,ALL_NO_SYMBOL,1,444,21,0.21506623502736055,0.8578183046268153,559,209,1741746000216,1741750828392
120,LOGISTIC,ALL_NO_SYMBOL,2,446,14,0.2659752962544535,0.9032738095238095,768,209,1741975897760,1741977115660
120,LOGISTIC,ALL_NO_SYMBOL,3,426,4,0.1596761715296198,0.95260663507109,977,211,1742487621364,1742488809333
120,LOGISTIC,ALL_NO_SYMBOL,4,442,18,0.19678918558450761,0.8797169811320754,1188,209,1743007927401,1743008569647
120,LIGHTGBM,ALL_NO_SYMBOL,1,444,21,0.21385283513899953,0.8609703928852865,559,209,1741746000216,1741750828392
120,LIGHTGBM,ALL_NO_SYMBOL,2,446,14,0.3505053325906473,0.8622685185185185,768,209,1741975897760,1741977115660
120,LIGHTGBM,ALL_NO_SYMBOL,3,426,4,0.19017047117354405,0.9336492890995262,977,211,1742487621364,1742488809333
120,LIGHTGBM,ALL_NO_SYMBOL,4,442,18,0.2534451836574742,0.857835429769392,1188,209,1743007927401,1743008569647
120,LIGHTGBM,ALL_WITH_SYMBOL,1,444,21,0.20324078435655668,0.851401553529213,559,209,1741746000216,1741750828392
120,LIGHTGBM,ALL_WITH_SYMBOL,2,446,14,0.3502699893635653,0.8639219576719577,768,209,1741975897760,1741977115660
120,LIGHTGBM,ALL_WITH_SYMBOL,3,426,4,0.1996078431372549,0.9478672985781991,977,211,1742487621364,1742488809333
120,LIGHTGBM,ALL_WITH_SYMBOL,4,442,18,0.3341896042269562,0.8633385744234802,1188,209,1743007927401,1743008569647
120,LIGHTGBM,USDJPY_ONLY,1,186,19,0.1426679610447915,0.5915537346359911,288,93,1741746000216,1741750828392
120,LIGHTGBM,USDJPY_ONLY,2,188,14,0.37791560066515817,0.6876026272577996,381,94,1741974780097,1741977115660
120,LIGHTGBM,USDJPY_ONLY,3,172,4,0.09206909739928608,0.6666666666666667,475,86,1742485817163,1742488809333
120,LIGHTGBM,USDJPY_ONLY,4,160,15,0.2663053543322034,0.7926436781609195,561,80,1743007576691,1743011407300
