checkpoint_seconds,fold,episodes,clusters,oracle_expectancy,oracle_total_r,both_sl
15,1.0,234,214,0.06837606837606838,16.0,224
15,2.0,197,183,0.09746192893401016,19.200000000000003,185
15,3.0,209,195,0.03827751196172249,8.0,204
15,4.0,186,180,0.11182795698924732,20.8,173
15,,719,678,0.231432545201669,166.4,615
30,1.0,218,203,0.08073394495412844,17.6,207
30,2.0,200,188,0.11200000000000002,22.400000000000002,186
30,3.0,205,193,0.031219512195121955,6.4,201
30,4.0,187,180,0.05133689839572193,9.600000000000001,181
30,,720,675,0.2488888888888889,179.20000000000002,608
60,1.0,205,189,0.10926829268292684,22.400000000000002,191
60,2.0,210,196,0.06857142857142857,14.4,201
60,3.0,184,175,0.026086956521739136,4.800000000000001,181
60,4.0,189,183,0.1015873015873016,19.200000000000003,177
60,,705,670,0.23829787234042554,168.0,599
120,1.0,212,195,0.09811320754716982,20.8,199
120,2.0,194,184,0.0907216494845361,17.6,183
120,3.0,192,188,0.025000000000000005,4.800000000000001,189
120,4.0,193,183,0.14093264248704665,27.200000000000003,176
120,,679,647,0.24506627393225333,166.4,574
