feature_set,model,fold,feature,importance_mean,importance_std
MODEL_X,LIGHTGBM,4,action_sign,0.00026185099028682807,0.0009461891408084813
MODEL_X,LIGHTGBM,4,atr14_m5,0.0376387992115834,0.011277521815032164
MODEL_X,LIGHTGBM,4,target_usd_return_atr_1s,-0.021702403033709818,0.0007925135220158131
MODEL_X,LIGHTGBM,4,valid_cross_symbols_1s,0.0,0.0
MODEL_X,LIGHTGBM,4,usd_breadth_count_1s,0.0,0.0
MODEL_X,LIGHTGBM,4,usd_breadth_1s,0.0,0.0
MODEL_X,LIGHTGBM,4,usd_consensus_median_1s,-0.006862155580655939,0.007287446284643623
MODEL_X,LIGHTGBM,4,shock_aligned_usd_consensus_1s,-0.015381982070496606,0.010919174928000765
MODEL_X,LIGHTGBM,4,target_residual_1s,-0.0033810592371685774,0.0023416886883651494
MODEL_X,LIGHTGBM,4,shock_aligned_target_residual_1s,-0.032358147342823766,0.002835963043496511
MODEL_X,LIGHTGBM,4,target_usd_return_atr_3s,-0.0023309490881965184,0.002527790582230405
MODEL_X,LIGHTGBM,4,valid_cross_symbols_3s,0.0,0.0
MODEL_X,LIGHTGBM,4,usd_breadth_count_3s,0.0015907514193021777,0.00017686172497210446
MODEL_X,LIGHTGBM,4,usd_breadth_3s,0.0,0.0
MODEL_X,LIGHTGBM,4,usd_consensus_median_3s,0.0027822119741067416,0.0015927223186616402
MODEL_X,LIGHTGBM,4,shock_aligned_usd_consensus_3s,0.008479004078680408,0.007164788234419429
MODEL_X,LIGHTGBM,4,target_residual_3s,-0.0006114349129947386,0.0011529845890150224
MODEL_X,LIGHTGBM,4,shock_aligned_target_residual_3s,-0.0027676845422528323,0.006609852996870559
MODEL_X,LIGHTGBM,4,target_usd_return_atr_5s,-0.04067693898827919,0.01691065607847298
MODEL_X,LIGHTGBM,4,valid_cross_symbols_5s,0.0,0.0
MODEL_X,LIGHTGBM,4,usd_breadth_count_5s,-0.0027263998138275375,0.001773821489157499
MODEL_X,LIGHTGBM,4,usd_breadth_5s,0.0,0.0
MODEL_X,LIGHTGBM,4,usd_consensus_median_5s,-0.008191068529279763,0.005124507993887231
MODEL_X,LIGHTGBM,4,shock_aligned_usd_consensus_5s,0.0002749831659478545,0.0009240119222494954
MODEL_X,LIGHTGBM,4,target_residual_5s,0.005570600084128625,0.004061472865523658
MODEL_X,LIGHTGBM,4,shock_aligned_target_residual_5s,0.009331823932842298,0.003544720264799427
MODEL_X,LIGHTGBM,4,target_usd_return_atr_10s,0.008281373594414365,0.004714214314661346
MODEL_X,LIGHTGBM,4,valid_cross_symbols_10s,0.0,0.0
MODEL_X,LIGHTGBM,4,usd_breadth_count_10s,0.0,0.0
MODEL_X,LIGHTGBM,4,usd_breadth_10s,0.0,0.0
MODEL_X,LIGHTGBM,4,usd_consensus_median_10s,0.001147565426136939,0.005692296591919348
MODEL_X,LIGHTGBM,4,shock_aligned_usd_consensus_10s,0.006386609437099983,0.000736250306228859
MODEL_X,LIGHTGBM,4,target_residual_10s,-0.004867885291050769,0.0008013984981976019
MODEL_X,LIGHTGBM,4,shock_aligned_target_residual_10s,0.0036528991581457754,0.004317078314327189
MODEL_X,LIGHTGBM,4,median_cross_quote_age_ms,-0.04013166150970099,0.01528425497100952
MODEL_X,LIGHTGBM,4,max_cross_quote_age_ms,0.005145924891112065,0.0013813513992245996
MODEL_X,LIGHTGBM,4,num_prior_cross_fx_movers,0.0012204515827704359,0.0013270835571851426
MODEL_X,LIGHTGBM,4,first_cross_fx_lead_ms,0.005237718210800352,0.008432992159442041
MODEL_X,LIGHTGBM,4,median_cross_fx_lead_ms,-0.0027848741308625544,0.002833219234491518
MODEL_X,LIGHTGBM,4,target_leader_rank,-0.00022034197073858564,0.0
MODEL_X,LIGHTGBM,4,symbol,0.0035972472064206376,0.007824593726809692
MODEL_X,LIGHTGBM,4,shock_direction,1.263613034976907e-05,1.78701869165577e-05
MODEL_X,LIGHTGBM,4,action,0.0,0.0
MODEL_X,LIGHTGBM,4,target_lead_bucket,-0.004952594641158534,0.005202097100025742
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,action_sign,-0.0039729881061779755,0.00584655045437349
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,atr14_m5,0.010267079249362918,0.011790832397954042
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,target_usd_return_atr_1s,-0.0018755427800143294,0.0004565002991687641
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,valid_cross_symbols_1s,0.0,0.0
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,usd_breadth_count_1s,-0.0005128205128205147,0.00036261886214694877
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,usd_breadth_1s,0.0,0.0
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,usd_consensus_median_1s,-0.00023702727711973534,0.003324916374956181
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,shock_aligned_usd_consensus_1s,0.0034964668024908135,0.0025577739434458793
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,target_residual_1s,-0.0014952227648376837,0.0023342025662726152
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,shock_aligned_target_residual_1s,0.001247352224830962,0.001066867163966452
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,target_usd_return_atr_3s,0.00020367716019889978,0.0008892668699308987
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,valid_cross_symbols_3s,0.0,0.0
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,usd_breadth_count_3s,0.0,0.0
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,usd_breadth_3s,0.0,0.0
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,usd_consensus_median_3s,-0.0009646731868954058,0.0008235569956425674
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,shock_aligned_usd_consensus_3s,0.006169963032499147,0.003451789041136937
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,target_residual_3s,-0.007917252161982339,0.0042406229018611685
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,shock_aligned_target_residual_3s,-0.0042186350518792215,0.0004920102516559258
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,target_usd_return_atr_5s,-0.001469981296325612,0.002078867485698464
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,valid_cross_symbols_5s,0.0,0.0
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,usd_breadth_count_5s,0.001016665619300014,0.0005817737529416633
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,usd_breadth_5s,0.0,0.0
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,usd_consensus_median_5s,-0.001557568512055731,0.0010717935078896044
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,shock_aligned_usd_consensus_5s,0.0012768935285224353,0.0017499231794971483
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,target_residual_5s,0.0037634632756583983,0.0031134039621310548
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,shock_aligned_target_residual_5s,0.002960394453265907,0.000415700635618197
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,target_usd_return_atr_10s,-0.0070592074523009125,0.0011919229429080312
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,valid_cross_symbols_10s,0.0,0.0
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,usd_breadth_count_10s,0.0,0.0
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,usd_breadth_10s,0.0,0.0
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,usd_consensus_median_10s,-0.0007067363914167688,0.0020170516172117506
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,shock_aligned_usd_consensus_10s,0.0018285059598244502,0.001622598633130749
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,target_residual_10s,-0.002643825988705615,0.0015472110489850286
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,shock_aligned_target_residual_10s,0.0008681472096106249,0.00031227094766964395
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,median_cross_quote_age_ms,-0.0061504576000339,0.001407162105091016
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,max_cross_quote_age_ms,0.0008444447659646109,0.002296262457080368
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,num_prior_cross_fx_movers,0.0015982772078998037,0.005163152901730119
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,first_cross_fx_lead_ms,-0.0015060656293840458,0.0011903613507695003
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,median_cross_fx_lead_ms,0.0004002154535400389,0.0024984888899366397
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,target_leader_rank,0.0,0.0
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,t0_mid,0.00022150688817355416,0.0007005674937825004
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,return_5s_dir_atr,0.0016488699799974739,0.0011526775281818283
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,return_10s_dir_atr,0.0,0.0
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,return_30s_dir_atr,0.0007441668509224619,0.0077288732917938155
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,return_60s_dir_atr,-0.0018822961788847274,0.00021023819869181944
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,return_120s_dir_atr,-0.006999594629371285,0.0028549848433465264
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,return_300s_dir_atr,0.005165011558175105,0.00276800289430885
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,return_900s_dir_atr,-0.00019751408860881522,0.0004631728427155038
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,spread_5s_atr,-0.0019545223994180036,0.001462397719179922
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,spread_10s_atr,0.03874306856101193,0.02947687049176064
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,spread_30s_atr,0.004568558486644281,0.003578067957982974
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,spread_change_5s_atr,0.0,0.0
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,spread_change_10s_atr,-0.0016410719662752205,0.0011604131157683497
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,spread_change_30s_atr,0.0,0.0
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,ticks_5s,0.0040034190098404325,0.0069956873402690365
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,ticks_10s,-0.007952257410613348,0.0019045798856756634
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,ticks_30s,-0.002086637642193199,0.0014255762565709147
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,ticks_60s,-0.012999390177329595,0.0036602143779913146
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,ticks_120s,-0.008735779824871975,0.0018892885156311082
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,tick_ratio_5s_prev5s,0.0035728980850932013,0.006179402288760725
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,tick_ratio_30s_prev30s,0.0010538665092664952,0.0006738096785228894
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,range_30s_atr,0.0007409156478476175,0.002890377339775552
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,range_60s_atr,0.00024757377698554167,0.000350122193100885
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,range_180s_atr,0.0001419182669182654,0.0008242763697181054
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,range_300s_atr,-0.0018889612061522103,0.0011727225057950358
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,range_900s_atr,0.0011950078289281972,0.00514082884796455
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,range_1800s_atr,0.002761568177894566,0.004957500046027432
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,range_3600s_atr,-0.003379337994983763,0.0044002135832445855
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,realized_abs_30s_atr,0.0018247640895696637,0.001220132550928037
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,realized_abs_60s_atr,0.004152989198166437,0.0027401369837509754
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,realized_abs_180s_atr,0.001444050799052965,0.004164845305646315
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,realized_abs_300s_atr,0.004958624222611133,0.0015761739738418743
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,accel_10s_vs_prev30s,0.011173299625968225,0.008628085990050528
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,return_30s_vs_prev30s,0.005813618061029993,0.003074851810785623
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,direction_consistency_30s,0.0017618589404254602,0.0016334944777349517
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,range_position_900s_dir,-0.001886348832664651,0.0014359544910852147
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,distance_high_900s_dir_atr,0.0058495779420178196,0.000724769761606287
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,distance_low_900s_dir_atr,0.00018389469608981468,0.0005611958580845595
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,atr14_m5_slope_3bars,0.000719090683742508,0.0014703654768511737
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,available_count,0.0,0.0
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,future_sources,0.0,0.0
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,symbol,0.0028941878994444095,0.004895652190266457
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,shock_direction,0.0,0.0
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,action,0.0021794058944995622,0.0016743698645073702
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,target_lead_bucket,0.00044417740069914446,0.0006621986977434994
