offset_index,offset_atr,tp_index,tp_atr,sl_index,sl_atr,trades,terminal_equity_r,max_drawdown_r,longest_losing_streak
0,0.02,0,0.02,0,0.1,481,-1159.2417477009933,1159.2417477009933,70
0,0.02,0,0.02,1,0.2,481,-575.005507916152,575.005507916152,32
0,0.02,0,0.02,2,0.3,481,-385.4212761324332,385.4212761324332,18
0,0.02,0,0.02,3,0.5,481,-236.82215740385325,236.8621574046485,9
0,0.02,0,0.02,4,0.75,481,-169.46839634050815,169.57506301002695,6
0,0.02,0,0.02,5,1.0,481,-126.5488825951962,126.62888259733533,5
0,0.02,1,0.03,0,0.1,481,-1160.7664777844063,1160.7664777844063,70
0,0.02,1,0.03,1,0.2,481,-574.0625237213387,574.0625237213387,33
0,0.02,1,0.03,2,0.3,481,-385.7633439495596,385.7633439495596,20
0,0.02,1,0.03,3,0.5,481,-241.14285245996658,241.20285246027427,9
0,0.02,1,0.03,4,0.75,481,-172.27785548905695,172.41111387047815,6
0,0.02,1,0.03,5,1.0,481,-129.00340235480724,129.10334614087313,5
0,0.02,2,0.05,0,0.1,481,-1158.0869642443495,1158.0869642443495,70
0,0.02,2,0.05,1,0.2,481,-571.4952447441443,571.4952447441443,34
0,0.02,2,0.05,2,0.3,481,-387.1687604491758,387.1687604491758,20
0,0.02,2,0.05,3,0.5,481,-239.74366619060532,239.8436661899379,9
0,0.02,2,0.05,4,0.75,481,-170.1939813830533,170.40723976443306,6
0,0.02,2,0.05,5,1.0,481,-124.75039342552729,124.9103372115621,5
0,0.02,3,0.075,0,0.1,481,-1154.6133090876185,1154.6133090876185,70
0,0.02,3,0.075,1,0.2,481,-564.723246825884,564.723246825884,34
0,0.02,3,0.075,2,0.3,481,-381.6107417533064,381.6107417533064,20
0,0.02,3,0.075,3,0.5,481,-238.2834626006369,238.2834626006369,9
0,0.02,3,0.075,4,0.75,481,-169.3069082334539,169.50690823480056,6
0,0.02,3,0.075,5,1.0,481,-124.16217438521097,124.31217438622097,5
0,0.02,4,0.1,0,0.1,481,-1151.9809871565703,1151.9809871565703,70
0,0.02,4,0.1,1,0.2,481,-560.8452121773056,560.8452121773056,34
0,0.02,4,0.1,2,0.3,481,-381.16132584154184,381.16132584154184,20
0,0.02,4,0.1,3,0.5,481,-236.37568367099723,236.37568367099723,9
0,0.02,4,0.1,4,0.75,481,-167.12709353449122,167.39376020163883,6
0,0.02,4,0.1,5,1.0,481,-122.53544227164633,122.73544227200705,5
0,0.02,5,0.15,0,0.1,481,-1147.9037406358907,1147.9037406358907,70
0,0.02,5,0.15,1,0.2,481,-563.6100823229739,563.6100823229739,34
0,0.02,5,0.15,2,0.3,481,-386.7430393084176,386.7430393084176,22
0,0.02,5,0.15,3,0.5,481,-237.22935921665416,237.22935921665416,9
0,0.02,5,0.15,4,0.75,481,-163.9189236294366,164.1977990278328,6
0,0.02,5,0.15,5,1.0,481,-121.1126856318339,121.32184218063105,5
1,0.05,0,0.02,0,0.1,941,-2031.7190255994494,2031.7190255994494,102
1,0.05,0,0.02,1,0.2,941,-1026.450818250558,1026.450818250558,44
1,0.05,0,0.02,2,0.3,941,-702.0519344596152,702.0519344596152,22
1,0.05,0,0.02,3,0.5,941,-430.3654862070551,430.40548620785034,11
1,0.05,0,0.02,4,0.75,941,-298.349753080935,298.45641975045385,8
1,0.05,0,0.02,5,1.0,941,-224.93282583656605,225.01282583870514,7
1,0.05,1,0.03,0,0.1,941,-2031.7437556881755,2031.7437556881755,102
1,0.05,1,0.03,1,0.2,941,-1024.0407458120005,1024.0407458120005,44
1,0.05,1,0.03,2,0.3,941,-703.0871944585379,703.0871944585379,24
1,0.05,1,0.03,3,0.5,941,-436.46554348698356,436.52554348729126,11
1,0.05,1,0.03,4,0.75,941,-304.1556446652577,304.28890304667885,8
1,0.05,1,0.03,5,1.0,941,-229.50491642453358,229.60486021059947,7
1,0.05,2,0.05,0,0.1,941,-2028.2314485310505,2028.2314485310505,102
1,0.05,2,0.05,1,0.2,941,-1021.1055798388367,1021.1055798388367,44
1,0.05,2,0.05,2,0.3,941,-703.925471257082,703.925471257082,24
1,0.05,2,0.05,3,0.5,941,-435.57128012642744,435.67128012576,11
1,0.05,2,0.05,4,0.75,941,-301.1363427702282,301.349601151608,8
1,0.05,2,0.05,5,1.0,941,-224.25831294190218,224.41825672793698,7
1,0.05,3,0.075,0,0.1,941,-2023.418722819311,2023.418722819311,111
1,0.05,3,0.075,1,0.2,941,-1008.5305555018458,1008.5305555018458,44
1,0.05,3,0.075,2,0.3,941,-702.170721675719,702.170721675719,24
1,0.05,3,0.075,3,0.5,941,-439.3405168213275,439.3405168213275,11
1,0.05,3,0.075,4,0.75,941,-304.6649960393741,304.86499604072077,8
1,0.05,3,0.075,5,1.0,941,-224.34833810985424,224.4983381108642,7
1,0.05,4,0.1,0,0.1,941,-2022.8758236697465,2022.8758236697465,111
1,0.05,4,0.1,1,0.2,941,-1005.2332917224697,1005.2332917224697,45
1,0.05,4,0.1,2,0.3,941,-706.7611014258672,706.7611014258672,24
1,0.05,4,0.1,3,0.5,941,-440.7592095593657,440.7592095593657,11
1,0.05,4,0.1,4,0.75,941,-304.63735762476813,304.9040242919158,10
1,0.05,4,0.1,5,1.0,941,-223.60788704335584,223.80788704371656,9
1,0.05,5,0.15,0,0.1,941,-2020.9902774615186,2020.9902774615186,111
1,0.05,5,0.15,1,0.2,941,-1011.4924575618195,1011.4924575618195,51
1,0.05,5,0.15,2,0.3,941,-707.5644539924829,707.5644539924829,24
1,0.05,5,0.15,3,0.5,941,-442.12676862006884,442.12676862006884,11
1,0.05,5,0.15,4,0.75,941,-301.3483225132426,301.6271979116388,10
1,0.05,5,0.15,5,1.0,941,-222.3889932462062,222.59814979500337,9
2,0.1,0,0.02,0,0.1,1972,-4381.303668278818,4381.303668278818,237
2,0.1,0,0.02,1,0.2,1972,-2211.713968591628,2211.713968591628,68
2,0.1,0,0.02,2,0.3,1972,-1517.1307162132207,1517.1307162132207,31
2,0.1,0,0.02,3,0.5,1972,-937.57624692006,937.6562469217283,9
2,0.1,0,0.02,4,0.75,1972,-650.9613086795966,651.1213086819134,9
2,0.1,0,0.02,5,1.0,1972,-492.3001177012754,492.420117703013,7
2,0.1,1,0.03,0,0.1,1972,-4383.666298037741,4383.666298037741,237
2,0.1,1,0.03,1,0.2,1972,-2212.0948873799316,2212.0948873799316,68
2,0.1,1,0.03,2,0.3,1972,-1513.308125114668,1513.308125114668,37
2,0.1,1,0.03,3,0.5,1972,-939.4977273964867,939.6177273971554,12
2,0.1,1,0.03,4,0.75,1972,-654.7111921519806,654.9244505332967,9
2,0.1,1,0.03,5,1.0,1972,-494.16858783540494,494.3285316213919,7
2,0.1,2,0.05,0,0.1,1972,-4377.244390169745,4377.244390169745,237
2,0.1,2,0.05,1,0.2,1972,-2208.1723838399985,2208.1723838399985,68
2,0.1,2,0.05,2,0.3,1972,-1515.6696357756691,1515.6696357756691,38
2,0.1,2,0.05,3,0.5,1972,-940.0954781339468,940.2954781326164,16
2,0.1,2,0.05,4,0.75,1972,-655.2441892755377,655.590780991006,9
2,0.1,2,0.05,5,1.0,1972,-493.2068760545228,493.537555141354,7
2,0.1,3,0.075,0,0.1,1972,-4375.114662697658,4375.114662697658,237
2,0.1,3,0.075,1,0.2,1972,-2203.8358397594106,2203.8358397594106,68
2,0.1,3,0.075,2,0.3,1972,-1506.1168066442067,1506.1168066442067,38
2,0.1,3,0.075,3,0.5,1972,-933.1383433067485,933.1383433067485,16
2,0.1,3,0.075,4,0.75,1972,-653.5698908354428,653.8698908359248,9
2,0.1,3,0.075,5,1.0,1972,-492.46299163346913,492.7296671264874,7
2,0.1,4,0.1,0,0.1,1972,-4372.765032712851,4372.765032712851,237
2,0.1,4,0.1,1,0.2,1972,-2193.0724331805727,2193.0724331805727,68
2,0.1,4,0.1,2,0.3,1972,-1503.9713293798754,1503.9713293798754,38
2,0.1,4,0.1,3,0.5,1972,-939.1524284012845,939.1524284012845,16
2,0.1,4,0.1,4,0.75,1972,-655.856723154661,656.256723154876,9
2,0.1,4,0.1,5,1.0,1972,-492.1965944115604,492.5344000662901,7
2,0.1,5,0.15,0,0.1,1972,-4367.091456276474,4367.091456276474,244
2,0.1,5,0.15,1,0.2,1972,-2194.630816454575,2194.630816454575,69
2,0.1,5,0.15,2,0.3,1972,-1497.5686774097758,1497.5686774097758,38
2,0.1,5,0.15,3,0.5,1972,-928.5654794428121,928.5654794428121,16
2,0.1,5,0.15,4,0.75,1972,-646.1084946176717,646.587370016999,9
2,0.1,5,0.15,5,1.0,1972,-487.1567140879254,487.80367629234644,7
