check,actual,expected,status
frozen_episode_keys,True,True,PASS
frozen_market_cluster_id,0,0,PASS
frozen_anchor_processing_msc,0,0,PASS
frozen_anchor_bid,0,0,PASS
frozen_anchor_ask,0,0,PASS
frozen_repeat_count,0,0,PASS
frozen_last_shock_msc,0,0,PASS
feature_episode_membership,True,True,PASS
cluster_provenance,0,0,PASS
episode_t0_provenance,0,0,PASS
episode_processing_provenance,0,0,PASS
episode_drops,0,0,PASS
episode_capacity_losses,0,0,PASS
episode_future_reads,0,0,PASS
episode_backdates,0,0,PASS
twelve_rows_per_episode,0,0,PASS
actual_order_records,0,0,PASS
formal_dependency_hash_mismatch,0,0,PASS
