distance_index,direction,status,rows
0,-1,COST_DISTANCE_REJECT,3884
0,-1,NO_ENTRY,11
0,-1,SL,48
0,-1,TP,24
0,1,COST_DISTANCE_REJECT,3884
0,1,NO_ENTRY,11
0,1,SL,46
0,1,TP,26
1,-1,COST_DISTANCE_REJECT,3193
1,-1,NO_ENTRY,11
1,-1,SL,493
1,-1,TIME,14
1,-1,TP,256
1,1,COST_DISTANCE_REJECT,3193
1,1,NO_ENTRY,11
1,1,SL,473
1,1,TIME,20
1,1,TP,270
2,-1,COST_DISTANCE_REJECT,2275
2,-1,NO_ENTRY,11
2,-1,SL,936
2,-1,TIME,187
2,-1,TP,558
2,1,COST_DISTANCE_REJECT,2275
2,1,NO_ENTRY,11
2,1,SL,916
2,1,TIME,207
2,1,TP,558
3,-1,COST_DISTANCE_REJECT,1500
3,-1,NO_ENTRY,11
3,-1,SL,1136
3,-1,TIME,639
3,-1,TP,681
3,1,COST_DISTANCE_REJECT,1500
3,1,NO_ENTRY,11
3,1,SL,1137
3,1,TIME,689
3,1,TP,630
4,-1,COST_DISTANCE_REJECT,728
4,-1,NO_ENTRY,11
4,-1,SL,877
4,-1,TIME,1864
4,-1,TP,487
4,1,COST_DISTANCE_REJECT,728
4,1,NO_ENTRY,11
4,1,SL,966
4,1,TIME,1828
4,1,TP,434
5,-1,COST_DISTANCE_REJECT,407
5,-1,NO_ENTRY,11
5,-1,SL,557
5,-1,TIME,2734
5,-1,TP,258
5,1,COST_DISTANCE_REJECT,407
5,1,NO_ENTRY,11
5,1,SL,597
5,1,TIME,2705
5,1,TP,247
