dimension,bucket,trades,total_r,expectancy_r,pf,maxdd_r,win_rate,top5_removed_total_r
month,202502,517,-37.35640537879239,-0.07225610324718064,0.8040708825178995,62.00463697989201,0.45454545454545453,-53.9131526288982
month,202503,1114,-102.03812044159412,-0.09159615838563206,0.7408716790017181,103.74224090411445,0.44254937163375224,-119.56190578868977
month,202504,691,-62.66184784543084,-0.09068284782262061,0.754417792889959,64.10287973201125,0.4905933429811867,-77.0542938302647
month,202505,439,-31.014508227836707,-0.07064808252354603,0.8077798125952498,40.19853478369699,0.46697038724373574,-55.40381782335792
month,202506,235,-0.2137438071870772,-0.0009095481156896902,0.9970648700238958,10.151507003417125,0.5191489361702127,-10.635460395911513
symbol,AUDUSD,246,-49.042987600790674,-0.19936173821459624,0.5679951399015132,50.03023434150591,0.4065040650406504,-65.59110802916193
symbol,EURUSD,556,-31.000584819960054,-0.05575644751791377,0.8438633312919429,37.420432102191285,0.4784172661870504,-53.92008282861613
symbol,GBPUSD,373,-28.11733953863859,-0.07538160734219461,0.7776677496847937,42.46049183724912,0.4745308310991957,-39.190261586456565
symbol,USDCAD,320,-30.993170292116243,-0.09685365716286326,0.7535748865445081,43.20433083204673,0.421875,-50.49349577529098
symbol,USDCHF,285,-18.198003755410774,-0.06385264475582728,0.8007680109131817,25.31055547112546,0.47017543859649125,-28.47082586677597
symbol,USDJPY,1216,-75.93253969392481,-0.06244452277460922,0.818393543648173,98.98492261136624,0.4786184210526316,-90.48442895544011
direction,-1,1902,-133.89796548161448,-0.07039850971693716,0.8058138962933594,173.26142492193222,0.4726603575184017,-162.05750085661165
direction,1,1094,-99.38666021922666,-0.09084703859161486,0.7413360914911264,104.1014315223724,0.4524680073126143,-111.31969287591335
assumed_extra_cost_pips,0,2996,-133.377141198304,-0.04451840493935381,0.8691760878198498,182.4486803264961,0.4823097463284379,-161.761443699815
assumed_extra_cost_pips,0.1,2996,-183.33088344957258,-0.06119188366140607,0.8247809556398868,223.5518187313955,0.4759679572763685,-211.60280238782667
assumed_extra_cost_pips,0.2,2996,-233.28462570084113,-0.07786536238345833,0.7827414726365186,264.65495713629497,0.4652870493991989,-261.44416107583834
assumed_extra_cost_pips,0.5,2996,-383.14585245464684,-0.1278857985496151,0.6694752884629651,397.5504298611873,0.44359145527369825,-410.9682371398733
assumed_extra_cost_pips,1.0,2996,-632.9145637109897,-0.2112531921598764,0.5171188129855183,634.0468551101025,0.40086782376502,-660.1750305799316
time_exit_lag_diagnostic_not_selection,all,2996,-233.28462570084113,-0.07786536238345833,0.7827414726365186,264.65495713629497,0.4652870493991989,-261.44416107583834
time_exit_lag_diagnostic_not_selection,overdue_gt_60s,94,4.253860382409721,0.045253833855422566,1.1163048255112284,15.048894539683454,0.5425531914893617,-10.71068478805959
time_exit_lag_diagnostic_not_selection,overdue_le_60s,2902,-237.53848608325086,-0.08185337218582042,0.770978813722384,262.0911371634843,0.4627842866988284,-264.04501727073074
