family,target,variant,geometry,policy,trades,win_rate,expectancy_r,total_r,expectancy_pips,total_pips,pf,maxdd_r,long,short,tp,sl,timeout,gross_expectancy_r,max_day_profit_share,top5_removed_total_r,mean_hold_seconds,timeout_rate,clusters,days,predicted_ev,longest_loss_streak,min_month_trades,worst_month_ev,positive_months,robust_gate,all_converged,cost_04_total_r,neighbor_low_total_r,neighbor_high_total_r
ELASTICNET,NET_R,FULL486,1,ABS_0,1267,0.48224151539069,-0.098841743133771,-125.23248855049,-0.42099447513813,-533.40000000001,0.82207403156517,131.41633409865,506,761,600,644,23,-0.055106643238533,0.16386162579901,-130.17263056812,202.76442857143,0.018153117600631,1267,62,0.19255564941442,9,259,-0.14580322332663,0,False,True,-180.64486011776,-136.97859436414,-112.43380596448
ELASTICNET,NET_R,FULL486,1,ABS_0.05,940,0.47446808510638,-0.11497686826789,-108.07825617182,-0.42553191489364,-400.00000000002,0.79624256791359,118.06693783038,352,588,439,484,17,-0.070722925478209,0.15324325009956,-113.01839818945,201.45628829787,0.018085106382979,940,61,0.25079017506193,9,157,-0.1526869437693,0,False,True,-149.67696239412,-115.17854199267,-93.46224253448
ELASTICNET,NET_R,FULL486,1,ABS_0.1,720,0.46527777777778,-0.13737699471161,-98.911436192363,-0.56333333333333,-405.6,0.76193856677988,112.18442765059,250,470,329,378,13,-0.092567464146189,0.13061814249748,-103.85157821,196.09109027778,0.018055555555556,720,60,0.30450442765501,11,100,-0.16924810618969,0,False,True,-131.17429819947,-112.66103965841,-80.963776916774
ELASTICNET,NET_R,FULL486,1,ALL,2871,0.46429815395333,-0.14006245187981,-402.11929934692,-0.58349007314525,-1675.2,0.75813818002732,405.03289096738,1259,1612,1314,1512,45,-0.093140166803914,0.23683567605624,-407.05944136456,199.90519087426,0.015673981191223,2871,63,0.026178132670185,12,853,-0.14970841707198,0,False,True,-536.83317979981,-402.11929934692,-390.83120454874
ELASTICNET,NET_R,FULL486,1,FREQUENCY_100,592,0.45945945945946,-0.14936229830517,-88.422480596658,-0.58564189189187,-346.69999999999,0.74537621379629,95.462764942465,210,382,268,315,9,-0.10874273637411,0.1644881539869,-93.362622614292,197.24107939189,0.015202702702703,592,61,0.30505850524417,9,171,-0.24281285077124,0,False,True,-112.46926125984,-89.740333860686,-51.969555185023
ELASTICNET,NET_R,FULL486,1,FREQUENCY_150,884,0.47398190045249,-0.11524656717404,-101.87796538185,-0.47330316742081,-418.39999999999,0.79654099380494,107.93918758888,344,540,413,458,13,-0.073840247275153,0.12305852998241,-106.81810739948,198.47193325792,0.014705882352941,884,62,0.24454366795526,8,255,-0.19061353665619,0,False,True,-138.48115217246,-116.84734409139,-89.057439448111
ELASTICNET,NET_R,FULL486,1,FREQUENCY_200,1114,0.47845601436266,-0.10482292616353,-116.77273974617,-0.46777378815079,-521.09999999998,0.81262060409776,124.37410273289,441,673,524,571,19,-0.063219470502641,0.12649271446981,-121.7128817638,201.20332136445,0.01705565529623,1114,62,0.20553994736084,9,325,-0.16910898325955,0,False,True,-163.11898935239,-127.00060260879,-107.41288394103
ELASTICNET,NET_R,FULL486,1,FREQUENCY_300,1566,0.48339719029374,-0.093438483097606,-146.32466453085,-0.43544061302682,-681.9,0.83082135810265,155.22883788315,629,937,745,795,26,-0.050918122435302,0.15062437348069,-151.26480654849,202.75904853129,0.016602809706258,1566,62,0.15030525855062,9,458,-0.1429889214897,0,False,True,-212.91154932802,-186.01233477237,-127.92423316042
ELASTICNET,NET_R,FULL486,1,PERCENTILE_100,610,0.46065573770492,-0.14604308974344,-89.086284743497,-0.61737704918031,-376.59999999999,0.75011941368103,95.50655014244,221,389,277,324,9,-0.10551652812753,0.14899850542357,-94.026426761132,195.00804262295,0.014754098360656,610,61,0.30012492568279,9,166,-0.22913066094818,0,False,True,-113.8074873292,-91.227312530974,-50.673511346372
ELASTICNET,NET_R,FULL486,1,PERCENTILE_150,877,0.47548460661345,-0.11218791390768,-98.388800497032,-0.47616875712656,-417.6,0.80138793571334,105.60417290169,344,533,411,453,13,-0.071010186682587,0.1234952280871,-103.32894251467,199.15800912201,0.014823261117446,877,62,0.24325213687365,8,264,-0.18419427217329,0,False,True,-134.50166727344,-117.81972080266,-91.477850729462
