family,month,geometry,variant,scope,feature,direction,bin,lower,upper,edge_fit_rows,rows,tp_first_rate,net_win_rate,net_expectancy_r,total_r
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_ema20_price_gap_atr,1,0,-inf,-1.781745487216,656,150,0.073333333333333,0.47333333333333,-0.068757098602695,-10.313564790404
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_ema20_price_gap_atr,1,1,-1.781745487216,-0.665752491333,656,194,0.11855670103093,0.4639175257732,-0.044587568971966,-8.6499883805613
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_ema20_price_gap_atr,1,2,-0.665752491333,0.327547521397,656,193,0.067357512953368,0.48704663212435,-0.071965779667199,-13.889395475769
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_ema20_price_gap_atr,1,3,0.327547521397,1.555306029828,656,203,0.068965517241379,0.43349753694581,-0.089771610231953,-18.223636877086
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_ema20_price_gap_atr,1,4,1.555306029828,inf,656,193,0.082901554404145,0.4559585492228,-0.061571550449245,-11.883309236704
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_ema20_price_gap_atr,-1,0,-inf,-1.781745487216,656,150,0.1,0.46,-0.035669760078761,-5.3504640118142
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_ema20_price_gap_atr,-1,1,-1.781745487216,-0.665752491333,656,194,0.10824742268041,0.48453608247423,-0.038682127187718,-7.5043326744173
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_ema20_price_gap_atr,-1,2,-0.665752491333,0.327547521397,656,193,0.098445595854922,0.47668393782383,-0.021031977193872,-4.0591715984174
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_ema20_price_gap_atr,-1,3,0.327547521397,1.555306029828,656,203,0.078817733990148,0.51724137931034,-0.0056450571309875,-1.1459465975905
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_ema20_price_gap_atr,-1,4,1.555306029828,inf,656,193,0.051813471502591,0.48186528497409,-0.041924550390566,-8.0914382253792
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_ema20_50_gap_atr,1,0,-inf,-1.212882536824,656,187,0.06951871657754,0.48128342245989,-0.019891743479985,-3.7197560307572
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_ema20_50_gap_atr,1,1,-1.212882536824,-0.473785865185,656,170,0.058823529411765,0.45294117647059,-0.1003037983626,-17.051645721643
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_ema20_50_gap_atr,1,2,-0.473785865185,0.2394051,656,172,0.098837209302326,0.45348837209302,-0.092624974316589,-15.931495582453
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_ema20_50_gap_atr,1,3,0.2394051,1.006095997219,656,186,0.091397849462366,0.49462365591398,-0.059518218244394,-11.070388593457
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_ema20_50_gap_atr,1,4,1.006095997219,inf,656,218,0.091743119266055,0.43119266055046,-0.069663343267041,-15.186608832215
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_ema20_50_gap_atr,-1,0,-inf,-1.212882536824,656,187,0.06951871657754,0.44919786096257,-0.057187857111279,-10.694129279809
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_ema20_50_gap_atr,-1,1,-1.212882536824,-0.473785865185,656,170,0.076470588235294,0.5,-0.022332686746851,-3.7965567469647
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_ema20_50_gap_atr,-1,2,-0.473785865185,0.2394051,656,172,0.12790697674419,0.51162790697674,0.012524049764626,2.1541365595156
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_ema20_50_gap_atr,-1,3,0.2394051,1.006095997219,656,186,0.10215053763441,0.44086021505376,-0.036505645742244,-6.7900501080573
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_ema20_50_gap_atr,-1,4,1.006095997219,inf,656,218,0.064220183486239,0.52293577981651,-0.032223640056436,-7.024753532303
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_rsi14_value,1,0,-inf,38.020610982826,656,146,0.095890410958904,0.49315068493151,-0.030358540770922,-4.4323469525546
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_rsi14_value,1,1,38.020610982826,45.593964871714,656,203,0.064039408866995,0.45320197044335,-0.063180468647018,-12.825635135345
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_rsi14_value,1,2,45.593964871714,52.439346353599,656,175,0.074285714285714,0.45714285714286,-0.097466897069732,-17.056706987203
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_rsi14_value,1,3,52.439346353599,59.801198279369,656,197,0.10152284263959,0.48223350253807,-0.057566994940195,-11.340698003218
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_rsi14_value,1,4,59.801198279369,inf,656,212,0.080188679245283,0.43396226415094,-0.081625036236816,-17.304507682205
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_rsi14_value,-1,0,-inf,38.020610982826,656,146,0.095890410958904,0.42465753424658,-0.054155180668997,-7.9066563776736
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_rsi14_value,-1,1,38.020610982826,45.593964871714,656,203,0.083743842364532,0.50738916256158,-0.026236356656293,-5.3259804012276
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_rsi14_value,-1,2,45.593964871714,52.439346353599,656,175,0.097142857142857,0.49142857142857,-0.020206675396824,-3.5361681944441
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_rsi14_value,-1,3,52.439346353599,59.801198279369,656,197,0.11167512690355,0.48223350253807,-0.035513737130195,-6.9962062146483
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_rsi14_value,-1,4,59.801198279369,inf,656,212,0.05188679245283,0.50471698113208,-0.011256329809552,-2.386341919625
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_macd_hist_atr,1,0,-inf,-0.209846558945,656,184,0.1195652173913,0.48369565217391,-0.0051504602703964,-0.94768468975293
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_macd_hist_atr,1,1,-0.209846558945,-0.053103191796,656,178,0.084269662921348,0.45505617977528,-0.063862032391808,-11.367441765742
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_macd_hist_atr,1,2,-0.053103191796,0.042700833606,656,151,0.079470198675497,0.54304635761589,-0.0025764102428148,-0.38903794666504
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_macd_hist_atr,1,3,0.042700833606,0.195785267329,656,217,0.055299539170507,0.41013824884793,-0.1556244632959,-33.77050853521
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_macd_hist_atr,1,4,0.195785267329,inf,656,203,0.078817733990148,0.44334975369458,-0.081207989276632,-16.485221823156
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_macd_hist_atr,-1,0,-inf,-0.209846558945,656,184,0.092391304347826,0.45652173913043,-0.080997213574766,-14.903487297757
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_macd_hist_atr,-1,1,-0.209846558945,-0.053103191796,656,178,0.089887640449438,0.49438202247191,-0.027823151442707,-4.9525209568018
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_macd_hist_atr,-1,2,-0.053103191796,0.042700833606,656,151,0.086092715231788,0.41721854304636,-0.086667661764206,-13.086816926395
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_macd_hist_atr,-1,3,0.042700833606,0.195785267329,656,217,0.10599078341014,0.54377880184332,0.046536676492172,10.098458798801
