target_frequency,family,target,variant,geometry,policy,trades,win_rate,expectancy_r,total_r,expectancy_pips,total_pips,pf,maxdd_r,long,short,tp,sl,timeout,gross_expectancy_r,max_day_profit_share,top5_removed_total_r,mean_hold_seconds,timeout_rate,clusters,days,predicted_ev,longest_loss_streak,min_month_trades,worst_month_ev,positive_months,robust_gate,all_converged,cost_04_total_r,neighbor_low_total_r,neighbor_high_total_r
100,ELASTICNET,NET_R,FULL486,5,PERCENTILE_100,643,0.5054432348367,0.0052525765612255,3.377406728868,0.24183514774494,155.5,1.0232986170495,8.442107942093,459,184,62,42,539,0.015476374431328,0.092981363971267,-1.5988340007382,1107.3237682737,0.83825816485226,643,60,0.15433782232412,7,154,-0.0028633795284678,2,False,True,-3.196495301608,-15.816931256277,0.15187479956473
150,ELASTICNET,NET_R,FULL486,5,FREQUENCY_150,880,0.48409090909091,-0.019685179118619,-17.322957624384,-0.25659090909093,-225.80000000002,0.91779838787247,22.393179134975,608,272,77,68,735,-0.0092578526950761,0.096322975669198,-22.299198353991,1230.4659920455,0.83522727272727,880,62,0.13239115064379,9,252,-0.028317874572686,0,False,True,-26.499004877102,-32.615223029673,-3.878719159814
200,ELASTICNET,NET_R,FULL486,5,FREQUENCY_200,1098,0.48451730418944,-0.025011919926426,-27.463088079216,-0.49608378870673,-544.69999999999,0.89742038656783,35.735401881304,752,346,93,94,911,-0.014533819395827,0.078810313538842,-32.439328808822,1151.0558278689,0.82969034608379,1098,62,0.11626958133113,11,324,-0.035071411124129,0,False,True,-38.968042461814,-32.886852817048,-21.785690368758
300,ELASTICNET,NET_R,FULL486,5,PERCENTILE_300,1534,0.47783572359844,-0.030396921274944,-46.628877235764,-0.52737940026079,-809.00000000004,0.87901157503877,55.808940314981,1035,499,136,149,1249,-0.019674360230624,0.1276152363109,-51.605117965371,1056.068285528,0.8142112125163,1534,62,0.093300416228061,14,479,-0.03213514880809,0,False,True,-63.077285877752,-46.279431782823,-47.521057681119
100,EXTRA_TREES,NET_R,SCALE_FREE,2,FREQUENCY_100,297,0.54208754208754,0.047654246775674,14.153311292375,0.3232323232324,96.000000000024,1.1060558337078,16.578967746235,1,296,146,121,30,0.075562236552811,0.082091258219467,9.1993251996595,378.17988888889,0.1010101010101,297,62,0.026676145410994,7,80,0.021778647016878,3,True,True,5.8646383285656,12.788201097101,7.799523770779
150,EXTRA_TREES,NET_R,SCALE_FREE,4,PERCENTILE_150,490,0.51020408163265,-0.0062944096618394,-3.0842607343013,0.21632653061224,106,0.97951382640784,12.77884867333,7,483,96,83,311,0.0087575889601694,0.13025913693997,-8.0578244165958,1120.9484959184,0.63469387755102,490,62,0.050602963229725,7,139,-0.021315904663891,1,False,True,-10.459740059086,-12.273692882761,5.535641905432
200,EXTRA_TREES,NET_R,SCALE_FREE,4,PERCENTILE_200,704,0.49857954545455,-0.015246155315759,-10.733293342294,-0.057954545454535,-40.799999999993,0.95183908318623,20.779821668315,12,692,141,129,434,-0.0001942825576292,0.099699189999244,-15.707552995285,1002.686890625,0.61647727272727,704,62,0.038273576155465,10,206,-0.05342661341945,1,False,True,-21.329811764017,-24.562928988488,-9.9143924600525
300,EXTRA_TREES,NET_R,SCALE_FREE,4,PERCENTILE_300,1077,0.50232126276695,-0.016248426003399,-17.499554805661,-0.17000928505109,-183.10000000002,0.9479593719652,25.415171844765,36,1041,205,195,677,-0.0010741229916305,0.094410921581875,-22.47418210571,1075.1913649025,0.62859795728877,1077,62,0.023198891416733,8,303,-0.0365058065766,1,False,True,-33.842279149336,-40.839807234878,-22.714411523377
100,LIGHTGBM,NET_R,FULL486,5,PERCENTILE_100,274,0.5,-0.021442175945506,-5.8751562090686,-0.34744525547426,-95.199999999946,0.91323062745523,8.5520845515181,139,135,27,27,220,-0.0091322760286204,0.12798282060838,-10.841917651516,1461.1489817518,0.8029197080292,274,58,0.13228408808378,5,69,-0.028525874781155,0,False,True,-9.2480687862953,-15.444193586243,-1.51091410636
150,LIGHTGBM,NET_R,SCALE_FREE,2,FREQUENCY_150,405,0.50123456790123,-0.02035869489809,-8.2452714337266,0.019753086419798,8.0000000000181,0.95783968057578,21.812167656428,121,284,185,174,46,0.006963579906558,0.097971970163096,-13.20106837702,366.25201481481,0.11358024691358,405,61,0.16033468823511,6,131,-0.058017187272797,1,False,True,-19.310792729609,-17.715047042913,1.0168586728262
200,LIGHTGBM,NET_R,FULL486,5,FREQUENCY_200,706,0.46742209631728,-0.033945557758352,-23.965563777397,-0.63739376770536,-449.99999999998,0.86239196727812,29.903150129507,405,301,66,65,575,-0.021976908592809,0.14013320770545,-28.93700331634,1079.0074050992,0.81444759206799,706,61,0.09779404462176,7,166,-0.054687494822565,0,False,True,-32.415430088271,-35.906112623315,-19.320327737938
300,LIGHTGBM,NET_R,SCALE_FREE,5,FREQUENCY_300,1068,0.46722846441948,-0.04508722517076,-48.153156482372,-0.89522471910112,-956.1,0.8295203133539,51.543394084893,288,780,96,109,863,-0.033488045231962,0.14255149018393,-53.125152969241,1156.9847434457,0.80805243445693,1068,63,0.078443051079555,9,337,-0.066779648310518,0,False,True,-60.541080657009,-48.931584871519,-43.113120519832
100,LOGISTIC,NET_R,SCALE_FREE,5,FREQUENCY_100,560,0.5125,-0.0075414302224935,-4.2232009245963,0.21446428571431,120.10000000001,0.96832952603574,11.091258410535,303,257,58,51,451,0.0038195231838125,0.092909138672226,-9.197024020653,825.4654,0.80535714285714,560,62,0.49502502963244,8,136,-0.019806810480287,1,False,True,-10.585334832128,-24.125620628979,-4.8587117441481
150,LOGISTIC,NET_R,SCALE_FREE,5,PERCENTILE_150,775,0.49677419354839,-0.03729591289008,-28.904332489812,-0.4606451612903,-356.99999999998,0.85107105951808,29.500539064653,426,349,70,74,631,-0.026006571003412,0.10209740354837,-33.879558451561,1050.3507290323,0.8141935483871,775,63,0.43384298317509,8,193,-0.044932377187168,0,False,True,-37.65357245198,-39.144147223896,-7.2712065848544
200,LOGISTIC,NET_R,SCALE_FREE,5,FREQUENCY_200,995,0.49145728643216,-0.038487143340094,-38.294707623393,-0.64984924623112,-646.59999999996,0.84644772795965,40.38494680112,547,448,88,93,814,-0.027035036024628,0.1521253745839,-43.269933585142,1002.0024130653,0.81809045226131,995,63,0.38923887793654,8,288,-0.04669376953529,0,False,True,-49.689554402281,-45.227537917488,-27.689687451682
