task,check,max_error,status
ELASTICNET__NET_R__FULL486__g1__m202502,indices,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,long_score,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,short_score,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0_trades,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0_expectancy_r,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0_pf,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0_total_r,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0_maxdd_r,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0_neighbor_low,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0_neighbor_high,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0.05_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0.05_trades,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0.05_expectancy_r,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0.05_pf,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0.05_total_r,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0.05_maxdd_r,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0.05_neighbor_low,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0.05_neighbor_high,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0.1_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0.1_trades,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0.1_expectancy_r,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0.1_pf,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0.1_total_r,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0.1_maxdd_r,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0.1_neighbor_low,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0.1_neighbor_high,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ALL_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ALL_trades,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ALL_expectancy_r,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ALL_pf,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ALL_total_r,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ALL_maxdd_r,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ALL_neighbor_low,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ALL_neighbor_high,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,PERCENTILE_100_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,PERCENTILE_100_trades,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,PERCENTILE_100_expectancy_r,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,PERCENTILE_100_pf,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,PERCENTILE_100_total_r,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,PERCENTILE_100_maxdd_r,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,PERCENTILE_100_neighbor_low,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,PERCENTILE_100_neighbor_high,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,FREQUENCY_100_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,FREQUENCY_100_trades,0,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,FREQUENCY_100_expectancy_r,0,PASS
