family,month,geometry,variant,scope,check,max_difference,status,direction,rows,max_raw_additivity_error,tolerance
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,deterministic_refit_1,0,PASS,,,,
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,deterministic_refit_-1,0,PASS,,,,
ELASTICNET,202503,5,FULL486,SELECTED_FORWARD,deterministic_refit_1,0,PASS,,,,
ELASTICNET,202503,5,FULL486,SELECTED_FORWARD,deterministic_refit_-1,0,PASS,,,,
ELASTICNET,202504,5,FULL486,SELECTED_FORWARD,deterministic_refit_1,0,PASS,,,,
ELASTICNET,202504,5,FULL486,SELECTED_FORWARD,deterministic_refit_-1,0,PASS,,,,
LIGHTGBM,202502,5,FULL486,LIGHTGBM_ATTRIBUTION_ONLY_NOT_SELECTED,,,PASS,1,512,3.3306690738755e-16,1e-09
LIGHTGBM,202502,5,FULL486,LIGHTGBM_ATTRIBUTION_ONLY_NOT_SELECTED,,,PASS,-1,512,1.6653345369377e-16,1e-09
LIGHTGBM,202503,5,FULL486,LIGHTGBM_ATTRIBUTION_ONLY_NOT_SELECTED,,,PASS,1,512,2.7755575615629e-16,1e-09
LIGHTGBM,202503,5,FULL486,LIGHTGBM_ATTRIBUTION_ONLY_NOT_SELECTED,,,PASS,-1,512,2.2204460492503e-16,1e-09
LIGHTGBM,202504,5,FULL486,LIGHTGBM_ATTRIBUTION_ONLY_NOT_SELECTED,,,PASS,1,512,2.7755575615629e-16,1e-09
LIGHTGBM,202504,5,FULL486,LIGHTGBM_ATTRIBUTION_ONLY_NOT_SELECTED,,,PASS,-1,512,8.3266726846887e-17,1e-09
