check,status,actual,expected
only_usdjpy_training,PASS,,
causal_features,PASS,,
no_duplicate_episodes,PASS,,
DEVELOPMENT_only_usdjpy,PASS,,
DEVELOPMENT_entry_processing,PASS,,
DEVELOPMENT_entry_source_quote,PASS,,
DEVELOPMENT_exit_after_entry,PASS,,
DEVELOPMENT_entry_eligible,PASS,,
DEVELOPMENT_unique,PASS,,
DEVELOPMENT_independent_trades,PASS,880,880
DEVELOPMENT_independent_tp,PASS,77,77
DEVELOPMENT_independent_sl,PASS,68,68
DEVELOPMENT_independent_timeout,PASS,735,735
DEVELOPMENT_independent_total_r,PASS,-17.322957624384546,-17.32295762438432
DEVELOPMENT_independent_expectancy_r,PASS,-0.019685179118618803,-0.019685179118618546
DEVELOPMENT_independent_pf,PASS,0.9177983878724721,0.917798387872472
DEVELOPMENT_independent_maxdd_r,PASS,22.39317913497087,22.393179134974545
DEVELOPMENT_202502_portfolio,PASS,,
DEVELOPMENT_202503_portfolio,PASS,,
DEVELOPMENT_202504_portfolio,PASS,,
HOLDOUT_only_usdjpy,PASS,,
HOLDOUT_entry_processing,PASS,,
HOLDOUT_entry_source_quote,PASS,,
HOLDOUT_exit_after_entry,PASS,,
HOLDOUT_entry_eligible,PASS,,
HOLDOUT_unique,PASS,,
HOLDOUT_independent_trades,PASS,140,140
HOLDOUT_independent_tp,PASS,14,14
HOLDOUT_independent_sl,PASS,17,17
HOLDOUT_independent_timeout,PASS,109,109
HOLDOUT_independent_total_r,PASS,-3.450004605260019,-3.4500046052605597
HOLDOUT_independent_expectancy_r,PASS,-0.024642890037571565,-0.024642890037575426
HOLDOUT_independent_pf,PASS,0.9063581525396062,0.9063581525395905
HOLDOUT_independent_maxdd_r,PASS,15.226136049406028,15.226136049406009
HOLDOUT_202505_portfolio,PASS,,
HOLDOUT_202506_portfolio,PASS,,
ELASTICNET__NET_R__FULL486__g1__m202502_fit_indices,PASS,,
ELASTICNET__NET_R__FULL486__g1__m202502_converged,PASS,,
ELASTICNET__NET_R__FULL486__g1__m202503_fit_indices,PASS,,
ELASTICNET__NET_R__FULL486__g1__m202503_converged,PASS,,
ELASTICNET__NET_R__FULL486__g1__m202504_fit_indices,PASS,,
ELASTICNET__NET_R__FULL486__g1__m202504_converged,PASS,,
ELASTICNET__NET_R__FULL486__g2__m202502_fit_indices,PASS,,
ELASTICNET__NET_R__FULL486__g2__m202502_converged,PASS,,
ELASTICNET__NET_R__FULL486__g2__m202503_fit_indices,PASS,,
ELASTICNET__NET_R__FULL486__g2__m202503_converged,PASS,,
ELASTICNET__NET_R__FULL486__g2__m202504_fit_indices,PASS,,
ELASTICNET__NET_R__FULL486__g2__m202504_converged,PASS,,
ELASTICNET__NET_R__FULL486__g3__m202502_fit_indices,PASS,,
ELASTICNET__NET_R__FULL486__g3__m202502_converged,PASS,,
ELASTICNET__NET_R__FULL486__g3__m202503_fit_indices,PASS,,
ELASTICNET__NET_R__FULL486__g3__m202503_converged,PASS,,
ELASTICNET__NET_R__FULL486__g3__m202504_fit_indices,PASS,,
ELASTICNET__NET_R__FULL486__g3__m202504_converged,PASS,,
ELASTICNET__NET_R__FULL486__g4__m202502_fit_indices,PASS,,
ELASTICNET__NET_R__FULL486__g4__m202502_converged,PASS,,
ELASTICNET__NET_R__FULL486__g4__m202503_fit_indices,PASS,,
ELASTICNET__NET_R__FULL486__g4__m202503_converged,PASS,,
ELASTICNET__NET_R__FULL486__g4__m202504_fit_indices,PASS,,
ELASTICNET__NET_R__FULL486__g4__m202504_converged,PASS,,
ELASTICNET__NET_R__FULL486__g5__m202502_fit_indices,PASS,,
ELASTICNET__NET_R__FULL486__g5__m202502_converged,PASS,,
ELASTICNET__NET_R__FULL486__g5__m202503_fit_indices,PASS,,
ELASTICNET__NET_R__FULL486__g5__m202503_converged,PASS,,
ELASTICNET__NET_R__FULL486__g5__m202504_fit_indices,PASS,,
ELASTICNET__NET_R__FULL486__g5__m202504_converged,PASS,,
ELASTICNET__NET_R__SCALE_FREE__g1__m202502_fit_indices,PASS,,
ELASTICNET__NET_R__SCALE_FREE__g1__m202502_converged,PASS,,
ELASTICNET__NET_R__SCALE_FREE__g1__m202503_fit_indices,PASS,,
ELASTICNET__NET_R__SCALE_FREE__g1__m202503_converged,PASS,,
ELASTICNET__NET_R__SCALE_FREE__g1__m202504_fit_indices,PASS,,
ELASTICNET__NET_R__SCALE_FREE__g1__m202504_converged,PASS,,
ELASTICNET__NET_R__SCALE_FREE__g2__m202502_fit_indices,PASS,,
ELASTICNET__NET_R__SCALE_FREE__g2__m202502_converged,PASS,,
ELASTICNET__NET_R__SCALE_FREE__g2__m202503_fit_indices,PASS,,
ELASTICNET__NET_R__SCALE_FREE__g2__m202503_converged,PASS,,
ELASTICNET__NET_R__SCALE_FREE__g2__m202504_fit_indices,PASS,,
ELASTICNET__NET_R__SCALE_FREE__g2__m202504_converged,PASS,,
ELASTICNET__NET_R__SCALE_FREE__g3__m202502_fit_indices,PASS,,
ELASTICNET__NET_R__SCALE_FREE__g3__m202502_converged,PASS,,
ELASTICNET__NET_R__SCALE_FREE__g3__m202503_fit_indices,PASS,,
ELASTICNET__NET_R__SCALE_FREE__g3__m202503_converged,PASS,,
ELASTICNET__NET_R__SCALE_FREE__g3__m202504_fit_indices,PASS,,
ELASTICNET__NET_R__SCALE_FREE__g3__m202504_converged,PASS,,
ELASTICNET__NET_R__SCALE_FREE__g4__m202502_fit_indices,PASS,,
ELASTICNET__NET_R__SCALE_FREE__g4__m202502_converged,PASS,,
ELASTICNET__NET_R__SCALE_FREE__g4__m202503_fit_indices,PASS,,
ELASTICNET__NET_R__SCALE_FREE__g4__m202503_converged,PASS,,
ELASTICNET__NET_R__SCALE_FREE__g4__m202504_fit_indices,PASS,,
ELASTICNET__NET_R__SCALE_FREE__g4__m202504_converged,PASS,,
ELASTICNET__NET_R__SCALE_FREE__g5__m202502_fit_indices,PASS,,
ELASTICNET__NET_R__SCALE_FREE__g5__m202502_converged,PASS,,
ELASTICNET__NET_R__SCALE_FREE__g5__m202503_fit_indices,PASS,,
ELASTICNET__NET_R__SCALE_FREE__g5__m202503_converged,PASS,,
ELASTICNET__NET_R__SCALE_FREE__g5__m202504_fit_indices,PASS,,
ELASTICNET__NET_R__SCALE_FREE__g5__m202504_converged,PASS,,
EXTRA_TREES__NET_R__FULL486__g1__m202502_fit_indices,PASS,,
EXTRA_TREES__NET_R__FULL486__g1__m202502_converged,PASS,,
EXTRA_TREES__NET_R__FULL486__g1__m202503_fit_indices,PASS,,
EXTRA_TREES__NET_R__FULL486__g1__m202503_converged,PASS,,
EXTRA_TREES__NET_R__FULL486__g1__m202504_fit_indices,PASS,,
EXTRA_TREES__NET_R__FULL486__g1__m202504_converged,PASS,,
EXTRA_TREES__NET_R__FULL486__g2__m202502_fit_indices,PASS,,
EXTRA_TREES__NET_R__FULL486__g2__m202502_converged,PASS,,
EXTRA_TREES__NET_R__FULL486__g2__m202503_fit_indices,PASS,,
EXTRA_TREES__NET_R__FULL486__g2__m202503_converged,PASS,,
EXTRA_TREES__NET_R__FULL486__g2__m202504_fit_indices,PASS,,
EXTRA_TREES__NET_R__FULL486__g2__m202504_converged,PASS,,
EXTRA_TREES__NET_R__FULL486__g3__m202502_fit_indices,PASS,,
EXTRA_TREES__NET_R__FULL486__g3__m202502_converged,PASS,,
EXTRA_TREES__NET_R__FULL486__g3__m202503_fit_indices,PASS,,
EXTRA_TREES__NET_R__FULL486__g3__m202503_converged,PASS,,
EXTRA_TREES__NET_R__FULL486__g3__m202504_fit_indices,PASS,,
EXTRA_TREES__NET_R__FULL486__g3__m202504_converged,PASS,,
EXTRA_TREES__NET_R__FULL486__g4__m202502_fit_indices,PASS,,
EXTRA_TREES__NET_R__FULL486__g4__m202502_converged,PASS,,
EXTRA_TREES__NET_R__FULL486__g4__m202503_fit_indices,PASS,,
EXTRA_TREES__NET_R__FULL486__g4__m202503_converged,PASS,,
EXTRA_TREES__NET_R__FULL486__g4__m202504_fit_indices,PASS,,
EXTRA_TREES__NET_R__FULL486__g4__m202504_converged,PASS,,
EXTRA_TREES__NET_R__FULL486__g5__m202502_fit_indices,PASS,,
EXTRA_TREES__NET_R__FULL486__g5__m202502_converged,PASS,,
EXTRA_TREES__NET_R__FULL486__g5__m202503_fit_indices,PASS,,
EXTRA_TREES__NET_R__FULL486__g5__m202503_converged,PASS,,
EXTRA_TREES__NET_R__FULL486__g5__m202504_fit_indices,PASS,,
EXTRA_TREES__NET_R__FULL486__g5__m202504_converged,PASS,,
EXTRA_TREES__NET_R__SCALE_FREE__g1__m202502_fit_indices,PASS,,
EXTRA_TREES__NET_R__SCALE_FREE__g1__m202502_converged,PASS,,
EXTRA_TREES__NET_R__SCALE_FREE__g1__m202503_fit_indices,PASS,,
EXTRA_TREES__NET_R__SCALE_FREE__g1__m202503_converged,PASS,,
EXTRA_TREES__NET_R__SCALE_FREE__g1__m202504_fit_indices,PASS,,
EXTRA_TREES__NET_R__SCALE_FREE__g1__m202504_converged,PASS,,
EXTRA_TREES__NET_R__SCALE_FREE__g2__m202502_fit_indices,PASS,,
EXTRA_TREES__NET_R__SCALE_FREE__g2__m202502_converged,PASS,,
EXTRA_TREES__NET_R__SCALE_FREE__g2__m202503_fit_indices,PASS,,
EXTRA_TREES__NET_R__SCALE_FREE__g2__m202503_converged,PASS,,
EXTRA_TREES__NET_R__SCALE_FREE__g2__m202504_fit_indices,PASS,,
EXTRA_TREES__NET_R__SCALE_FREE__g2__m202504_converged,PASS,,
EXTRA_TREES__NET_R__SCALE_FREE__g3__m202502_fit_indices,PASS,,
EXTRA_TREES__NET_R__SCALE_FREE__g3__m202502_converged,PASS,,
EXTRA_TREES__NET_R__SCALE_FREE__g3__m202503_fit_indices,PASS,,
EXTRA_TREES__NET_R__SCALE_FREE__g3__m202503_converged,PASS,,
EXTRA_TREES__NET_R__SCALE_FREE__g3__m202504_fit_indices,PASS,,
EXTRA_TREES__NET_R__SCALE_FREE__g3__m202504_converged,PASS,,
EXTRA_TREES__NET_R__SCALE_FREE__g4__m202502_fit_indices,PASS,,
EXTRA_TREES__NET_R__SCALE_FREE__g4__m202502_converged,PASS,,
EXTRA_TREES__NET_R__SCALE_FREE__g4__m202503_fit_indices,PASS,,
EXTRA_TREES__NET_R__SCALE_FREE__g4__m202503_converged,PASS,,
EXTRA_TREES__NET_R__SCALE_FREE__g4__m202504_fit_indices,PASS,,
EXTRA_TREES__NET_R__SCALE_FREE__g4__m202504_converged,PASS,,
EXTRA_TREES__NET_R__SCALE_FREE__g5__m202502_fit_indices,PASS,,
