time,event,symbol,direction,session,entry_selection_mode,scan_interval,strategy_name,label,fail_reason,execution_block_reason,fib_zone,h4_trend_state,h1_counter_trend_state,neckline_break_label,h4_impulse_pass,h4_pullback_zone_pass,h1_counter_trend_pass,neckline_pass,structure_sl_pass,rr_pass,spread_guard_pass,spread_guard_blocked,setup_pass,entry_pass,final_entry_pass,h4_impulse_high,h4_impulse_low,h4_fib_retracement_pct,h4_atr,h1_atr,m15_atr,spread_atr,spread_points,neckline_price,neckline_break_close_price,right_side_level,entry_price,sl,tp,volume,risk_r,rr,bars_since_right_side,distance_neckline_to_entry,distance_neckline_to_entry_atr,distance_right_side_to_entry,distance_right_side_to_entry_atr,sl_points,sl_atr,tp_points,tp_atr,quality_score,retest_confirmation_mode,retest_detected,retest_held,retest_trigger_pass,retest_failed,original_neckline_break_time,retest_detected_time,retest_trigger_time,retest_bars_after_breakout,entry_delay_bars,retest_depth_atr,retest_zone_atr,retest_reclaim_price,retest_distance_from_neckline_atr,false_break_return_inside_neckline,retest_quality,retest_failure_reason,breakout_quality_router_mode,breakout_quality_label,breakout_quality_reason,breakout_quality_pass,breakout_strong,breakout_weak,breakout_dirty,breakout_close_distance_from_neckline_atr,breakout_close_distance_from_neckline_points,breakout_body_ratio,breakout_body_atr,breakout_range_atr,breakout_directional_wick_ratio,breakout_close_position_directional,neckline_touch_count,context_quality_router_mode,context_quality_label,context_quality_reason,context_quality_score,context_clean,context_mixed,context_poor,structural_bos_mode,structural_bos_state,m15_confirmation_type,h1_bos_level,h1_counter_nwave_high,h1_counter_nwave_low,distance_bos_to_entry,distance_bos_to_entry_atr,bars_since_bos,h4_pivot_sequence,h1_pivot_sequence,h4_impulse_atr,h1_counter_wave_atr,h4_correction_depth,true_bos_level,bos_level_source_pivot,room_to_1r,room_to_2r,room_to_target_label,h4_bias_state,h4_ma_state,h4_dow_state,h4_fib_zone,h1_pullback_type,h1_prev_extreme_break_state,h1_counter_nwave_state,bos_level_type,m15_trigger_type,nearest_obstacle_type,nearest_obstacle_price,cond_h4_bias_ma,cond_h4_dow_bias,cond_h4_fib_382_618,cond_h1_prev_extreme_break,cond_h1_counter_nwave,cond_h1_counter_wave_atr,cond_true_bos_level,cond_m15_prev_extreme_bos,cond_m15_close_bos,cond_room_to_1r,cond_room_to_2r,cond_sl_atr_ok
2024.01.02 13:00:00,blocked_candidate,GBPJPY,SHORT,server_08_15,all_score_passing,300,Nested_Fixed_Room2R,fixed_condition_room_to_2r_fail,fixed_condition_room_to_2r_fail,,valid_h4_pullback_zone,none,counter_nwave_fail,condition_factorial_candidate,true,true,true,true,true,true,true,false,true,false,false,182.177,178.998,48.13,0.650,0.328,0.198,0.0607,12.0,179.092,179.828,180.203,179.827,180.215,179.051,0.18,0.388,2.00,1,0.735,3.72,0.376,1.90,388.0,1.96,776.0,3.93,128.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,condition_factorial_candidate,not_evaluated,179.092,180.203,179.092,0.000,0.00,1,A_high@2023.12.27 16:00=182.17700|B_low@2023.12.28 16:00=178.99800|C_high@2023.12.29 12:00=180.52800,high_latest@2024.01.02 04:00=180.20300|low_latest@2024.01.02 00:00=179.09200|bos@2024.01.02 00:00=179.09200,4.89,2.75,48.13,179.092,h1_last_higher_low,1.89,0.95,room_to_1r_only,none,ma_bias_pass,dow_bias_fail,valid_h4_pullback_zone,pullback_up,prev_extreme_break,counter_nwave_fail,weak_higher_low,m15_prev_extreme_bos,h1_counter_low,179.092,true,false,true,true,false,true,true,true,false,true,false,true
2024.01.08 18:45:00,blocked_candidate,AUDJPY,LONG,server_16_23,all_score_passing,300,Nested_Fixed_Room2R,fixed_room2r,spread_guard,spread_guard,too_shallow_pullback,none,counter_nwave_pass,condition_factorial_candidate,true,false,true,true,true,true,false,true,true,false,false,97.190,96.012,29.54,0.333,0.154,0.087,0.2182,19.0,96.724,96.629,96.557,96.648,96.538,96.868,0.65,0.110,2.00,1,0.076,0.87,0.091,1.05,110.0,1.26,220.0,2.53,128.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,condition_factorial_candidate,not_evaluated,96.724,96.883,96.557,0.000,0.00,1,A_low@2024.01.03 16:00=96.01200|B_high@2024.01.04 12:00=97.19000|C_low@2024.01.05 12:00=96.84200,high_latest@2024.01.08 14:00=96.72400|low_latest@2024.01.08 11:00=96.55700|bos@2024.01.08 14:00=96.72400,3.54,2.12,29.54,96.724,h1_last_lower_high,2.14,1.07,room_to_2r_ok,none,ma_bias_fail,dow_bias_pass,too_shallow_pullback,pullback_down,prev_extreme_break,counter_nwave_pass,last_lower_high,m15_prev_extreme_bos,h1_counter_high,96.883,false,true,false,true,true,true,true,true,false,true,true,true
2024.01.16 09:00:00,final_entry_candidate,XAUUSD,LONG,server_08_15,all_score_passing,300,Nested_Fixed_Room2R,fixed_room2r,,,too_shallow_pullback,none,counter_nwave_pass,condition_factorial_candidate,true,false,true,true,true,true,true,false,true,true,true,2062.19,2013.32,26.52,7.48,2.48,1.31,0.1375,18.0,2055.55,2050.42,2049.23,2050.60,2049.05,2053.70,0.32,1.55,2.00,1,4.95,3.78,1.37,1.05,155.0,1.18,310.0,2.37,128.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.00,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,condition_factorial_candidate,not_evaluated,2055.55,2056.30,2049.23,0.00,0.00,1,A_low@2024.01.11 16:00=2013.32000|B_high@2024.01.12 16:00=2062.19000|C_low@2024.01.15 16:00=2049.23000,high_latest@2024.01.16 01:00=2055.55000|low_latest@2024.01.15 17:00=2049.23000|bos@2024.01.16 01:00=2055.55000,6.53,2.85,26.52,2055.55,h1_last_lower_high,3.68,1.84,room_to_2r_ok,none,ma_bias_pass,dow_bias_fail,too_shallow_pullback,pullback_down,prev_extreme_break,counter_nwave_pass,last_lower_high,m15_prev_extreme_bos,h1_counter_high,2056.30,true,false,false,true,true,true,true,true,false,true,true,true
2024.01.16 09:00:00,order_sent,XAUUSD,LONG,server_08_15,all_score_passing,300,Nested_Fixed_Room2R,fixed_room2r,,,too_shallow_pullback,none,counter_nwave_pass,condition_factorial_candidate,true,false,true,true,true,true,true,false,true,true,true,2062.19,2013.32,26.52,7.48,2.48,1.31,0.1375,18.0,2055.55,2050.42,2049.23,2050.60,2049.05,2053.70,0.32,1.55,2.00,1,4.95,3.78,1.37,1.05,155.0,1.18,310.0,2.37,128.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.00,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,condition_factorial_candidate,not_evaluated,2055.55,2056.30,2049.23,0.00,0.00,1,A_low@2024.01.11 16:00=2013.32000|B_high@2024.01.12 16:00=2062.19000|C_low@2024.01.15 16:00=2049.23000,high_latest@2024.01.16 01:00=2055.55000|low_latest@2024.01.15 17:00=2049.23000|bos@2024.01.16 01:00=2055.55000,6.53,2.85,26.52,2055.55,h1_last_lower_high,3.68,1.84,room_to_2r_ok,none,ma_bias_pass,dow_bias_fail,too_shallow_pullback,pullback_down,prev_extreme_break,counter_nwave_pass,last_lower_high,m15_prev_extreme_bos,h1_counter_high,2056.30,true,false,false,true,true,true,true,true,false,true,true,true
2024.01.19 07:45:00,blocked_candidate,GBPUSD,SHORT,server_00_07,all_score_passing,300,Nested_Fixed_Room2R,fixed_room2r,spread_guard,spread_guard,unknown,none,counter_nwave_pass,condition_factorial_candidate,true,false,true,true,true,true,false,true,true,false,false,0.00000,0.00000,0.00,0.00360,0.00140,0.00042,0.2828,12.0,1.26990,1.27006,1.27032,1.27006,1.27044,1.26930,1.00,0.00038,2.00,1,0.00016,0.38,0.00026,0.61,38.0,0.90,76.0,1.79,128.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.00000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,condition_factorial_candidate,not_evaluated,1.26990,1.27032,1.26473,0.00000,0.00,1,,high_latest@2024.01.18 08:00=1.27032|low_latest@2024.01.19 03:00=1.26990|bos@2024.01.19 03:00=1.26990,0.00,3.99,0.00,1.26990,h1_last_higher_low,14.03,7.01,room_to_2r_ok,none,ma_bias_pass,dow_bias_fail,unknown,pullback_up,prev_extreme_break,counter_nwave_pass,last_higher_low,m15_prev_extreme_bos,h1_counter_low,1.26473,true,false,false,true,true,true,true,true,false,true,true,true
2024.01.23 07:19:59,blocked_candidate,GBPJPY,LONG,server_00_07,all_score_passing,300,Nested_Fixed_Room2R,fixed_condition_room_to_2r_fail,fixed_condition_room_to_2r_fail,,too_deep_pullback,none,counter_nwave_pass,condition_factorial_candidate,true,false,true,true,true,true,true,false,true,false,false,188.928,187.311,94.25,0.519,0.262,0.247,0.0890,22.0,188.372,188.413,187.916,188.405,187.894,189.427,0.14,0.511,2.00,1,0.033,0.13,0.489,1.98,511.0,2.07,1022.0,4.13,128.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,condition_factorial_candidate,not_evaluated,188.372,188.386,187.916,0.000,0.00,1,A_low@2024.01.18 16:00=187.31100|B_high@2024.01.19 08:00=188.92800|C_low@2024.01.19 12:00=187.40400,high_latest@2024.01.22 19:00=188.37200|low_latest@2024.01.23 00:00=187.91600|bos@2024.01.22 19:00=188.37200,3.11,1.79,94.25,188.372,h1_last_lower_high,1.02,0.51,room_to_1r_only,none,ma_bias_pass,dow_bias_fail,too_deep_pullback,pullback_down,prev_extreme_break,counter_nwave_pass,last_lower_high,m15_true_bos_close,h4_impulse_high,188.928,true,false,false,true,true,true,true,false,true,true,false,true
2024.01.23 10:49:59,blocked_candidate,EURUSD,SHORT,server_08_15,all_score_passing,300,Nested_Fixed_Room2R,fixed_room2r,spread_guard,spread_guard,unknown,none,counter_nwave_fail,condition_factorial_candidate,true,false,true,true,true,true,false,true,true,false,false,0.00000,0.00000,0.00,0.00180,0.00089,0.00061,0.2442,15.0,1.08750,1.08976,1.08994,1.08964,1.09009,1.08874,1.00,0.00045,2.00,1,0.00214,3.48,0.00030,0.49,45.0,0.73,90.0,1.47,120.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.00000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,condition_factorial_candidate,not_evaluated,1.08750,1.08994,1.08750,0.00000,0.00,1,,high_latest@2024.01.22 19:00=1.08994|low_latest@2024.01.23 02:00=1.08750|bos@2024.01.23 02:00=1.08750,0.00,2.20,0.00,1.08750,h1_last_higher_low,4.76,2.38,room_to_2r_ok,none,ma_bias_pass,dow_bias_fail,unknown,pullback_up,prev_extreme_break,counter_nwave_fail,weak_higher_low,m15_prev_extreme_bos,h1_counter_low,1.08750,true,false,false,true,false,true,true,true,false,true,true,true
2024.01.23 11:04:59,blocked_candidate,EURUSD,SHORT,server_08_15,all_score_passing,300,Nested_Fixed_Room2R,fixed_condition_room_to_2r_fail,fixed_condition_room_to_2r_fail,,unknown,none,counter_nwave_fail,condition_factorial_candidate,true,false,true,true,true,true,false,true,true,false,false,0.00000,0.00000,0.00,0.00180,0.00093,0.00064,0.2514,16.0,1.08750,1.08945,1.08994,1.08897,1.09010,1.08671,0.44,0.00113,2.00,1,0.00147,2.31,0.00097,1.52,113.0,1.78,226.0,3.55,120.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.00000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,condition_factorial_candidate,not_evaluated,1.08750,1.08994,1.08750,0.00000,0.00,1,,high_latest@2024.01.22 19:00=1.08994|low_latest@2024.01.23 02:00=1.08750|bos@2024.01.23 02:00=1.08750,0.00,2.11,0.00,1.08750,h1_last_higher_low,1.30,0.65,room_to_1r_only,none,ma_bias_pass,dow_bias_fail,unknown,pullback_up,prev_extreme_break,counter_nwave_fail,weak_higher_low,m15_prev_extreme_bos,h1_counter_low,1.08750,true,false,false,true,false,true,true,true,false,true,false,true
2024.01.23 11:19:59,blocked_candidate,EURUSD,SHORT,server_08_15,all_score_passing,300,Nested_Fixed_Room2R,fixed_condition_room_to_2r_fail,fixed_condition_room_to_2r_fail,,unknown,none,counter_nwave_fail,condition_factorial_candidate,true,false,true,true,true,true,false,true,true,false,false,0.00000,0.00000,0.00,0.00180,0.00093,0.00067,0.2076,14.0,1.08750,1.08884,1.08994,1.08893,1.09008,1.08663,0.43,0.00115,2.00,1,0.00143,2.12,0.00101,1.50,115.0,1.71,230.0,3.41,120.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.00000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,condition_factorial_candidate,not_evaluated,1.08750,1.08994,1.08750,0.00000,0.00,1,,high_latest@2024.01.22 19:00=1.08994|low_latest@2024.01.23 02:00=1.08750|bos@2024.01.23 02:00=1.08750,0.00,2.11,0.00,1.08750,h1_last_higher_low,1.24,0.62,room_to_1r_only,none,ma_bias_pass,dow_bias_fail,unknown,pullback_up,prev_extreme_break,counter_nwave_fail,weak_higher_low,m15_prev_extreme_bos,h1_counter_low,1.08750,true,false,false,true,false,true,true,true,false,true,false,true
2024.01.24 18:19:59,final_entry_candidate,GBPJPY,LONG,server_16_23,all_score_passing,300,Nested_Fixed_Room2R,fixed_room2r,,,unknown,none,counter_nwave_fail,condition_factorial_candidate,true,false,true,true,true,true,true,false,true,true,true,0.000,0.000,0.00,0.586,0.350,0.207,0.1113,23.0,188.466,187.668,187.454,187.616,187.431,187.986,0.39,0.185,2.00,1,0.850,4.11,0.162,0.78,185.0,0.90,370.0,1.79,120.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,condition_factorial_candidate,not_evaluated,188.466,188.466,187.454,0.000,0.00,1,,high_latest@2024.01.24 11:00=188.46600|low_latest@2024.01.24 10:00=187.45400|bos@2024.01.24 11:00=188.46600,0.00,1.43,0.00,188.466,h1_last_lower_high,4.59,2.30,room_to_2r_ok,none,ma_bias_pass,dow_bias_fail,unknown,pullback_down,prev_extreme_break,counter_nwave_fail,weak_lower_high,m15_prev_extreme_bos,h1_counter_high,188.466,true,false,false,true,false,true,true,true,false,true,true,true
