time,event,symbol,direction,session,order_retcode,order_comment,strategy_name,label,fail_reason,execution_block_reason,fib_zone,h4_trend_state,h1_counter_trend_state,neckline_break_label,entry_price,sl,tp,volume,risk_r,rr,sl_points,sl_atr,tp_points,tp_atr,neckline_price,neckline_break_close_price,right_side_level,bars_since_right_side,distance_neckline_to_entry_atr,distance_right_side_to_entry_atr,spread_atr,spread_points,quality_score,retest_confirmation_mode,retest_detected,retest_held,retest_trigger_pass,retest_failed,original_neckline_break_time,retest_detected_time,retest_trigger_time,retest_bars_after_breakout,entry_delay_bars,retest_depth_atr,retest_zone_atr,retest_reclaim_price,retest_distance_from_neckline_atr,false_break_return_inside_neckline,retest_quality,retest_failure_reason,breakout_quality_router_mode,breakout_quality_label,breakout_quality_reason,breakout_quality_pass,breakout_strong,breakout_weak,breakout_dirty,breakout_close_distance_from_neckline_atr,breakout_close_distance_from_neckline_points,breakout_body_ratio,breakout_body_atr,breakout_range_atr,breakout_directional_wick_ratio,breakout_close_position_directional,neckline_touch_count,context_quality_router_mode,context_quality_label,context_quality_reason,context_quality_score,context_clean,context_mixed,context_poor,structural_bos_mode,structural_bos_state,m15_confirmation_type,h1_bos_level,h1_counter_nwave_high,h1_counter_nwave_low,distance_bos_to_entry,distance_bos_to_entry_atr,bars_since_bos,h4_pivot_sequence,h1_pivot_sequence,h4_impulse_atr,h1_counter_wave_atr,h4_correction_depth,true_bos_level,bos_level_source_pivot,room_to_1r,room_to_2r,room_to_target_label,h4_bias_state,h4_ma_state,h4_dow_state,h4_fib_zone,h1_pullback_type,h1_prev_extreme_break_state,h1_counter_nwave_state,bos_level_type,m15_trigger_type,nearest_obstacle_type,nearest_obstacle_price,cond_h4_bias_ma,cond_h4_dow_bias,cond_h4_fib_382_618,cond_h1_prev_extreme_break,cond_h1_counter_nwave,cond_h1_counter_wave_atr,cond_true_bos_level,cond_m15_prev_extreme_bos,cond_m15_close_bos,cond_room_to_1r,cond_room_to_2r,cond_sl_atr_ok
2024.01.04 02:35:00,order_attempt,GBPJPY,LONG,server_00_07,0,,Nested_Fixed_Room2R_LowerTF,fixed_room2r_lower_tf,,,too_deep_pullback,none,counter_nwave_pass,condition_factorial_candidate,181.334,181.170,181.662,0.43,0.164,2.00,164.0,2.13,328.0,4.26,181.497,181.319,181.185,1,2.12,1.94,0.1950,15.0,136.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,condition_factorial_candidate,not_evaluated,181.497,181.692,181.185,0.000,0.00,1,A_low@2024.01.02 17:00=178.73000|B_high@2024.01.02 19:00=179.37700|C_low@2024.01.03 00:00=178.88900,high_latest@2024.01.03 23:30=181.49700|low_latest@2024.01.04 01:00=181.18500|bos@2024.01.03 23:30=181.49700,2.03,4.11,75.43,181.497,h1_last_lower_high,2.18,1.09,room_to_2r_ok,none,ma_bias_pass,dow_bias_pass,too_deep_pullback,pullback_down,prev_extreme_break,counter_nwave_pass,last_lower_high,m15_prev_extreme_bos,h1_counter_high,181.692,true,true,false,true,true,true,true,true,false,true,true,true
2024.01.04 02:35:00,order_sent,GBPJPY,LONG,server_00_07,10009,order_sent,Nested_Fixed_Room2R_LowerTF,fixed_room2r_lower_tf,,,too_deep_pullback,none,counter_nwave_pass,condition_factorial_candidate,181.334,181.170,181.662,0.43,0.164,2.00,164.0,2.13,328.0,4.26,181.497,181.319,181.185,1,2.12,1.94,0.1950,15.0,136.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,condition_factorial_candidate,not_evaluated,181.497,181.692,181.185,0.000,0.00,1,A_low@2024.01.02 17:00=178.73000|B_high@2024.01.02 19:00=179.37700|C_low@2024.01.03 00:00=178.88900,high_latest@2024.01.03 23:30=181.49700|low_latest@2024.01.04 01:00=181.18500|bos@2024.01.03 23:30=181.49700,2.03,4.11,75.43,181.497,h1_last_lower_high,2.18,1.09,room_to_2r_ok,none,ma_bias_pass,dow_bias_pass,too_deep_pullback,pullback_down,prev_extreme_break,counter_nwave_pass,last_lower_high,m15_prev_extreme_bos,h1_counter_high,181.692,true,true,false,true,true,true,true,true,false,true,true,true
2024.01.05 15:50:00,order_attempt,XAUUSD,SHORT,server_08_15,0,,Nested_Fixed_Room2R_LowerTF,fixed_room2r_lower_tf,,,too_deep_pullback,none,counter_nwave_fail,condition_factorial_candidate,2034.13,2040.89,2020.61,0.07,6.76,2.00,676.0,2.08,1352.0,4.16,2037.10,2034.06,2040.71,1,0.91,2.02,0.0553,18.0,120.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.00,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,condition_factorial_candidate,not_evaluated,2037.10,2040.71,2037.10,0.00,0.00,1,A_high@2024.01.05 03:00=2048.18000|B_low@2024.01.05 08:00=2040.88000|C_high@2024.01.05 09:00=2046.93000,high_latest@2024.01.05 14:00=2040.71000|low_latest@2024.01.05 13:15=2037.10000|bos@2024.01.05 13:15=2037.10000,2.50,0.00,82.88,2037.10,h1_last_higher_low,0.00,0.00,no_known_obstacle,none,ma_bias_pass,dow_bias_pass,too_deep_pullback,pullback_up,prev_extreme_break,counter_nwave_fail,weak_higher_low,m15_true_bos_close,no_known_obstacle,0.00,true,true,false,true,false,false,true,false,true,true,true,true
2024.01.05 15:50:00,order_sent,XAUUSD,SHORT,server_08_15,10009,order_sent,Nested_Fixed_Room2R_LowerTF,fixed_room2r_lower_tf,,,too_deep_pullback,none,counter_nwave_fail,condition_factorial_candidate,2034.13,2040.89,2020.61,0.07,6.76,2.00,676.0,2.08,1352.0,4.16,2037.10,2034.06,2040.71,1,0.91,2.02,0.0553,18.0,120.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.00,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,condition_factorial_candidate,not_evaluated,2037.10,2040.71,2037.10,0.00,0.00,1,A_high@2024.01.05 03:00=2048.18000|B_low@2024.01.05 08:00=2040.88000|C_high@2024.01.05 09:00=2046.93000,high_latest@2024.01.05 14:00=2040.71000|low_latest@2024.01.05 13:15=2037.10000|bos@2024.01.05 13:15=2037.10000,2.50,0.00,82.88,2037.10,h1_last_higher_low,0.00,0.00,no_known_obstacle,none,ma_bias_pass,dow_bias_pass,too_deep_pullback,pullback_up,prev_extreme_break,counter_nwave_fail,weak_higher_low,m15_true_bos_close,no_known_obstacle,0.00,true,true,false,true,false,false,true,false,true,true,true,true
2024.01.05 16:10:00,order_attempt,USDJPY,LONG,server_16_23,0,,Nested_Fixed_Room2R_LowerTF,fixed_room2r_lower_tf,,,too_deep_pullback,none,counter_nwave_pass,condition_factorial_candidate,145.431,145.031,146.231,0.18,0.400,2.00,400.0,2.03,800.0,4.05,145.346,145.417,145.046,1,0.43,1.95,0.0759,15.0,136.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,condition_factorial_candidate,not_evaluated,145.346,145.370,145.046,0.000,0.00,1,A_low@2024.01.05 00:00=144.49300|B_high@2024.01.05 05:00=144.94800|C_low@2024.01.05 07:00=144.65200,high_latest@2024.01.05 13:15=145.34600|low_latest@2024.01.05 15:15=145.04600|bos@2024.01.05 13:15=145.34600,1.57,1.90,65.05,145.346,h1_last_lower_high,0.00,0.00,no_known_obstacle,none,ma_bias_pass,dow_bias_pass,too_deep_pullback,pullback_down,prev_extreme_break,counter_nwave_pass,last_lower_high,m15_true_bos_close,no_known_obstacle,0.000,true,true,false,true,true,true,true,false,true,true,true,true
2024.01.05 16:10:00,order_sent,USDJPY,LONG,server_16_23,10009,order_sent,Nested_Fixed_Room2R_LowerTF,fixed_room2r_lower_tf,,,too_deep_pullback,none,counter_nwave_pass,condition_factorial_candidate,145.431,145.031,146.231,0.18,0.400,2.00,400.0,2.03,800.0,4.05,145.346,145.417,145.046,1,0.43,1.95,0.0759,15.0,136.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,condition_factorial_candidate,not_evaluated,145.346,145.370,145.046,0.000,0.00,1,A_low@2024.01.05 00:00=144.49300|B_high@2024.01.05 05:00=144.94800|C_low@2024.01.05 07:00=144.65200,high_latest@2024.01.05 13:15=145.34600|low_latest@2024.01.05 15:15=145.04600|bos@2024.01.05 13:15=145.34600,1.57,1.90,65.05,145.346,h1_last_lower_high,0.00,0.00,no_known_obstacle,none,ma_bias_pass,dow_bias_pass,too_deep_pullback,pullback_down,prev_extreme_break,counter_nwave_pass,last_lower_high,m15_true_bos_close,no_known_obstacle,0.000,true,true,false,true,true,true,true,false,true,true,true,true
2024.01.09 10:55:00,order_attempt,USDJPY,SHORT,server_08_15,0,,Nested_Fixed_Room2R_LowerTF,fixed_room2r_lower_tf,,,unknown,none,counter_nwave_pass,condition_factorial_candidate,143.972,144.111,143.694,0.52,0.139,2.00,139.0,1.48,278.0,2.96,143.852,143.972,144.098,1,1.28,1.34,0.1384,13.0,128.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,condition_factorial_candidate,not_evaluated,143.852,144.098,143.491,0.000,0.00,1,,high_latest@2024.01.09 08:45=144.09800|low_latest@2024.01.09 09:15=143.85200|bos@2024.01.09 09:15=143.85200,0.00,4.30,0.00,143.852,h1_last_higher_low,3.46,1.73,room_to_2r_ok,none,ma_bias_pass,dow_bias_fail,unknown,pullback_up,prev_extreme_break,counter_nwave_pass,last_higher_low,m15_prev_extreme_bos,h1_counter_low,143.491,true,false,false,true,true,true,true,true,false,true,true,true
2024.01.09 10:55:00,order_sent,USDJPY,SHORT,server_08_15,10009,order_sent,Nested_Fixed_Room2R_LowerTF,fixed_room2r_lower_tf,,,unknown,none,counter_nwave_pass,condition_factorial_candidate,143.972,144.111,143.694,0.52,0.139,2.00,139.0,1.48,278.0,2.96,143.852,143.972,144.098,1,1.28,1.34,0.1384,13.0,128.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,condition_factorial_candidate,not_evaluated,143.852,144.098,143.491,0.000,0.00,1,,high_latest@2024.01.09 08:45=144.09800|low_latest@2024.01.09 09:15=143.85200|bos@2024.01.09 09:15=143.85200,0.00,4.30,0.00,143.852,h1_last_higher_low,3.46,1.73,room_to_2r_ok,none,ma_bias_pass,dow_bias_fail,unknown,pullback_up,prev_extreme_break,counter_nwave_pass,last_higher_low,m15_prev_extreme_bos,h1_counter_low,143.491,true,false,false,true,true,true,true,true,false,true,true,true
2024.01.12 10:30:00,order_attempt,GBPUSD,LONG,server_08_15,0,,Nested_Fixed_Room2R_LowerTF,fixed_room2r_lower_tf,,,unknown,none,counter_nwave_pass,condition_factorial_candidate,1.27773,1.27663,1.27993,0.45,0.00110,2.00,110.0,1.63,220.0,3.26,1.27772,1.27762,1.27674,1,0.01,1.47,0.1631,11.0,128.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.00000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,condition_factorial_candidate,not_evaluated,1.27772,1.27773,1.27674,0.00000,0.00,1,,high_latest@2024.01.12 08:45=1.27772|low_latest@2024.01.12 07:45=1.27674|bos@2024.01.12 08:45=1.27772,0.00,1.17,0.00,1.27772,h1_last_lower_high,0.00,0.00,no_known_obstacle,none,ma_bias_pass,dow_bias_fail,unknown,pullback_down,prev_extreme_break,counter_nwave_pass,last_lower_high,m15_prev_extreme_bos,no_known_obstacle,0.00000,true,false,false,true,true,true,true,true,false,true,true,true
2024.01.12 10:30:00,order_sent,GBPUSD,LONG,server_08_15,10009,order_sent,Nested_Fixed_Room2R_LowerTF,fixed_room2r_lower_tf,,,unknown,none,counter_nwave_pass,condition_factorial_candidate,1.27773,1.27663,1.27993,0.45,0.00110,2.00,110.0,1.63,220.0,3.26,1.27772,1.27762,1.27674,1,0.01,1.47,0.1631,11.0,128.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.00000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,condition_factorial_candidate,not_evaluated,1.27772,1.27773,1.27674,0.00000,0.00,1,,high_latest@2024.01.12 08:45=1.27772|low_latest@2024.01.12 07:45=1.27674|bos@2024.01.12 08:45=1.27772,0.00,1.17,0.00,1.27772,h1_last_lower_high,0.00,0.00,no_known_obstacle,none,ma_bias_pass,dow_bias_fail,unknown,pullback_down,prev_extreme_break,counter_nwave_pass,last_lower_high,m15_prev_extreme_bos,no_known_obstacle,0.00000,true,false,false,true,true,true,true,true,false,true,true,true
