open_time,close_time,symbol,direction,volume,open_price,close_price,open_deal,close_deal,commission,swap,profit,net_profit,close_balance,close_comment,holding_minutes,open_bar_m5,close_bar_m5
2024.01.02 11:10:00,2024.01.02 11:38:29,XAUUSD,LONG,0.25,2075.08,2078.05,2,3,0.0,0.0,74.25,74.25,10074.25,tp 2077.99,28.48,2024.01.02 11:10:00,2024.01.02 11:35:00
2024.01.02 12:25:00,2024.01.02 13:34:22,XAUUSD,LONG,0.15,2074.85,2071.5,4,5,0.0,0.0,-50.25,-50.25,10024.0,sl 2071.63,69.37,2024.01.02 12:25:00,2024.01.02 13:30:00
2024.01.02 13:35:00,2024.01.02 16:51:36,USDJPY,LONG,0.23,141.843,141.527,6,7,0.0,0.0,-51.35,-51.35,9972.65,sl 141.537,196.6,2024.01.02 13:35:00,2024.01.02 16:50:00
2024.01.03 13:40:00,2024.01.03 16:27:27,GBPJPY,LONG,0.22,180.338,180.816,8,9,0.0,0.0,74.3,74.3,10046.95,tp 180.811,167.45,2024.01.03 13:40:00,2024.01.03 16:25:00
2024.01.04 02:35:00,2024.01.04 03:29:37,GBPJPY,LONG,0.43,181.334,181.58,10,11,0.0,0.0,74.74,74.74,10121.69,tp 181.580,54.62,2024.01.04 02:35:00,2024.01.04 03:25:00
2024.01.04 06:05:00,2024.01.04 07:01:23,GBPJPY,LONG,0.35,181.679,181.987,12,13,0.0,0.0,76.17,76.17,10197.86,tp 181.984,56.38,2024.01.04 06:05:00,2024.01.04 07:00:00
2024.01.04 10:20:00,2024.01.04 12:42:26,USDJPY,LONG,0.21,143.55,144.06,14,15,0.0,0.0,74.34,74.34,10272.2,tp 144.060,142.43,2024.01.04 10:20:00,2024.01.04 12:40:00
2024.01.04 15:10:00,2024.01.04 15:21:53,XAUUSD,LONG,0.15,2046.46,2043.04,16,17,0.0,0.0,-51.3,-51.3,10220.9,sl 2043.11,11.88,2024.01.04 15:10:00,2024.01.04 15:20:00
2024.01.05 05:05:00,2024.01.05 07:03:59,GBPJPY,LONG,0.45,183.757,183.594,18,19,0.0,0.0,-50.92,-50.92,10169.98,sl 183.595,118.98,2024.01.05 05:05:00,2024.01.05 07:00:00
2024.01.05 11:05:00,2024.01.05 15:30:27,USDJPY,LONG,0.24,145.124,145.568,20,21,0.0,0.0,73.2,73.2,10243.18,tp 145.565,265.45,2024.01.05 11:05:00,2024.01.05 15:30:00
2024.01.09 15:00:00,2024.01.09 15:08:04,XAUUSD,LONG,0.16,2036.57,2033.53,22,23,0.0,0.0,-48.64,-48.64,10194.54,sl 2033.53,8.07,2024.01.09 15:00:00,2024.01.09 15:05:00
2024.01.09 15:25:00,2024.01.09 15:38:20,USDJPY,LONG,0.31,144.174,143.936,24,25,0.0,0.0,-51.26,-51.26,10143.28,sl 143.936,13.33,2024.01.09 15:25:00,2024.01.09 15:35:00
2024.01.10 10:40:00,2024.01.10 14:31:13,GBPJPY,LONG,0.25,184.244,184.674,26,27,0.0,0.0,74.69,74.69,10217.97,tp 184.673,231.22,2024.01.10 10:40:00,2024.01.10 14:30:00
2024.01.11 04:30:00,2024.01.11 11:34:14,GBPJPY,LONG,0.24,185.728,185.426,28,29,0.0,0.0,-50.36,-50.36,10167.61,sl 185.426,424.23,2024.01.11 04:30:00,2024.01.11 11:30:00
