open_time,close_time,symbol,direction,volume,open_price,close_price,open_deal,close_deal,commission,swap,profit,net_profit,close_balance,close_comment,holding_minutes,open_bar_m5,close_bar_m5
2024.01.04 02:35:00,2024.01.04 03:29:37,GBPJPY,LONG,0.43,181.334,181.58,2,3,0.0,0.0,73.78,73.78,10073.78,tp 181.580,54.62,2024.01.04 02:35:00,2024.01.04 03:25:00
2024.01.04 06:05:00,2024.01.04 07:01:23,GBPJPY,LONG,0.35,181.679,181.987,4,5,0.0,0.0,75.04,75.04,10148.82,tp 181.984,56.38,2024.01.04 06:05:00,2024.01.04 07:00:00
2024.01.05 05:05:00,2024.01.05 07:03:59,GBPJPY,LONG,0.45,183.757,183.594,6,7,0.0,0.0,-50.66,-50.66,10098.16,sl 183.595,118.98,2024.01.05 05:05:00,2024.01.05 07:00:00
2024.01.05 11:05:00,2024.01.05 15:30:27,USDJPY,LONG,0.24,145.124,145.568,8,10,0.0,0.0,73.2,73.2,10171.36,tp 145.565,265.45,2024.01.05 11:05:00,2024.01.05 15:30:00
2024.01.05 12:05:00,2024.01.05 15:33:40,GBPJPY,LONG,0.3,183.871,184.237,9,11,0.0,0.0,75.43,75.43,10246.79,tp 184.233,208.67,2024.01.05 12:05:00,2024.01.05 15:30:00
2024.01.08 10:15:00,2024.01.08 13:18:26,XAUUSD,SHORT,0.11,2029.06,2021.89,12,13,0.0,0.0,78.87,78.87,10325.66,tp 2022.43,183.43,2024.01.08 10:15:00,2024.01.08 13:15:00
2024.01.09 06:25:00,2024.01.09 08:02:39,GBPJPY,SHORT,0.27,183.058,183.332,15,16,0.0,0.0,-50.82,-50.82,10274.84,sl 183.332,97.65,2024.01.09 06:25:00,2024.01.09 08:00:00
2024.01.08 19:10:00,2024.01.09 09:25:38,XAUUSD,SHORT,0.07,2030.52,2037.04,14,17,0.0,1.79,-45.64,-43.85,10230.99,sl 2037.03,855.63,2024.01.08 19:10:00,2024.01.09 09:25:00
2024.01.10 10:45:00,2024.01.10 12:04:40,USDJPY,LONG,0.39,145.008,144.819,19,21,0.0,0.0,-50.9,-50.9,10180.09,sl 144.819,79.67,2024.01.10 10:45:00,2024.01.10 12:00:00
2024.01.10 10:40:00,2024.01.10 14:31:13,GBPJPY,LONG,0.26,184.244,184.674,18,22,0.0,0.0,77.2,77.2,10257.29,tp 184.673,231.22,2024.01.10 10:40:00,2024.01.10 14:30:00
2024.01.10 10:45:00,2024.01.10 15:06:35,EURJPY,LONG,0.25,158.625,159.069,20,23,0.0,0.0,76.65,76.65,10333.94,tp 159.069,261.58,2024.01.10 10:45:00,2024.01.10 15:05:00
2024.01.11 04:30:00,2024.01.11 11:34:14,GBPJPY,LONG,0.24,185.728,185.426,24,25,0.0,0.0,-50.05,-50.05,10283.89,sl 185.426,424.23,2024.01.11 04:30:00,2024.01.11 11:30:00
2024.01.12 20:15:00,2024.01.15 00:01:00,GBPUSD,LONG,0.35,1.27451,1.27275,26,27,0.0,-0.25,-61.6,-61.85,10222.04,sl 1.27306,3106.0,2024.01.12 20:15:00,2024.01.15 00:00:00
2024.01.15 10:10:00,2024.01.15 11:48:15,XAUUSD,LONG,0.21,2056.09,2053.66,28,29,0.0,0.0,-51.03,-51.03,10171.01,sl 2053.66,98.25,2024.01.15 10:10:00,2024.01.15 11:45:00
2024.01.16 13:50:00,2024.01.16 15:30:34,EURJPY,LONG,0.27,159.724,159.453,30,31,0.0,0.0,-50.53,-50.53,10120.48,sl 159.457,100.57,2024.01.16 13:50:00,2024.01.16 15:30:00
2024.01.17 07:00:00,2024.01.17 08:05:37,GBPJPY,LONG,0.46,186.016,186.254,32,33,0.0,0.0,75.6,75.6,10196.08,tp 186.253,65.62,2024.01.17 07:00:00,2024.01.17 08:05:00
2024.01.17 14:00:00,2024.01.17 14:58:28,XAUUSD,SHORT,0.1,2023.84,2028.49,34,35,0.0,0.0,-46.5,-46.5,10149.58,sl 2028.48,58.47,2024.01.17 14:00:00,2024.01.17 14:55:00
2024.01.17 15:20:00,2024.01.17 15:30:26,XAUUSD,SHORT,0.18,2025.74,2021.61,36,37,0.0,0.0,74.34,74.34,10223.92,tp 2021.63,10.43,2024.01.17 15:20:00,2024.01.17 15:30:00
2024.01.17 17:50:00,2024.01.17 21:12:04,EURUSD,SHORT,0.26,1.08522,1.08714,38,39,0.0,0.0,-49.92,-49.92,10174.0,sl 1.08714,202.07,2024.01.17 17:50:00,2024.01.17 21:10:00
2024.01.18 18:00:00,2024.01.19 08:03:36,USDJPY,LONG,0.2,148.184,148.712,40,41,0.0,1.03,71.01,72.04,10246.04,tp 148.712,843.6,2024.01.18 18:00:00,2024.01.19 08:00:00
2024.01.19 10:30:00,2024.01.19 10:53:27,USDJPY,LONG,0.47,148.327,148.167,42,43,0.0,0.0,-50.75,-50.75,10195.29,sl 148.168,23.45,2024.01.19 10:30:00,2024.01.19 10:50:00
