time,event,symbol,direction,session,entry_selection_mode,scan_interval,strategy_name,label,fail_reason,execution_block_reason,fib_zone,h4_trend_state,h1_counter_trend_state,neckline_break_label,h4_impulse_pass,h4_pullback_zone_pass,h1_counter_trend_pass,neckline_pass,structure_sl_pass,rr_pass,spread_guard_pass,spread_guard_blocked,setup_pass,entry_pass,final_entry_pass,h4_impulse_high,h4_impulse_low,h4_fib_retracement_pct,h4_atr,h1_atr,m15_atr,spread_atr,spread_points,neckline_price,neckline_break_close_price,right_side_level,entry_price,sl,tp,volume,risk_r,rr,bars_since_right_side,distance_neckline_to_entry,distance_neckline_to_entry_atr,distance_right_side_to_entry,distance_right_side_to_entry_atr,sl_points,sl_atr,tp_points,tp_atr,quality_score,retest_confirmation_mode,retest_detected,retest_held,retest_trigger_pass,retest_failed,original_neckline_break_time,retest_detected_time,retest_trigger_time,retest_bars_after_breakout,entry_delay_bars,retest_depth_atr,retest_zone_atr,retest_reclaim_price,retest_distance_from_neckline_atr,false_break_return_inside_neckline,retest_quality,retest_failure_reason,breakout_quality_router_mode,breakout_quality_label,breakout_quality_reason,breakout_quality_pass,breakout_strong,breakout_weak,breakout_dirty,breakout_close_distance_from_neckline_atr,breakout_close_distance_from_neckline_points,breakout_body_ratio,breakout_body_atr,breakout_range_atr,breakout_directional_wick_ratio,breakout_close_position_directional,neckline_touch_count,context_quality_router_mode,context_quality_label,context_quality_reason,context_quality_score,context_clean,context_mixed,context_poor,structural_bos_mode,structural_bos_state,m15_confirmation_type,h1_bos_level,h1_counter_nwave_high,h1_counter_nwave_low,distance_bos_to_entry,distance_bos_to_entry_atr,bars_since_bos,h4_pivot_sequence,h1_pivot_sequence,h4_impulse_atr,h1_counter_wave_atr,h4_correction_depth,true_bos_level,bos_level_source_pivot,room_to_1r,room_to_2r,room_to_target_label,h4_bias_state,h4_ma_state,h4_dow_state,h4_fib_zone,h1_pullback_type,h1_prev_extreme_break_state,h1_counter_nwave_state,bos_level_type,m15_trigger_type,nearest_obstacle_type,nearest_obstacle_price,cond_h4_bias_ma,cond_h4_dow_bias,cond_h4_fib_382_618,cond_h1_prev_extreme_break,cond_h1_counter_nwave,cond_h1_counter_wave_atr,cond_true_bos_level,cond_m15_prev_extreme_bos,cond_m15_close_bos,cond_room_to_1r,cond_room_to_2r,cond_sl_atr_ok
2025.02.04 17:19:59,final_entry_candidate,EURJPY,SHORT,server_16_23,all_score_passing,300,Nested_Fixed_H4MA_Room2R,fixed_h4ma_room2r,,,too_deep_pullback,none,counter_nwave_pass,fixed_h4ma_room2r,true,false,true,true,true,true,true,false,true,true,true,161.829,159.892,82.40,1.022,0.294,0.159,0.1889,30.0,160.172,160.253,160.644,160.423,160.674,159.921,0.30,0.251,2.00,1,0.251,1.58,0.221,1.39,251.0,1.58,502.0,3.16,136.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,condition_factorial_candidate,not_evaluated,160.172,160.644,159.172,0.000,0.00,1,A_high@2025.01.29 20:00=161.82900|B_low@2025.01.31 00:00=159.89200|C_high@2025.01.31 16:00=161.48800,high_latest@2025.02.04 11:00=160.64400|low_latest@2025.02.04 13:00=160.17200|bos@2025.02.04 13:00=160.17200,1.90,5.01,82.40,160.172,h1_last_higher_low,2.12,1.06,room_to_2r_ok,none,ma_bias_pass,dow_bias_pass,too_deep_pullback,pullback_up,prev_extreme_break,counter_nwave_pass,last_higher_low,m15_prev_extreme_bos,h4_impulse_low,159.892,true,true,false,true,true,true,true,true,false,true,true,true
2025.02.04 17:19:59,order_sent,EURJPY,SHORT,server_16_23,all_score_passing,300,Nested_Fixed_H4MA_Room2R,fixed_h4ma_room2r,,,too_deep_pullback,none,counter_nwave_pass,fixed_h4ma_room2r,true,false,true,true,true,true,true,false,true,true,true,161.829,159.892,82.40,1.022,0.294,0.159,0.1889,30.0,160.172,160.253,160.644,160.423,160.674,159.921,0.30,0.251,2.00,1,0.251,1.58,0.221,1.39,251.0,1.58,502.0,3.16,136.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,condition_factorial_candidate,not_evaluated,160.172,160.644,159.172,0.000,0.00,1,A_high@2025.01.29 20:00=161.82900|B_low@2025.01.31 00:00=159.89200|C_high@2025.01.31 16:00=161.48800,high_latest@2025.02.04 11:00=160.64400|low_latest@2025.02.04 13:00=160.17200|bos@2025.02.04 13:00=160.17200,1.90,5.01,82.40,160.172,h1_last_higher_low,2.12,1.06,room_to_2r_ok,none,ma_bias_pass,dow_bias_pass,too_deep_pullback,pullback_up,prev_extreme_break,counter_nwave_pass,last_higher_low,m15_prev_extreme_bos,h4_impulse_low,159.892,true,true,false,true,true,true,true,true,false,true,true,true
2025.02.07 14:49:59,blocked_candidate,AUDJPY,SHORT,server_08_15,all_score_passing,300,Nested_Fixed_H4MA_Room2R,fixed_h4ma_room2r,spread_guard,spread_guard,unknown,none,counter_nwave_pass,fixed_h4ma_room2r,true,false,true,true,true,true,false,true,true,false,false,0.000,0.000,0.00,0.386,0.171,0.060,0.4672,28.0,95.168,95.462,95.509,95.446,95.537,95.264,0.84,0.091,2.00,1,0.278,4.64,0.063,1.05,91.0,1.52,182.0,3.04,128.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,condition_factorial_candidate,not_evaluated,95.168,95.509,94.842,0.000,0.00,1,,high_latest@2025.02.07 04:00=95.50900|low_latest@2025.02.07 08:00=95.16800|bos@2025.02.07 08:00=95.16800,0.00,3.91,0.00,95.168,h1_last_higher_low,6.64,3.32,room_to_2r_ok,none,ma_bias_pass,dow_bias_fail,unknown,pullback_up,prev_extreme_break,counter_nwave_pass,last_higher_low,m15_prev_extreme_bos,h1_counter_low,94.842,true,false,false,true,true,true,true,true,false,true,true,true
2025.02.07 17:34:59,blocked_candidate,EURUSD,SHORT,server_16_23,all_score_passing,300,Nested_Fixed_H4MA_Room2R,fixed_condition_room_to_2r_fail,fixed_condition_room_to_2r_fail,,valid_h4_pullback_zone,none,counter_nwave_fail,condition_factorial_candidate,true,true,true,true,true,true,true,false,true,false,false,1.04419,1.03517,48.89,0.00268,0.00147,0.00134,0.1342,18.0,1.03719,1.03707,1.03992,1.03767,1.04010,1.03281,0.20,0.00243,2.00,1,0.00048,0.36,0.00225,1.68,243.0,1.81,486.0,3.62,128.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.00000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,condition_factorial_candidate,not_evaluated,1.03719,1.03992,1.03719,0.00000,0.00,1,A_high@2025.02.05 16:00=1.04419|B_low@2025.02.06 12:00=1.03517|C_high@2025.02.06 20:00=1.03958,high_latest@2025.02.07 10:00=1.03992|low_latest@2025.02.07 08:00=1.03719|bos@2025.02.07 08:00=1.03719,3.37,1.74,48.89,1.03719,h1_last_higher_low,0.20,0.10,insufficient_room_to_1r,none,ma_bias_pass,dow_bias_fail,valid_h4_pullback_zone,pullback_up,prev_extreme_break,counter_nwave_fail,weak_higher_low,m15_true_bos_close,h1_counter_low,1.03719,true,false,true,true,false,true,true,false,true,false,false,true
2025.02.19 19:49:59,blocked_candidate,USDJPY,LONG,server_16_23,all_score_passing,300,Nested_Fixed_H4MA_Room2R,fixed_condition_room_to_2r_fail,fixed_condition_room_to_2r_fail,,too_deep_pullback,none,counter_nwave_fail,condition_factorial_candidate,true,false,true,true,true,true,true,false,true,false,false,152.211,151.225,69.78,0.370,0.225,0.119,0.1345,16.0,151.948,151.723,151.541,151.744,151.525,152.182,0.34,0.219,2.00,1,0.204,1.72,0.203,1.71,219.0,1.84,438.0,3.68,120.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,condition_factorial_candidate,not_evaluated,151.948,151.948,151.541,0.000,0.00,1,A_low@2025.02.18 00:00=151.22500|B_high@2025.02.18 04:00=152.21100|C_low@2025.02.18 16:00=151.52300,high_latest@2025.02.19 13:00=151.94800|low_latest@2025.02.19 11:00=151.54100|bos@2025.02.19 13:00=151.94800,2.66,1.37,69.78,151.948,h1_last_lower_high,0.93,0.47,insufficient_room_to_1r,none,ma_bias_fail,dow_bias_pass,too_deep_pullback,pullback_down,prev_extreme_break,counter_nwave_fail,weak_lower_high,m15_prev_extreme_bos,h1_counter_high,151.948,false,true,false,true,false,true,true,true,false,false,false,true
2025.02.19 21:19:59,blocked_candidate,EURUSD,LONG,server_16_23,all_score_passing,300,Nested_Fixed_H4MA_Room2R,fixed_h4ma_room2r,spread_guard,spread_guard,unknown,none,counter_nwave_pass,fixed_h4ma_room2r,true,false,true,true,true,true,false,true,true,false,false,0.00000,0.00000,0.00,0.00201,0.00128,0.00077,0.2333,18.0,1.04406,1.04255,1.04181,1.04278,1.04163,1.04508,0.43,0.00115,2.00,1,0.00128,1.66,0.00097,1.26,115.0,1.49,230.0,2.98,128.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.00000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,condition_factorial_candidate,not_evaluated,1.04406,1.04606,1.04181,0.00000,0.00,1,,high_latest@2025.02.19 17:00=1.04406|low_latest@2025.02.19 12:00=1.04181|bos@2025.02.19 17:00=1.04406,0.00,3.32,0.00,1.04406,h1_last_lower_high,2.85,1.43,room_to_2r_ok,none,ma_bias_pass,dow_bias_fail,unknown,pullback_down,prev_extreme_break,counter_nwave_pass,last_lower_high,m15_prev_extreme_bos,h1_counter_high,1.04606,true,false,false,true,true,true,true,true,false,true,true,true
2025.02.19 21:34:59,blocked_candidate,EURUSD,LONG,server_16_23,all_score_passing,300,Nested_Fixed_H4MA_Room2R,fixed_h4ma_room2r,spread_guard,spread_guard,unknown,none,counter_nwave_pass,fixed_h4ma_room2r,true,false,true,true,true,true,false,true,true,false,false,0.00000,0.00000,0.00,0.00201,0.00128,0.00075,0.2395,18.0,1.04406,1.04307,1.04181,1.04268,1.04163,1.04478,0.48,0.00105,2.00,1,0.00138,1.84,0.00087,1.16,105.0,1.40,210.0,2.79,128.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.00000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,condition_factorial_candidate,not_evaluated,1.04406,1.04606,1.04181,0.00000,0.00,1,,high_latest@2025.02.19 17:00=1.04406|low_latest@2025.02.19 12:00=1.04181|bos@2025.02.19 17:00=1.04406,0.00,3.32,0.00,1.04406,h1_last_lower_high,3.22,1.61,room_to_2r_ok,none,ma_bias_pass,dow_bias_fail,unknown,pullback_down,prev_extreme_break,counter_nwave_pass,last_lower_high,m15_prev_extreme_bos,h1_counter_high,1.04606,true,false,false,true,true,true,true,true,false,true,true,true
2025.02.19 21:34:59,blocked_candidate,GBPUSD,LONG,server_16_23,all_score_passing,300,Nested_Fixed_H4MA_Room2R,fixed_h4ma_room2r,spread_guard,spread_guard,too_deep_pullback,none,counter_nwave_pass,fixed_h4ma_room2r,true,false,true,true,true,true,false,true,true,false,false,1.26339,1.25521,64.06,0.00278,0.00166,0.00087,0.2293,20.0,1.26059,1.25876,1.25743,1.25838,1.25723,1.26068,0.43,0.00115,2.00,1,0.00221,2.53,0.00095,1.09,115.0,1.32,230.0,2.64,136.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.00000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,condition_factorial_candidate,not_evaluated,1.26059,1.26341,1.25743,0.00000,0.00,1,A_low@2025.02.17 00:00=1.25521|B_high@2025.02.17 20:00=1.26339|C_low@2025.02.18 12:00=1.25815,high_latest@2025.02.19 17:00=1.26059|low_latest@2025.02.19 13:00=1.25743|bos@2025.02.19 17:00=1.26059,2.95,3.60,64.06,1.26059,h1_last_lower_high,4.36,2.18,room_to_2r_ok,none,ma_bias_pass,dow_bias_pass,too_deep_pullback,pullback_down,prev_extreme_break,counter_nwave_pass,last_lower_high,m15_prev_extreme_bos,h4_impulse_high,1.26339,true,true,false,true,true,true,true,true,false,true,true,true
2025.02.21 16:34:59,blocked_candidate,GBPUSD,LONG,server_16_23,all_score_passing,300,Nested_Fixed_H4MA_Room2R,fixed_condition_room_to_2r_fail,fixed_condition_room_to_2r_fail,,unknown,none,counter_nwave_fail,condition_factorial_candidate,true,false,true,true,true,true,false,true,true,false,false,0.00000,0.00000,0.00,0.00281,0.00127,0.00078,0.2555,20.0,1.26779,1.26560,1.26412,1.26533,1.26392,1.26815,0.35,0.00141,2.00,1,0.00246,3.14,0.00121,1.55,141.0,1.80,282.0,3.60,120.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.00000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,condition_factorial_candidate,not_evaluated,1.26779,1.26779,1.26412,0.00000,0.00,1,,high_latest@2025.02.21 09:00=1.26779|low_latest@2025.02.21 11:00=1.26412|bos@2025.02.21 09:00=1.26779,0.00,2.53,0.00,1.26779,h1_last_lower_high,1.74,0.87,room_to_1r_only,none,ma_bias_pass,dow_bias_fail,unknown,pullback_down,prev_extreme_break,counter_nwave_fail,weak_lower_high,m15_prev_extreme_bos,h1_counter_high,1.26779,true,false,false,true,false,true,true,true,false,true,false,true
2025.02.21 22:04:59,blocked_candidate,XAUUSD,SHORT,server_16_23,all_score_passing,300,Nested_Fixed_H4MA_Room2R,fixed_condition_h4_ma_fail,fixed_condition_h4_ma_fail,,too_deep_pullback,none,counter_nwave_pass,condition_factorial_candidate,true,false,true,true,true,true,true,false,true,false,false,2954.82,2924.08,83.38,16.06,8.03,2.92,0.0616,18.0,2921.59,2933.47,2939.01,2935.86,2939.19,2929.20,0.15,3.33,2.00,1,14.27,4.89,3.15,1.08,333.0,1.14,666.0,2.28,128.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.00,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,condition_factorial_candidate,not_evaluated,2921.59,2939.01,2916.75,0.00,0.00,1,A_high@2025.02.20 08:00=2954.82000|B_low@2025.02.20 16:00=2924.08000|C_high@2025.02.21 00:00=2949.71000,high_latest@2025.02.21 16:00=2939.01000|low_latest@2025.02.21 17:00=2921.59000|bos@2025.02.21 17:00=2921.59000,1.91,2.77,83.38,2921.59,h1_last_higher_low,3.54,1.77,room_to_2r_ok,none,ma_bias_fail,dow_bias_pass,too_deep_pullback,pullback_up,prev_extreme_break,counter_nwave_pass,last_higher_low,m15_prev_extreme_bos,h4_impulse_low,2924.08,false,true,false,true,true,true,true,true,false,true,true,true
