time,event,symbol,direction,session,order_retcode,order_comment,strategy_name,label,fail_reason,execution_block_reason,fib_zone,h4_trend_state,h1_counter_trend_state,neckline_break_label,entry_price,sl,tp,volume,risk_r,rr,sl_points,sl_atr,tp_points,tp_atr,neckline_price,neckline_break_close_price,right_side_level,bars_since_right_side,distance_neckline_to_entry_atr,distance_right_side_to_entry_atr,spread_atr,spread_points,quality_score,retest_confirmation_mode,retest_detected,retest_held,retest_trigger_pass,retest_failed,original_neckline_break_time,retest_detected_time,retest_trigger_time,retest_bars_after_breakout,entry_delay_bars,retest_depth_atr,retest_zone_atr,retest_reclaim_price,retest_distance_from_neckline_atr,false_break_return_inside_neckline,retest_quality,retest_failure_reason
2025.02.04 08:49:59,order_attempt,EURJPY,SHORT,server_08_15,0,,Nested_NWave_RetestConfirmation,retest_confirmation_entry,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,retest_confirmed,159.824,160.161,159.150,0.23,0.337,2.00,337.0,1.86,674.0,3.72,160.016,159.299,160.131,10,1.06,1.69,0.1656,30.0,120.86,true,true,true,true,false,2025.02.04 07:00:00,2025.02.04 08:15:00,2025.02.04 08:30:00,5,6,0.17,0.50,160.016,0.17,false,shallow_retest_then_go,
2025.02.04 08:49:59,order_sent,EURJPY,SHORT,server_08_15,10009,order_sent,Nested_NWave_RetestConfirmation,retest_confirmation_entry,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,retest_confirmed,159.824,160.161,159.150,0.23,0.337,2.00,337.0,1.86,674.0,3.72,160.016,159.299,160.131,10,1.06,1.69,0.1656,30.0,120.86,true,true,true,true,false,2025.02.04 07:00:00,2025.02.04 08:15:00,2025.02.04 08:30:00,5,6,0.17,0.50,160.016,0.17,false,shallow_retest_then_go,
2025.02.04 19:34:59,order_attempt,EURUSD,SHORT,server_16_23,0,,Nested_NWave_RetestConfirmation,retest_confirmation_entry,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,retest_confirmed,1.03715,1.03885,1.03375,0.29,0.00170,2.00,170.0,1.37,340.0,2.73,1.03726,1.03723,1.03867,3,0.09,1.22,0.1447,18.0,130.83,true,true,true,true,false,2025.02.04 19:00:00,2025.02.04 19:15:00,2025.02.04 19:15:00,1,1,0.35,0.50,1.03719,0.35,false,shallow_retest_then_go,
2025.02.04 19:34:59,order_sent,EURUSD,SHORT,server_16_23,10009,order_sent,Nested_NWave_RetestConfirmation,retest_confirmation_entry,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,retest_confirmed,1.03715,1.03885,1.03375,0.29,0.00170,2.00,170.0,1.37,340.0,2.73,1.03726,1.03723,1.03867,3,0.09,1.22,0.1447,18.0,130.83,true,true,true,true,false,2025.02.04 19:00:00,2025.02.04 19:15:00,2025.02.04 19:15:00,1,1,0.35,0.50,1.03719,0.35,false,shallow_retest_then_go,
2025.02.06 22:49:59,order_attempt,XAUUSD,LONG,server_16_23,0,,Nested_NWave_RetestConfirmation,retest_confirmation_entry,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,retest_confirmed,2854.64,2850.22,2863.48,0.11,4.42,2.00,442.0,1.93,884.0,3.85,2853.65,2853.95,2850.40,5,0.43,1.85,0.0784,18.0,120.81,true,true,true,true,false,2025.02.06 21:45:00,2025.02.06 22:00:00,2025.02.06 22:30:00,1,3,0.07,0.50,2853.65,0.07,false,shallow_retest_then_go,
2025.02.06 22:49:59,order_sent,XAUUSD,LONG,server_16_23,10009,order_sent,Nested_NWave_RetestConfirmation,retest_confirmation_entry,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,retest_confirmed,2854.64,2850.22,2863.48,0.11,4.42,2.00,442.0,1.93,884.0,3.85,2853.65,2853.95,2850.40,5,0.43,1.85,0.0784,18.0,120.81,true,true,true,true,false,2025.02.06 21:45:00,2025.02.06 22:00:00,2025.02.06 22:30:00,1,3,0.07,0.50,2853.65,0.07,false,shallow_retest_then_go,
2025.02.13 20:19:59,order_attempt,GBPJPY,LONG,server_16_23,0,,Nested_NWave_RetestConfirmation,retest_then_go_after_return_inside,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,retest_confirmed,191.835,191.637,192.231,0.38,0.198,2.00,198.0,0.78,396.0,1.56,191.902,191.957,191.675,7,0.26,0.63,0.1492,38.0,132.23,true,true,true,true,false,2025.02.13 19:15:00,2025.02.13 19:30:00,2025.02.13 20:00:00,1,3,0.07,0.50,191.902,0.07,true,deep_retest_but_reclaim,
2025.02.13 20:19:59,order_sent,GBPJPY,LONG,server_16_23,10009,order_sent,Nested_NWave_RetestConfirmation,retest_then_go_after_return_inside,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,retest_confirmed,191.835,191.637,192.231,0.38,0.198,2.00,198.0,0.78,396.0,1.56,191.902,191.957,191.675,7,0.26,0.63,0.1492,38.0,132.23,true,true,true,true,false,2025.02.13 19:15:00,2025.02.13 19:30:00,2025.02.13 20:00:00,1,3,0.07,0.50,191.902,0.07,true,deep_retest_but_reclaim,
2025.02.13 20:34:59,order_blocked,GBPJPY,LONG,server_16_23,0,existing_position,Nested_NWave_RetestConfirmation,retest_confirmation_entry,existing_position,existing_position,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,retest_confirmed,191.963,191.637,192.615,0.23,0.326,2.00,326.0,1.33,652.0,2.67,191.902,191.916,191.675,8,0.25,1.18,0.1554,38.0,125.72,true,true,true,true,false,2025.02.13 20:00:00,2025.02.13 20:15:00,2025.02.13 20:15:00,1,1,0.73,0.50,191.902,0.73,false,shallow_retest_then_go,
2025.02.21 06:19:59,order_attempt,EURJPY,SHORT,server_00_07,0,,Nested_NWave_RetestConfirmation,retest_confirmation_entry,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,retest_confirmed,157.770,158.112,157.086,0.21,0.342,2.00,342.0,1.61,684.0,3.21,157.876,157.837,158.082,4,0.50,1.47,0.1409,30.0,130.97,true,true,true,true,false,2025.02.21 05:30:00,2025.02.21 06:00:00,2025.02.21 06:00:00,2,2,0.00,0.50,157.765,0.00,false,shallow_retest_then_go,
2025.02.21 06:19:59,order_sent,EURJPY,SHORT,server_00_07,10009,order_sent,Nested_NWave_RetestConfirmation,retest_confirmation_entry,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,retest_confirmed,157.770,158.112,157.086,0.21,0.342,2.00,342.0,1.61,684.0,3.21,157.876,157.837,158.082,4,0.50,1.47,0.1409,30.0,130.97,true,true,true,true,false,2025.02.21 05:30:00,2025.02.21 06:00:00,2025.02.21 06:00:00,2,2,0.00,0.50,157.765,0.00,false,shallow_retest_then_go,
2025.02.21 07:19:59,order_blocked,EURJPY,SHORT,server_00_07,0,existing_position,Nested_NWave_RetestConfirmation,retest_confirmation_entry,existing_position,existing_position,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,retest_confirmed,157.805,158.113,157.189,0.24,0.308,2.00,308.0,1.74,616.0,3.48,157.876,157.837,158.082,8,0.40,1.56,0.1750,31.0,127.74,true,true,true,true,false,2025.02.21 05:30:00,2025.02.21 06:00:00,2025.02.21 07:00:00,2,6,0.01,0.50,157.876,0.01,false,shallow_retest_then_go,
