time,event,symbol,direction,entry_price,sl,tp,result_R,profit,regime,session,scan_interval,entry_selection_mode,higher_tf,higher_swing_low_1,higher_swing_high_1,higher_swing_low_2,higher_swing_high_2,higher_structure_state,higher_trend_age_bars,higher_ema_slope,higher_atr,mid_tf,impulse_start_price,impulse_end_price,pullback_extreme_price,pullback_depth_pct,pullback_depth_atr,pullback_bars,pullback_broke_origin,pullback_structure_low_or_high,distance_from_pullback_extreme_to_entry_atr,distance_from_pullback_extreme_to_entry_pct_of_impulse,lower_tf,minor_reversal_level,reclaim_or_breakdown_price,bars_since_reclaim_or_breakdown,entry_distance_from_reclaim_atr,entry_distance_from_reclaim_points,lower_reversal_quality,lower_reversal_quality_score,sl_atr,risk_r,rr,spread_atr,structure_stage_fail_reason,execution_block_reason,v2_filter_pass,v2_filter_fail_reason,v3_filter_pass,v3_filter_fail_reason,v3_momentum_exhaustion_score,v3_momentum_exhausted,v3_recent_move_atr,v3_consecutive_directional_bars,v3_close_to_recent_extreme_atr,wave_audit_label,wave_audit_reason,strategy_name
2025.02.03 05:19:59,execution_block_candidate,EURUSD,SHORT,1.02186,1.02533,1.01666,,,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,PERIOD_H1,1.02100,1.03863,1.03605,1.04332,LL_LH,6,-0.00182,0.00383,PERIOD_M15,1.03863,1.02100,1.02515,23.54,2.55,7,false,1.02515,6.04,18.66,PERIOD_M5,1.02201,1.02146,1,0.73,40.0,unclear,100.00,6.38,0.00347,1.50,0.3307,,spread_guard,true,,true,,35.00,false,1.52,2,0.73,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V2_AuditFiltered
2025.02.03 05:29:59,execution_block_candidate,EURUSD,SHORT,1.02186,1.02533,1.01666,,,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,PERIOD_H1,1.02100,1.03863,1.03605,1.04332,LL_LH,6,-0.00182,0.00383,PERIOD_M15,1.03863,1.02100,1.02515,23.54,2.55,7,false,1.02515,6.68,18.66,PERIOD_M5,1.02201,1.02163,1,0.47,23.0,acceptable,100.00,7.04,0.00347,1.50,0.3652,,spread_guard,true,,true,,0.00,false,0.51,1,0.83,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V2_AuditFiltered
2025.02.03 07:44:59,execution_block_candidate,AUDJPY,SHORT,95.093,95.337,94.727,,,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,PERIOD_H1,94.675,95.669,95.036,96.923,LL_LH,5,-0.146,0.425,PERIOD_M15,95.669,94.675,95.309,63.78,3.64,6,false,95.309,3.18,21.73,PERIOD_M5,95.144,95.142,1,0.72,49.0,unclear,100.00,3.60,0.244,1.50,0.4126,,spread_guard,true,,true,,35.00,false,1.15,3,0.56,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V2_AuditFiltered
2025.02.03 07:49:59,execution_block_candidate,AUDJPY,SHORT,95.152,95.337,94.875,,,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,PERIOD_H1,94.675,95.669,95.036,96.923,LL_LH,5,-0.146,0.425,PERIOD_M15,95.669,94.675,95.309,63.78,4.10,7,false,95.309,2.44,15.79,PERIOD_M5,95.144,95.093,1,0.92,59.0,late,100.00,2.88,0.185,1.50,0.4356,,spread_guard,true,,true,,70.00,true,1.51,4,0.93,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V2_AuditFiltered
2025.02.03 13:14:59,execution_block_candidate,AUDJPY,SHORT,95.101,95.378,94.686,,,REGIME_TREND_DOWN,server_08_15,300,all_score_passing,PERIOD_H1,94.675,95.614,95.036,95.669,LL_LH,9,-0.082,0.378,PERIOD_M15,95.614,94.675,95.350,71.88,5.35,3,false,95.350,4.46,26.52,PERIOD_M5,95.172,95.143,1,0.75,42.0,unclear,100.00,4.97,0.277,1.50,0.5019,,spread_guard,true,,true,,70.00,true,1.60,3,0.75,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V2_AuditFiltered
2025.02.04 09:44:59,execution_block_candidate,GBPJPY,LONG,192.732,192.353,193.301,,,REGIME_TREND_UP,server_08_15,300,all_score_passing,PERIOD_H1,191.785,193.148,190.013,192.293,HH_HL,10,0.105,0.436,PERIOD_M15,191.785,193.148,192.391,55.54,3.31,3,false,192.391,3.15,25.02,PERIOD_M5,192.799,192.825,1,0.86,93.0,unclear,100.00,3.50,0.379,1.50,0.3514,,spread_guard,true,,true,,0.00,false,1.16,2,1.23,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V2_AuditFiltered
2025.02.04 15:34:59,execution_block_candidate,USDJPY,LONG,155.365,155.213,155.593,,,REGIME_TREND_UP,server_08_15,300,all_score_passing,PERIOD_H1,155.063,155.516,154.820,155.399,HH_HL,5,0.062,0.265,PERIOD_M15,155.063,155.516,155.231,62.91,3.19,3,false,155.231,2.63,29.58,PERIOD_M5,155.341,155.367,1,0.04,2.0,early,100.00,2.98,0.152,1.50,0.3534,,spread_guard,true,,true,,55.00,false,1.55,2,0.10,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V2_AuditFiltered
2025.02.04 21:59:59,execution_block_candidate,GBPUSD,LONG,1.24831,1.24685,1.25050,,,REGIME_TREND_UP,server_16_23,300,all_score_passing,PERIOD_H1,1.23951,1.24922,1.23782,1.24360,HH_HL,7,0.00055,0.00211,PERIOD_M15,1.23951,1.24922,1.24705,22.35,2.58,9,false,1.24705,3.21,12.98,PERIOD_M5,1.24851,1.24852,1,0.53,21.0,acceptable,100.00,3.72,0.00146,1.50,0.5091,,spread_guard,true,,true,,0.00,false,1.09,2,0.64,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V2_AuditFiltered
2025.02.04 22:05:00,execution_block_candidate,AUDJPY,LONG,96.574,96.460,96.745,,,REGIME_TREND_UP,server_16_23,300,all_score_passing,PERIOD_H1,96.370,96.740,95.566,96.493,HH_HL,4,0.008,0.199,PERIOD_M15,96.370,96.740,96.488,68.11,3.41,3,false,96.488,2.81,23.24,PERIOD_M5,96.563,96.574,1,0.00,0.0,early,100.00,3.72,0.114,1.50,0.9138,,spread_guard,true,,true,,35.00,false,0.85,4,0.26,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V2_AuditFiltered
2025.02.04 23:04:59,execution_block_candidate,GBPUSD,LONG,1.24858,1.24718,1.25068,,,REGIME_TREND_UP,server_16_23,300,all_score_passing,PERIOD_H1,1.23951,1.24922,1.23782,1.24360,HH_HL,9,0.00061,0.00193,PERIOD_M15,1.23951,1.24922,1.24738,18.95,2.74,7,false,1.24738,3.35,12.36,PERIOD_M5,1.24855,1.24876,1,0.50,18.0,acceptable,100.00,3.90,0.00140,1.50,0.5578,,spread_guard,true,,true,,70.00,true,1.73,5,0.64,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V2_AuditFiltered
