time,event,symbol,direction,session,entry_selection_mode,scan_interval,strategy_name,label,fail_reason,execution_block_reason,fib_zone,h4_trend_state,h1_counter_trend_state,neckline_break_label,h4_impulse_pass,h4_pullback_zone_pass,h1_counter_trend_pass,neckline_pass,structure_sl_pass,rr_pass,spread_guard_pass,spread_guard_blocked,setup_pass,entry_pass,final_entry_pass,h4_impulse_high,h4_impulse_low,h4_fib_retracement_pct,h4_atr,h1_atr,m15_atr,spread_atr,spread_points,neckline_price,neckline_break_close_price,right_side_level,entry_price,sl,tp,volume,risk_r,rr,bars_since_right_side,distance_neckline_to_entry,distance_neckline_to_entry_atr,distance_right_side_to_entry,distance_right_side_to_entry_atr,sl_points,sl_atr,tp_points,tp_atr,quality_score,retest_confirmation_mode,retest_detected,retest_held,retest_trigger_pass,retest_failed,original_neckline_break_time,retest_detected_time,retest_trigger_time,retest_bars_after_breakout,entry_delay_bars,retest_depth_atr,retest_zone_atr,retest_reclaim_price,retest_distance_from_neckline_atr,false_break_return_inside_neckline,retest_quality,retest_failure_reason,breakout_quality_router_mode,breakout_quality_label,breakout_quality_reason,breakout_quality_pass,breakout_strong,breakout_weak,breakout_dirty,breakout_close_distance_from_neckline_atr,breakout_close_distance_from_neckline_points,breakout_body_ratio,breakout_body_atr,breakout_range_atr,breakout_directional_wick_ratio,breakout_close_position_directional,neckline_touch_count,context_quality_router_mode,context_quality_label,context_quality_reason,context_quality_score,context_clean,context_mixed,context_poor
2025.08.06 16:34:59,final_entry_candidate,XAUUSD,LONG,server_16_23,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,true,true,true,true,true,true,true,false,true,true,true,3390.44,3349.91,56.60,12.34,6.59,3.85,0.0468,18.0,3367.00,3369.08,3360.19,3366.93,3360.00,3375.25,0.07,6.93,1.20,5,0.07,0.02,6.74,1.75,693.0,1.80,832.0,2.16,75.82,false,false,false,false,false,,,,0,0,0.00,0.00,0.00,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.54,208.0,0.22,0.14,0.63,0.59,0.41,9,false,not_evaluated,,0.00,false,false,false
2025.08.06 16:34:59,order_sent,XAUUSD,LONG,server_16_23,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,true,true,true,true,true,true,true,false,true,true,true,3390.44,3349.91,56.60,12.34,6.59,3.85,0.0468,18.0,3367.00,3369.08,3360.19,3366.93,3360.00,3375.25,0.07,6.93,1.20,5,0.07,0.02,6.74,1.75,693.0,1.80,832.0,2.16,75.82,false,false,false,false,false,,,,0,0,0.00,0.00,0.00,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.54,208.0,0.22,0.14,0.63,0.59,0.41,9,false,not_evaluated,,0.00,false,false,false
2025.08.06 17:19:59,final_entry_candidate,XAUUSD,LONG,server_16_23,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,true,true,true,true,true,true,true,false,true,true,true,3390.44,3349.91,56.60,12.34,6.83,4.28,0.0420,18.0,3371.43,3371.86,3365.22,3372.72,3365.01,3381.97,0.06,7.71,1.20,3,1.29,0.30,7.50,1.75,771.0,1.80,925.0,2.16,72.43,false,false,false,false,false,,,,0,0,0.00,0.00,0.00,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.10,43.0,0.04,0.04,1.02,0.46,0.54,3,false,not_evaluated,,0.00,false,false,false
2025.08.06 17:19:59,order_blocked,XAUUSD,LONG,server_16_23,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_late,existing_position,existing_position,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,true,true,true,true,true,true,true,false,true,true,true,3390.44,3349.91,56.60,12.34,6.83,4.28,0.0420,18.0,3371.43,3371.86,3365.22,3372.72,3365.01,3381.97,0.06,7.71,1.20,3,1.29,0.30,7.50,1.75,771.0,1.80,925.0,2.16,72.43,false,false,false,false,false,,,,0,0,0.00,0.00,0.00,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.10,43.0,0.04,0.04,1.02,0.46,0.54,3,false,not_evaluated,,0.00,false,false,false
2025.08.08 05:34:59,blocked_candidate,AUDJPY,LONG,server_00_07,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_late,spread_guard,spread_guard,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,true,true,true,true,true,true,false,true,true,false,false,96.200,95.595,41.49,0.272,0.151,0.075,0.3740,28.0,95.996,96.019,95.922,96.051,95.894,96.239,0.47,0.157,1.20,3,0.055,0.73,0.129,1.72,157.0,2.10,188.0,2.51,66.08,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.31,23.0,0.27,0.19,0.68,0.33,0.39,5,false,not_evaluated,,0.00,false,false,false
2025.08.08 05:49:59,blocked_candidate,AUDJPY,LONG,server_00_07,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_late,spread_guard,spread_guard,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,true,true,true,true,true,true,false,true,true,false,false,96.200,95.595,41.49,0.272,0.151,0.071,0.3920,28.0,95.996,96.014,95.922,96.016,95.894,96.162,0.60,0.122,1.20,4,0.020,0.28,0.094,1.32,122.0,1.71,146.0,2.04,71.53,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.25,18.0,0.14,0.08,0.62,0.45,0.41,6,false,not_evaluated,,0.00,false,false,false
2025.08.11 15:19:59,blocked_candidate,AUDJPY,LONG,server_08_15,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_late,spread_guard,spread_guard,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,true,true,true,true,true,true,false,true,true,false,false,96.512,95.681,40.19,0.258,0.130,0.054,0.5178,28.0,96.204,96.211,96.150,96.221,96.122,96.340,0.75,0.099,1.20,12,0.017,0.31,0.071,1.31,99.0,1.83,119.0,2.20,56.34,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.13,7.0,0.73,1.09,1.50,0.23,0.04,5,false,not_evaluated,,0.00,false,false,false
2025.08.11 20:34:59,blocked_candidate,EURJPY,LONG,server_16_23,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_late,spread_guard,spread_guard,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,true,true,true,true,true,true,false,true,true,false,false,172.331,171.259,52.52,0.397,0.201,0.097,0.3093,30.0,171.786,171.791,171.702,171.857,171.672,172.079,0.40,0.185,1.20,4,0.071,0.73,0.155,1.60,185.0,1.91,222.0,2.29,69.71,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.05,5.0,0.37,0.28,0.75,0.03,0.97,11,false,not_evaluated,,0.00,false,false,false
2025.08.11 20:49:59,blocked_candidate,EURJPY,LONG,server_16_23,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_late,spread_guard,spread_guard,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,true,true,true,true,true,true,false,true,true,false,false,172.331,171.259,52.52,0.397,0.201,0.089,0.3371,30.0,171.786,171.792,171.702,171.853,171.672,172.070,0.41,0.181,1.20,5,0.067,0.75,0.151,1.70,181.0,2.03,217.0,2.44,69.46,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.07,6.0,0.02,0.01,0.71,0.76,0.24,11,false,not_evaluated,,0.00,false,false,false
2025.08.11 21:04:59,blocked_candidate,EURJPY,LONG,server_16_23,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_initial,spread_guard,spread_guard,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_initial,true,true,true,true,true,true,false,true,true,false,false,172.331,171.259,52.52,0.397,0.203,0.084,0.3556,30.0,171.795,171.822,171.720,171.843,171.690,172.027,0.48,0.153,1.20,3,0.048,0.57,0.123,1.46,153.0,1.81,184.0,2.18,101.66,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.32,27.0,0.54,0.36,0.66,0.32,0.68,13,false,not_evaluated,,0.00,false,false,false
