time,event,last_scan_bar_time,scan_elapsed_ms,reason
2025.08.01 00:04:40,scan_executed_new_execution_bar,2025.07.31 23:45:00,7485,
2025.08.01 00:09:57,scan_skipped_same_execution_bar,2025.07.31 23:45:00,0,
2025.08.01 00:19:59,scan_executed_new_execution_bar,2025.08.01 00:00:00,0,
2025.08.01 00:24:58,scan_skipped_same_execution_bar,2025.08.01 00:00:00,0,
2025.08.01 00:34:58,scan_executed_new_execution_bar,2025.08.01 00:15:00,0,
2025.08.01 00:39:56,scan_skipped_same_execution_bar,2025.08.01 00:15:00,0,
2025.08.01 00:49:59,scan_executed_new_execution_bar,2025.08.01 00:30:00,0,
2025.08.01 00:54:59,scan_skipped_same_execution_bar,2025.08.01 00:30:00,0,
2025.08.01 01:04:59,scan_executed_new_execution_bar,2025.08.01 00:45:00,0,
2025.08.01 01:09:59,scan_skipped_same_execution_bar,2025.08.01 00:45:00,0,
2025.08.01 01:19:59,scan_executed_new_execution_bar,2025.08.01 01:00:00,0,
2025.08.01 01:24:58,scan_skipped_same_execution_bar,2025.08.01 01:00:00,0,
2025.08.01 01:34:59,scan_executed_new_execution_bar,2025.08.01 01:15:00,0,
2025.08.01 01:39:59,scan_skipped_same_execution_bar,2025.08.01 01:15:00,0,
2025.08.01 01:49:59,scan_executed_new_execution_bar,2025.08.01 01:30:00,0,
2025.08.01 01:54:59,scan_skipped_same_execution_bar,2025.08.01 01:30:00,0,
2025.08.01 02:04:59,scan_executed_new_execution_bar,2025.08.01 01:45:00,0,
2025.08.01 02:10:00,scan_skipped_same_execution_bar,2025.08.01 01:45:00,0,
2025.08.01 02:19:59,scan_executed_new_execution_bar,2025.08.01 02:00:00,0,
2025.08.01 02:24:59,scan_skipped_same_execution_bar,2025.08.01 02:00:00,0,
2025.08.01 02:34:59,scan_executed_new_execution_bar,2025.08.01 02:15:00,0,
2025.08.01 02:39:59,scan_skipped_same_execution_bar,2025.08.01 02:15:00,0,
2025.08.01 02:49:59,scan_executed_new_execution_bar,2025.08.01 02:30:00,0,
2025.08.01 02:55:00,scan_skipped_same_execution_bar,2025.08.01 02:30:00,0,
2025.08.01 03:04:59,scan_executed_new_execution_bar,2025.08.01 02:45:00,0,
2025.08.01 03:10:00,scan_skipped_same_execution_bar,2025.08.01 02:45:00,0,
2025.08.01 03:19:59,scan_executed_new_execution_bar,2025.08.01 03:00:00,0,
2025.08.01 03:24:59,scan_skipped_same_execution_bar,2025.08.01 03:00:00,0,
2025.08.01 03:34:59,scan_executed_new_execution_bar,2025.08.01 03:15:00,0,
2025.08.01 03:39:59,scan_skipped_same_execution_bar,2025.08.01 03:15:00,0,
2025.08.01 03:49:59,scan_executed_new_execution_bar,2025.08.01 03:30:00,0,
2025.08.01 03:54:59,scan_skipped_same_execution_bar,2025.08.01 03:30:00,0,
2025.08.01 04:04:59,scan_executed_new_execution_bar,2025.08.01 03:45:00,0,
2025.08.01 04:09:59,scan_skipped_same_execution_bar,2025.08.01 03:45:00,0,
2025.08.01 04:19:59,scan_executed_new_execution_bar,2025.08.01 04:00:00,0,
2025.08.01 04:24:59,scan_skipped_same_execution_bar,2025.08.01 04:00:00,0,
2025.08.01 04:34:59,scan_executed_new_execution_bar,2025.08.01 04:15:00,0,
2025.08.01 04:39:59,scan_skipped_same_execution_bar,2025.08.01 04:15:00,0,
2025.08.01 04:50:00,scan_executed_new_execution_bar,2025.08.01 04:30:00,0,
2025.08.01 04:54:59,scan_skipped_same_execution_bar,2025.08.01 04:30:00,0,
2025.08.01 05:04:59,scan_executed_new_execution_bar,2025.08.01 04:45:00,0,
2025.08.01 05:09:59,scan_skipped_same_execution_bar,2025.08.01 04:45:00,0,
2025.08.01 05:19:59,scan_executed_new_execution_bar,2025.08.01 05:00:00,0,
2025.08.01 05:24:59,scan_skipped_same_execution_bar,2025.08.01 05:00:00,0,
2025.08.01 05:34:59,scan_executed_new_execution_bar,2025.08.01 05:15:00,0,
