time,symbol,direction,event,regime,regime_reason,higher_tf_swing_state,ema_slope,trend_strength,volatility_state,entry_allowed_by_regime,blocked_by_regime_reason,lower_reversal_quality,pullback_depth_atr,sl_atr,order_retcode,order_comment,entry_price,sl,tp,volume,risk_r,rr,skip_reason,structure_stage_fail_reason,execution_block_reason,v2_filter_pass,v2_filter_fail_reason,spread_atr,max_spread_atr,spread_guard_pass,spread_guard_blocked,spread_points,atr_value,strategy_name
2025.08.01 01:04:59,XAUUSD,SHORT,order_attempt,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.343 range_atr=7.69 vol=normal,LL_LH,-2.94,0.3426,normal,true,,75.00,2.08,2.39,0,,3291.52,3295.01,3286.29,0.14,3.49,1.50,all_score_passing_candidate,,,true,,0.1231,0.2000,true,false,18.0,1.46,DowFractal_ThirdWave_Regime
2025.08.01 01:04:59,XAUUSD,SHORT,order_sent,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.343 range_atr=7.69 vol=normal,LL_LH,-2.94,0.3426,normal,true,,75.00,2.08,2.39,10009,order_sent,3291.52,3295.01,3286.29,0.14,3.49,1.50,all_score_passing_candidate,,,true,,0.1231,0.2000,true,false,18.0,1.46,DowFractal_ThirdWave_Regime
2025.08.01 02:14:59,XAUUSD,SHORT,order_attempt,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.372 range_atr=8.07 vol=normal,LL_LH,-3.04,0.3715,normal,true,,75.00,2.08,3.02,0,,3290.59,3295.02,3283.95,0.11,4.43,1.50,all_score_passing_candidate,,,true,,0.1294,0.2000,true,false,19.0,1.47,DowFractal_ThirdWave_Regime
2025.08.01 02:14:59,XAUUSD,SHORT,order_sent,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.372 range_atr=8.07 vol=normal,LL_LH,-3.04,0.3715,normal,true,,75.00,2.08,3.02,10009,order_sent,3290.59,3295.02,3283.95,0.11,4.43,1.50,all_score_passing_candidate,,,true,,0.1294,0.2000,true,false,19.0,1.47,DowFractal_ThirdWave_Regime
2025.08.01 02:24:59,XAUUSD,SHORT,order_blocked,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.372 range_atr=8.07 vol=normal,LL_LH,-3.04,0.3715,normal,true,,100.00,1.94,3.35,0,existing_position,3290.44,3295.01,3283.59,0.10,4.57,1.50,existing_position,,existing_position,true,,0.1320,0.2000,true,false,18.0,1.36,DowFractal_ThirdWave_Regime
2025.08.01 04:39:59,XAUUSD,SHORT,order_blocked,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.429 range_atr=8.43 vol=normal,LL_LH,-3.36,0.4292,normal,true,,100.00,1.23,2.60,0,existing_position,3288.16,3294.02,3279.37,0.08,5.86,1.50,existing_position,,existing_position,true,,0.0844,0.2000,true,false,19.0,2.25,DowFractal_ThirdWave_Regime
2025.08.01 04:44:59,XAUUSD,SHORT,order_blocked,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.429 range_atr=8.43 vol=normal,LL_LH,-3.36,0.4292,normal,true,,100.00,1.23,2.81,0,existing_position,3287.90,3294.01,3278.74,0.08,6.11,1.50,existing_position,,existing_position,true,,0.0828,0.2000,true,false,18.0,2.17,DowFractal_ThirdWave_Regime
2025.08.01 04:50:00,XAUUSD,SHORT,order_blocked,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.429 range_atr=8.43 vol=normal,LL_LH,-3.36,0.4292,normal,true,,75.00,1.17,3.45,0,existing_position,3286.37,3294.01,3274.91,0.06,7.64,1.50,existing_position,,existing_position,true,,0.0813,0.2000,true,false,18.0,2.21,DowFractal_ThirdWave_Regime
2025.08.04 11:24:59,XAUUSD,LONG,order_attempt,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.865 range_atr=11.20 vol=normal,HH_HL,6.75,0.8646,normal,true,,100.00,4.34,3.22,0,,3359.42,3351.53,3371.26,0.06,7.89,1.50,all_score_passing_candidate,,,true,,0.0776,0.2000,true,false,19.0,2.45,DowFractal_ThirdWave_Regime
2025.08.04 11:24:59,XAUUSD,LONG,order_sent,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.865 range_atr=11.20 vol=normal,HH_HL,6.75,0.8646,normal,true,,100.00,4.34,3.22,10009,order_sent,3359.42,3351.53,3371.26,0.06,7.89,1.50,all_score_passing_candidate,,,true,,0.0776,0.2000,true,false,19.0,2.45,DowFractal_ThirdWave_Regime
2025.08.04 11:29:59,XAUUSD,LONG,order_blocked,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.865 range_atr=11.20 vol=normal,HH_HL,6.75,0.8646,normal,true,,100.00,4.34,3.14,0,existing_position,3359.06,3351.53,3370.36,0.06,7.53,1.50,existing_position,,existing_position,true,,0.0791,0.2000,true,false,19.0,2.40,DowFractal_ThirdWave_Regime
2025.08.04 19:19:59,XAUUSD,LONG,order_attempt,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.831 range_atr=12.46 vol=normal,HH_HL,6.92,0.8309,normal,true,,100.00,2.95,2.84,0,,3376.86,3370.45,3386.48,0.07,6.41,1.50,all_score_passing_candidate,,,true,,0.0798,0.2000,true,false,18.0,2.26,DowFractal_ThirdWave_Regime
2025.08.04 19:19:59,XAUUSD,LONG,order_sent,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.831 range_atr=12.46 vol=normal,HH_HL,6.92,0.8309,normal,true,,100.00,2.95,2.84,10009,order_sent,3376.86,3370.45,3386.48,0.07,6.41,1.50,all_score_passing_candidate,,,true,,0.0798,0.2000,true,false,18.0,2.26,DowFractal_ThirdWave_Regime
2025.08.04 21:19:59,XAUUSD,LONG,order_blocked,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.863 range_atr=12.49 vol=normal,HH_HL,7.17,0.8628,normal,true,,75.00,4.57,3.93,0,existing_position,3375.63,3370.37,3383.52,0.09,5.26,1.50,existing_position,,existing_position,true,,0.1346,0.2000,true,false,18.0,1.34,DowFractal_ThirdWave_Regime
2025.08.04 21:24:59,XAUUSD,LONG,order_blocked,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.863 range_atr=12.49 vol=normal,HH_HL,7.17,0.8628,normal,true,,100.00,4.57,4.80,0,existing_position,3376.67,3370.36,3386.14,0.07,6.31,1.50,existing_position,,existing_position,true,,0.1444,0.2000,true,false,19.0,1.32,DowFractal_ThirdWave_Regime
