open_time,close_time,symbol,direction,volume,open_price,close_price,open_deal,close_deal,commission,swap,profit,net_profit,close_balance,close_comment,holding_minutes,open_bar_m5,close_bar_m5
2025.01.02 03:20:00,2025.01.02 04:21:35,XAUUSD,LONG,0.2,2631.66,2635.34,2,3,0.0,0.0,73.6,73.6,10073.6,tp 2635.34,61.58,2025.01.02 03:20:00,2025.01.02 04:20:00
2025.01.02 04:25:00,2025.01.02 04:43:02,XAUUSD,LONG,0.17,2636.01,2632.99,4,5,0.0,0.0,-51.34,-51.34,10022.26,sl 2633.05,18.03,2025.01.02 04:25:00,2025.01.02 04:40:00
2025.01.02 04:45:00,2025.01.02 11:01:48,XAUUSD,LONG,0.16,2633.64,2638.32,6,7,0.0,0.0,74.88,74.88,10097.14,tp 2638.32,376.8,2025.01.02 04:45:00,2025.01.02 11:00:00
2025.01.02 22:20:00,2025.01.03 04:18:32,XAUUSD,LONG,0.15,2657.66,2662.56,8,9,0.0,-12.52,73.5,60.980000000000004,10158.12,tp 2662.51,358.53,2025.01.02 22:20:00,2025.01.03 04:15:00
2025.01.03 04:40:00,2025.01.03 07:37:02,XAUUSD,LONG,0.17,2661.76,2658.78,10,11,0.0,0.0,-50.66,-50.66,10107.46,sl 2658.79,177.03,2025.01.03 04:40:00,2025.01.03 07:35:00
2025.01.08 17:25:00,2025.01.08 19:36:12,XAUUSD,LONG,0.1,2664.03,2658.97,12,13,0.0,0.0,-50.6,-50.6,10056.86,sl 2658.98,131.2,2025.01.08 17:25:00,2025.01.08 19:35:00
2025.01.08 21:25:00,2025.01.09 13:10:14,XAUUSD,LONG,0.08,2660.31,2668.88,14,15,0.0,-20.03,68.56,48.53,10105.39,tp 2668.88,945.23,2025.01.08 21:25:00,2025.01.09 13:10:00
2025.01.09 13:35:00,2025.01.09 15:25:16,XAUUSD,LONG,0.13,2670.06,2675.88,16,17,0.0,0.0,75.66,75.66,10181.05,tp 2675.84,110.27,2025.01.09 13:35:00,2025.01.09 15:25:00
2025.01.09 15:50:00,2025.01.09 16:00:39,XAUUSD,LONG,0.12,2675.97,2672.0,18,19,0.0,0.0,-47.64,-47.64,10133.41,sl 2672.02,10.65,2025.01.09 15:50:00,2025.01.09 16:00:00
2025.01.09 16:55:00,2025.01.09 17:52:34,XAUUSD,LONG,0.1,2675.23,2670.36,20,21,0.0,0.0,-48.7,-48.7,10084.71,sl 2670.43,57.57,2025.01.09 16:55:00,2025.01.09 17:50:00
2025.01.09 20:20:00,2025.01.10 08:34:26,XAUUSD,LONG,0.11,2669.99,2676.57,22,23,0.0,-9.18,72.38,63.199999999999996,10147.91,tp 2676.54,734.43,2025.01.09 20:20:00,2025.01.10 08:30:00
2025.01.13 01:50:00,2025.01.13 03:05:26,XAUUSD,LONG,0.15,2689.82,2686.41,24,25,0.0,0.0,-51.15,-51.15,10096.76,sl 2686.59,75.43,2025.01.13 01:50:00,2025.01.13 03:05:00
2025.01.13 04:20:00,2025.01.13 06:40:11,XAUUSD,LONG,0.11,2689.17,2684.68,26,27,0.0,0.0,-49.39,-49.39,10047.37,sl 2684.69,140.18,2025.01.13 04:20:00,2025.01.13 06:40:00
2025.01.15 16:05:00,2025.01.15 16:09:43,XAUUSD,LONG,0.11,2693.96,2689.68,28,29,0.0,0.0,-47.08,-47.08,10000.29,sl 2689.72,4.72,2025.01.15 16:05:00,2025.01.15 16:05:00
2025.01.15 16:10:00,2025.01.15 16:34:07,XAUUSD,LONG,0.11,2689.87,2685.62,30,31,0.0,0.0,-46.75,-46.75,9953.54,sl 2685.63,24.12,2025.01.15 16:10:00,2025.01.15 16:30:00
2025.01.15 18:50:00,2025.01.16 03:05:51,XAUUSD,LONG,0.07,2688.06,2698.68,32,33,0.0,-17.53,74.34,56.81,10010.35,tp 2698.67,495.85,2025.01.15 18:50:00,2025.01.16 03:05:00
2025.01.16 03:20:00,2025.01.16 03:55:07,XAUUSD,LONG,0.17,2698.7,2695.86,34,35,0.0,0.0,-48.28,-48.28,9962.07,sl 2695.87,35.12,2025.01.16 03:20:00,2025.01.16 03:55:00
2025.01.16 04:35:00,2025.01.16 07:30:13,XAUUSD,LONG,0.14,2697.5,2694.18,36,37,0.0,0.0,-46.48,-46.48,9915.59,sl 2694.18,175.22,2025.01.16 04:35:00,2025.01.16 07:30:00
2025.01.16 09:20:00,2025.01.16 10:15:41,XAUUSD,LONG,0.19,2696.6,2700.47,38,39,0.0,0.0,73.53,73.53,9989.12,tp 2700.46,55.68,2025.01.16 09:20:00,2025.01.16 10:15:00
2025.01.16 10:20:00,2025.01.16 10:36:01,XAUUSD,LONG,0.15,2702.02,2698.86,40,41,0.0,0.0,-47.4,-47.4,9941.72,sl 2698.87,16.02,2025.01.16 10:20:00,2025.01.16 10:35:00
2025.01.16 10:45:00,2025.01.16 11:20:45,XAUUSD,LONG,0.14,2699.74,2705.16,42,43,0.0,0.0,75.88,75.88,10017.6,tp 2704.83,35.75,2025.01.16 10:45:00,2025.01.16 11:20:00
2025.01.16 17:05:00,2025.01.16 17:14:54,XAUUSD,LONG,0.09,2717.95,2712.9,44,45,0.0,0.0,-45.45,-45.45,9972.15,sl 2712.92,9.9,2025.01.16 17:05:00,2025.01.16 17:10:00
2025.01.16 17:15:00,2025.01.16 18:37:05,XAUUSD,LONG,0.09,2713.57,2721.14,46,47,0.0,0.0,68.13,68.13,10040.28,tp 2721.11,82.08,2025.01.16 17:15:00,2025.01.16 18:35:00
2025.01.21 17:05:00,2025.01.21 18:19:48,XAUUSD,LONG,0.12,2737.48,2743.8,48,49,0.0,0.0,75.84,75.84,10116.12,tp 2743.71,74.8,2025.01.21 17:05:00,2025.01.21 18:15:00
2025.01.21 18:20:00,2025.01.22 05:35:50,XAUUSD,LONG,0.11,2743.47,2750.3,50,51,0.0,-9.18,75.13,65.94999999999999,10182.07,tp 2750.14,675.83,2025.01.21 18:20:00,2025.01.22 05:35:00
2025.01.22 05:40:00,2025.01.22 07:39:12,XAUUSD,LONG,0.17,2750.95,2755.29,52,53,0.0,0.0,73.78,73.78,10255.85,tp 2755.27,119.2,2025.01.22 05:40:00,2025.01.22 07:35:00
2025.01.22 07:40:00,2025.01.22 08:09:21,XAUUSD,LONG,0.21,2755.36,2752.97,54,55,0.0,0.0,-50.19,-50.19,10205.66,sl 2752.97,29.35,2025.01.22 07:40:00,2025.01.22 08:05:00
2025.01.22 08:10:00,2025.01.22 08:18:22,XAUUSD,LONG,0.19,2752.99,2750.4,56,57,0.0,0.0,-49.21,-49.21,10156.45,sl 2750.42,8.37,2025.01.22 08:10:00,2025.01.22 08:15:00
2025.01.22 09:35:00,2025.01.22 09:56:36,XAUUSD,LONG,0.14,2752.22,2748.71,58,59,0.0,0.0,-49.14,-49.14,10107.31,sl 2748.76,21.6,2025.01.22 09:35:00,2025.01.22 09:55:00
2025.01.22 10:00:00,2025.01.22 11:01:24,XAUUSD,LONG,0.14,2748.85,2754.01,60,61,0.0,0.0,72.24,72.24,10179.55,tp 2754.01,61.4,2025.01.22 10:00:00,2025.01.22 11:00:00
2025.01.22 11:10:00,2025.01.22 12:35:14,XAUUSD,LONG,0.11,2756.43,2762.91,62,63,0.0,0.0,71.28,71.28,10250.83,tp 2762.85,85.23,2025.01.22 11:10:00,2025.01.22 12:35:00
2025.01.22 12:40:00,2025.01.22 12:51:43,XAUUSD,LONG,0.12,2763.17,2758.9,64,65,0.0,0.0,-51.24,-51.24,10199.59,sl 2758.91,11.72,2025.01.22 12:40:00,2025.01.22 12:50:00
2025.01.22 14:50:00,2025.01.22 15:33:11,XAUUSD,LONG,0.13,2756.84,2753.08,66,67,0.0,0.0,-48.88,-48.88,10150.71,sl 2753.08,43.18,2025.01.22 14:50:00,2025.01.22 15:30:00
2025.01.22 16:05:00,2025.01.22 16:20:30,XAUUSD,LONG,0.12,2757.17,2753.11,68,69,0.0,0.0,-48.72,-48.72,10101.99,sl 2753.18,15.5,2025.01.22 16:05:00,2025.01.22 16:20:00
2025.01.22 17:40:00,2025.01.23 03:47:51,XAUUSD,LONG,0.09,2756.26,2751.05,70,71,0.0,-22.53,-46.89,-69.42,10032.57,sl 2751.05,607.85,2025.01.22 17:40:00,2025.01.23 03:45:00
2025.01.24 07:40:00,2025.01.24 09:57:38,XAUUSD,LONG,0.13,2775.84,2772.1,72,73,0.0,0.0,-48.62,-48.62,9983.95,sl 2772.10,137.63,2025.01.24 07:40:00,2025.01.24 09:55:00
2025.01.24 10:00:00,2025.01.24 11:30:18,XAUUSD,LONG,0.16,2772.74,2777.34,74,75,0.0,0.0,73.6,73.6,10057.55,tp 2777.28,90.3,2025.01.24 10:00:00,2025.01.24 11:30:00
2025.01.24 11:35:00,2025.01.24 11:45:52,XAUUSD,LONG,0.15,2774.52,2771.28,76,77,0.0,0.0,-48.6,-48.6,10008.95,sl 2771.30,10.87,2025.01.24 11:35:00,2025.01.24 11:45:00
2025.01.24 12:15:00,2025.01.24 13:34:12,XAUUSD,LONG,0.14,2773.57,2778.87,78,79,0.0,0.0,74.2,74.2,10083.15,tp 2778.74,79.2,2025.01.24 12:15:00,2025.01.24 13:30:00
2025.01.24 13:35:00,2025.01.24 15:49:06,XAUUSD,LONG,0.13,2779.11,2784.58,80,81,0.0,0.0,71.11,71.11,10154.26,tp 2784.53,134.1,2025.01.24 13:35:00,2025.01.24 15:45:00
2025.01.24 15:50:00,2025.01.24 16:12:38,XAUUSD,LONG,0.15,2783.77,2780.53,82,83,0.0,0.0,-48.6,-48.6,10105.66,sl 2780.53,22.63,2025.01.24 15:50:00,2025.01.24 16:10:00
2025.01.24 16:50:00,2025.01.24 17:24:23,XAUUSD,LONG,0.12,2778.42,2784.51,84,85,0.0,0.0,73.08,73.08,10178.74,tp 2784.50,34.38,2025.01.24 16:50:00,2025.01.24 17:20:00
2025.01.24 17:25:00,2025.01.24 17:50:34,XAUUSD,LONG,0.11,2784.85,2780.18,86,87,0.0,0.0,-51.37,-51.37,10127.37,sl 2780.23,25.57,2025.01.24 17:25:00,2025.01.24 17:50:00
2025.01.30 10:05:00,2025.01.30 10:52:42,XAUUSD,LONG,0.21,2770.15,2773.76,88,89,0.0,0.0,75.81,75.81,10203.18,tp 2773.76,47.7,2025.01.30 10:05:00,2025.01.30 10:50:00
