run,scenario,group,trades,wins,losses,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expected_payoff,avg_win,avg_loss
A,BOTH_5m_new_bar,2025-01,125,54,71,43.2,254.89,3999.33,-3744.44,1.068,2.04,74.06,-52.74
A,BOTH_5m_new_bar,2025-02,136,47,89,34.56,-940.98,3444.19,-4385.17,0.785,-6.92,73.28,-49.27
A,BOTH_5m_new_bar,2025-03,145,53,92,36.55,-646.02,3317.24,-3963.26,0.837,-4.46,62.59,-43.08
A,BOTH_5m_new_bar,2025-04,189,73,116,38.62,-352.72,4439.89,-4792.61,0.926,-1.87,60.82,-41.32
A,BOTH_5m_new_bar,2025-05,149,63,86,42.28,323.78,3997.32,-3673.54,1.088,2.17,63.45,-42.72
A,BOTH_5m_new_bar,2025-06,145,52,93,35.86,-647.41,3029.37,-3676.78,0.824,-4.46,58.26,-39.54
A,BOTH_5m_new_bar,2025-07,133,53,80,39.85,-87.83,3036.11,-3123.94,0.972,-0.66,57.29,-39.05
A,BOTH_5m_new_bar,2025-08,94,28,66,29.79,-948.16,1476.84,-2425.0,0.609,-10.09,52.74,-36.74
A,BOTH_5m_new_bar,2025-09,160,67,93,41.88,166.62,3229.24,-3062.62,1.054,1.04,48.2,-32.93
A,BOTH_5m_new_bar,2025-10,178,81,97,45.51,1298.93,4753.19,-3454.26,1.376,7.3,58.68,-35.61
A,BOTH_5m_new_bar,2025-11,120,53,67,44.17,367.55,3067.04,-2699.49,1.136,3.06,57.87,-40.29
A,BOTH_5m_new_bar,2025-12,116,52,64,44.83,460.44,3141.64,-2681.2,1.172,3.97,60.42,-41.89
B,LONG_ONLY_5m_new_bar,2025-01,97,43,54,44.33,319.18,3143.48,-2824.3,1.113,3.29,73.1,-52.3
B,LONG_ONLY_5m_new_bar,2025-02,75,24,51,32.0,-777.61,1802.68,-2580.29,0.699,-10.37,75.11,-50.59
B,LONG_ONLY_5m_new_bar,2025-03,109,48,61,44.04,351.67,3219.05,-2867.38,1.123,3.23,67.06,-47.01
B,LONG_ONLY_5m_new_bar,2025-04,130,55,75,42.31,262.3,3861.26,-3598.96,1.073,2.02,70.2,-47.99
B,LONG_ONLY_5m_new_bar,2025-05,95,42,53,44.21,499.24,3261.15,-2761.91,1.181,5.26,77.65,-52.11
B,LONG_ONLY_5m_new_bar,2025-06,81,28,53,34.57,-589.08,2126.94,-2716.02,0.783,-7.27,75.96,-51.25
B,LONG_ONLY_5m_new_bar,2025-07,86,35,51,40.7,33.55,2582.95,-2549.4,1.013,0.39,73.8,-49.99
B,LONG_ONLY_5m_new_bar,2025-08,63,18,45,28.57,-975.79,1214.52,-2190.31,0.554,-15.49,67.47,-48.67
B,LONG_ONLY_5m_new_bar,2025-09,134,60,74,44.78,624.69,3972.93,-3348.24,1.187,4.66,66.22,-45.25
B,LONG_ONLY_5m_new_bar,2025-10,140,67,73,47.86,1877.89,5639.13,-3761.24,1.499,13.41,84.17,-51.52
B,LONG_ONLY_5m_new_bar,2025-11,84,40,44,47.62,767.34,3388.37,-2621.03,1.293,9.14,84.71,-59.57
B,LONG_ONLY_5m_new_bar,2025-12,90,45,45,50.0,1384.44,4232.93,-2848.49,1.486,15.38,94.07,-63.3
C,SHORT_ONLY_5m_new_bar,2025-01,57,20,37,35.09,-377.03,1479.51,-1856.54,0.797,-6.61,73.98,-50.18
