time,symbol,direction,event,order_retcode,order_comment,entry_price,sl,tp,volume,risk_r,rr,skip_reason,structure_stage_fail_reason,execution_block_reason,spread_atr,max_spread_atr,spread_guard_pass,spread_guard_blocked,spread_points,atr_value,strategy_name
2025.01.02 07:54:59,XAUUSD,LONG,order_attempt,0,,2634.60,2630.85,2640.23,0.13,3.75,1.50,,,,0.1880,0.2000,true,false,19.0,1.01,DowFractal_ThirdWave
2025.01.02 07:54:59,XAUUSD,LONG,order_sent,10009,order_sent,2634.60,2630.85,2640.23,0.13,3.75,1.50,,,,0.1880,0.2000,true,false,19.0,1.01,DowFractal_ThirdWave
2025.01.02 22:24:59,XAUUSD,LONG,order_attempt,0,,2659.47,2653.58,2668.31,0.08,5.89,1.50,,,,0.1501,0.2000,true,false,18.0,1.20,DowFractal_ThirdWave
2025.01.02 22:24:59,XAUUSD,LONG,order_sent,10009,order_sent,2659.47,2653.58,2668.31,0.08,5.89,1.50,,,,0.1501,0.2000,true,false,18.0,1.20,DowFractal_ThirdWave
2025.01.06 16:44:59,EURJPY,LONG,order_attempt,0,,163.164,162.882,163.587,0.27,0.282,1.50,,,,0.1516,0.2000,true,false,30.0,0.198,DowFractal_ThirdWave
2025.01.06 16:44:59,EURJPY,LONG,order_sent,10009,order_sent,163.164,162.882,163.587,0.27,0.282,1.50,,,,0.1516,0.2000,true,false,30.0,0.198,DowFractal_ThirdWave
2025.01.06 16:54:59,EURJPY,LONG,order_blocked,0,max_positions,163.428,162.882,164.247,0.14,0.546,1.50,max_positions,,max_positions,0.1424,0.2000,true,false,30.0,0.211,DowFractal_ThirdWave
2025.01.06 16:59:59,EURJPY,LONG,order_blocked,0,max_positions,163.485,162.882,164.390,0.13,0.603,1.50,max_positions,,max_positions,0.1448,0.2000,true,false,30.0,0.207,DowFractal_ThirdWave
2025.01.06 18:04:59,EURUSD,LONG,order_attempt,0,,1.03954,1.03509,1.04622,0.11,0.00445,1.50,,,,0.1976,0.2000,true,false,18.0,0.00091,DowFractal_ThirdWave
2025.01.06 18:04:59,EURUSD,LONG,order_sent,10009,order_sent,1.03954,1.03509,1.04622,0.11,0.00445,1.50,,,,0.1976,0.2000,true,false,18.0,0.00091,DowFractal_ThirdWave
2025.01.07 10:39:59,XAUUSD,LONG,order_blocked,0,max_positions,2643.67,2637.86,2652.39,0.08,5.81,1.50,max_positions,,max_positions,0.1142,0.2000,true,false,18.0,1.58,DowFractal_ThirdWave
2025.01.07 11:34:59,XAUUSD,LONG,order_blocked,0,max_positions,2642.61,2637.86,2649.74,0.10,4.75,1.50,max_positions,,max_positions,0.1135,0.2000,true,false,18.0,1.59,DowFractal_ThirdWave
2025.01.07 12:44:59,XAUUSD,LONG,order_blocked,0,max_positions,2644.05,2639.92,2650.25,0.12,4.13,1.50,max_positions,,max_positions,0.1381,0.2000,true,false,18.0,1.30,DowFractal_ThirdWave
