time,event,symbol,direction,session,order_retcode,order_comment,strategy_name,label,fail_reason,execution_block_reason,fib_zone,h4_trend_state,h1_counter_trend_state,neckline_break_label,entry_price,sl,tp,volume,risk_r,rr,sl_points,sl_atr,tp_points,tp_atr,neckline_price,neckline_break_close_price,right_side_level,bars_since_right_side,distance_neckline_to_entry_atr,distance_right_side_to_entry_atr,spread_atr,spread_points,quality_score,retest_confirmation_mode,retest_detected,retest_held,retest_trigger_pass,retest_failed,original_neckline_break_time,retest_detected_time,retest_trigger_time,retest_bars_after_breakout,entry_delay_bars,retest_depth_atr,retest_zone_atr,retest_reclaim_price,retest_distance_from_neckline_atr,false_break_return_inside_neckline,retest_quality,retest_failure_reason,breakout_quality_router_mode,breakout_quality_label,breakout_quality_reason,breakout_quality_pass,breakout_strong,breakout_weak,breakout_dirty,breakout_close_distance_from_neckline_atr,breakout_close_distance_from_neckline_points,breakout_body_ratio,breakout_body_atr,breakout_range_atr,breakout_directional_wick_ratio,breakout_close_position_directional,neckline_touch_count,context_quality_router_mode,context_quality_label,context_quality_reason,context_quality_score,context_clean,context_mixed,context_poor,structural_bos_mode,structural_bos_state,m15_confirmation_type,h1_bos_level,h1_counter_nwave_high,h1_counter_nwave_low,distance_bos_to_entry,distance_bos_to_entry_atr,bars_since_bos
2026.01.06 20:04:59,order_attempt,USDJPY,LONG,server_16_23,0,,Nested_NWave_StructuralBOS,chasing_entry,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,chasing_entry,156.725,156.647,156.881,1.00,0.078,2.00,78.0,0.89,156.0,1.78,156.470,156.684,156.664,3,2.90,0.69,0.1937,17.0,21.82,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,dirty_breakout,entry_far_from_neckline,false,false,false,true,1.62,142.0,0.93,2.43,2.60,0.06,0.94,3,false,not_evaluated,,0.00,false,false,false,true,h1_bos_confirmed,m15_retest_reclaim,156.470,156.790,156.155,0.255,2.90,12
2026.01.06 20:04:59,order_sent,USDJPY,LONG,server_16_23,10009,order_sent,Nested_NWave_StructuralBOS,chasing_entry,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,chasing_entry,156.725,156.647,156.881,1.00,0.078,2.00,78.0,0.89,156.0,1.78,156.470,156.684,156.664,3,2.90,0.69,0.1937,17.0,21.82,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,dirty_breakout,entry_far_from_neckline,false,false,false,true,1.62,142.0,0.93,2.43,2.60,0.06,0.94,3,false,not_evaluated,,0.00,false,false,false,true,h1_bos_confirmed,m15_retest_reclaim,156.470,156.790,156.155,0.255,2.90,12
2026.01.21 17:19:59,order_attempt,GBPUSD,LONG,server_16_23,0,,Nested_NWave_StructuralBOS,clean_structural_bos,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,clean_structural_bos,1.34412,1.34204,1.34828,0.23,0.00208,2.00,208.0,1.64,416.0,3.28,1.34483,1.34505,1.34219,4,0.56,1.52,0.1184,15.0,143.48,false,false,false,false,false,,,,0,0,0.00,0.00,0.00000,0.00,false,not_applicable,,false,weak_breakout,route_to_retest_confirmation,true,false,true,false,0.19,24.0,0.78,1.29,1.67,0.22,0.78,0,false,not_evaluated,,0.00,false,false,false,true,h1_bos_confirmed,m15_retest_reclaim,1.34483,1.34560,1.34006,0.00071,0.56,3
2026.01.21 17:19:59,order_sent,GBPUSD,LONG,server_16_23,10009,order_sent,Nested_NWave_StructuralBOS,clean_structural_bos,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,clean_structural_bos,1.34412,1.34204,1.34828,0.23,0.00208,2.00,208.0,1.64,416.0,3.28,1.34483,1.34505,1.34219,4,0.56,1.52,0.1184,15.0,143.48,false,false,false,false,false,,,,0,0,0.00,0.00,0.00000,0.00,false,not_applicable,,false,weak_breakout,route_to_retest_confirmation,true,false,true,false,0.19,24.0,0.78,1.29,1.67,0.22,0.78,0,false,not_evaluated,,0.00,false,false,false,true,h1_bos_confirmed,m15_retest_reclaim,1.34483,1.34560,1.34006,0.00071,0.56,3
2026.02.12 18:49:59,order_attempt,USDJPY,SHORT,server_16_23,0,,Nested_NWave_StructuralBOS,clean_structural_bos,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,clean_structural_bos,152.728,153.076,152.032,0.22,0.348,2.00,348.0,1.45,696.0,2.89,152.793,152.729,153.055,5,0.27,1.36,0.0872,21.0,144.55,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,strong_breakout,instant_entry_quality,true,true,false,false,0.64,154.0,0.76,0.66,0.86,0.11,0.89,2,false,not_evaluated,,0.00,false,false,false,true,h1_bos_confirmed,m15_retest_reclaim,152.793,153.750,152.261,0.065,0.27,4
2026.02.12 18:49:59,order_sent,USDJPY,SHORT,server_16_23,10009,order_sent,Nested_NWave_StructuralBOS,clean_structural_bos,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,clean_structural_bos,152.728,153.076,152.032,0.22,0.348,2.00,348.0,1.45,696.0,2.89,152.793,152.729,153.055,5,0.27,1.36,0.0872,21.0,144.55,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,strong_breakout,instant_entry_quality,true,true,false,false,0.64,154.0,0.76,0.66,0.86,0.11,0.89,2,false,not_evaluated,,0.00,false,false,false,true,h1_bos_confirmed,m15_retest_reclaim,152.793,153.750,152.261,0.065,0.27,4
2026.02.12 19:04:59,order_blocked,USDJPY,SHORT,server_16_23,0,existing_position,Nested_NWave_StructuralBOS,clean_structural_bos,existing_position,existing_position,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,clean_structural_bos,152.724,153.076,152.020,0.21,0.352,2.00,352.0,1.50,704.0,2.99,152.793,152.645,153.055,6,0.29,1.41,0.0892,21.0,141.22,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,strong_breakout,instant_entry_quality,true,true,false,false,0.65,154.0,0.76,0.68,0.88,0.11,0.89,2,false,not_evaluated,,0.00,false,false,false,true,h1_bos_confirmed,m15_retest_reclaim,152.793,153.750,152.261,0.069,0.29,5
2026.02.12 19:20:00,order_blocked,USDJPY,SHORT,server_16_23,0,existing_position,Nested_NWave_StructuralBOS,clean_structural_bos,existing_position,existing_position,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,clean_structural_bos,152.593,152.832,152.115,0.31,0.239,2.00,239.0,1.05,478.0,2.09,152.793,152.729,152.811,3,0.88,0.95,0.0920,21.0,130.06,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,strong_breakout,instant_entry_quality,true,true,false,false,0.67,154.0,0.76,0.70,0.91,0.11,0.89,1,false,not_evaluated,,0.00,false,false,false,true,h1_bos_confirmed,m15_retest_reclaim,152.793,153.750,152.261,0.200,0.88,6
2026.02.12 19:20:00,order_attempt,EURUSD,SHORT,server_16_23,0,,Nested_NWave_StructuralBOS,clean_structural_bos,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,clean_structural_bos,1.18705,1.18910,1.18295,0.24,0.00205,2.00,205.0,2.07,410.0,4.14,1.18661,1.18654,1.18891,5,0.44,1.88,0.1921,19.0,146.89,false,false,false,false,false,,,,0,0,0.00,0.00,0.00000,0.00,false,not_applicable,,false,dirty_breakout,shallow_close_distance|weak_directional_close|large_directional_wick,false,false,false,true,0.07,7.0,0.38,0.43,1.15,0.55,0.45,5,false,not_evaluated,,0.00,false,false,false,true,m15_countertrend_bos_confirmed,m15_bos_confirmed,1.18661,1.18870,1.18515,0.00044,0.44,1
2026.02.12 19:20:00,order_sent,EURUSD,SHORT,server_16_23,10009,order_sent,Nested_NWave_StructuralBOS,clean_structural_bos,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,clean_structural_bos,1.18705,1.18910,1.18295,0.24,0.00205,2.00,205.0,2.07,410.0,4.14,1.18661,1.18654,1.18891,5,0.44,1.88,0.1921,19.0,146.89,false,false,false,false,false,,,,0,0,0.00,0.00,0.00000,0.00,false,not_applicable,,false,dirty_breakout,shallow_close_distance|weak_directional_close|large_directional_wick,false,false,false,true,0.07,7.0,0.38,0.43,1.15,0.55,0.45,5,false,not_evaluated,,0.00,false,false,false,true,m15_countertrend_bos_confirmed,m15_bos_confirmed,1.18661,1.18870,1.18515,0.00044,0.44,1
