time,symbol,direction,higher_tf_trend,mid_tf_pullback_status,lower_tf_reversal_status,regime,regime_reason,higher_tf_swing_state,ema_slope,trend_strength,volatility_state,entry_allowed_by_regime,blocked_by_regime_reason,lower_reversal_quality,pullback_depth_atr,sl_atr,setup_pass,entry_pass,final_entry_pass,skip_reason,structure_stage_fail_reason,execution_block_reason,higher_tf_trend_pass,mid_tf_pullback_pass,lower_tf_reversal_pass,structure_sl_pass,rr_pass,v2_filter_pass,v2_filter_fail_reason,v3_filter_pass,v3_filter_fail_reason,v3_momentum_exhaustion_score,v3_momentum_exhausted,v3_recent_move_atr,v3_consecutive_directional_bars,v3_close_to_recent_extreme_atr,reversal_signal_type,v4_block_reason,bars_since_pullback_extreme,bars_since_reversal_signal,distance_from_reversal_signal_to_entry_atr,impulse_consumed_pct,pre_entry_momentum_score,reversal_strength_score,spread_atr,max_spread_atr,spread_guard_pass,spread_guard_blocked,spread_points,atr_value,entry_price,sl,tp,risk_r,rr,swing_high,swing_low,structure_sl_source,strategy_name
2026.01.05 06:54:59,XAUUSD,LONG,up,valid_higher_low,minor_high_reclaimed_quality_ok,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.222 range_atr=6.74 vol=normal,HH_HL,4.84,0.2219,normal,true,,100.00,2.54,2.27,true,true,true,all_score_passing_candidate,,,true,true,true,true,true,true,,true,,35.00,false,0.61,4,1.07,unclear,,0,1,0.88,6.16,0.00,0.00,0.0587,0.2000,true,false,19.0,3.23,4404.15,4396.82,4415.15,7.33,1.50,4421.34,4397.29,mid_fractal_low,DowFractal_ThirdWave_V2_AuditFiltered
2026.01.05 07:24:59,XAUUSD,LONG,up,valid_higher_low,minor_high_reclaimed_quality_ok,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.300 range_atr=7.45 vol=normal,HH_HL,5.92,0.3001,normal,true,,75.00,2.82,4.46,true,true,true,existing_position,,existing_position,true,true,true,true,true,true,,true,,0.00,false,1.15,2,0.46,unclear,,0,1,0.05,9.99,0.00,0.00,0.0733,0.2000,true,false,19.0,2.59,4408.41,4396.86,4425.74,11.55,1.50,4421.34,4397.29,mid_fractal_low,DowFractal_ThirdWave_V2_AuditFiltered
2026.01.05 07:34:59,XAUUSD,LONG,up,valid_higher_low,minor_high_reclaimed_quality_ok,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.300 range_atr=7.45 vol=normal,HH_HL,5.92,0.3001,normal,true,,100.00,3.06,4.86,true,true,true,existing_position,,existing_position,true,true,true,true,true,true,,true,,35.00,false,1.69,1,1.10,unclear,,0,1,1.04,11.23,0.00,0.00,0.0716,0.2000,true,false,19.0,2.65,4409.79,4396.90,4429.13,12.89,1.50,4421.34,4397.29,mid_fractal_low,DowFractal_ThirdWave_V2_AuditFiltered
2026.01.06 10:34:59,XAUUSD,LONG,up,valid_higher_low,minor_high_reclaimed_quality_ok,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.723 range_atr=11.34 vol=normal,HH_HL,10.47,0.7230,normal,true,,75.00,2.24,2.75,true,true,true,all_score_passing_candidate,,,true,true,true,true,true,true,,true,,70.00,true,2.38,3,2.18,unclear,,0,1,0.96,41.25,0.00,0.00,0.0520,0.2000,true,false,20.0,3.85,4467.40,4456.82,4483.27,10.58,1.50,4474.21,4457.20,mid_fractal_low,DowFractal_ThirdWave_V2_AuditFiltered
2026.01.08 10:19:59,XAUUSD,SHORT,down,valid_lower_high,minor_low_broken_quality_ok,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.131 range_atr=6.29 vol=normal,LL_LH,-1.77,0.1315,normal,true,,100.00,2.96,2.32,true,true,true,all_score_passing_candidate,,,true,true,true,true,true,true,,true,,0.00,false,1.07,1,0.68,unclear,,0,1,0.65,21.16,0.00,0.00,0.0416,0.2000,true,false,20.0,4.80,4428.93,4440.05,4412.25,11.12,1.50,4439.65,4415.73,mid_fractal_high,DowFractal_ThirdWave_V2_AuditFiltered
2026.01.08 10:29:59,XAUUSD,SHORT,down,valid_lower_high,minor_low_broken_quality_ok,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.131 range_atr=6.29 vol=normal,LL_LH,-1.77,0.1315,normal,true,,100.00,2.96,2.84,true,true,true,existing_position,,existing_position,true,true,true,true,true,true,,true,,0.00,false,1.14,1,0.32,unclear,,0,1,0.06,25.27,0.00,0.00,0.0430,0.2000,true,false,20.0,4.65,4426.85,4440.05,4407.05,13.20,1.50,4439.65,4415.73,mid_fractal_high,DowFractal_ThirdWave_V2_AuditFiltered
2026.01.12 05:34:59,XAUUSD,LONG,up,valid_higher_low,minor_high_reclaimed_quality_ok,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.431 range_atr=8.06 vol=high,HH_HL,10.35,0.4314,high,true,,100.00,3.06,3.41,true,true,true,all_score_passing_candidate,,,true,true,true,true,true,true,,true,,0.00,false,0.56,2,1.06,unclear,,0,1,1.04,12.27,0.00,0.00,0.0425,0.2000,true,false,19.0,4.47,4576.50,4561.24,4599.39,15.26,1.50,4601.19,4561.88,mid_fractal_low,DowFractal_ThirdWave_V2_AuditFiltered
2026.01.13 20:44:59,XAUUSD,LONG,up,valid_higher_low,minor_high_reclaimed_quality_ok,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.764 range_atr=8.37 vol=normal,HH_HL,13.93,0.7643,normal,true,,75.00,3.29,1.18,true,true,true,all_score_passing_candidate,,,true,true,true,true,true,true,,true,,90.00,true,1.61,4,0.12,unclear,,0,1,0.18,13.13,0.00,0.00,0.0276,0.2000,true,false,19.0,6.87,4600.52,4592.43,4612.66,8.09,1.50,4634.65,4593.06,mid_fractal_low,DowFractal_ThirdWave_V2_AuditFiltered
2026.01.13 20:49:59,XAUUSD,LONG,up,valid_higher_low,minor_high_reclaimed_quality_ok,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.764 range_atr=8.37 vol=normal,HH_HL,13.93,0.7643,normal,true,,100.00,3.38,1.18,true,true,true,existing_position,,existing_position,true,true,true,true,true,true,,true,,90.00,true,1.33,5,0.11,unclear,,0,1,0.04,12.34,0.00,0.00,0.0293,0.2000,true,false,19.0,6.48,4600.07,4592.45,4611.50,7.62,1.50,4634.65,4593.06,mid_fractal_low,DowFractal_ThirdWave_V2_AuditFiltered
2026.01.20 18:44:59,XAUUSD,LONG,up,valid_higher_low,minor_high_reclaimed_quality_ok,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.812 range_atr=13.28 vol=normal,HH_HL,13.11,0.8122,normal,true,,100.00,1.17,3.42,true,true,true,all_score_passing_candidate,,,true,true,true,true,true,true,,true,,55.00,false,0.72,3,0.09,unclear,,0,1,0.09,104.45,0.00,0.00,0.0303,0.2000,true,false,21.0,6.92,4745.46,4721.81,4780.94,23.65,1.50,4750.91,4722.45,mid_fractal_low,DowFractal_ThirdWave_V2_AuditFiltered
2026.01.20 18:49:59,XAUUSD,LONG,up,valid_higher_low,minor_high_reclaimed_quality_ok,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.812 range_atr=13.28 vol=normal,HH_HL,13.11,0.8122,normal,true,,100.00,1.18,4.34,true,true,true,existing_position,,existing_position,true,true,true,true,true,true,,true,,35.00,false,0.65,4,0.53,unclear,,0,1,0.58,120.02,0.00,0.00,0.0337,0.2000,true,false,21.0,6.24,4748.89,4721.81,4789.51,27.08,1.50,4750.91,4722.45,mid_fractal_low,DowFractal_ThirdWave_V2_AuditFiltered
2026.01.20 19:04:59,XAUUSD,LONG,up,valid_higher_low,minor_high_reclaimed_quality_ok,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.784 range_atr=12.61 vol=normal,HH_HL,13.74,0.7842,normal,true,,75.00,1.16,5.18,true,true,true,existing_position,,existing_position,true,true,true,true,true,true,,true,,70.00,true,1.54,6,1.40,unclear,,0,1,0.66,125.15,0.00,0.00,0.0386,0.2000,true,false,21.0,5.44,4750.02,4721.81,4792.34,28.21,1.50,4750.91,4722.45,mid_fractal_low,DowFractal_ThirdWave_V2_AuditFiltered
2026.01.21 13:24:59,XAUUSD,LONG,up,valid_higher_low,minor_high_reclaimed_quality_ok,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.796 range_atr=9.46 vol=high,HH_HL,19.26,0.7959,high,true,,100.00,4.03,5.55,true,true,true,all_score_passing_candidate,,,true,true,true,true,true,true,,true,,90.00,true,2.31,3,0.21,unclear,,0,1,0.21,34.17,0.00,0.00,0.0596,0.2000,true,false,21.0,3.52,4870.56,4851.00,4899.90,19.56,1.50,4888.45,4851.46,mid_fractal_low,DowFractal_ThirdWave_V2_AuditFiltered
2026.01.21 13:29:59,XAUUSD,LONG,up,valid_higher_low,minor_high_reclaimed_quality_ok,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.796 range_atr=9.46 vol=high,HH_HL,19.26,0.7959,high,true,,100.00,4.03,4.83,true,true,true,existing_position,,existing_position,true,true,true,true,true,true,,true,,70.00,true,1.88,4,1.29,unclear,,0,1,0.95,28.13,0.00,0.00,0.0597,0.2000,true,false,20.0,3.35,4867.18,4851.00,4891.45,16.18,1.50,4888.45,4851.46,mid_fractal_low,DowFractal_ThirdWave_V2_AuditFiltered
2026.01.23 23:09:59,XAUUSD,LONG,up,valid_higher_low,minor_high_reclaimed_quality_ok,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.503 range_atr=9.77 vol=normal,HH_HL,12.02,0.5025,normal,true,,100.00,1.64,2.42,true,true,true,all_score_passing_candidate,,,true,true,true,true,true,true,,true,,0.00,false,0.34,2,0.37,unclear,,0,1,0.24,40.23,0.00,0.00,0.0384,0.2000,true,false,20.0,5.20,4982.73,4970.15,5001.60,12.58,1.50,4989.68,4970.69,mid_fractal_low,DowFractal_ThirdWave_V2_AuditFiltered
2026.01.23 23:56:59,XAUUSD,LONG,up,valid_higher_low,minor_high_reclaimed_quality_ok,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.503 range_atr=9.77 vol=normal,HH_HL,12.02,0.5025,normal,true,,100.00,2.06,5.65,true,true,true,existing_position,,existing_position,true,true,true,true,true,true,,true,,0.00,false,1.08,2,0.56,unclear,,0,1,0.68,59.10,0.00,0.00,0.0655,0.2000,true,false,21.0,3.21,4988.38,4970.26,5015.56,18.12,1.50,4988.20,4970.69,mid_fractal_low,DowFractal_ThirdWave_V2_AuditFiltered
2026.01.26 00:04:53,XAUUSD,LONG,up,valid_higher_low,minor_high_reclaimed_quality_ok,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.503 range_atr=9.77 vol=normal,HH_HL,12.02,0.5025,normal,true,,100.00,2.06,5.65,true,true,true,existing_position,,existing_position,true,true,true,true,true,true,,true,,0.00,false,1.08,2,0.56,unclear,,0,1,0.68,59.10,0.00,0.00,0.0655,0.2000,true,false,21.0,3.21,4988.38,4970.26,5015.56,18.12,1.50,4988.20,4970.69,mid_fractal_low,DowFractal_ThirdWave_V2_AuditFiltered
2026.01.26 00:09:59,XAUUSD,LONG,up,valid_higher_low,minor_high_reclaimed_quality_ok,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.503 range_atr=9.77 vol=normal,HH_HL,12.02,0.5025,normal,true,,100.00,2.06,5.65,true,true,true,existing_position,,existing_position,true,true,true,true,true,true,,true,,0.00,false,1.08,2,0.56,unclear,,0,1,0.68,59.10,0.00,0.00,0.0655,0.2000,true,false,21.0,3.21,4988.38,4970.26,5015.56,18.12,1.50,4988.20,4970.69,mid_fractal_low,DowFractal_ThirdWave_V2_AuditFiltered
2026.01.26 00:14:59,XAUUSD,LONG,up,valid_higher_low,minor_high_reclaimed_quality_ok,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.503 range_atr=9.77 vol=normal,HH_HL,12.02,0.5025,normal,true,,100.00,2.06,5.65,true,true,true,existing_position,,existing_position,true,true,true,true,true,true,,true,,0.00,false,1.08,2,0.56,unclear,,0,1,0.68,59.10,0.00,0.00,0.0655,0.2000,true,false,21.0,3.21,4988.38,4970.26,5015.56,18.12,1.50,4988.20,4970.69,mid_fractal_low,DowFractal_ThirdWave_V2_AuditFiltered
2026.01.26 00:19:59,XAUUSD,LONG,up,valid_higher_low,minor_high_reclaimed_quality_ok,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.503 range_atr=9.77 vol=normal,HH_HL,12.02,0.5025,normal,true,,100.00,2.06,5.65,true,true,true,existing_position,,existing_position,true,true,true,true,true,true,,true,,0.00,false,1.08,2,0.56,unclear,,0,1,0.68,59.10,0.00,0.00,0.0655,0.2000,true,false,21.0,3.21,4988.38,4970.26,5015.56,18.12,1.50,4988.20,4970.69,mid_fractal_low,DowFractal_ThirdWave_V2_AuditFiltered
2026.01.26 00:24:59,XAUUSD,LONG,up,valid_higher_low,minor_high_reclaimed_quality_ok,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.503 range_atr=9.77 vol=normal,HH_HL,12.02,0.5025,normal,true,,100.00,2.06,5.65,true,true,true,existing_position,,existing_position,true,true,true,true,true,true,,true,,0.00,false,1.08,2,0.56,unclear,,0,1,0.68,59.10,0.00,0.00,0.0655,0.2000,true,false,21.0,3.21,4988.38,4970.26,5015.56,18.12,1.50,4988.20,4970.69,mid_fractal_low,DowFractal_ThirdWave_V2_AuditFiltered
2026.01.26 00:29:59,XAUUSD,LONG,up,valid_higher_low,minor_high_reclaimed_quality_ok,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.503 range_atr=9.77 vol=normal,HH_HL,12.02,0.5025,normal,true,,100.00,2.06,5.65,true,true,true,existing_position,,existing_position,true,true,true,true,true,true,,true,,0.00,false,1.08,2,0.56,unclear,,0,1,0.68,59.10,0.00,0.00,0.0655,0.2000,true,false,21.0,3.21,4988.38,4970.26,5015.56,18.12,1.50,4988.20,4970.69,mid_fractal_low,DowFractal_ThirdWave_V2_AuditFiltered
2026.01.26 00:34:59,XAUUSD,LONG,up,valid_higher_low,minor_high_reclaimed_quality_ok,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.503 range_atr=9.77 vol=normal,HH_HL,12.02,0.5025,normal,true,,100.00,2.06,5.65,true,true,true,existing_position,,existing_position,true,true,true,true,true,true,,true,,0.00,false,1.08,2,0.56,unclear,,0,1,0.68,59.10,0.00,0.00,0.0655,0.2000,true,false,21.0,3.21,4988.38,4970.26,5015.56,18.12,1.50,4988.20,4970.69,mid_fractal_low,DowFractal_ThirdWave_V2_AuditFiltered
2026.01.26 00:39:59,XAUUSD,LONG,up,valid_higher_low,minor_high_reclaimed_quality_ok,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.503 range_atr=9.77 vol=normal,HH_HL,12.02,0.5025,normal,true,,100.00,2.06,5.65,true,true,true,existing_position,,existing_position,true,true,true,true,true,true,,true,,0.00,false,1.08,2,0.56,unclear,,0,1,0.68,59.10,0.00,0.00,0.0655,0.2000,true,false,21.0,3.21,4988.38,4970.26,5015.56,18.12,1.50,4988.20,4970.69,mid_fractal_low,DowFractal_ThirdWave_V2_AuditFiltered
