open_time,close_time,symbol,direction,volume,open_price,close_price,open_deal,close_deal,commission,swap,profit,net_profit,close_balance,close_comment,holding_minutes,open_bar_m5,close_bar_m5
2026.01.05 06:55:00,2026.01.05 08:01:32,XAUUSD,LONG,0.06,4404.15,4415.16,2,3,0.0,0.0,66.06,66.06,10066.06,tp 4415.15,66.53,2026.01.05 06:55:00,2026.01.05 08:00:00
2026.01.05 16:05:00,2026.01.05 16:55:01,XAUUSD,LONG,0.04,4422.69,4441.08,4,5,0.0,0.0,73.56,73.56,10139.62,tp 4441.04,50.02,2026.01.05 16:05:00,2026.01.05 16:55:00
2026.01.05 23:15:00,2026.01.06 02:35:32,XAUUSD,LONG,0.04,4447.19,4434.38,6,7,0.0,-3.34,-51.24,-54.58,10085.04,sl 4434.54,200.53,2026.01.05 23:15:00,2026.01.06 02:35:00
2026.01.06 10:35:00,2026.01.06 11:11:12,XAUUSD,LONG,0.04,4467.4,4456.7,8,9,0.0,0.0,-42.8,-42.8,10042.24,sl 4456.82,36.2,2026.01.06 10:35:00,2026.01.06 11:10:00
2026.01.08 10:10:00,2026.01.08 10:39:10,XAUUSD,SHORT,0.06,4432.43,4420.97,10,11,0.0,0.0,68.76,68.76,10111.0,tp 4421.00,29.17,2026.01.08 10:10:00,2026.01.08 10:35:00
2026.01.08 12:15:00,2026.01.08 14:01:12,XAUUSD,SHORT,0.07,4429.33,4419.57,12,13,0.0,0.0,68.32,68.32,10179.32,tp 4419.66,106.2,2026.01.08 12:15:00,2026.01.08 14:00:00
2026.01.12 05:35:00,2026.01.12 15:07:49,XAUUSD,LONG,0.03,4576.5,4599.68,14,15,0.0,0.0,69.54,69.54,10248.86,tp 4599.39,572.82,2026.01.12 05:35:00,2026.01.12 15:05:00
2026.01.13 20:45:00,2026.01.13 21:00:40,XAUUSD,LONG,0.06,4600.52,4592.39,16,17,0.0,0.0,-48.78,-48.78,10200.08,sl 4592.43,15.67,2026.01.13 20:45:00,2026.01.13 21:00:00
2026.01.16 10:50:00,2026.01.16 13:33:52,XAUUSD,SHORT,0.05,4602.85,4612.92,18,19,0.0,0.0,-50.35,-50.35,10149.73,sl 4612.49,163.87,2026.01.16 10:50:00,2026.01.16 13:30:00
2026.01.19 07:10:00,2026.01.20 06:28:25,XAUUSD,LONG,0.04,4669.28,4686.37,20,21,0.0,-3.34,68.36,65.02,10214.75,tp 4686.37,1398.42,2026.01.19 07:10:00,2026.01.20 06:25:00
2026.01.20 18:45:00,2026.01.21 01:47:55,XAUUSD,LONG,0.02,4745.46,4780.97,22,23,0.0,-1.67,71.02,69.35,10284.1,tp 4780.94,422.92,2026.01.20 18:45:00,2026.01.21 01:45:00
2026.01.21 11:35:00,2026.01.21 16:05:00,XAUUSD,LONG,0.02,4869.42,4850.56,24,25,0.0,0.0,-37.72,-37.72,10246.38,sl 4850.73,270.0,2026.01.21 11:35:00,2026.01.21 16:05:00
2026.01.23 23:10:00,2026.01.26 01:01:00,XAUUSD,LONG,0.04,4982.73,5010.75,26,27,0.0,-3.34,112.08,108.74,10355.12,tp 5001.60,2991.0,2026.01.23 23:10:00,2026.01.26 01:00:00
2026.01.26 08:10:00,2026.01.26 08:47:36,XAUUSD,LONG,0.02,5071.85,5102.36,28,29,0.0,0.0,61.02,61.02,10416.14,tp 5102.03,37.6,2026.01.26 08:10:00,2026.01.26 08:45:00
2026.01.26 10:25:00,2026.01.26 15:02:44,XAUUSD,LONG,0.02,5096.66,5073.11,30,31,0.0,0.0,-47.1,-47.1,10369.04,sl 5073.22,277.73,2026.01.26 10:25:00,2026.01.26 15:00:00
2026.01.27 12:05:00,2026.01.27 13:51:24,XAUUSD,LONG,0.02,5094.36,5072.77,32,33,0.0,0.0,-43.18,-43.18,10325.86,sl 5072.81,106.4,2026.01.27 12:05:00,2026.01.27 13:50:00
2026.01.28 10:30:00,2026.01.28 10:48:41,USDJPY,SHORT,0.27,152.452,152.744,34,35,0.0,0.0,-51.62,-51.62,10274.24,sl 152.740,18.68,2026.01.28 10:30:00,2026.01.28 10:45:00
2026.01.28 16:45:00,2026.01.28 17:08:08,XAUUSD,LONG,0.01,5279.35,5250.76,36,37,0.0,0.0,-28.59,-28.59,10245.65,sl 5250.86,23.13,2026.01.28 16:45:00,2026.01.28 17:05:00
2026.01.29 06:40:00,2026.01.29 10:43:46,XAUUSD,LONG,0.01,5563.68,5505.88,38,39,0.0,0.0,-57.8,-57.8,10187.85,sl 5506.76,243.77,2026.01.29 06:40:00,2026.01.29 10:40:00
2026.01.30 13:55:00,2026.01.30 15:31:07,XAUUSD,SHORT,0.01,5119.29,5014.18,40,41,0.0,0.0,105.11,105.11,10292.96,tp 5014.35,96.12,2026.01.30 13:55:00,2026.01.30 15:30:00
2026.02.02 06:10:00,2026.02.02 08:23:19,XAUUSD,SHORT,0.01,4655.44,4474.39,42,43,0.0,0.0,181.05,181.05,10474.01,tp 4474.39,133.32,2026.02.02 06:10:00,2026.02.02 08:20:00
2026.02.05 16:20:00,2026.02.05 16:51:46,XAUUSD,SHORT,0.01,4815.83,4869.4,44,45,0.0,0.0,-53.57,-53.57,10420.44,sl 4869.28,31.77,2026.02.05 16:20:00,2026.02.05 16:50:00
2026.02.05 16:55:00,2026.02.06 15:31:21,GBPUSD,SHORT,0.11,1.35507,1.3596,46,47,0.0,-0.16,-49.83,-49.989999999999995,10370.45,sl 1.35960,1356.35,2026.02.05 16:55:00,2026.02.06 15:30:00
2026.02.09 05:10:00,2026.02.11 12:44:29,XAUUSD,LONG,0.01,5018.82,5096.81,48,49,0.0,-1.66,77.99,76.33,10446.78,tp 5095.08,3334.48,2026.02.09 05:10:00,2026.02.11 12:40:00
2026.02.11 17:15:00,2026.02.12 05:12:02,USDJPY,SHORT,0.12,153.333,152.37,50,51,0.0,-4.15,75.84,71.69,10518.47,tp 152.370,717.03,2026.02.11 17:15:00,2026.02.12 05:10:00
2026.02.12 15:25:00,2026.02.12 16:19:18,XAUUSD,LONG,0.03,5071.53,5055.58,52,53,0.0,0.0,-47.85,-47.85,10470.62,sl 5055.60,54.3,2026.02.12 15:25:00,2026.02.12 16:15:00
2026.02.17 19:20:00,2026.02.17 20:40:49,XAUUSD,SHORT,0.01,4863.32,4894.92,54,55,0.0,0.0,-31.6,-31.6,10439.02,sl 4894.84,80.82,2026.02.17 19:20:00,2026.02.17 20:40:00
2026.02.18 01:10:00,2026.02.18 01:53:32,XAUUSD,SHORT,0.04,4874.69,4855.72,56,57,0.0,0.0,75.88,75.88,10514.9,tp 4855.72,43.53,2026.02.18 01:10:00,2026.02.18 01:50:00
2026.02.20 15:10:00,2026.02.20 15:33:02,XAUUSD,LONG,0.06,5026.89,5019.12,58,59,0.0,0.0,-46.62,-46.62,10468.28,sl 5019.13,23.03,2026.02.20 15:10:00,2026.02.20 15:30:00
2026.02.23 14:50:00,2026.02.23 15:25:58,XAUUSD,LONG,0.03,5160.44,5146.17,60,61,0.0,0.0,-42.81,-42.81,10425.47,sl 5146.19,35.97,2026.02.23 14:50:00,2026.02.23 15:25:00
2026.02.23 21:25:00,2026.02.24 01:03:50,XAUUSD,LONG,0.02,5211.85,5243.92,62,63,0.0,-1.67,64.14,62.47,10487.94,tp 5243.82,218.83,2026.02.23 21:25:00,2026.02.24 01:00:00
2026.02.24 08:00:00,2026.02.24 08:35:05,XAUUSD,LONG,0.02,5182.83,5162.93,64,65,0.0,0.0,-39.8,-39.8,10448.14,sl 5162.95,35.08,2026.02.24 08:00:00,2026.02.24 08:35:00
2026.02.24 09:25:00,2026.02.24 14:18:11,XAUUSD,LONG,0.02,5174.89,5155.77,66,67,0.0,0.0,-38.24,-38.24,10409.9,sl 5156.14,293.18,2026.02.24 09:25:00,2026.02.24 14:15:00
2026.02.27 02:25:00,2026.02.27 02:36:14,XAUUSD,LONG,0.02,5192.77,5174.59,68,69,0.0,0.0,-36.36,-36.36,10373.54,sl 5175.35,11.23,2026.02.27 02:25:00,2026.02.27 02:35:00
2026.02.27 21:10:00,2026.03.02 01:01:00,XAUUSD,LONG,0.01,5248.64,5316.77,70,71,0.0,-0.83,68.13,67.3,10440.84,tp 5288.75,3111.0,2026.02.27 21:10:00,2026.03.02 01:00:00
2026.03.02 05:10:00,2026.03.02 18:00:22,XAUUSD,LONG,0.01,5352.34,5300.93,72,73,0.0,0.0,-51.41,-51.41,10389.43,sl 5302.15,770.37,2026.03.02 05:10:00,2026.03.02 18:00:00
2026.03.03 18:15:00,2026.03.03 20:38:19,USDJPY,LONG,0.31,157.827,157.574,74,75,0.0,0.0,-49.77,-49.77,10339.66,sl 157.574,143.32,2026.03.03 18:15:00,2026.03.03 20:35:00
2026.03.03 21:40:00,2026.03.04 02:43:29,XAUUSD,SHORT,0.02,5111.44,5136.07,76,77,0.0,0.51,-49.26,-48.75,10290.91,sl 5135.92,303.48,2026.03.03 21:40:00,2026.03.04 02:40:00
2026.03.06 04:50:00,2026.03.06 11:22:04,XAUUSD,SHORT,0.02,5124.19,5093.49,78,79,0.0,0.0,61.4,61.4,10352.31,tp 5093.49,392.07,2026.03.06 04:50:00,2026.03.06 11:20:00
2026.03.09 10:10:00,2026.03.09 11:29:23,EURUSD,SHORT,0.26,1.1553,1.15241,80,81,0.0,0.0,75.14,75.14,10427.45,tp 1.15242,79.38,2026.03.09 10:10:00,2026.03.09 11:25:00
2026.03.09 13:25:00,2026.03.09 16:11:09,GBPUSD,SHORT,0.14,1.33277,1.33647,82,83,0.0,0.0,-51.8,-51.8,10375.65,sl 1.33647,166.15,2026.03.09 13:25:00,2026.03.09 16:10:00
2026.03.10 08:10:00,2026.03.10 11:30:57,XAUUSD,LONG,0.03,5167.9,5189.03,84,85,0.0,0.0,63.39,63.39,10439.04,tp 5189.02,200.95,2026.03.10 08:10:00,2026.03.10 11:30:00
2026.03.10 14:15:00,2026.03.10 14:28:50,XAUUSD,LONG,0.07,5187.42,5180.03,86,87,0.0,0.0,-51.73,-51.73,10387.31,sl 5180.09,13.83,2026.03.10 14:15:00,2026.03.10 14:25:00
