time,event,last_scan_bar_time,scan_elapsed_ms,reason
2026.01.01 00:00:00,scan_executed_new_execution_bar,2025.12.31 23:50:00,7219,
2026.01.01 00:00:00,scan_skipped_same_execution_bar,2025.12.31 23:50:00,0,
2026.01.02 00:04:36,scan_executed_new_execution_bar,2025.12.31 23:55:00,0,
2026.01.02 00:09:57,scan_executed_new_execution_bar,2026.01.02 00:00:00,0,
2026.01.02 00:14:59,scan_executed_new_execution_bar,2026.01.02 00:05:00,0,
2026.01.02 00:19:57,scan_executed_new_execution_bar,2026.01.02 00:10:00,0,
2026.01.02 00:24:53,scan_executed_new_execution_bar,2026.01.02 00:15:00,0,
2026.01.02 00:29:59,scan_executed_new_execution_bar,2026.01.02 00:20:00,0,
2026.01.02 00:34:54,scan_executed_new_execution_bar,2026.01.02 00:25:00,0,
2026.01.02 00:39:59,scan_executed_new_execution_bar,2026.01.02 00:30:00,0,
2026.01.02 00:44:58,scan_executed_new_execution_bar,2026.01.02 00:35:00,0,
2026.01.02 00:49:59,scan_executed_new_execution_bar,2026.01.02 00:40:00,0,
2026.01.02 00:54:59,scan_executed_new_execution_bar,2026.01.02 00:45:00,0,
2026.01.02 00:59:59,scan_executed_new_execution_bar,2026.01.02 00:50:00,0,
2026.01.02 01:04:59,scan_executed_new_execution_bar,2026.01.02 00:55:00,0,
2026.01.02 01:09:59,scan_executed_new_execution_bar,2026.01.02 01:00:00,0,
2026.01.02 01:14:59,scan_executed_new_execution_bar,2026.01.02 01:05:00,0,
2026.01.02 01:19:59,scan_executed_new_execution_bar,2026.01.02 01:10:00,0,
2026.01.02 01:24:59,scan_executed_new_execution_bar,2026.01.02 01:15:00,0,
2026.01.02 01:29:59,scan_executed_new_execution_bar,2026.01.02 01:20:00,0,
2026.01.02 01:34:59,scan_executed_new_execution_bar,2026.01.02 01:25:00,0,
2026.01.02 01:39:59,scan_executed_new_execution_bar,2026.01.02 01:30:00,0,
2026.01.02 01:44:59,scan_executed_new_execution_bar,2026.01.02 01:35:00,0,
2026.01.02 01:49:59,scan_executed_new_execution_bar,2026.01.02 01:40:00,0,
2026.01.02 01:54:59,scan_executed_new_execution_bar,2026.01.02 01:45:00,0,
2026.01.02 01:59:59,scan_executed_new_execution_bar,2026.01.02 01:50:00,0,
2026.01.02 02:04:59,scan_executed_new_execution_bar,2026.01.02 01:55:00,0,
2026.01.02 02:09:59,scan_executed_new_execution_bar,2026.01.02 02:00:00,0,
2026.01.02 02:14:59,scan_executed_new_execution_bar,2026.01.02 02:05:00,0,
2026.01.02 02:19:59,scan_executed_new_execution_bar,2026.01.02 02:10:00,0,
