open_time,close_time,symbol,direction,volume,open_price,close_price,open_deal,close_deal,commission,swap,profit,net_profit,close_balance,close_comment,holding_minutes,open_bar_m5,close_bar_m5
2026.01.05 16:10:00,2026.01.05 17:00:31,XAUUSD,LONG,0.03,4423.48,4443.03,2,3,0.0,0.0,58.65,58.65,10058.65,tp 4443.01,50.52,2026.01.05 16:10:00,2026.01.05 17:00:00
2026.01.08 10:10:00,2026.01.08 10:39:10,XAUUSD,SHORT,0.06,4432.43,4420.97,4,5,0.0,0.0,68.76,68.76,10127.41,tp 4421.00,29.17,2026.01.08 10:10:00,2026.01.08 10:35:00
2026.01.08 14:00:00,2026.01.08 15:25:26,XAUUSD,SHORT,0.04,4422.81,4435.16,6,7,0.0,0.0,-49.4,-49.4,10078.01,sl 4435.08,85.43,2026.01.08 14:00:00,2026.01.08 15:25:00
2026.01.13 20:50:00,2026.01.13 21:00:40,XAUUSD,LONG,0.06,4600.07,4592.39,8,9,0.0,0.0,-46.08,-46.08,10031.93,sl 4592.45,10.67,2026.01.13 20:50:00,2026.01.13 21:00:00
2026.01.16 10:50:00,2026.01.16 13:33:52,XAUUSD,SHORT,0.05,4602.85,4612.92,10,11,0.0,0.0,-50.35,-50.35,9981.58,sl 4612.49,163.87,2026.01.16 10:50:00,2026.01.16 13:30:00
2026.01.19 07:10:00,2026.01.20 06:28:25,XAUUSD,LONG,0.04,4669.28,4686.37,12,13,0.0,-3.34,68.36,65.02,10046.6,tp 4686.37,1398.42,2026.01.19 07:10:00,2026.01.20 06:25:00
2026.01.20 18:50:00,2026.01.21 03:02:35,XAUUSD,LONG,0.01,4748.89,4789.57,14,15,0.0,-0.83,40.68,39.85,10086.45,tp 4789.51,492.58,2026.01.20 18:50:00,2026.01.21 03:00:00
2026.01.21 13:30:00,2026.01.21 16:05:00,XAUUSD,LONG,0.03,4867.18,4850.99,16,17,0.0,0.0,-48.57,-48.57,10037.88,sl 4851.00,155.0,2026.01.21 13:30:00,2026.01.21 16:05:00
2026.01.23 23:10:00,2026.01.26 01:01:00,XAUUSD,LONG,0.03,4982.73,5010.75,18,19,0.0,-2.5,84.06,81.56,10119.44,tp 5001.60,2991.0,2026.01.23 23:10:00,2026.01.26 01:00:00
2026.01.26 08:10:00,2026.01.26 08:47:36,XAUUSD,LONG,0.02,5071.85,5102.36,20,21,0.0,0.0,61.02,61.02,10180.46,tp 5102.03,37.6,2026.01.26 08:10:00,2026.01.26 08:45:00
2026.01.26 11:50:00,2026.01.26 14:49:48,USDJPY,SHORT,0.14,153.61,154.156,22,23,0.0,0.0,-49.59,-49.59,10130.87,sl 154.150,179.8,2026.01.26 11:50:00,2026.01.26 14:45:00
2026.01.28 10:30:00,2026.01.28 10:48:41,USDJPY,SHORT,0.27,152.452,152.744,24,25,0.0,0.0,-51.62,-51.62,10079.25,sl 152.740,18.68,2026.01.28 10:30:00,2026.01.28 10:45:00
2026.01.29 06:40:00,2026.01.29 10:43:46,XAUUSD,LONG,0.01,5563.68,5505.88,26,27,0.0,0.0,-57.8,-57.8,10021.45,sl 5506.76,243.77,2026.01.29 06:40:00,2026.01.29 10:40:00
2026.02.02 06:10:00,2026.02.02 08:23:19,XAUUSD,SHORT,0.01,4655.44,4474.39,28,29,0.0,0.0,181.05,181.05,10202.5,tp 4474.39,133.32,2026.02.02 06:10:00,2026.02.02 08:20:00
2026.02.05 16:20:00,2026.02.05 16:51:46,XAUUSD,SHORT,0.01,4815.83,4869.4,30,31,0.0,0.0,-53.57,-53.57,10148.93,sl 4869.28,31.77,2026.02.05 16:20:00,2026.02.05 16:50:00
2026.02.05 17:40:00,2026.02.05 18:43:23,XAUUSD,SHORT,0.01,4834.98,4872.49,32,33,0.0,0.0,-37.51,-37.51,10111.42,sl 4871.82,63.38,2026.02.05 17:40:00,2026.02.05 18:40:00
2026.02.06 05:30:00,2026.02.06 07:25:26,XAUUSD,SHORT,0.01,4811.62,4848.96,34,35,0.0,0.0,-37.34,-37.34,10074.08,sl 4848.60,115.43,2026.02.06 05:30:00,2026.02.06 07:25:00
2026.02.09 05:10:00,2026.02.11 12:44:29,XAUUSD,LONG,0.01,5018.82,5096.81,36,37,0.0,-1.66,77.99,76.33,10150.41,tp 5095.08,3334.48,2026.02.09 05:10:00,2026.02.11 12:40:00
2026.02.12 15:30:00,2026.02.12 15:34:40,XAUUSD,LONG,0.07,5062.7,5073.48,38,39,0.0,0.0,75.46,75.46,10225.87,tp 5073.35,4.67,2026.02.12 15:30:00,2026.02.12 15:30:00
2026.02.17 19:20:00,2026.02.17 20:40:49,XAUUSD,SHORT,0.01,4863.32,4894.92,40,41,0.0,0.0,-31.6,-31.6,10194.27,sl 4894.84,80.82,2026.02.17 19:20:00,2026.02.17 20:40:00
2026.02.18 01:10:00,2026.02.18 01:53:32,XAUUSD,SHORT,0.04,4874.69,4855.72,42,43,0.0,0.0,75.88,75.88,10270.15,tp 4855.72,43.53,2026.02.18 01:10:00,2026.02.18 01:50:00
2026.02.20 15:10:00,2026.02.20 15:33:02,XAUUSD,LONG,0.06,5026.89,5019.12,44,45,0.0,0.0,-46.62,-46.62,10223.53,sl 5019.13,23.03,2026.02.20 15:10:00,2026.02.20 15:30:00
2026.02.23 14:50:00,2026.02.23 15:25:58,XAUUSD,LONG,0.03,5160.44,5146.17,46,47,0.0,0.0,-42.81,-42.81,10180.72,sl 5146.19,35.97,2026.02.23 14:50:00,2026.02.23 15:25:00
2026.02.24 08:00:00,2026.02.24 08:35:05,XAUUSD,LONG,0.02,5182.83,5162.93,48,49,0.0,0.0,-39.8,-39.8,10140.92,sl 5162.95,35.08,2026.02.24 08:00:00,2026.02.24 08:35:00
2026.02.24 12:30:00,2026.02.24 12:35:10,XAUUSD,LONG,0.05,5176.14,5165.82,50,51,0.0,0.0,-51.6,-51.6,10089.32,sl 5166.13,5.17,2026.02.24 12:30:00,2026.02.24 12:35:00
2026.02.27 02:30:00,2026.02.27 02:36:14,XAUUSD,LONG,0.03,5188.28,5174.59,52,53,0.0,0.0,-41.07,-41.07,10048.25,sl 5175.35,6.23,2026.02.27 02:30:00,2026.02.27 02:35:00
2026.02.27 21:10:00,2026.03.02 01:01:00,XAUUSD,LONG,0.01,5248.64,5316.77,54,55,0.0,-0.83,68.13,67.3,10115.55,tp 5288.75,3111.0,2026.02.27 21:10:00,2026.03.02 01:00:00
2026.03.02 05:10:00,2026.03.02 18:00:22,XAUUSD,LONG,0.01,5352.34,5300.93,56,57,0.0,0.0,-51.41,-51.41,10064.14,sl 5302.15,770.37,2026.03.02 05:10:00,2026.03.02 18:00:00
2026.03.03 21:40:00,2026.03.04 02:43:29,XAUUSD,SHORT,0.02,5111.44,5136.07,58,59,0.0,0.51,-49.26,-48.75,10015.39,sl 5135.92,303.48,2026.03.03 21:40:00,2026.03.04 02:40:00
2026.03.06 04:50:00,2026.03.06 11:22:04,XAUUSD,SHORT,0.02,5124.19,5093.49,60,61,0.0,0.0,61.4,61.4,10076.79,tp 5093.49,392.07,2026.03.06 04:50:00,2026.03.06 11:20:00
2026.03.09 10:10:00,2026.03.09 11:29:23,EURUSD,SHORT,0.26,1.1553,1.15241,62,63,0.0,0.0,75.14,75.14,10151.93,tp 1.15242,79.38,2026.03.09 10:10:00,2026.03.09 11:25:00
2026.03.09 13:30:00,2026.03.09 16:11:08,GBPUSD,SHORT,0.21,1.33407,1.33646,64,65,0.0,0.0,-50.19,-50.19,10101.74,sl 1.33646,161.13,2026.03.09 13:30:00,2026.03.09 16:10:00
2026.03.10 08:10:00,2026.03.10 11:30:57,XAUUSD,LONG,0.03,5167.9,5189.03,66,67,0.0,0.0,63.39,63.39,10165.13,tp 5189.02,200.95,2026.03.10 08:10:00,2026.03.10 11:30:00
2026.03.19 19:40:00,2026.03.19 22:01:05,XAUUSD,SHORT,0.01,4594.15,4640.82,68,69,0.0,0.0,-46.67,-46.67,10118.46,sl 4640.78,141.08,2026.03.19 19:40:00,2026.03.19 22:00:00
