time,symbol,direction,higher_tf_trend,mid_tf_pullback_status,lower_tf_reversal_status,regime,regime_reason,higher_tf_swing_state,ema_slope,trend_strength,volatility_state,entry_allowed_by_regime,blocked_by_regime_reason,lower_reversal_quality,pullback_depth_atr,sl_atr,setup_pass,entry_pass,final_entry_pass,skip_reason,structure_stage_fail_reason,execution_block_reason,higher_tf_trend_pass,mid_tf_pullback_pass,lower_tf_reversal_pass,structure_sl_pass,rr_pass,spread_atr,max_spread_atr,spread_guard_pass,spread_guard_blocked,spread_points,atr_value,entry_price,sl,tp,risk_r,rr,swing_high,swing_low,structure_sl_source,strategy_name
2026.01.05 16:09:59,XAUUSD,LONG,up,valid_higher_low,minor_high_reclaimed_quality_ok,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.629 range_atr=7.97 vol=normal,HH_HL,10.78,0.6291,normal,true,,100.00,2.94,1.97,true,true,true,all_score_passing_candidate,,,true,true,true,true,true,0.0302,0.2000,true,false,20.0,6.61,4423.48,4410.46,4443.01,13.02,1.50,4439.84,4410.95,mid_fractal_low,DowFractal_ThirdWave_Regime
2026.01.05 23:57:59,XAUUSD,LONG,up,valid_higher_low,minor_high_reclaimed_quality_ok,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.702 range_atr=9.61 vol=normal,HH_HL,11.04,0.7021,normal,true,,100.00,2.93,4.48,true,true,true,order_failed,,order_failed,true,true,true,true,true,0.0784,0.2000,true,false,20.0,2.55,4449.16,4437.72,4466.32,11.44,1.50,4455.75,4438.02,mid_fractal_low,DowFractal_ThirdWave_Regime
2026.01.06 00:09:52,XAUUSD,LONG,up,valid_higher_low,minor_high_reclaimed_quality_ok,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.702 range_atr=9.61 vol=normal,HH_HL,11.04,0.7021,normal,true,,100.00,2.93,4.48,true,true,true,order_failed,,order_failed,true,true,true,true,true,0.0784,0.2000,true,false,20.0,2.55,4449.16,4437.72,4466.32,11.44,1.50,4455.75,4438.02,mid_fractal_low,DowFractal_ThirdWave_Regime
2026.01.06 00:19:59,XAUUSD,LONG,up,valid_higher_low,minor_high_reclaimed_quality_ok,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.702 range_atr=9.61 vol=normal,HH_HL,11.04,0.7021,normal,true,,100.00,2.93,4.48,true,true,true,order_failed,,order_failed,true,true,true,true,true,0.0784,0.2000,true,false,20.0,2.55,4449.16,4437.72,4466.32,11.44,1.50,4455.75,4438.02,mid_fractal_low,DowFractal_ThirdWave_Regime
2026.01.06 00:29:59,XAUUSD,LONG,up,valid_higher_low,minor_high_reclaimed_quality_ok,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.702 range_atr=9.61 vol=normal,HH_HL,11.04,0.7021,normal,true,,100.00,2.93,4.48,true,true,true,order_failed,,order_failed,true,true,true,true,true,0.0784,0.2000,true,false,20.0,2.55,4449.16,4437.72,4466.32,11.44,1.50,4455.75,4438.02,mid_fractal_low,DowFractal_ThirdWave_Regime
2026.01.06 00:39:59,XAUUSD,LONG,up,valid_higher_low,minor_high_reclaimed_quality_ok,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.702 range_atr=9.61 vol=normal,HH_HL,11.04,0.7021,normal,true,,100.00,2.93,4.48,true,true,true,order_failed,,order_failed,true,true,true,true,true,0.0784,0.2000,true,false,20.0,2.55,4449.16,4437.72,4466.32,11.44,1.50,4455.75,4438.02,mid_fractal_low,DowFractal_ThirdWave_Regime
2026.01.06 00:49:59,XAUUSD,LONG,up,valid_higher_low,minor_high_reclaimed_quality_ok,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.702 range_atr=9.61 vol=normal,HH_HL,11.04,0.7021,normal,true,,100.00,2.93,4.48,true,true,true,order_failed,,order_failed,true,true,true,true,true,0.0784,0.2000,true,false,20.0,2.55,4449.16,4437.72,4466.32,11.44,1.50,4455.75,4438.02,mid_fractal_low,DowFractal_ThirdWave_Regime
2026.01.06 00:59:58,XAUUSD,LONG,up,valid_higher_low,minor_high_reclaimed_quality_ok,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.702 range_atr=9.61 vol=normal,HH_HL,11.04,0.7021,normal,true,,100.00,2.93,4.48,true,true,true,order_failed,,order_failed,true,true,true,true,true,0.0784,0.2000,true,false,20.0,2.55,4449.16,4437.72,4466.32,11.44,1.50,4455.75,4438.02,mid_fractal_low,DowFractal_ThirdWave_Regime
2026.01.08 10:09:59,XAUUSD,SHORT,down,valid_lower_high,minor_low_broken_quality_ok,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.131 range_atr=6.29 vol=normal,LL_LH,-1.77,0.1315,normal,true,,100.00,2.99,1.80,true,true,true,all_score_passing_candidate,,,true,true,true,true,true,0.0472,0.2000,true,false,20.0,4.24,4432.43,4440.05,4421.00,7.62,1.50,4439.65,4415.73,mid_fractal_high,DowFractal_ThirdWave_Regime
2026.01.08 10:19:59,XAUUSD,SHORT,down,valid_lower_high,minor_low_broken_quality_ok,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.131 range_atr=6.29 vol=normal,LL_LH,-1.77,0.1315,normal,true,,100.00,2.96,2.32,true,true,true,existing_position,,existing_position,true,true,true,true,true,0.0416,0.2000,true,false,20.0,4.80,4428.93,4440.05,4412.25,11.12,1.50,4439.65,4415.73,mid_fractal_high,DowFractal_ThirdWave_Regime
