scenario,group,trades,win_rate,PF,avg_R,net,maxDD,maxDD_pct,avg_MFE_R,avg_MAE_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,LONG trades,SHORT trades,LONG net,SHORT net,LONG avg_R,SHORT avg_R,symbol_count,month_count,symbol_distribution,month_distribution,direction_distribution
A_current_broad_fx_only,AUDJPY,2,0.0,0.0,-1.014,-100.44,100.44,1.0,0.808,1.212,50.0,50.0,0.0,1,1,-47.38,-53.06,-1.009,-1.019,1,2,AUDJPY:2,2025-04:1;2025-10:1,LONG:1;SHORT:1
A_current_broad_fx_only,EURJPY,9,44.44,1.627,0.354,154.36,102.57,1.01,1.25,0.954,44.44,44.44,44.44,3,6,160.07,-5.71,1.064,-0.001,1,6,EURJPY:9,2025-01:1;2025-02:1;2025-03:3;2025-04:2;2025-10:1;2025-11:1,LONG:3;SHORT:6
A_current_broad_fx_only,EURUSD,8,50.0,2.002,0.495,197.93,146.95,1.42,1.52,0.864,62.5,62.5,50.0,5,3,47.82,150.11,0.196,0.995,1,6,EURUSD:8,2025-02:1;2025-03:2;2025-04:1;2025-07:2;2025-09:1;2025-12:1,LONG:5;SHORT:3
A_current_broad_fx_only,GBPJPY,6,50.0,2.007,0.509,147.07,94.61,0.95,1.644,0.916,83.33,83.33,50.0,2,4,52.73,94.34,0.521,0.503,1,3,GBPJPY:6,2025-01:1;2025-03:2;2025-04:3,LONG:2;SHORT:4
A_current_broad_fx_only,GBPUSD,11,0.0,0.0,-1.005,-546.79,546.79,5.47,0.979,1.207,81.82,36.36,0.0,3,8,-151.11,-395.68,-1.002,-1.006,1,8,GBPUSD:11,2025-01:2;2025-04:1;2025-05:1;2025-06:1;2025-07:1;2025-08:2;2025-10:1;2025-11:2,LONG:3;SHORT:8
A_current_broad_fx_only,USDJPY,27,22.22,0.568,-0.336,-455.8,558.69,5.53,1.086,1.181,62.96,44.44,22.22,14,13,-254.33,-201.47,-0.362,-0.308,1,9,USDJPY:27,2025-01:3;2025-02:2;2025-04:2;2025-06:3;2025-07:3;2025-08:6;2025-09:4;2025-11:3;2025-12:1,LONG:14;SHORT:13
B_broad_hard_gate_reduced,AUDJPY,220,26.82,0.704,-0.148,-1042.64,1243.22,12.19,1.298,1.275,65.91,49.55,26.82,116,104,-975.45,-67.19,-0.135,-0.162,1,12,AUDJPY:220,2025-01:20;2025-02:17;2025-03:40;2025-04:71;2025-05:16;2025-06:6;2025-07:4;2025-08:2;2025-09:2;2025-10:19;2025-11:20;2025-12:3,LONG:116;SHORT:104
B_broad_hard_gate_reduced,EURJPY,518,32.63,0.945,-0.037,-441.81,911.02,8.8,1.341,1.253,68.15,49.23,30.31,261,257,-812.22,370.41,0.013,-0.089,1,12,EURJPY:518,2025-01:65;2025-02:61;2025-03:106;2025-04:115;2025-05:31;2025-06:33;2025-07:23;2025-08:14;2025-09:10;2025-10:31;2025-11:16;2025-12:13,LONG:261;SHORT:257
B_broad_hard_gate_reduced,EURUSD,576,30.03,0.83,-0.084,-1259.55,1270.38,12.7,1.372,1.301,69.27,51.22,29.34,268,308,-381.9,-877.65,-0.108,-0.064,1,12,EURUSD:576,2025-01:55;2025-02:39;2025-03:68;2025-04:110;2025-05:93;2025-06:58;2025-07:36;2025-08:39;2025-09:38;2025-10:18;2025-11:14;2025-12:8,LONG:268;SHORT:308
B_broad_hard_gate_reduced,GBPJPY,516,31.4,0.916,-0.031,-702.39,955.3,9.34,1.333,1.203,69.96,49.61,30.81,271,245,203.08,-905.47,0.067,-0.138,1,12,GBPJPY:516,2025-01:72;2025-02:77;2025-03:91;2025-04:103;2025-05:43;2025-06:22;2025-07:14;2025-08:14;2025-09:13;2025-10:33;2025-11:24;2025-12:10,LONG:271;SHORT:245
B_broad_hard_gate_reduced,GBPUSD,673,27.34,0.736,-0.153,-2325.99,2528.99,24.9,1.299,1.283,69.54,50.07,26.75,330,343,-2101.48,-224.51,-0.13,-0.175,1,12,GBPUSD:673,2025-01:81;2025-02:49;2025-03:55;2025-04:94;2025-05:66;2025-06:58;2025-07:50;2025-08:39;2025-09:48;2025-10:51;2025-11:47;2025-12:35,LONG:330;SHORT:343
B_broad_hard_gate_reduced,USDJPY,1496,28.74,0.796,-0.11,-3455.24,4132.62,38.71,1.391,1.369,69.92,50.6,27.87,748,748,-1619.04,-1836.2,-0.079,-0.141,1,12,USDJPY:1496,2025-01:120;2025-02:134;2025-03:124;2025-04:117;2025-05:153;2025-06:134;2025-07:139;2025-08:122;2025-09:105;2025-10:141;2025-11:101;2025-12:106,LONG:748;SHORT:748
C_broad_reduced_room_to_2r,AUDJPY,172,27.33,0.769,-0.052,-631.54,1005.51,9.72,1.392,1.233,70.93,53.49,30.23,94,78,-513.87,-117.67,-0.071,-0.029,1,12,AUDJPY:172,2025-01:14;2025-02:15;2025-03:34;2025-04:56;2025-05:12;2025-06:4;2025-07:3;2025-08:2;2025-09:2;2025-10:16;2025-11:13;2025-12:1,LONG:94;SHORT:78
C_broad_reduced_room_to_2r,EURJPY,408,32.35,0.954,-0.081,-299.71,803.03,7.95,1.378,1.31,67.89,50.0,31.37,214,194,-665.85,366.14,-0.045,-0.121,1,12,EURJPY:408,2025-01:54;2025-02:51;2025-03:88;2025-04:87;2025-05:24;2025-06:27;2025-07:21;2025-08:11;2025-09:8;2025-10:23;2025-11:7;2025-12:7,LONG:214;SHORT:194
C_broad_reduced_room_to_2r,EURUSD,446,28.03,0.684,-0.094,-1874.39,2033.96,20.05,1.425,1.33,70.85,53.14,31.17,200,246,-797.01,-1077.38,-0.121,-0.071,1,12,EURUSD:446,2025-01:43;2025-02:26;2025-03:44;2025-04:88;2025-05:79;2025-06:49;2025-07:26;2025-08:34;2025-09:27;2025-10:15;2025-11:11;2025-12:4,LONG:200;SHORT:246
C_broad_reduced_room_to_2r,GBPJPY,407,29.24,0.79,-0.059,-1478.65,1529.1,15.29,1.369,1.247,71.74,49.39,31.7,215,192,-454.28,-1024.37,0.06,-0.192,1,12,GBPJPY:407,2025-01:61;2025-02:59;2025-03:74;2025-04:81;2025-05:36;2025-06:16;2025-07:10;2025-08:11;2025-09:10;2025-10:25;2025-11:16;2025-12:8,LONG:215;SHORT:192
