condition,on_trades,off_trades,trade_reduction_pct,on_PF,off_PF,on_avg_R,off_avg_R,on_net,off_net,avg_R_delta_on_minus_off,PF_delta_on_minus_off,on_period_distribution,on_symbol_distribution,on_direction_distribution
cond_m15_close_bos,15,32,68.09,1.991,0.9,0.526,-0.045,344.88,-105.32,0.571,1.091,2025-02:1;2025-08:3;2025-10:1;2026-Q1:10,AUDJPY:1;EURJPY:1;EURUSD:4;GBPJPY:1;GBPUSD:1;USDJPY:5;XAUUSD:2,LONG:6;SHORT:9
cond_room_to_1r,36,11,23.4,1.419,0.529,0.269,-0.293,423.29,-183.73,0.562,0.89,2025-02:3;2025-08:10;2025-10:3;2026-Q1:20,AUDJPY:2;EURJPY:3;EURUSD:2;GBPJPY:1;GBPUSD:6;USDJPY:13;XAUUSD:9,LONG:13;SHORT:23
cond_h4_bias_ma,29,18,38.3,1.536,0.745,0.33,-0.173,404.16,-164.6,0.503,0.791,2025-02:3;2025-08:8;2025-10:3;2026-Q1:15,AUDJPY:3;EURJPY:3;EURUSD:3;GBPUSD:5;USDJPY:11;XAUUSD:4,LONG:12;SHORT:17
cond_h4_fib_382_618,12,35,74.47,1.79,1.0,0.495,0.014,240.05,-0.49,0.481,0.79,2025-02:2;2025-08:2;2026-Q1:8,AUDJPY:1;EURUSD:2;USDJPY:6;XAUUSD:3,LONG:5;SHORT:7
cond_room_to_2r,24,23,48.94,1.624,0.786,0.37,-0.106,401.55,-161.99,0.476,0.838,2025-02:3;2025-08:3;2025-10:3;2026-Q1:15,AUDJPY:1;EURJPY:3;EURUSD:1;GBPJPY:1;GBPUSD:4;USDJPY:8;XAUUSD:6,LONG:9;SHORT:15
cond_h1_prev_extreme_break,47,0,0.0,1.171,,0.137,0.0,239.56,0,0.137,,2025-02:5;2025-08:12;2025-10:5;2026-Q1:25,AUDJPY:3;EURJPY:4;EURUSD:5;GBPJPY:1;GBPUSD:6;USDJPY:17;XAUUSD:11,LONG:20;SHORT:27
cond_true_bos_level,47,0,0.0,1.171,,0.137,0.0,239.56,0,0.137,,2025-02:5;2025-08:12;2025-10:5;2026-Q1:25,AUDJPY:3;EURJPY:4;EURUSD:5;GBPJPY:1;GBPUSD:6;USDJPY:17;XAUUSD:11,LONG:20;SHORT:27
cond_sl_atr_ok,47,0,0.0,1.171,,0.137,0.0,239.56,0,0.137,,2025-02:5;2025-08:12;2025-10:5;2026-Q1:25,AUDJPY:3;EURJPY:4;EURUSD:5;GBPJPY:1;GBPUSD:6;USDJPY:17;XAUUSD:11,LONG:20;SHORT:27
cond_h1_counter_nwave,34,13,27.66,1.159,1.203,0.13,0.155,160.27,79.29,-0.025,-0.044,2025-02:3;2025-08:7;2025-10:4;2026-Q1:20,AUDJPY:2;EURJPY:2;EURUSD:3;GBPJPY:1;GBPUSD:4;USDJPY:13;XAUUSD:9,LONG:12;SHORT:22
cond_m15_prev_extreme_bos,34,13,27.66,1.058,1.514,0.076,0.298,60.8,178.76,-0.222,-0.456,2025-02:4;2025-08:9;2025-10:4;2026-Q1:17,AUDJPY:2;EURJPY:3;EURUSD:1;GBPUSD:5;USDJPY:13;XAUUSD:10,LONG:15;SHORT:19
cond_h4_dow_bias,31,16,34.04,0.967,1.669,0.022,0.361,-32.78,272.34,-0.339,-0.702,2025-02:4;2025-08:6;2025-10:5;2026-Q1:16,AUDJPY:2;EURJPY:3;EURUSD:2;GBPJPY:1;GBPUSD:4;USDJPY:10;XAUUSD:9,LONG:16;SHORT:15
cond_h1_counter_wave_atr,45,2,4.26,1.148,1.823,0.121,0.5,199.29,40.27,-0.379,-0.675,2025-02:5;2025-08:11;2025-10:5;2026-Q1:24,AUDJPY:2;EURJPY:4;EURUSD:5;GBPJPY:1;GBPUSD:5;USDJPY:17;XAUUSD:11,LONG:19;SHORT:26
