time,event,symbol,direction,session,entry_selection_mode,scan_interval,strategy_name,label,fail_reason,execution_block_reason,fib_zone,h4_trend_state,h1_counter_trend_state,neckline_break_label,h4_impulse_pass,h4_pullback_zone_pass,h1_counter_trend_pass,neckline_pass,structure_sl_pass,rr_pass,spread_guard_pass,spread_guard_blocked,setup_pass,entry_pass,final_entry_pass,h4_impulse_high,h4_impulse_low,h4_fib_retracement_pct,h4_atr,h1_atr,m15_atr,spread_atr,spread_points,neckline_price,neckline_break_close_price,right_side_level,entry_price,sl,tp,volume,risk_r,rr,bars_since_right_side,distance_neckline_to_entry,distance_neckline_to_entry_atr,distance_right_side_to_entry,distance_right_side_to_entry_atr,sl_points,sl_atr,tp_points,tp_atr,quality_score,retest_confirmation_mode,retest_detected,retest_held,retest_trigger_pass,retest_failed,original_neckline_break_time,retest_detected_time,retest_trigger_time,retest_bars_after_breakout,entry_delay_bars,retest_depth_atr,retest_zone_atr,retest_reclaim_price,retest_distance_from_neckline_atr,false_break_return_inside_neckline,retest_quality,retest_failure_reason,breakout_quality_router_mode,breakout_quality_label,breakout_quality_reason,breakout_quality_pass,breakout_strong,breakout_weak,breakout_dirty,breakout_close_distance_from_neckline_atr,breakout_close_distance_from_neckline_points,breakout_body_ratio,breakout_body_atr,breakout_range_atr,breakout_directional_wick_ratio,breakout_close_position_directional,neckline_touch_count,context_quality_router_mode,context_quality_label,context_quality_reason,context_quality_score,context_clean,context_mixed,context_poor,structural_bos_mode,structural_bos_state,m15_confirmation_type,h1_bos_level,h1_counter_nwave_high,h1_counter_nwave_low,distance_bos_to_entry,distance_bos_to_entry_atr,bars_since_bos,h4_pivot_sequence,h1_pivot_sequence,h4_impulse_atr,h1_counter_wave_atr,h4_correction_depth,true_bos_level,bos_level_source_pivot,room_to_1r,room_to_2r,room_to_target_label,h4_bias_state,h4_ma_state,h4_dow_state,h4_fib_zone,h1_pullback_type,h1_prev_extreme_break_state,h1_counter_nwave_state,bos_level_type,m15_trigger_type,nearest_obstacle_type,nearest_obstacle_price,cond_h4_bias_ma,cond_h4_dow_bias,cond_h4_fib_382_618,cond_h1_prev_extreme_break,cond_h1_counter_nwave,cond_h1_counter_wave_atr,cond_true_bos_level,cond_m15_prev_extreme_bos,cond_m15_close_bos,cond_room_to_1r,cond_room_to_2r,cond_sl_atr_ok
2025.01.06 15:34:59,final_entry_candidate,GBPJPY,SHORT,server_08_15,all_score_passing,300,Nested_Relaxed_FX_Entry_Candidates,relaxed_condition_candidate,,,valid_h4_pullback_zone,none,counter_nwave_pass,relaxed_condition_candidate,true,true,true,true,true,true,true,false,true,true,true,198.934,195.724,55.51,0.722,0.377,0.305,0.1244,38.0,196.016,196.085,196.226,195.964,196.264,195.364,0.26,0.300,2.00,1,0.052,0.17,0.262,0.86,300.0,0.98,600.0,1.96,136.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,relaxed_condition_candidate,not_evaluated,196.016,196.226,195.196,0.000,0.00,1,A_high@2024.12.30 08:00=198.93400|B_low@2024.12.31 08:00=195.72400|C_high@2025.01.02 00:00=197.50600,high_latest@2025.01.06 04:00=196.22600|low_latest@2025.01.06 09:00=196.01600|bos@2025.01.06 09:00=196.01600,4.45,2.73,55.51,196.016,h1_last_higher_low,0.80,0.40,insufficient_room_to_1r,none,ma_bias_pass,dow_bias_fail,valid_h4_pullback_zone,pullback_up,prev_extreme_break,counter_nwave_pass,last_higher_low,m15_prev_extreme_bos,h4_impulse_low,195.724,true,false,true,true,true,true,true,true,false,false,false,true
2025.01.06 15:34:59,order_sent,GBPJPY,SHORT,server_08_15,all_score_passing,300,Nested_Relaxed_FX_Entry_Candidates,relaxed_condition_candidate,,,valid_h4_pullback_zone,none,counter_nwave_pass,relaxed_condition_candidate,true,true,true,true,true,true,true,false,true,true,true,198.934,195.724,55.51,0.722,0.377,0.305,0.1244,38.0,196.016,196.085,196.226,195.964,196.264,195.364,0.26,0.300,2.00,1,0.052,0.17,0.262,0.86,300.0,0.98,600.0,1.96,136.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,relaxed_condition_candidate,not_evaluated,196.016,196.226,195.196,0.000,0.00,1,A_high@2024.12.30 08:00=198.93400|B_low@2024.12.31 08:00=195.72400|C_high@2025.01.02 00:00=197.50600,high_latest@2025.01.06 04:00=196.22600|low_latest@2025.01.06 09:00=196.01600|bos@2025.01.06 09:00=196.01600,4.45,2.73,55.51,196.016,h1_last_higher_low,0.80,0.40,insufficient_room_to_1r,none,ma_bias_pass,dow_bias_fail,valid_h4_pullback_zone,pullback_up,prev_extreme_break,counter_nwave_pass,last_higher_low,m15_prev_extreme_bos,h4_impulse_low,195.724,true,false,true,true,true,true,true,true,false,false,false,true
2025.01.09 17:49:59,final_entry_candidate,USDJPY,LONG,server_16_23,all_score_passing,300,Nested_Relaxed_FX_Entry_Candidates,relaxed_condition_candidate,,,valid_h4_pullback_zone,none,counter_nwave_pass,relaxed_condition_candidate,true,true,true,true,true,true,true,false,true,true,true,158.409,156.230,47.77,0.407,0.204,0.102,0.1571,16.0,158.277,157.920,157.756,157.935,157.740,158.325,0.40,0.195,2.00,1,0.342,3.36,0.179,1.76,195.0,1.91,390.0,3.83,144.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,relaxed_condition_candidate,not_evaluated,158.277,158.510,157.756,0.000,0.00,1,A_low@2025.01.06 12:00=156.23000|B_high@2025.01.07 00:00=158.40900|C_low@2025.01.07 08:00=157.36800,high_latest@2025.01.09 10:00=158.27700|low_latest@2025.01.09 06:00=157.75600|bos@2025.01.09 10:00=158.27700,5.35,3.70,47.77,158.277,h1_last_lower_high,2.43,1.22,room_to_2r_ok,none,ma_bias_pass,dow_bias_pass,valid_h4_pullback_zone,pullback_down,prev_extreme_break,counter_nwave_pass,last_lower_high,m15_prev_extreme_bos,h4_impulse_high,158.409,true,true,true,true,true,true,true,true,false,true,true,true
2025.01.09 17:49:59,order_sent,USDJPY,LONG,server_16_23,all_score_passing,300,Nested_Relaxed_FX_Entry_Candidates,relaxed_condition_candidate,,,valid_h4_pullback_zone,none,counter_nwave_pass,relaxed_condition_candidate,true,true,true,true,true,true,true,false,true,true,true,158.409,156.230,47.77,0.407,0.204,0.102,0.1571,16.0,158.277,157.920,157.756,157.935,157.740,158.325,0.40,0.195,2.00,1,0.342,3.36,0.179,1.76,195.0,1.91,390.0,3.83,144.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,relaxed_condition_candidate,not_evaluated,158.277,158.510,157.756,0.000,0.00,1,A_low@2025.01.06 12:00=156.23000|B_high@2025.01.07 00:00=158.40900|C_low@2025.01.07 08:00=157.36800,high_latest@2025.01.09 10:00=158.27700|low_latest@2025.01.09 06:00=157.75600|bos@2025.01.09 10:00=158.27700,5.35,3.70,47.77,158.277,h1_last_lower_high,2.43,1.22,room_to_2r_ok,none,ma_bias_pass,dow_bias_pass,valid_h4_pullback_zone,pullback_down,prev_extreme_break,counter_nwave_pass,last_lower_high,m15_prev_extreme_bos,h4_impulse_high,158.409,true,true,true,true,true,true,true,true,false,true,true,true
2025.01.10 02:04:59,blocked_candidate,EURJPY,SHORT,server_00_07,all_score_passing,300,Nested_Relaxed_FX_Entry_Candidates,relaxed_condition_candidate,spread_guard,spread_guard,too_deep_pullback,none,counter_nwave_fail,relaxed_condition_candidate,true,false,true,true,true,true,false,true,true,false,false,163.794,162.828,69.36,0.434,0.164,0.058,0.5172,30.0,162.358,162.724,162.909,162.817,162.939,162.573,0.64,0.122,2.00,1,0.459,7.91,0.092,1.59,122.0,2.10,244.0,4.21,128.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,relaxed_condition_candidate,not_evaluated,162.358,162.909,162.358,0.000,0.00,1,A_high@2025.01.08 04:00=163.79400|B_low@2025.01.08 12:00=162.82800|C_high@2025.01.08 20:00=163.49800,high_latest@2025.01.09 22:00=162.90900|low_latest@2025.01.09 14:00=162.35800|bos@2025.01.09 14:00=162.35800,2.22,1.52,69.36,162.358,h1_last_higher_low,3.76,1.88,room_to_2r_ok,none,ma_bias_pass,dow_bias_pass,too_deep_pullback,pullback_up,prev_extreme_break,counter_nwave_fail,weak_higher_low,m15_prev_extreme_bos,h1_counter_low,162.358,true,true,false,true,false,true,true,true,false,true,true,true
2025.01.10 08:19:59,blocked_candidate,EURJPY,SHORT,server_08_15,all_score_passing,300,Nested_Relaxed_FX_Entry_Candidates,relaxed_condition_candidate,spread_guard,spread_guard,too_deep_pullback,none,counter_nwave_pass,relaxed_condition_candidate,true,false,true,true,true,true,false,true,true,false,false,163.794,162.828,69.36,0.394,0.158,0.073,0.4118,30.0,162.602,162.857,162.909,162.844,162.939,162.654,0.83,0.095,2.00,1,0.242,3.32,0.065,0.89,95.0,1.30,190.0,2.61,136.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,relaxed_condition_candidate,not_evaluated,162.602,162.909,162.358,0.000,0.00,1,A_high@2025.01.08 04:00=163.79400|B_low@2025.01.08 12:00=162.82800|C_high@2025.01.08 20:00=163.49800,high_latest@2025.01.09 22:00=162.90900|low_latest@2025.01.10 03:00=162.60200|bos@2025.01.10 03:00=162.60200,2.45,3.49,69.36,162.602,h1_last_higher_low,0.17,0.08,insufficient_room_to_1r,none,ma_bias_pass,dow_bias_pass,too_deep_pullback,pullback_up,prev_extreme_break,counter_nwave_pass,last_higher_low,m15_prev_extreme_bos,h4_impulse_low,162.828,true,true,false,true,true,true,true,true,false,false,false,true
2025.01.10 09:04:58,blocked_candidate,EURJPY,SHORT,server_08_15,all_score_passing,300,Nested_Relaxed_FX_Entry_Candidates,relaxed_condition_candidate,spread_guard,spread_guard,too_deep_pullback,none,counter_nwave_pass,relaxed_condition_candidate,true,false,true,true,true,true,false,true,true,false,false,163.794,162.828,69.36,0.394,0.159,0.079,0.3818,30.0,162.602,162.782,162.909,162.813,162.939,162.561,0.63,0.126,2.00,1,0.211,2.69,0.096,1.22,126.0,1.60,252.0,3.21,136.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,relaxed_condition_candidate,not_evaluated,162.602,162.909,162.358,0.000,0.00,1,A_high@2025.01.08 04:00=163.79400|B_low@2025.01.08 12:00=162.82800|C_high@2025.01.08 20:00=163.49800,high_latest@2025.01.09 22:00=162.90900|low_latest@2025.01.10 03:00=162.60200|bos@2025.01.10 03:00=162.60200,2.45,3.46,69.36,162.602,h1_last_higher_low,3.61,1.81,room_to_2r_ok,none,ma_bias_pass,dow_bias_pass,too_deep_pullback,pullback_up,prev_extreme_break,counter_nwave_pass,last_higher_low,m15_prev_extreme_bos,h1_counter_low,162.358,true,true,false,true,true,true,true,true,false,true,true,true
2025.01.10 10:49:59,blocked_candidate,EURJPY,SHORT,server_08_15,all_score_passing,300,Nested_Relaxed_FX_Entry_Candidates,relaxed_condition_candidate,spread_guard,spread_guard,too_deep_pullback,none,counter_nwave_pass,relaxed_condition_candidate,true,false,true,true,true,true,false,true,true,false,false,163.794,162.828,69.36,0.394,0.174,0.130,0.2308,30.0,162.602,162.727,162.909,162.696,162.939,162.210,0.32,0.243,2.00,1,0.094,0.72,0.213,1.64,243.0,1.87,486.0,3.74,136.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,relaxed_condition_candidate,not_evaluated,162.602,162.909,162.358,0.000,0.00,1,A_high@2025.01.08 04:00=163.79400|B_low@2025.01.08 12:00=162.82800|C_high@2025.01.08 20:00=163.49800,high_latest@2025.01.09 22:00=162.90900|low_latest@2025.01.10 03:00=162.60200|bos@2025.01.10 03:00=162.60200,2.45,3.16,69.36,162.602,h1_last_higher_low,1.39,0.70,room_to_1r_only,none,ma_bias_pass,dow_bias_pass,too_deep_pullback,pullback_up,prev_extreme_break,counter_nwave_pass,last_higher_low,m15_prev_extreme_bos,h1_counter_low,162.358,true,true,false,true,true,true,true,true,false,true,false,true
2025.01.20 02:34:59,final_entry_candidate,USDJPY,SHORT,server_00_07,all_score_passing,300,Nested_Relaxed_FX_Entry_Candidates,relaxed_condition_candidate,,,valid_h4_pullback_zone,none,counter_nwave_pass,relaxed_condition_candidate,true,true,true,true,true,true,true,false,true,true,true,158.189,155.202,38.67,0.600,0.218,0.126,0.1425,18.0,156.097,156.119,156.366,156.122,156.384,155.598,0.30,0.262,2.00,1,0.025,0.20,0.244,1.93,262.0,2.07,524.0,4.15,144.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,relaxed_condition_candidate,not_evaluated,156.097,156.366,155.549,0.000,0.00,1,A_high@2025.01.14 16:00=158.18900|B_low@2025.01.16 04:00=155.20200|C_high@2025.01.16 12:00=156.35700,high_latest@2025.01.17 18:00=156.36600|low_latest@2025.01.17 22:00=156.09700|bos@2025.01.17 22:00=156.09700,4.98,3.76,38.67,156.097,h1_last_higher_low,2.19,1.09,room_to_2r_ok,none,ma_bias_pass,dow_bias_pass,valid_h4_pullback_zone,pullback_up,prev_extreme_break,counter_nwave_pass,last_higher_low,m15_prev_extreme_bos,h1_counter_low,155.549,true,true,true,true,true,true,true,true,false,true,true,true
2025.01.20 02:34:59,order_sent,USDJPY,SHORT,server_00_07,all_score_passing,300,Nested_Relaxed_FX_Entry_Candidates,relaxed_condition_candidate,,,valid_h4_pullback_zone,none,counter_nwave_pass,relaxed_condition_candidate,true,true,true,true,true,true,true,false,true,true,true,158.189,155.202,38.67,0.600,0.218,0.126,0.1425,18.0,156.097,156.119,156.366,156.122,156.384,155.598,0.30,0.262,2.00,1,0.025,0.20,0.244,1.93,262.0,2.07,524.0,4.15,144.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,relaxed_condition_candidate,not_evaluated,156.097,156.366,155.549,0.000,0.00,1,A_high@2025.01.14 16:00=158.18900|B_low@2025.01.16 04:00=155.20200|C_high@2025.01.16 12:00=156.35700,high_latest@2025.01.17 18:00=156.36600|low_latest@2025.01.17 22:00=156.09700|bos@2025.01.17 22:00=156.09700,4.98,3.76,38.67,156.097,h1_last_higher_low,2.19,1.09,room_to_2r_ok,none,ma_bias_pass,dow_bias_pass,valid_h4_pullback_zone,pullback_up,prev_extreme_break,counter_nwave_pass,last_higher_low,m15_prev_extreme_bos,h1_counter_low,155.549,true,true,true,true,true,true,true,true,false,true,true,true
