variant,fx_vs_xauusd,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,max_consecutive_losses,max_consecutive_losses_amount,fx_net,xauusd_net,long_net,short_net,xauusd_trade_share_pct,largest_direction_share_pct,avg_sl_points,avg_sl_atr,avg_tp_points,avg_tp_atr,avg_lot_size,max_lot_size,avg_risk_amount
current_thirdwave_current_sl_1_5R,FX,18,9,9,50.0,241.33,1.538,13.41,0.258,123.25,1.2,2,-100.55,241.33,0,126.69,114.64,0.0,72.22,318.6,2.665,477.9,3.998,0.272,0.8,49.81
current_thirdwave_current_sl_1_5R,XAUUSD,91,44,47,48.35,1047.63,1.481,11.51,0.217,311.85,3.0,5,-247.81,0,1047.63,364.03,683.6,100.0,60.44,1996.9,3.242,2995.3,4.863,0.047,0.19,47.01
v4_micro_or_candle_current_sl_1_5R,FX,32,14,18,43.75,136.48,1.145,4.26,0.094,321.04,3.16,5,-253.66,136.48,0,-60.93,197.41,0.0,81.25,282.5,2.264,423.8,3.397,0.313,0.82,51.63
v4_micro_or_candle_current_sl_1_5R,XAUUSD,110,53,57,48.18,1506.8,1.551,13.7,0.212,411.63,3.47,9,-409.34,0,1506.8,577.7,929.1,100.0,59.09,2016.0,2.41,3024.0,3.615,0.064,0.34,49.77
v4_micro_or_candle_lower_tf_sl_1_2R,FX,29,18,11,62.07,549.08,1.967,18.93,0.373,255.47,2.52,5,-255.47,549.08,0,24.38,524.7,0.0,79.31,272.4,2.207,326.9,2.648,0.32,0.61,51.28
v4_micro_or_candle_lower_tf_sl_1_2R,XAUUSD,102,58,44,56.86,1417.39,1.68,13.9,0.275,318.35,2.73,4,-183.66,0,1417.39,702.19,715.2,100.0,56.86,1872.8,2.421,2247.4,2.906,0.061,0.32,47.84
v4_micro_or_candle_lower_tf_sl_1_3R,FX,29,16,13,55.17,394.69,1.586,13.61,0.269,251.47,2.51,5,-251.47,394.69,0,41.55,353.14,0.0,79.31,272.4,2.207,354.2,2.869,0.32,0.61,51.41
v4_micro_or_candle_lower_tf_sl_1_3R,XAUUSD,100,55,45,55.0,1473.97,1.692,14.74,0.289,325.31,2.77,4,-183.66,0,1473.97,672.56,801.41,100.0,57.0,1871.9,2.425,2433.5,3.152,0.06,0.32,47.83
v4_micro_or_candle_lower_tf_sl_1_5R,FX,28,11,17,39.29,-36.33,0.958,-1.3,-0.016,253.1,2.52,5,-249.6,-36.33,0,-50.66,14.33,0.0,78.57,272.1,2.155,408.2,3.232,0.317,0.59,50.73
v4_micro_or_candle_lower_tf_sl_1_5R,XAUUSD,99,49,50,49.49,1310.73,1.571,13.24,0.254,320.99,2.77,5,-243.89,0,1310.73,643.15,667.58,100.0,56.57,1882.6,2.432,2824.0,3.648,0.059,0.32,46.56
v4_without_weak_lower_tf_sl_1_2R,FX,40,20,20,50.0,201.7,1.194,5.04,0.106,279.19,2.77,5,-255.96,201.7,0,24.38,177.32,0.0,85.0,260.4,2.193,312.4,2.632,0.339,1.0,51.36
v4_without_weak_lower_tf_sl_1_2R,XAUUSD,118,68,50,57.63,1825.79,1.785,15.47,0.282,312.26,2.59,4,-163.26,0,1825.79,707.44,1118.35,100.0,50.85,1913.5,2.366,2296.2,2.839,0.063,0.33,48.15
v4_without_weak_lower_tf_sl_1_3R,FX,40,20,20,50.0,301.83,1.291,7.55,0.153,264.73,2.62,5,-255.96,301.83,0,38.56,263.27,0.0,85.0,260.6,2.195,338.7,2.854,0.338,1.0,51.43
v4_without_weak_lower_tf_sl_1_3R,XAUUSD,114,63,51,55.26,1700.1,1.714,14.91,0.282,305.11,2.55,4,-163.26,0,1700.1,702.51,997.59,100.0,50.0,1874.8,2.375,2437.2,3.087,0.061,0.33,47.67
