variant,session,month,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,max_consecutive_losses,max_consecutive_losses_amount,fx_net,xauusd_net,long_net,short_net,xauusd_trade_share_pct,largest_direction_share_pct,avg_sl_points,avg_sl_atr,avg_tp_points,avg_tp_atr,avg_lot_size,max_lot_size,avg_risk_amount
current_thirdwave_current_sl_1_5R,server_00_07,2025-02,5,5,0,100.0,360.88,,72.18,1.516,0.0,0.0,0,0.0,0,360.88,289.76,71.12,100.0,80.0,539.0,3.668,808.5,5.502,0.09,0.1,47.61
current_thirdwave_current_sl_1_5R,server_00_07,2025-08,2,1,1,50.0,26.18,1.531,13.09,0.27,49.28,0.49,1,-49.28,0,26.18,0,26.18,100.0,100.0,396.0,2.705,594.0,4.058,0.125,0.14,48.8
current_thirdwave_current_sl_1_5R,server_00_07,2025-10,4,1,3,25.0,-63.67,0.538,-15.92,-0.389,100.55,1.01,2,-100.55,-100.55,36.88,-14.78,-48.89,50.0,75.0,1035.2,3.375,1552.9,5.062,0.143,0.35,46.09
current_thirdwave_current_sl_1_5R,server_00_07,2026-01,4,3,1,75.0,142.82,3.471,35.7,0.876,57.8,0.57,1,-57.8,0,142.82,142.82,0,100.0,100.0,2272.5,3.703,3408.8,5.554,0.035,0.06,47.5
current_thirdwave_current_sl_1_5R,server_00_07,2026-02,6,3,3,50.0,219.76,2.936,36.63,0.247,76.16,0.74,2,-76.16,0,219.76,0.17,219.59,100.0,50.0,4307.8,3.318,6461.8,4.978,0.018,0.04,55.44
current_thirdwave_current_sl_1_5R,server_00_07,2026-03,7,4,3,57.14,232.37,3.02,33.2,0.425,51.41,0.51,1,-51.41,0,232.37,18.79,213.58,100.0,71.43,3701.9,3.391,5552.8,5.087,0.02,0.05,49.08
current_thirdwave_current_sl_1_5R,server_08_15,2025-02,5,2,3,40.0,0.17,1.001,0.03,-0.004,143.62,1.43,3,-143.62,74.94,-74.77,-143.62,143.79,80.0,60.0,749.2,3.8,1123.8,5.7,0.098,0.23,47.44
current_thirdwave_current_sl_1_5R,server_08_15,2025-08,6,2,4,33.33,-53.31,0.734,-8.88,-0.176,200.35,1.97,4,-200.35,0,-53.31,-79.27,25.96,100.0,66.67,481.5,2.755,722.2,4.132,0.115,0.19,49.05
current_thirdwave_current_sl_1_5R,server_08_15,2025-10,7,4,3,57.14,139.77,1.978,19.97,0.429,48.72,0.49,1,-46.72,74.54,65.23,69.81,69.96,85.71,85.71,928.3,3.263,1392.4,4.894,0.09,0.32,47.18
current_thirdwave_current_sl_1_5R,server_08_15,2026-01,11,4,7,36.36,-19.15,0.941,-1.74,-0.096,218.54,2.16,4,-191.49,-101.21,82.06,-109.78,90.63,81.82,54.55,1784.8,2.932,2677.2,4.398,0.065,0.27,47.17
current_thirdwave_current_sl_1_5R,server_08_15,2026-02,4,0,4,0.0,-175.52,0.0,-43.88,-1.006,175.52,1.76,4,-175.52,0,-175.52,-175.52,0,100.0,100.0,1417.2,2.58,2125.9,3.87,0.035,0.06,43.65
current_thirdwave_current_sl_1_5R,server_08_15,2026-03,7,3,4,42.86,3.32,1.016,0.47,0.069,112.09,1.11,2,-112.09,27.04,-23.72,11.66,-8.34,71.43,71.43,2216.6,2.784,3324.9,4.176,0.077,0.26,50.53
current_thirdwave_current_sl_1_5R,server_16_23,2025-02,6,3,3,50.0,12.63,1.087,2.1,0.077,96.12,0.96,2,-96.12,28.03,-15.4,90.95,-78.32,66.67,50.0,652.0,2.832,978.0,4.247,0.13,0.32,46.59
current_thirdwave_current_sl_1_5R,server_16_23,2025-08,5,2,3,40.0,-12.98,0.913,-2.6,0.02,97.86,0.98,2,-97.86,76.22,-89.2,8.66,-21.64,80.0,60.0,646.0,2.932,969.0,4.398,0.216,0.8,47.07
current_thirdwave_current_sl_1_5R,server_16_23,2025-10,9,6,3,66.67,269.08,2.941,29.9,0.678,52.22,0.52,1,-52.22,78.51,190.57,181.37,87.71,88.89,66.67,1419.3,3.837,2129.0,5.755,0.057,0.22,45.15
current_thirdwave_current_sl_1_5R,server_16_23,2026-01,6,3,3,50.0,119.7,1.907,19.95,0.369,103.36,1.03,2,-103.36,0,119.7,119.7,0,100.0,100.0,1628.2,2.517,2442.2,3.775,0.035,0.06,45.81
current_thirdwave_current_sl_1_5R,server_16_23,2026-02,8,4,4,50.0,85.04,1.44,10.63,0.379,161.62,1.6,3,-161.62,98.5,-13.46,129.77,-44.73,62.5,75.0,2538.4,3.321,3807.6,4.982,0.074,0.3,44.92
current_thirdwave_current_sl_1_5R,server_16_23,2026-03,7,3,4,42.86,1.87,1.01,0.27,0.093,105.14,1.05,2,-98.52,-14.69,16.56,-49.77,51.64,57.14,85.71,2146.9,2.719,3220.3,4.078,0.156,0.44,46.21
v4_micro_or_candle_current_sl_1_5R,server_00_07,2025-02,4,1,3,25.0,-69.93,0.505,-17.48,-0.37,90.19,0.9,2,-90.19,-49.87,-20.06,-20.06,-49.87,75.0,75.0,643.8,2.728,965.6,4.091,0.118,0.23,46.52
