open_time,close_time,symbol,direction,volume,open_price,close_price,open_deal,close_deal,commission,swap,profit,net_profit,close_balance,close_comment,holding_minutes,open_bar_m5,close_bar_m5
2024.01.04 09:20:00,2024.01.04 09:37:51,USDJPY,LONG,0.5,143.437,143.295,2,3,0.0,0.0,-49.55,-49.55,9950.45,sl 143.295,17.85,2024.01.04 09:20:00,2024.01.04 09:35:00
2024.01.04 09:50:00,2024.01.04 10:15:25,EURJPY,LONG,0.36,156.805,157.058,4,6,0.0,0.0,63.56,63.56,10014.01,tp 157.056,25.42,2024.01.04 09:50:00,2024.01.04 10:15:00
2024.01.04 09:50:00,2024.01.04 10:16:29,GBPJPY,LONG,0.37,181.852,182.099,5,7,0.0,0.0,63.78,63.78,10077.79,tp 182.099,26.48,2024.01.04 09:50:00,2024.01.04 10:15:00
2024.01.04 20:45:00,2024.01.04 21:49:34,XAUUSD,SHORT,0.31,2042.84,2044.46,8,9,0.0,0.0,-50.22,-50.22,10027.57,sl 2044.44,64.57,2024.01.04 20:45:00,2024.01.04 21:45:00
2024.01.05 05:05:00,2024.01.05 07:00:37,GBPJPY,LONG,0.56,183.757,183.626,11,12,0.0,0.0,-51.2,-51.2,9976.37,sl 183.629,115.62,2024.01.05 05:05:00,2024.01.05 07:00:00
2024.01.05 03:30:00,2024.01.05 07:03:59,EURJPY,LONG,0.3,158.611,158.371,10,13,0.0,0.0,-50.25,-50.25,9926.12,sl 158.373,213.98,2024.01.05 03:30:00,2024.01.05 07:00:00
2024.01.05 12:45:00,2024.01.05 15:30:00,GBPJPY,LONG,0.33,183.875,183.648,15,16,0.0,0.0,-51.62,-51.62,9874.5,sl 183.658,165.0,2024.01.05 12:45:00,2024.01.05 15:30:00
2024.01.05 10:45:00,2024.01.05 15:30:13,USDJPY,LONG,0.29,145.071,145.41,14,17,0.0,0.0,67.61,67.61,9942.11,tp 145.383,285.22,2024.01.05 10:45:00,2024.01.05 15:30:00
2024.01.08 10:00:00,2024.01.08 10:13:42,XAUUSD,SHORT,0.22,2031.27,2028.41,18,19,0.0,0.0,62.92,62.92,10005.03,tp 2028.45,13.7,2024.01.08 10:00:00,2024.01.08 10:10:00
2024.01.08 10:30:00,2024.01.08 13:18:18,XAUUSD,SHORT,0.12,2029.31,2023.69,20,21,0.0,0.0,67.44,67.44,10072.47,tp 2024.10,168.3,2024.01.08 10:30:00,2024.01.08 13:15:00
2024.01.08 16:15:00,2024.01.08 16:57:58,XAUUSD,SHORT,0.1,2020.61,2025.62,22,23,0.0,0.0,-50.1,-50.1,10022.37,sl 2025.62,42.97,2024.01.08 16:15:00,2024.01.08 16:55:00
2024.01.09 07:25:00,2024.01.09 07:43:15,GBPJPY,SHORT,0.47,183.08,183.236,25,26,0.0,0.0,-50.42,-50.42,9971.95,sl 183.235,18.25,2024.01.09 07:25:00,2024.01.09 07:40:00
2024.01.09 08:00:00,2024.01.09 08:00:39,GBPJPY,SHORT,0.87,183.233,183.317,27,28,0.0,0.0,-50.25,-50.25,9921.7,sl 183.316,0.65,2024.01.09 08:00:00,2024.01.09 08:00:00
2024.01.08 18:50:00,2024.01.09 09:25:38,XAUUSD,SHORT,0.1,2032.22,2037.04,24,29,0.0,2.55,-48.2,-45.650000000000006,9876.05,sl 2037.03,875.63,2024.01.08 18:50:00,2024.01.09 09:25:00
2024.01.10 09:50:00,2024.01.10 10:41:27,GBPJPY,LONG,0.39,184.036,184.271,30,32,0.0,0.0,63.22,63.22,9939.27,tp 184.270,51.45,2024.01.10 09:50:00,2024.01.10 10:40:00
2024.01.10 10:35:00,2024.01.10 12:04:40,USDJPY,LONG,0.49,144.965,144.819,31,33,0.0,0.0,-49.4,-49.4,9889.87,sl 144.819,89.67,2024.01.10 10:35:00,2024.01.10 12:00:00
2024.01.11 04:55:00,2024.01.11 11:35:24,GBPJPY,LONG,0.23,185.728,185.424,34,35,0.0,0.0,-48.28,-48.28,9841.59,sl 185.424,400.4,2024.01.11 04:55:00,2024.01.11 11:35:00
2024.01.12 20:15:00,2024.01.15 00:01:00,GBPUSD,LONG,0.33,1.27451,1.27275,36,37,0.0,-0.23,-58.08,-58.309999999999995,9783.28,sl 1.27306,3106.0,2024.01.12 20:15:00,2024.01.15 00:00:00
2024.01.15 11:55:00,2024.01.15 12:27:24,XAUUSD,LONG,0.29,2054.4,2052.76,38,39,0.0,0.0,-47.56,-47.56,9735.72,sl 2052.76,32.4,2024.01.15 11:55:00,2024.01.15 12:25:00
2024.01.16 13:10:00,2024.01.16 13:32:05,EURJPY,LONG,0.81,159.567,159.679,40,41,0.0,0.0,62.64,62.64,9798.36,tp 159.679,22.08,2024.01.16 13:10:00,2024.01.16 13:30:00
2024.01.16 17:20:00,2024.01.16 18:12:30,USDJPY,LONG,0.2,146.715,147.156,43,44,0.0,0.0,59.94,59.94,9858.3,tp 147.154,52.5,2024.01.16 17:20:00,2024.01.16 18:10:00
2024.01.16 16:20:00,2024.01.16 18:20:41,GBPUSD,SHORT,0.24,1.26533,1.26729,42,45,0.0,0.0,-47.04,-47.04,9811.26,sl 1.26729,120.68,2024.01.16 16:20:00,2024.01.16 18:20:00
2024.01.17 04:35:00,2024.01.17 05:55:24,GBPJPY,LONG,0.37,186.086,185.893,48,49,0.0,0.0,-48.48,-48.48,9762.78,sl 185.893,80.4,2024.01.17 04:35:00,2024.01.17 05:55:00
2024.01.16 19:00:00,2024.01.17 07:10:28,XAUUSD,SHORT,0.05,2033.41,2021.94,47,51,0.0,1.28,57.35,58.63,9821.41,tp 2021.94,730.47,2024.01.16 19:00:00,2024.01.17 07:10:00
2024.01.16 18:40:00,2024.01.17 07:39:38,USDJPY,LONG,0.15,147.034,147.623,46,52,0.0,0.77,59.85,60.620000000000005,9882.03,tp 147.623,779.63,2024.01.16 18:40:00,2024.01.17 07:35:00
2024.01.17 07:00:00,2024.01.17 08:05:28,GBPJPY,LONG,0.45,186.016,186.221,50,53,0.0,0.0,62.49,62.49,9944.52,tp 186.221,65.47,2024.01.17 07:00:00,2024.01.17 08:05:00
2024.01.17 14:50:00,2024.01.17 14:58:27,XAUUSD,SHORT,0.27,2026.63,2028.42,55,56,0.0,0.0,-48.33,-48.33,9896.19,sl 2028.41,8.45,2024.01.17 14:50:00,2024.01.17 14:55:00
2024.01.17 14:50:00,2024.01.17 15:58:55,EURJPY,LONG,0.8,160.604,160.722,54,57,0.0,0.0,63.95,63.95,9960.14,tp 160.722,68.92,2024.01.17 14:50:00,2024.01.17 15:55:00
2024.01.17 16:00:00,2024.01.17 21:45:35,EURUSD,SHORT,0.31,1.08635,1.08791,58,59,0.0,0.0,-48.36,-48.36,9911.78,sl 1.08791,345.58,2024.01.17 16:00:00,2024.01.17 21:45:00
2024.01.19 09:50:00,2024.01.19 09:54:04,USDJPY,LONG,0.95,148.277,148.2,60,61,0.0,0.0,-49.36,-49.36,9862.42,sl 148.200,4.07,2024.01.19 09:50:00,2024.01.19 09:50:00
2024.01.19 10:30:00,2024.01.19 10:54:57,USDJPY,LONG,0.31,148.327,148.091,62,63,0.0,0.0,-49.4,-49.4,9813.02,sl 148.092,24.95,2024.01.19 10:30:00,2024.01.19 10:50:00
2024.01.19 19:55:00,2024.01.22 07:15:53,XAUUSD,LONG,0.1,2027.92,2023.09,64,65,0.0,-8.35,-48.3,-56.65,9756.37,sl 2023.10,3560.88,2024.01.19 19:55:00,2024.01.22 07:15:00
2024.01.22 10:45:00,2024.01.22 12:28:22,EURJPY,LONG,0.37,161.429,161.237,66,67,0.0,0.0,-47.97,-47.97,9708.4,sl 161.237,103.37,2024.01.22 10:45:00,2024.01.22 12:25:00
2024.01.23 19:05:00,2024.01.23 21:18:34,XAUUSD,SHORT,0.16,2025.03,2027.9,69,70,0.0,0.0,-45.92,-45.92,9662.48,sl 2027.90,133.57,2024.01.23 19:05:00,2024.01.23 21:15:00
2024.01.23 17:10:00,2024.01.24 00:05:13,EURJPY,SHORT,0.37,160.894,161.091,68,71,0.0,-2.41,-49.22,-51.629999999999995,9610.85,sl 161.088,415.22,2024.01.23 17:10:00,2024.01.24 00:05:00
2024.01.24 12:10:00,2024.01.24 15:31:28,XAUUSD,LONG,0.14,2032.16,2036.5,72,73,0.0,0.0,60.76,60.76,9671.61,tp 2036.46,201.47,2024.01.24 12:10:00,2024.01.24 15:30:00
2024.01.25 20:30:00,2024.01.25 20:40:57,GBPJPY,SHORT,0.48,187.548,187.695,74,75,0.0,0.0,-47.64,-47.64,9623.97,sl 187.695,10.95,2024.01.25 20:30:00,2024.01.25 20:40:00
2024.01.30 12:05:00,2024.01.30 13:15:20,XAUUSD,LONG,0.29,2036.45,2034.72,76,77,0.0,0.0,-50.17,-50.17,9573.8,sl 2034.84,70.33,2024.01.30 12:05:00,2024.01.30 13:15:00
2024.01.30 15:50:00,2024.01.30 16:13:04,XAUUSD,LONG,0.12,2036.96,2042.46,78,79,0.0,0.0,66.0,66.0,9639.8,tp 2042.02,23.07,2024.01.30 15:50:00,2024.01.30 16:10:00
2024.01.30 17:15:00,2024.01.30 17:27:26,GBPJPY,SHORT,0.23,186.751,187.054,80,81,0.0,0.0,-47.05,-47.05,9592.75,sl 187.052,12.43,2024.01.30 17:15:00,2024.01.30 17:25:00
2024.02.01 03:30:00,2024.02.01 04:07:45,USDJPY,SHORT,0.34,146.858,146.593,82,84,0.0,0.0,61.46,61.46,9654.21,tp 146.594,37.75,2024.02.01 03:30:00,2024.02.01 04:05:00
2024.02.01 03:30:00,2024.02.01 09:01:18,GBPJPY,SHORT,0.29,186.193,185.876,83,85,0.0,0.0,62.71,62.71,9716.92,tp 185.876,331.3,2024.02.01 03:30:00,2024.02.01 09:00:00
2024.02.01 15:55:00,2024.02.01 17:00:00,GBPUSD,SHORT,0.25,1.26671,1.26415,86,87,0.0,0.0,64.0,64.0,9780.92,tp 1.26419,65.0,2024.02.01 15:55:00,2024.02.01 17:00:00
2024.02.05 03:00:00,2024.02.05 03:40:21,EURJPY,LONG,0.32,160.194,159.969,88,89,0.0,0.0,-49.12,-49.12,9731.8,sl 159.970,40.35,2024.02.05 03:00:00,2024.02.05 03:40:00
2024.02.05 17:45:00,2024.02.05 19:30:20,XAUUSD,SHORT,0.07,2017.11,2023.89,90,91,0.0,0.0,-47.46,-47.46,9684.34,sl 2023.89,105.33,2024.02.05 17:45:00,2024.02.05 19:30:00
2024.02.07 18:40:00,2024.02.07 23:55:12,GBPJPY,LONG,0.38,186.887,187.125,92,93,0.0,0.0,61.7,61.7,9746.04,tp 187.125,315.2,2024.02.07 18:40:00,2024.02.07 23:55:00
2024.02.08 16:30:00,2024.02.08 18:21:38,EURJPY,LONG,0.34,160.581,160.85,94,96,0.0,0.0,62.4,62.4,9808.44,tp 160.850,111.63,2024.02.08 16:30:00,2024.02.08 18:20:00
2024.02.08 16:40:00,2024.02.09 05:50:00,GBPJPY,LONG,0.21,188.089,188.515,95,97,0.0,0.84,61.03,61.870000000000005,9870.31,tp 188.514,790.0,2024.02.08 16:40:00,2024.02.09 05:50:00
2024.02.28 16:40:00,2024.02.28 16:47:59,GBPUSD,SHORT,0.43,1.26439,1.26553,98,99,0.0,0.0,-49.02,-49.02,9821.29,sl 1.26552,7.98,2024.02.28 16:40:00,2024.02.28 16:45:00
2024.02.28 17:45:00,2024.02.28 18:41:34,GBPUSD,SHORT,0.39,1.26461,1.26585,100,101,0.0,0.0,-48.36,-48.36,9772.93,sl 1.26585,56.57,2024.02.28 17:45:00,2024.02.28 18:40:00
