time,event,symbol,direction,entry_price,sl,tp,mid_tf_structure_sl,lower_tf_reversal_sl,mid_tf_structure_sl_atr,lower_tf_reversal_sl_atr,lower_tf_reversal_sl_status,result_R,profit,regime,session,scan_interval,entry_selection_mode,v4_signal_mode,thirdwave_sl_mode,v4_signal_mode_pass,v4_signal_mode_blocked,higher_tf,higher_swing_low_1,higher_swing_high_1,higher_swing_low_2,higher_swing_high_2,higher_structure_state,higher_trend_age_bars,higher_ema_slope,higher_atr,mid_tf,impulse_start_price,impulse_end_price,pullback_extreme_price,pullback_depth_pct,pullback_depth_atr,pullback_bars,pullback_broke_origin,pullback_structure_low_or_high,distance_from_pullback_extreme_to_entry_atr,distance_from_pullback_extreme_to_entry_pct_of_impulse,lower_tf,minor_reversal_level,reclaim_or_breakdown_price,bars_since_reclaim_or_breakdown,entry_distance_from_reclaim_atr,entry_distance_from_reclaim_points,lower_reversal_quality,lower_reversal_quality_score,sl_atr,risk_r,rr,spread_atr,structure_stage_fail_reason,execution_block_reason,v2_filter_pass,v2_filter_fail_reason,v3_filter_pass,v3_filter_fail_reason,v3_momentum_exhaustion_score,v3_momentum_exhausted,v3_recent_move_atr,v3_consecutive_directional_bars,v3_close_to_recent_extreme_atr,reversal_signal_type,v4_block_reason,bars_since_pullback_extreme,bars_since_reversal_signal,distance_from_reversal_signal_to_entry_atr,impulse_consumed_pct,pre_entry_momentum_score,reversal_strength_score,wave_audit_label,wave_audit_reason,strategy_name
2025.01.01 00:00:00,execution_block_candidate,XAUUSD,LONG,2624.74,2621.78,2629.18,2621.78,2623.90,4.99,1.42,sl_too_tight,,,REGIME_TREND_UP,server_00_07,300,all_score_passing,V4_SIGNAL_ALL,THIRD_WAVE_SL_CURRENT,true,false,PERIOD_H1,2605.37,2627.45,2602.61,2617.71,HH_HL,8,0.48,5.78,PERIOD_M15,2605.37,2627.45,2622.02,24.59,3.08,5,false,2622.02,4.58,12.32,PERIOD_M5,2623.89,2624.56,1,0.30,18.0,acceptable,100.00,4.99,2.96,1.50,0.4043,,spread_guard,true,,true,,0.00,false,0.37,1,0.29,unclear,,0,1,0.30,12.32,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_Regime
2025.01.02 00:04:59,execution_block_candidate,XAUUSD,LONG,2624.74,2621.78,2629.18,2621.78,2623.90,4.99,1.42,sl_too_tight,,,REGIME_TREND_UP,server_00_07,300,all_score_passing,V4_SIGNAL_ALL,THIRD_WAVE_SL_CURRENT,true,false,PERIOD_H1,2605.37,2627.45,2602.61,2617.71,HH_HL,8,0.48,5.78,PERIOD_M15,2605.37,2627.45,2622.02,24.59,3.08,5,false,2622.02,4.58,12.32,PERIOD_M5,2623.89,2624.56,1,0.30,18.0,acceptable,100.00,4.99,2.96,1.50,0.4043,,spread_guard,true,,true,,0.00,false,0.37,1,0.29,unclear,,0,1,0.30,12.32,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_Regime
2025.01.02 00:09:58,execution_block_candidate,GBPUSD,SHORT,1.25145,1.25288,1.24931,1.25288,1.25196,5.94,2.12,valid,,,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,V4_SIGNAL_ALL,THIRD_WAVE_SL_CURRENT,true,false,PERIOD_H1,1.25046,1.25537,1.25410,1.25683,LL_LH,7,-0.00058,0.00196,PERIOD_M15,1.25537,1.25046,1.25266,44.81,3.25,7,false,1.25266,5.03,24.64,PERIOD_M5,1.25157,1.25136,1,0.37,9.0,acceptable,75.00,5.94,0.00143,1.50,0.9139,,spread_guard,true,,true,,35.00,false,0.00,6,2.53,unclear,,0,1,0.37,24.64,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_Regime
2025.01.02 00:09:58,execution_block_candidate,XAUUSD,LONG,2624.74,2621.78,2629.18,2621.78,2623.90,4.99,1.42,sl_too_tight,,,REGIME_TREND_UP,server_00_07,300,all_score_passing,V4_SIGNAL_ALL,THIRD_WAVE_SL_CURRENT,true,false,PERIOD_H1,2605.37,2627.45,2602.61,2617.71,HH_HL,8,0.48,5.78,PERIOD_M15,2605.37,2627.45,2622.02,24.59,3.08,5,false,2622.02,4.58,12.32,PERIOD_M5,2623.89,2624.56,1,0.30,18.0,acceptable,100.00,4.99,2.96,1.50,0.4043,,spread_guard,true,,true,,0.00,false,0.37,1,0.29,unclear,,0,1,0.30,12.32,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_Regime
2025.01.02 00:14:55,execution_block_candidate,XAUUSD,LONG,2624.74,2621.78,2629.18,2621.78,2623.90,4.99,1.42,sl_too_tight,,,REGIME_TREND_UP,server_00_07,300,all_score_passing,V4_SIGNAL_ALL,THIRD_WAVE_SL_CURRENT,true,false,PERIOD_H1,2605.37,2627.45,2602.61,2617.71,HH_HL,8,0.48,5.78,PERIOD_M15,2605.37,2627.45,2622.02,24.59,3.08,5,false,2622.02,4.58,12.32,PERIOD_M5,2623.89,2624.56,1,0.30,18.0,acceptable,100.00,4.99,2.96,1.50,0.4043,,spread_guard,true,,true,,0.00,false,0.37,1,0.29,unclear,,0,1,0.30,12.32,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_Regime
2025.01.02 00:19:59,execution_block_candidate,XAUUSD,LONG,2624.74,2621.78,2629.18,2621.78,2623.90,4.99,1.42,sl_too_tight,,,REGIME_TREND_UP,server_00_07,300,all_score_passing,V4_SIGNAL_ALL,THIRD_WAVE_SL_CURRENT,true,false,PERIOD_H1,2605.37,2627.45,2602.61,2617.71,HH_HL,8,0.48,5.78,PERIOD_M15,2605.37,2627.45,2622.02,24.59,3.08,5,false,2622.02,4.58,12.32,PERIOD_M5,2623.89,2624.56,1,0.30,18.0,acceptable,100.00,4.99,2.96,1.50,0.4043,,spread_guard,true,,true,,0.00,false,0.37,1,0.29,unclear,,0,1,0.30,12.32,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_Regime
2025.01.02 00:24:59,execution_block_candidate,XAUUSD,LONG,2624.74,2621.78,2629.18,2621.78,2623.90,4.99,1.42,sl_too_tight,,,REGIME_TREND_UP,server_00_07,300,all_score_passing,V4_SIGNAL_ALL,THIRD_WAVE_SL_CURRENT,true,false,PERIOD_H1,2605.37,2627.45,2602.61,2617.71,HH_HL,8,0.48,5.78,PERIOD_M15,2605.37,2627.45,2622.02,24.59,3.08,5,false,2622.02,4.58,12.32,PERIOD_M5,2623.89,2624.56,1,0.30,18.0,acceptable,100.00,4.99,2.96,1.50,0.4043,,spread_guard,true,,true,,0.00,false,0.37,1,0.29,unclear,,0,1,0.30,12.32,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_Regime
2025.01.02 00:29:58,execution_block_candidate,XAUUSD,LONG,2624.74,2621.78,2629.18,2621.78,2623.90,4.99,1.42,sl_too_tight,,,REGIME_TREND_UP,server_00_07,300,all_score_passing,V4_SIGNAL_ALL,THIRD_WAVE_SL_CURRENT,true,false,PERIOD_H1,2605.37,2627.45,2602.61,2617.71,HH_HL,8,0.48,5.78,PERIOD_M15,2605.37,2627.45,2622.02,24.59,3.08,5,false,2622.02,4.58,12.32,PERIOD_M5,2623.89,2624.56,1,0.30,18.0,acceptable,100.00,4.99,2.96,1.50,0.4043,,spread_guard,true,,true,,0.00,false,0.37,1,0.29,unclear,,0,1,0.30,12.32,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_Regime
2025.01.02 00:34:55,execution_block_candidate,XAUUSD,LONG,2624.74,2621.78,2629.18,2621.78,2623.90,4.99,1.42,sl_too_tight,,,REGIME_TREND_UP,server_00_07,300,all_score_passing,V4_SIGNAL_ALL,THIRD_WAVE_SL_CURRENT,true,false,PERIOD_H1,2605.37,2627.45,2602.61,2617.71,HH_HL,8,0.48,5.78,PERIOD_M15,2605.37,2627.45,2622.02,24.59,3.08,5,false,2622.02,4.58,12.32,PERIOD_M5,2623.89,2624.56,1,0.30,18.0,acceptable,100.00,4.99,2.96,1.50,0.4043,,spread_guard,true,,true,,0.00,false,0.37,1,0.29,unclear,,0,1,0.30,12.32,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_Regime
2025.01.02 00:39:59,execution_block_candidate,XAUUSD,LONG,2624.74,2621.78,2629.18,2621.78,2623.90,4.99,1.42,sl_too_tight,,,REGIME_TREND_UP,server_00_07,300,all_score_passing,V4_SIGNAL_ALL,THIRD_WAVE_SL_CURRENT,true,false,PERIOD_H1,2605.37,2627.45,2602.61,2617.71,HH_HL,8,0.48,5.78,PERIOD_M15,2605.37,2627.45,2622.02,24.59,3.08,5,false,2622.02,4.58,12.32,PERIOD_M5,2623.89,2624.56,1,0.30,18.0,acceptable,100.00,4.99,2.96,1.50,0.4043,,spread_guard,true,,true,,0.00,false,0.37,1,0.29,unclear,,0,1,0.30,12.32,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_Regime
2025.01.02 00:44:59,execution_block_candidate,XAUUSD,LONG,2624.74,2621.78,2629.18,2621.78,2623.90,4.99,1.42,sl_too_tight,,,REGIME_TREND_UP,server_00_07,300,all_score_passing,V4_SIGNAL_ALL,THIRD_WAVE_SL_CURRENT,true,false,PERIOD_H1,2605.37,2627.45,2602.61,2617.71,HH_HL,8,0.48,5.78,PERIOD_M15,2605.37,2627.45,2622.02,24.59,3.08,5,false,2622.02,4.58,12.32,PERIOD_M5,2623.89,2624.56,1,0.30,18.0,acceptable,100.00,4.99,2.96,1.50,0.4043,,spread_guard,true,,true,,0.00,false,0.37,1,0.29,unclear,,0,1,0.30,12.32,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_Regime
2025.01.02 00:49:59,execution_block_candidate,XAUUSD,LONG,2624.74,2621.78,2629.18,2621.78,2623.90,4.99,1.42,sl_too_tight,,,REGIME_TREND_UP,server_00_07,300,all_score_passing,V4_SIGNAL_ALL,THIRD_WAVE_SL_CURRENT,true,false,PERIOD_H1,2605.37,2627.45,2602.61,2617.71,HH_HL,8,0.48,5.78,PERIOD_M15,2605.37,2627.45,2622.02,24.59,3.08,5,false,2622.02,4.58,12.32,PERIOD_M5,2623.89,2624.56,1,0.30,18.0,acceptable,100.00,4.99,2.96,1.50,0.4043,,spread_guard,true,,true,,0.00,false,0.37,1,0.29,unclear,,0,1,0.30,12.32,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_Regime
2025.01.02 00:54:56,execution_block_candidate,XAUUSD,LONG,2624.74,2621.78,2629.18,2621.78,2623.90,4.99,1.42,sl_too_tight,,,REGIME_TREND_UP,server_00_07,300,all_score_passing,V4_SIGNAL_ALL,THIRD_WAVE_SL_CURRENT,true,false,PERIOD_H1,2605.37,2627.45,2602.61,2617.71,HH_HL,8,0.48,5.78,PERIOD_M15,2605.37,2627.45,2622.02,24.59,3.08,5,false,2622.02,4.58,12.32,PERIOD_M5,2623.89,2624.56,1,0.30,18.0,acceptable,100.00,4.99,2.96,1.50,0.4043,,spread_guard,true,,true,,0.00,false,0.37,1,0.29,unclear,,0,1,0.30,12.32,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_Regime
2025.01.02 00:59:59,execution_block_candidate,XAUUSD,LONG,2624.74,2621.78,2629.18,2621.78,2623.90,4.99,1.42,sl_too_tight,,,REGIME_TREND_UP,server_00_07,300,all_score_passing,V4_SIGNAL_ALL,THIRD_WAVE_SL_CURRENT,true,false,PERIOD_H1,2605.37,2627.45,2602.61,2617.71,HH_HL,8,0.48,5.78,PERIOD_M15,2605.37,2627.45,2622.02,24.59,3.08,5,false,2622.02,4.58,12.32,PERIOD_M5,2623.89,2624.56,1,0.30,18.0,acceptable,100.00,4.99,2.96,1.50,0.4043,,spread_guard,true,,true,,0.00,false,0.37,1,0.29,unclear,,0,1,0.30,12.32,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_Regime
