open_time,close_time,symbol,direction,volume,open_price,close_price,open_deal,close_deal,commission,swap,profit,net_profit,close_balance,close_comment,holding_minutes,open_bar_m5,close_bar_m5,period,context,run,variant,scenario,strategy_mode,signal_mode,sl_mode,reward_r,trade_index,month,hour,fx_vs_xauusd,regime,session,entry_selection_mode,v4_signal_mode,thirdwave_sl_mode,reversal_signal_type,wave_audit_label,lower_tf_reversal_sl_status,structure_stage_fail_reason,execution_block_reason,sl_atr,risk_r,rr,spread_atr,entry_price,sl,tp,result_R,sl_points,tp_points,tp_atr,risk_amount
2025.01.02 08:25:00,2025.01.02 09:25:24,XAUUSD,LONG,0.23,2633.25,2635.81,2,3,0.0,0.0,58.88,58.88,10058.88,tp 2635.76,60.4,2025.01.02 08:25:00,2025.01.02 09:25:00,2025,annual validation,C,v4_micro_or_candle_lower_tf_sl_1_2R,v4_micro_or_candle_lower_tf_sl_1_2R,v4,V4_SIGNAL_MICRO_OR_CANDLE,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.2,1,2025-01,08,XAUUSD,REGIME_TREND_UP,server_08_15,all_score_passing,V4_SIGNAL_MICRO_OR_CANDLE,THIRD_WAVE_SL_LOWER_TF_REVERSAL,candle_reversal,chasing_entry,valid,,,1.9,2.09,1.20,0.1636,2633.25,2631.16,2635.76,1.2249,209.0,250.8,2.28,48.07
2025.01.06 21:05:00,2025.01.07 03:24:02,XAUUSD,SHORT,0.09,2633.49,2638.77,4,5,0.0,2.3,-47.52,-45.220000000000006,10013.66,sl 2638.73,379.03,2025.01.06 21:05:00,2025.01.07 03:20:00,2025,annual validation,C,v4_micro_or_candle_lower_tf_sl_1_2R,v4_micro_or_candle_lower_tf_sl_1_2R,v4,V4_SIGNAL_MICRO_OR_CANDLE,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.2,2,2025-01,21,XAUUSD,REGIME_TREND_DOWN,server_16_23,all_score_passing,V4_SIGNAL_MICRO_OR_CANDLE,THIRD_WAVE_SL_LOWER_TF_REVERSAL,micro_break,chasing_entry,valid,,,2.82,5.24,1.20,0.0970,2633.49,2638.73,2627.20,-1.0076,524.0,628.8,3.384,44.88
2025.01.08 20:30:00,2025.01.09 08:47:02,XAUUSD,LONG,0.07,2656.3,2664.91,6,7,0.0,-17.53,60.27,42.74,10056.4,tp 2664.82,737.03,2025.01.08 20:30:00,2025.01.09 08:45:00,2025,annual validation,C,v4_micro_or_candle_lower_tf_sl_1_2R,v4_micro_or_candle_lower_tf_sl_1_2R,v4,V4_SIGNAL_MICRO_OR_CANDLE,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.2,3,2025-01,20,XAUUSD,REGIME_TREND_UP,server_16_23,all_score_passing,V4_SIGNAL_MICRO_OR_CANDLE,THIRD_WAVE_SL_LOWER_TF_REVERSAL,candle_reversal,chasing_entry,valid,,,1.91,7.1,1.20,0.0484,2656.30,2649.20,2664.82,1.2127,710.0,852.0,2.292,35.24
2025.01.09 12:20:00,2025.01.09 13:27:24,XAUUSD,LONG,0.13,2665.89,2670.55,8,9,0.0,0.0,60.58,60.58,10116.98,tp 2670.38,67.4,2025.01.09 12:20:00,2025.01.09 13:25:00,2025,annual validation,C,v4_micro_or_candle_lower_tf_sl_1_2R,v4_micro_or_candle_lower_tf_sl_1_2R,v4,V4_SIGNAL_MICRO_OR_CANDLE,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.2,4,2025-01,12,XAUUSD,REGIME_TREND_UP,server_08_15,all_score_passing,V4_SIGNAL_MICRO_OR_CANDLE,THIRD_WAVE_SL_LOWER_TF_REVERSAL,micro_break,chasing_entry,valid,,,2.54,3.74,1.20,0.1223,2665.89,2662.15,2670.38,1.246,374.0,448.8,3.048,48.62
2025.01.09 18:50:00,2025.01.09 18:58:04,XAUUSD,LONG,0.15,2670.01,2666.69,10,11,0.0,0.0,-49.8,-49.8,10067.18,sl 2666.71,8.07,2025.01.09 18:50:00,2025.01.09 18:55:00,2025,annual validation,C,v4_micro_or_candle_lower_tf_sl_1_2R,v4_micro_or_candle_lower_tf_sl_1_2R,v4,V4_SIGNAL_MICRO_OR_CANDLE,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.2,5,2025-01,18,XAUUSD,REGIME_TREND_UP,server_16_23,all_score_passing,V4_SIGNAL_MICRO_OR_CANDLE,THIRD_WAVE_SL_LOWER_TF_REVERSAL,candle_reversal,third_wave_initial,valid,,,1.59,3.3,1.20,0.0866,2670.01,2666.71,2673.97,-1.0061,330.0,396.0,1.908,49.5
2025.01.13 01:50:00,2025.01.13 03:05:42,XAUUSD,LONG,0.13,2689.82,2686.17,12,13,0.0,0.0,-47.45,-47.45,10019.73,sl 2686.18,75.7,2025.01.13 01:50:00,2025.01.13 03:05:00,2025,annual validation,C,v4_micro_or_candle_lower_tf_sl_1_2R,v4_micro_or_candle_lower_tf_sl_1_2R,v4,V4_SIGNAL_MICRO_OR_CANDLE,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.2,6,2025-01,01,XAUUSD,REGIME_TREND_UP,server_00_07,all_score_passing,V4_SIGNAL_MICRO_OR_CANDLE,THIRD_WAVE_SL_LOWER_TF_REVERSAL,candle_reversal,chasing_entry,valid,,,2.16,3.64,1.20,0.1071,2689.82,2686.18,2694.19,-1.0027,364.0,436.8,2.592,47.32
2025.01.14 06:25:00,2025.01.14 06:43:32,XAUUSD,SHORT,0.18,2669.77,2672.52,14,15,0.0,0.0,-49.5,-49.5,9970.23,sl 2672.46,18.53,2025.01.14 06:25:00,2025.01.14 06:40:00,2025,annual validation,C,v4_micro_or_candle_lower_tf_sl_1_2R,v4_micro_or_candle_lower_tf_sl_1_2R,v4,V4_SIGNAL_MICRO_OR_CANDLE,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.2,7,2025-01,06,XAUUSD,REGIME_TREND_DOWN,server_00_07,all_score_passing,V4_SIGNAL_MICRO_OR_CANDLE,THIRD_WAVE_SL_LOWER_TF_REVERSAL,candle_reversal,chasing_entry,valid,,,2.37,2.69,1.20,0.1589,2669.77,2672.46,2666.54,-1.0223,269.0,322.8,2.844,48.42
2025.01.15 16:30:00,2025.01.15 16:35:04,XAUUSD,LONG,0.06,2689.75,2681.83,16,17,0.0,0.0,-47.52,-47.52,9922.71,sl 2681.93,5.07,2025.01.15 16:30:00,2025.01.15 16:35:00,2025,annual validation,C,v4_micro_or_candle_lower_tf_sl_1_2R,v4_micro_or_candle_lower_tf_sl_1_2R,v4,V4_SIGNAL_MICRO_OR_CANDLE,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.2,8,2025-01,16,XAUUSD,REGIME_TREND_UP,server_16_23,all_score_passing,V4_SIGNAL_MICRO_OR_CANDLE,THIRD_WAVE_SL_LOWER_TF_REVERSAL,candle_reversal,chasing_entry,valid,,,2.02,7.82,1.20,0.0465,2689.75,2681.93,2699.13,-1.0128,782.0,938.4,2.424,46.92
2025.01.15 18:20:00,2025.01.15 19:05:34,XAUUSD,LONG,0.07,2683.1,2691.13,18,19,0.0,0.0,56.21,56.21,9978.92,tp 2691.13,45.57,2025.01.15 18:20:00,2025.01.15 19:05:00,2025,annual validation,C,v4_micro_or_candle_lower_tf_sl_1_2R,v4_micro_or_candle_lower_tf_sl_1_2R,v4,V4_SIGNAL_MICRO_OR_CANDLE,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.2,9,2025-01,18,XAUUSD,REGIME_TREND_UP,server_16_23,all_score_passing,V4_SIGNAL_MICRO_OR_CANDLE,THIRD_WAVE_SL_LOWER_TF_REVERSAL,candle_reversal,chasing_entry,valid,,,2.35,6.69,1.20,0.0631,2683.10,2676.41,2691.13,1.2003,669.0,802.8,2.82,46.83
2025.01.15 21:35:00,2025.01.16 01:05:46,XAUUSD,LONG,0.16,2693.8,2697.42,20,21,0.0,-40.06,57.92,17.86,9996.78,tp 2697.33,210.77,2025.01.15 21:35:00,2025.01.16 01:05:00,2025,annual validation,C,v4_micro_or_candle_lower_tf_sl_1_2R,v4_micro_or_candle_lower_tf_sl_1_2R,v4,V4_SIGNAL_MICRO_OR_CANDLE,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.2,10,2025-01,21,XAUUSD,REGIME_TREND_UP,server_16_23,all_score_passing,V4_SIGNAL_MICRO_OR_CANDLE,THIRD_WAVE_SL_LOWER_TF_REVERSAL,candle_reversal,chasing_entry,valid,,,2.3,2.94,1.20,0.1405,2693.80,2690.86,2697.33,1.2313,294.0,352.8,2.76,14.5
