time,event,symbol,direction,entry_price,sl,tp,mid_tf_structure_sl,lower_tf_reversal_sl,mid_tf_structure_sl_atr,lower_tf_reversal_sl_atr,lower_tf_reversal_sl_status,result_R,profit,regime,session,scan_interval,entry_selection_mode,v4_signal_mode,thirdwave_sl_mode,v4_signal_mode_pass,v4_signal_mode_blocked,higher_tf,higher_swing_low_1,higher_swing_high_1,higher_swing_low_2,higher_swing_high_2,higher_structure_state,higher_trend_age_bars,higher_ema_slope,higher_atr,mid_tf,impulse_start_price,impulse_end_price,pullback_extreme_price,pullback_depth_pct,pullback_depth_atr,pullback_bars,pullback_broke_origin,pullback_structure_low_or_high,distance_from_pullback_extreme_to_entry_atr,distance_from_pullback_extreme_to_entry_pct_of_impulse,lower_tf,minor_reversal_level,reclaim_or_breakdown_price,bars_since_reclaim_or_breakdown,entry_distance_from_reclaim_atr,entry_distance_from_reclaim_points,lower_reversal_quality,lower_reversal_quality_score,sl_atr,risk_r,rr,spread_atr,structure_stage_fail_reason,execution_block_reason,v2_filter_pass,v2_filter_fail_reason,v3_filter_pass,v3_filter_fail_reason,v3_momentum_exhaustion_score,v3_momentum_exhausted,v3_recent_move_atr,v3_consecutive_directional_bars,v3_close_to_recent_extreme_atr,reversal_signal_type,v4_block_reason,bars_since_pullback_extreme,bars_since_reversal_signal,distance_from_reversal_signal_to_entry_atr,impulse_consumed_pct,pre_entry_momentum_score,reversal_strength_score,wave_audit_label,wave_audit_reason,strategy_name
2025.02.03 05:19:59,v4_blocked_candidate,EURUSD,SHORT,1.02186,1.02398,1.01910,1.02533,1.02398,6.38,3.90,valid,,,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,true,false,PERIOD_H1,1.02100,1.03863,1.03605,1.04332,LL_LH,6,-0.00182,0.00383,PERIOD_M15,1.03863,1.02100,1.02515,23.54,2.55,7,false,1.02515,6.04,18.66,PERIOD_M5,1.02183,1.02183,1,0.06,3.0,early,60.00,3.90,0.00212,1.30,0.3307,v4_impulse_consumed,,true,,true,,35.00,false,1.52,2,0.73,micro_break,v4_impulse_consumed,21,1,0.06,18.66,100.00,60.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V4_EarlyReversal
2025.02.03 06:14:59,execution_block_candidate,EURUSD,SHORT,1.02309,1.02410,1.02178,1.02533,1.02410,4.04,1.82,valid,,,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,true,false,PERIOD_H1,1.02100,1.03863,1.03605,1.04332,LL_LH,7,-0.00190,0.00379,PERIOD_M15,1.03863,1.02100,1.02515,23.54,3.49,10,false,1.02515,3.72,11.68,PERIOD_M5,1.02153,1.02153,1,2.81,156.0,late,75.00,1.82,0.00101,1.30,0.3247,,spread_guard,true,,true,,0.00,false,0.00,1,3.52,early_lower_high,,2,1,2.81,11.68,18.00,75.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V4_EarlyReversal
2025.02.03 06:29:59,v4_blocked_candidate,AUDJPY,SHORT,95.108,95.337,94.810,95.585,95.337,4.71,2.26,valid,,,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,true,false,PERIOD_H1,95.036,95.669,96.094,96.923,LL_LH,6,-0.152,0.410,PERIOD_M15,95.669,95.036,95.557,82.31,2.37,11,false,95.557,4.43,70.93,PERIOD_M5,95.099,95.099,1,0.09,9.0,early,60.00,2.26,0.229,1.30,0.2764,v4_impulse_consumed,,true,,true,,0.00,false,1.06,2,2.69,micro_break,v4_impulse_consumed,5,1,0.09,70.93,64.00,60.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V4_EarlyReversal
2025.02.03 06:34:59,execution_block_candidate,USDJPY,LONG,155.692,155.508,155.931,155.444,155.508,3.68,2.73,valid,,,REGIME_TREND_UP,server_00_07,300,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,true,false,PERIOD_H1,154.719,155.875,154.519,155.213,HH_HL,6,0.060,0.329,PERIOD_M15,154.719,155.875,155.460,35.90,2.73,7,false,155.460,3.44,20.07,PERIOD_M5,155.740,155.740,1,0.71,48.0,unclear,70.00,2.73,0.184,1.30,0.2373,,spread_guard,true,,true,,0.00,false,0.25,1,0.71,candle_reversal,,19,1,0.71,20.07,18.00,70.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V4_EarlyReversal
2025.02.03 06:49:59,execution_block_candidate,USDJPY,LONG,155.727,155.542,155.968,155.542,155.542,3.14,3.14,valid,,,REGIME_TREND_UP,server_00_07,300,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,true,false,PERIOD_H1,154.719,155.875,154.519,155.213,HH_HL,6,0.060,0.329,PERIOD_M15,154.719,155.875,155.560,27.25,2.20,3,false,155.560,2.83,14.45,PERIOD_M5,155.736,155.736,1,0.15,9.0,early,70.00,3.14,0.185,1.30,0.3055,,spread_guard,true,,true,,20.00,false,0.00,1,0.22,candle_reversal,,22,1,0.15,14.45,18.00,70.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V4_EarlyReversal
2025.02.03 06:59:58,execution_block_candidate,EURJPY,SHORT,159.231,159.344,159.084,159.344,159.344,1.40,1.40,valid,,,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,true,false,PERIOD_H1,158.255,159.707,160.193,161.488,LL_LH,6,-0.233,0.652,PERIOD_M15,159.707,158.255,159.314,72.93,6.27,3,false,159.314,1.03,5.72,PERIOD_M5,159.130,159.130,1,1.25,101.0,late,75.00,1.40,0.113,1.30,0.3723,,spread_guard,true,,true,,0.00,false,0.00,1,1.44,early_lower_high,,11,1,1.25,5.72,18.00,75.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V4_EarlyReversal
2025.02.03 07:09:59,execution_block_candidate,EURJPY,SHORT,159.199,159.344,159.011,159.344,159.344,1.74,1.74,valid,,,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,true,false,PERIOD_H1,158.255,159.707,160.193,161.488,LL_LH,7,-0.215,0.638,PERIOD_M15,159.707,158.255,159.314,72.93,6.69,4,false,159.314,1.38,7.92,PERIOD_M5,159.126,159.126,1,0.87,73.0,unclear,75.00,1.74,0.145,1.30,0.3590,,spread_guard,true,,true,,0.00,false,0.14,1,1.01,early_lower_high,,13,1,0.87,7.92,18.00,75.00,late_entry,entry_far_from_reclaim_or_pullback,DowFractal_ThirdWave_V4_EarlyReversal
2025.02.03 07:09:59,execution_block_candidate,GBPJPY,SHORT,190.784,191.153,190.304,191.153,191.153,3.24,3.24,valid,,,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,true,false,PERIOD_H1,190.068,191.652,192.041,193.017,LL_LH,7,-0.177,0.674,PERIOD_M15,191.652,190.068,191.114,66.04,4.85,4,false,191.114,2.90,20.83,PERIOD_M5,190.681,190.681,1,0.90,103.0,late,75.00,3.24,0.369,1.30,0.3423,,spread_guard,true,,true,,0.00,false,0.00,1,0.90,early_lower_high,,13,1,0.90,20.83,18.00,75.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V4_EarlyReversal
2025.02.03 07:09:59,execution_block_candidate,AUDJPY,SHORT,95.155,95.337,94.918,95.337,95.337,1.83,1.83,valid,,,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,true,false,PERIOD_H1,94.675,95.669,95.036,96.923,LL_LH,5,-0.146,0.425,PERIOD_M15,95.669,94.675,95.309,63.78,3.31,4,false,95.309,1.55,15.49,PERIOD_M5,95.145,95.145,1,0.10,10.0,early,75.00,1.83,0.182,1.30,0.2818,,spread_guard,true,,true,,0.00,false,0.25,1,1.27,early_lower_high,,13,1,0.10,15.49,18.00,75.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V4_EarlyReversal
2025.02.03 07:24:59,execution_block_candidate,AUDJPY,SHORT,95.220,95.337,95.068,95.337,95.337,1.57,1.57,valid,,,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,true,false,PERIOD_H1,94.675,95.669,95.036,96.923,LL_LH,5,-0.146,0.425,PERIOD_M15,95.669,94.675,95.309,63.78,3.45,5,false,95.309,1.20,8.95,PERIOD_M5,95.144,95.144,1,1.02,76.0,late,75.00,1.57,0.117,1.30,0.3762,,spread_guard,true,,true,,0.00,false,0.00,1,1.12,early_lower_high,,16,1,1.02,8.95,18.00,75.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V4_EarlyReversal
