open_time,close_time,symbol,direction,volume,open_price,close_price,open_deal,close_deal,commission,swap,profit,net_profit,close_balance,close_comment,holding_minutes,open_bar_m5,close_bar_m5,period,context,run,variant,scenario,strategy_mode,signal_mode,sl_mode,reward_r,trade_index,month,hour,fx_vs_xauusd,regime,session,entry_selection_mode,v4_signal_mode,thirdwave_sl_mode,reversal_signal_type,wave_audit_label,lower_tf_reversal_sl_status,structure_stage_fail_reason,execution_block_reason,sl_atr,risk_r,rr,spread_atr,entry_price,sl,tp,result_R,sl_points,tp_points,tp_atr,risk_amount
2025.10.01 17:25:00,2025.10.01 17:42:55,USDJPY,SHORT,0.59,146.935,146.774,2,3,0.0,0.0,64.72,64.72,10064.72,tp 146.774,17.92,2025.10.01 17:25:00,2025.10.01 17:40:00,2025-10,2025 comparison sample,G,v4_without_weak_lower_tf_sl_1_3R,v4_without_weak_lower_tf_sl_1_3R,v4,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.3,1,2025-10,17,FX,REGIME_TREND_DOWN,server_16_23,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,candle_reversal,chasing_entry,valid,,,1.3,0.124,1.30,0.1574,146.935,147.059,146.774,1.2984,124.0,161.2,1.69,49.85
2025.10.03 21:40:00,2025.10.06 02:02:22,XAUUSD,LONG,0.04,3888.61,3904.24,4,5,0.0,-3.34,62.52,59.18000000000001,10123.9,tp 3904.16,3142.37,2025.10.03 21:40:00,2025.10.06 02:00:00,2025-10,2025 comparison sample,G,v4_without_weak_lower_tf_sl_1_3R,v4_without_weak_lower_tf_sl_1_3R,v4,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.3,2,2025-10,21,XAUUSD,REGIME_TREND_UP,server_16_23,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,candle_reversal,chasing_entry,valid,,,4.05,11.96,1.30,0.0610,3888.61,3876.65,3904.16,1.3069,1196.0,1554.8,5.265,45.28
2025.10.06 12:35:00,2025.10.06 13:08:06,XAUUSD,LONG,0.06,3942.84,3934.99,6,7,0.0,0.0,-47.1,-47.1,10076.8,sl 3935.05,33.1,2025.10.06 12:35:00,2025.10.06 13:05:00,2025-10,2025 comparison sample,G,v4_without_weak_lower_tf_sl_1_3R,v4_without_weak_lower_tf_sl_1_3R,v4,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.3,3,2025-10,12,XAUUSD,REGIME_TREND_UP,server_08_15,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,candle_reversal,chasing_entry,valid,,,1.99,7.79,1.30,0.0485,3942.84,3935.05,3952.97,-1.0077,779.0,1012.7,2.587,46.74
2025.10.06 13:45:00,2025.10.06 14:51:43,XAUUSD,LONG,0.03,3946.73,3932.27,8,9,0.0,0.0,-43.38,-43.38,10033.42,sl 3932.27,66.72,2025.10.06 13:45:00,2025.10.06 14:50:00,2025-10,2025 comparison sample,G,v4_without_weak_lower_tf_sl_1_3R,v4_without_weak_lower_tf_sl_1_3R,v4,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.3,4,2025-10,13,XAUUSD,REGIME_TREND_UP,server_08_15,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,micro_break,chasing_entry,valid,,,4.28,14.46,1.30,0.0562,3946.73,3932.27,3965.53,-1.0,1446.0,1879.8,5.564,43.38
2025.10.07 02:35:00,2025.10.07 04:05:02,XAUUSD,LONG,0.04,3969.94,3958.6,10,11,0.0,0.0,-45.36,-45.36,9988.06,sl 3958.60,90.03,2025.10.07 02:35:00,2025.10.07 04:05:00,2025-10,2025 comparison sample,G,v4_without_weak_lower_tf_sl_1_3R,v4_without_weak_lower_tf_sl_1_3R,v4,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.3,5,2025-10,02,XAUUSD,REGIME_TREND_UP,server_00_07,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,candle_reversal,chasing_entry,valid,,,2.52,11.34,1.30,0.0399,3969.94,3958.60,3984.68,-1.0,1134.0,1474.2,3.276,45.36
2025.10.07 06:25:00,2025.10.07 06:48:16,XAUUSD,LONG,0.07,3964.07,3973.22,12,13,0.0,0.0,64.05,64.05,10052.11,tp 3973.09,23.27,2025.10.07 06:25:00,2025.10.07 06:45:00,2025-10,2025 comparison sample,G,v4_without_weak_lower_tf_sl_1_3R,v4_without_weak_lower_tf_sl_1_3R,v4,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.3,6,2025-10,06,XAUUSD,REGIME_TREND_UP,server_00_07,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,micro_break,chasing_entry,valid,,,2.93,6.94,1.30,0.0802,3964.07,3957.13,3973.09,1.3184,694.0,902.2,3.809,48.58
2025.10.07 08:55:00,2025.10.07 09:05:24,XAUUSD,LONG,0.1,3964.62,3959.84,14,15,0.0,0.0,-47.8,-47.8,10004.31,sl 3959.90,10.4,2025.10.07 08:55:00,2025.10.07 09:05:00,2025-10,2025 comparison sample,G,v4_without_weak_lower_tf_sl_1_3R,v4_without_weak_lower_tf_sl_1_3R,v4,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.3,7,2025-10,08,XAUUSD,REGIME_TREND_UP,server_08_15,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,candle_reversal,unclear,valid,,,1.23,4.72,1.30,0.0470,3964.62,3959.90,3970.76,-1.0127,472.0,613.6,1.599,47.2
2025.10.08 09:45:00,2025.10.08 11:57:00,USDJPY,LONG,0.35,152.441,152.715,16,17,0.0,0.0,62.8,62.8,10067.11,tp 152.713,132.0,2025.10.08 09:45:00,2025.10.08 11:55:00,2025-10,2025 comparison sample,G,v4_without_weak_lower_tf_sl_1_3R,v4_without_weak_lower_tf_sl_1_3R,v4,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.3,8,2025-10,09,FX,REGIME_TREND_UP,server_08_15,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,candle_reversal,chasing_entry,valid,,,2.22,0.209,1.30,0.1595,152.441,152.232,152.713,1.311,209.0,271.7,2.886,47.9
2025.10.08 15:35:00,2025.10.08 15:39:54,XAUUSD,LONG,0.08,4037.31,4031.48,18,19,0.0,0.0,-46.64,-46.64,10020.47,sl 4031.71,4.9,2025.10.08 15:35:00,2025.10.08 15:35:00,2025-10,2025 comparison sample,G,v4_without_weak_lower_tf_sl_1_3R,v4_without_weak_lower_tf_sl_1_3R,v4,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.3,9,2025-10,15,XAUUSD,REGIME_TREND_UP,server_08_15,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,candle_reversal,chasing_entry,valid,,,1.5,5.6,1.30,0.0510,4037.31,4031.71,4044.59,-1.0411,560.0,728.0,1.95,44.8
2025.10.08 16:05:00,2025.10.08 16:36:04,XAUUSD,LONG,0.03,4043.5,4030.66,20,21,0.0,0.0,-38.52,-38.52,9981.95,sl 4030.76,31.07,2025.10.08 16:05:00,2025.10.08 16:35:00,2025-10,2025 comparison sample,G,v4_without_weak_lower_tf_sl_1_3R,v4_without_weak_lower_tf_sl_1_3R,v4,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.3,10,2025-10,16,XAUUSD,REGIME_TREND_UP,server_16_23,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,candle_reversal,chasing_entry,valid,,,2.92,12.74,1.30,0.0436,4043.50,4030.76,4060.06,-1.0078,1274.0,1656.2,3.796,38.22
2025.10.09 13:40:00,2025.10.09 14:00:07,XAUUSD,LONG,0.09,4039.07,4045.8,22,23,0.0,0.0,60.57,60.57,10042.52,tp 4045.65,20.12,2025.10.09 13:40:00,2025.10.09 14:00:00,2025-10,2025 comparison sample,G,v4_without_weak_lower_tf_sl_1_3R,v4_without_weak_lower_tf_sl_1_3R,v4,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.3,11,2025-10,13,XAUUSD,REGIME_TREND_UP,server_08_15,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,candle_reversal,chasing_entry,valid,,,2.34,5.06,1.30,0.0831,4039.07,4034.01,4045.65,1.33,506.0,657.8,3.042,45.54
