period,scenario,fx_vs_xauusd,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_dd,max_dd_pct,max_consecutive_losses
2024,context_router_v2_all_r12,FX,15,6,9,40.0,-88.99,0.801,-5.93,-0.123,284.91,2.79,4
2024,context_router_v2_all_r12,XAUUSD,13,6,7,46.15,14.87,1.042,1.14,0.014,155.35,1.53,3
2024,context_router_v3_all_r12,FX,15,6,9,40.0,-88.99,0.801,-5.93,-0.123,284.91,2.79,4
2024,context_router_v3_all_r12,XAUUSD,13,6,7,46.15,14.87,1.042,1.14,0.014,155.35,1.53,3
2024,instant_all_r12,FX,42,18,24,42.86,-110.47,0.907,-2.63,-0.057,654.03,6.24,12
2024,instant_all_r12,XAUUSD,36,15,21,41.67,-143.49,0.862,-3.99,-0.088,309.9,3.05,5
2025,context_router_v2_all_r12,FX,15,7,8,46.67,3.61,1.009,0.24,0.016,193.84,1.9,3
2025,context_router_v2_all_r12,XAUUSD,21,9,12,42.86,-256.64,0.649,-12.22,-0.21,427.13,4.27,4
2025,context_router_v3_all_r12,FX,15,7,8,46.67,1.26,1.003,0.08,0.016,196.19,1.92,3
2025,context_router_v3_all_r12,XAUUSD,20,9,11,45.0,-46.29,0.914,-2.31,-0.017,231.62,2.32,4
2025,instant_all_r12,FX,47,21,26,44.68,-107.76,0.917,-2.29,-0.021,300.85,3.01,6
2025,instant_all_r12,XAUUSD,45,24,21,53.33,161.21,1.141,3.58,0.106,428.09,4.23,5
2026YTD,context_router_v2_all_r12,FX,5,3,2,60.0,73.21,1.724,14.64,0.317,101.17,1.01,2
2026YTD,context_router_v2_all_r12,XAUUSD,7,3,4,42.86,-38.45,0.771,-5.49,-0.076,82.08,0.82,2
2026YTD,context_router_v3_all_r12,FX,5,3,2,60.0,73.21,1.724,14.64,0.317,101.17,1.01,2
2026YTD,context_router_v3_all_r12,XAUUSD,6,2,4,33.33,-90.01,0.465,-15.0,-0.289,90.01,0.9,2
2026YTD,instant_all_r12,FX,23,10,13,43.48,-55.02,0.917,-2.39,-0.048,363.45,3.55,4
2026YTD,instant_all_r12,XAUUSD,13,6,7,46.15,-20.34,0.935,-1.56,0.002,196.44,1.96,4
